trading_date,EG_total_oi
2018-12-10,78082.0
2018-12-11,92862.0
2018-12-12,99736.0
2018-12-13,101278.0
2018-12-14,105616.0
2018-12-17,111070.0
2018-12-18,107592.0
2018-12-19,100926.0
2018-12-20,102734.0
2018-12-21,125250.0
2018-12-24,137042.0
2018-12-25,133756.0
2018-12-26,139102.0
2018-12-27,161676.0
2018-12-28,146000.0
2019-01-02,165252.0
2019-01-03,171618.0
2019-01-04,171624.0
2019-01-07,195132.0
2019-01-08,219514.0
2019-01-09,227998.0
2019-01-10,250402.0
2019-01-11,263010.0
2019-01-14,266004.0
2019-01-15,279194.0
2019-01-16,282276.0
2019-01-17,295518.0
2019-01-18,339376.0
2019-01-21,360606.0
2019-01-22,355928.0
2019-01-23,361096.0
2019-01-24,362566.0
2019-01-25,357018.0
2019-01-28,354512.0
2019-01-29,345282.0
2019-01-30,318102.0
2019-01-31,302690.0
2019-02-01,292784.0
2019-02-11,315418.0
2019-02-12,339922.0
2019-02-13,369234.0
2019-02-14,386040.0
2019-02-15,385040.0
2019-02-18,433482.0
2019-02-19,430516.0
2019-02-20,431894.0
2019-02-21,414948.0
2019-02-22,410022.0
2019-02-25,409316.0
2019-02-26,403520.0
2019-02-27,401662.0
2019-02-28,403132.0
2019-03-01,390032.0
2019-03-04,390780.0
2019-03-05,383554.0
2019-03-06,399666.0
2019-03-07,384096.0
2019-03-08,380192.0
2019-03-11,382758.0
2019-03-12,382644.0
2019-03-13,386984.0
2019-03-14,397376.0
2019-03-15,392912.0
2019-03-18,404406.0
2019-03-19,410672.0
2019-03-20,411406.0
2019-03-21,413920.0
2019-03-22,421554.0
2019-03-25,420374.0
2019-03-26,438618.0
2019-03-27,495416.0
2019-03-28,519772.0
2019-03-29,502576.0
2019-04-01,513504.0
2019-04-02,534822.0
2019-04-03,529718.0
2019-04-04,527782.0
2019-04-08,580306.0
2019-04-09,592074.0
2019-04-10,575472.0
2019-04-11,618476.0
2019-04-12,616236.0
2019-04-15,649206.0
2019-04-16,674818.0
2019-04-17,674988.0
2019-04-18,673384.0
2019-04-19,676950.0
2019-04-22,631290.0
2019-04-23,653154.0
2019-04-24,690380.0
2019-04-25,714224.0
2019-04-26,719266.0
2019-04-29,657460.0
2019-04-30,641238.0
2019-05-06,628096.0
2019-05-07,636354.0
2019-05-08,634996.0
2019-05-09,624152.0
2019-05-10,603616.0
2019-05-13,661472.0
2019-05-14,627286.0
2019-05-15,613900.0
2019-05-16,628382.0
2019-05-17,671444.0
2019-05-20,679844.0
2019-05-21,667002.0
2019-05-22,662694.0
2019-05-23,655208.0
2019-05-24,610266.0
2019-05-27,586100.0
2019-05-28,608246.0
2019-05-29,590982.0
2019-05-30,589724.0
2019-05-31,583474.0
2019-06-03,556410.0
2019-06-04,547506.0
2019-06-05,630584.0
2019-06-06,563960.0
2019-06-10,568956.0
2019-06-11,553538.0
2019-06-12,548056.0
2019-06-13,556054.0
2019-06-14,559466.0
2019-06-17,553884.0
2019-06-18,558556.0
2019-06-19,538554.0
2019-06-20,533170.0
2019-06-21,551918.0
2019-06-24,567426.0
2019-06-25,568774.0
2019-06-26,572106.0
2019-06-27,576496.0
2019-06-28,569710.0
2019-07-01,561000.0
2019-07-02,556670.0
2019-07-03,551006.0
2019-07-04,542406.0
2019-07-05,561038.0
2019-07-08,596642.0
2019-07-09,634570.0
2019-07-10,549578.0
2019-07-11,550262.0
2019-07-12,549696.0
2019-07-15,543492.0
2019-07-16,560100.0
2019-07-17,551198.0
2019-07-18,538654.0
2019-07-19,571600.0
2019-07-22,559380.0
2019-07-23,556594.0
2019-07-24,546192.0
2019-07-25,551282.0
2019-07-26,549412.0
2019-07-29,608260.0
2019-07-30,617364.0
2019-07-31,593530.0
2019-08-01,583140.0
2019-08-02,524410.0
2019-08-05,507406.0
2019-08-06,470360.0
2019-08-07,461568.0
2019-08-08,456700.0
2019-08-09,461940.0
2019-08-12,448606.0
2019-08-13,441726.0
2019-08-14,432456.0
2019-08-15,454592.0
2019-08-16,471642.0
2019-08-19,449762.0
2019-08-20,456138.0
2019-08-21,429434.0
2019-08-22,424148.0
2019-08-23,432924.0
2019-08-26,472100.0
2019-08-27,461372.0
2019-08-28,462276.0
2019-08-29,459522.0
2019-08-30,444128.0
2019-09-02,436188.0
2019-09-03,428664.0
2019-09-04,431776.0
2019-09-05,442686.0
2019-09-06,452740.0
2019-09-09,493300.0
2019-09-10,491880.0
2019-09-11,523496.0
2019-09-12,518246.0
2019-09-16,568466.0
2019-09-17,605852.0
2019-09-18,589214.0
2019-09-19,572536.0
2019-09-20,558324.0
2019-09-23,549782.0
2019-09-24,572578.0
2019-09-25,633730.0
2019-09-26,539980.0
2019-09-27,485088.0
2019-09-30,447404.0
2019-10-08,462306.0
2019-10-09,482744.0
2019-10-10,508524.0
2019-10-11,513858.0
2019-10-14,528116.0
2019-10-15,522658.0
2019-10-16,552852.0
2019-10-17,545534.0
2019-10-18,509616.0
2019-10-21,535078.0
2019-10-22,517620.0
2019-10-23,528106.0
2019-10-24,522034.0
2019-10-25,533116.0
2019-10-28,541222.0
2019-10-29,548318.0
2019-10-30,546396.0
2019-10-31,518454.0
2019-11-01,505376.0
2019-11-04,512132.0
2019-11-05,508628.0
2019-11-06,544600.0
2019-11-07,530774.0
2019-11-08,506528.0
2019-11-11,501942.0
2019-11-12,509034.0
2019-11-13,526000.0
2019-11-14,566028.0
2019-11-15,566326.0
2019-11-18,565254.0
2019-11-19,575280.0
2019-11-20,597250.0
2019-11-21,601944.0
2019-11-22,602786.0
2019-11-25,590804.0
2019-11-26,580802.0
2019-11-27,597814.0
2019-11-28,649436.0
2019-11-29,638322.0
2019-12-02,627310.0
2019-12-03,628848.0
2019-12-04,619368.0
2019-12-05,581774.0
2019-12-06,567268.0
2019-12-09,545502.0
2019-12-10,537450.0
2019-12-11,541178.0
2019-12-12,565922.0
2019-12-13,541792.0
2019-12-16,517986.0
2019-12-17,528878.0
2019-12-18,537586.0
2019-12-19,515408.0
2019-12-20,510264.0
2019-12-23,514512.0
2019-12-24,497430.0
2019-12-25,538452.0
2019-12-26,499462.0
2019-12-27,472914.0
2019-12-30,458686.0
2019-12-31,420728.0
2020-01-02,216902.0
2020-01-03,217499.0
2020-01-06,217597.0
2020-01-07,208211.0
2020-01-08,196438.0
2020-01-09,195826.0
2020-01-10,222037.0
2020-01-13,212936.0
2020-01-14,204195.0
2020-01-15,199464.0
2020-01-16,194077.0
2020-01-17,194987.0
2020-01-20,208678.0
2020-01-21,196424.0
2020-01-22,181307.0
2020-01-23,164734.0
2020-02-03,172086.0
2020-02-04,163393.0
2020-02-05,170506.0
2020-02-06,174787.0
2020-02-07,172349.0
2020-02-10,174603.0
2020-02-11,176490.0
2020-02-12,183145.0
2020-02-13,182951.0
2020-02-14,181069.0
2020-02-17,181739.0
2020-02-18,189200.0
2020-02-19,195374.0
2020-02-20,192333.0
2020-02-21,197866.0
2020-02-24,195404.0
2020-02-25,195546.0
2020-02-26,198234.0
2020-02-27,201053.0
2020-02-28,194793.0
2020-03-02,198861.0
2020-03-03,204787.0
2020-03-04,209217.0
2020-03-05,219342.0
2020-03-06,232405.0
2020-03-09,226736.0
2020-03-10,195899.0
2020-03-11,197064.0
2020-03-12,203421.0
2020-03-13,202000.0
2020-03-16,209071.0
2020-03-17,213637.0
2020-03-18,214063.0
2020-03-19,210306.0
2020-03-20,200654.0
2020-03-23,204566.0
2020-03-24,227117.0
2020-03-25,247602.0
2020-03-26,255663.0
2020-03-27,280137.0
2020-03-30,301473.0
2020-03-31,262337.0
2020-04-01,261303.0
2020-04-02,236447.0
2020-04-03,232042.0
2020-04-07,237258.0
2020-04-08,237933.0
2020-04-09,241800.0
2020-04-10,238456.0
2020-04-13,245312.0
2020-04-14,239503.0
2020-04-15,241100.0
2020-04-16,242579.0
2020-04-17,250035.0
2020-04-20,277661.0
2020-04-21,242041.0
2020-04-22,237386.0
2020-04-23,228546.0
2020-04-24,239207.0
2020-04-27,231283.0
2020-04-28,230522.0
2020-04-29,223785.0
2020-04-30,209350.0
2020-05-06,215422.0
2020-05-07,218185.0
2020-05-08,215496.0
2020-05-11,227965.0
2020-05-12,226943.0
2020-05-13,225421.0
2020-05-14,233994.0
2020-05-15,236607.0
2020-05-18,229085.0
2020-05-19,231097.0
2020-05-20,233474.0
2020-05-21,235725.0
2020-05-22,221010.0
2020-05-25,222418.0
2020-05-26,219450.0
2020-05-27,221171.0
2020-05-28,216693.0
2020-05-29,218901.0
2020-06-01,227127.0
2020-06-02,229140.0
2020-06-03,229204.0
2020-06-04,222377.0
2020-06-05,245082.0
2020-06-08,238434.0
2020-06-09,262398.0
2020-06-10,243768.0
2020-06-11,249314.0
2020-06-12,248798.0
2020-06-15,254691.0
2020-06-16,247696.0
2020-06-17,257991.0
2020-06-18,249733.0
2020-06-19,256737.0
2020-06-22,252149.0
2020-06-23,250825.0
2020-06-24,248909.0
2020-06-29,269292.0
2020-06-30,272701.0
2020-07-01,271699.0
2020-07-02,276698.0
2020-07-03,279861.0
2020-07-06,286139.0
2020-07-07,339760.0
2020-07-08,313043.0
2020-07-09,312933.0
2020-07-10,337569.0
2020-07-13,313737.0
2020-07-14,302557.0
2020-07-15,285659.0
2020-07-16,273750.0
2020-07-17,261235.0
2020-07-20,258612.0
2020-07-21,256858.0
2020-07-22,268882.0
2020-07-23,268135.0
2020-07-24,271344.0
2020-07-27,279381.0
2020-07-28,272180.0
2020-07-29,273206.0
2020-07-30,262861.0
2020-07-31,277631.0
2020-08-03,259970.0
2020-08-04,272575.0
2020-08-05,293238.0
2020-08-06,276247.0
2020-08-07,278452.0
2020-08-10,267483.0
2020-08-11,263196.0
2020-08-12,248892.0
2020-08-13,256046.0
2020-08-14,255865.0
2020-08-17,285471.0
2020-08-18,278910.0
2020-08-19,260322.0
2020-08-20,254327.0
2020-08-21,246467.0
2020-08-24,253022.0
2020-08-25,246751.0
2020-08-26,247937.0
2020-08-27,255092.0
2020-08-28,248308.0
2020-08-31,288577.0
2020-09-01,305173.0
2020-09-02,296671.0
2020-09-03,294221.0
2020-09-04,297219.0
2020-09-07,296062.0
2020-09-08,308970.0
2020-09-09,264013.0
2020-09-10,267967.0
2020-09-11,264915.0
2020-09-14,268808.0
2020-09-15,269492.0
2020-09-16,260272.0
2020-09-17,278852.0
2020-09-18,276603.0
2020-09-21,282323.0
2020-09-22,274640.0
2020-09-23,275996.0
2020-09-24,270480.0
2020-09-25,269712.0
2020-09-28,257348.0
2020-09-29,254905.0
2020-09-30,245149.0
2020-10-09,249346.0
2020-10-12,240525.0
2020-10-13,242527.0
2020-10-14,254895.0
2020-10-15,236521.0
2020-10-16,236514.0
2020-10-19,234789.0
2020-10-20,238323.0
2020-10-21,246331.0
2020-10-22,237100.0
2020-10-23,230036.0
2020-10-26,223899.0
2020-10-27,227173.0
2020-10-28,229508.0
2020-10-29,234095.0
2020-10-30,226193.0
2020-11-02,232811.0
2020-11-03,231338.0
2020-11-04,233067.0
2020-11-05,252368.0
2020-11-06,265673.0
2020-11-09,259212.0
2020-11-10,245141.0
2020-11-11,255074.0
2020-11-12,263534.0
2020-11-13,300116.0
2020-11-16,283272.0
2020-11-17,283001.0
2020-11-18,271453.0
2020-11-19,273798.0
2020-11-20,286083.0
2020-11-23,290815.0
2020-11-24,290959.0
2020-11-25,296781.0
2020-11-26,294988.0
2020-11-27,303469.0
2020-11-30,298581.0
2020-12-01,289527.0
2020-12-02,275568.0
2020-12-03,273788.0
2020-12-04,274990.0
2020-12-07,306204.0
2020-12-08,299408.0
2020-12-09,292829.0
2020-12-10,277955.0
2020-12-11,266314.0
2020-12-14,289494.0
2020-12-15,298749.0
2020-12-16,295217.0
2020-12-17,314029.0
2020-12-18,302391.0
2020-12-21,280947.0
2020-12-22,271895.0
2020-12-23,270115.0
2020-12-24,280053.0
2020-12-25,296658.0
2020-12-28,287351.0
2020-12-29,265031.0
2020-12-30,259177.0
2020-12-31,272023.0
2021-01-04,292673.0
2021-01-05,280253.0
2021-01-06,280209.0
2021-01-07,277011.0
2021-01-08,265393.0
2021-01-11,248959.0
2021-01-12,302589.0
2021-01-13,298180.0
2021-01-14,274653.0
2021-01-15,272043.0
2021-01-18,255710.0
2021-01-19,255761.0
2021-01-20,264067.0
2021-01-21,261452.0
2021-01-22,273830.0
2021-01-25,253313.0
2021-01-26,252362.0
2021-01-27,272709.0
2021-01-28,281765.0
2021-01-29,318922.0
2021-02-01,311513.0
2021-02-02,319758.0
2021-02-03,304996.0
2021-02-04,297343.0
2021-02-05,287851.0
2021-02-08,284348.0
2021-02-09,278032.0
2021-02-10,257809.0
2021-02-18,267969.0
2021-02-19,281899.0
2021-02-22,306858.0
2021-02-23,314489.0
2021-02-24,326002.0
2021-02-25,331549.0
2021-02-26,343052.0
2021-03-01,345515.0
2021-03-02,340793.0
2021-03-03,341440.0
2021-03-04,346310.0
2021-03-05,342455.0
2021-03-08,345538.0
2021-03-09,325540.0
2021-03-10,308234.0
2021-03-11,298301.0
2021-03-12,297080.0
2021-03-15,294740.0
2021-03-16,295240.0
2021-03-17,294612.0
2021-03-18,300220.0
2021-03-19,283047.0
2021-03-22,277285.0
2021-03-23,277945.0
2021-03-24,281142.0
2021-03-25,285528.0
2021-03-26,286619.0
2021-03-29,294685.0
2021-03-30,289316.0
2021-03-31,296947.0
2021-04-01,296162.0
2021-04-02,302393.0
2021-04-06,327244.0
2021-04-07,338439.0
2021-04-08,331184.0
2021-04-09,328001.0
2021-04-12,327854.0
2021-04-13,332865.0
2021-04-14,329340.0
2021-04-15,325752.0
2021-04-16,329184.0
2021-04-19,331497.0
2021-04-20,345777.0
2021-04-21,351064.0
2021-04-22,339483.0
2021-04-23,338735.0
2021-04-26,344486.0
2021-04-27,333241.0
2021-04-28,329947.0
2021-04-29,328835.0
2021-04-30,309000.0
2021-05-06,318021.0
2021-05-07,326268.0
2021-05-10,320438.0
2021-05-11,308308.0
2021-05-12,326870.0
2021-05-13,316176.0
2021-05-14,310212.0
2021-05-17,309896.0
2021-05-18,320427.0
2021-05-19,308976.0
2021-05-20,292372.0
2021-05-21,296353.0
2021-05-24,290275.0
2021-05-25,299834.0
2021-05-26,318385.0
2021-05-27,311122.0
2021-05-28,318659.0
2021-05-31,348301.0
2021-06-01,381431.0
2021-06-02,367191.0
2021-06-03,368988.0
2021-06-04,360695.0
2021-06-07,347511.0
2021-06-08,335363.0
2021-06-09,333265.0
2021-06-10,330684.0
2021-06-11,312386.0
2021-06-15,315893.0
2021-06-16,313275.0
2021-06-17,314590.0
2021-06-18,305099.0
2021-06-21,333274.0
2021-06-22,311744.0
2021-06-23,311015.0
2021-06-24,329498.0
2021-06-25,339813.0
2021-06-28,342639.0
2021-06-29,343704.0
2021-06-30,340302.0
2021-07-01,345183.0
2021-07-02,392149.0
2021-07-05,403491.0
2021-07-06,412372.0
2021-07-07,371964.0
2021-07-08,364251.0
2021-07-09,367891.0
2021-07-12,369797.0
2021-07-13,381657.0
2021-07-14,411819.0
2021-07-15,416325.0
2021-07-16,414775.0
2021-07-19,420317.0
2021-07-20,429152.0
2021-07-21,439368.0
2021-07-22,442655.0
2021-07-23,421416.0
2021-07-26,415488.0
2021-07-27,401160.0
2021-07-28,388404.0
2021-07-29,421841.0
2021-07-30,432889.0
2021-08-02,420757.0
2021-08-03,386617.0
2021-08-04,394245.0
2021-08-05,401669.0
2021-08-06,428585.0
2021-08-09,445273.0
2021-08-10,419600.0
2021-08-11,420526.0
2021-08-12,407773.0
2021-08-13,405437.0
2021-08-16,405584.0
2021-08-17,413442.0
2021-08-18,404654.0
2021-08-19,408079.0
2021-08-20,406473.0
2021-08-23,399926.0
2021-08-24,402394.0
2021-08-25,403017.0
2021-08-26,420436.0
2021-08-27,401327.0
2021-08-30,395443.0
2021-08-31,381070.0
2021-09-01,344311.0
2021-09-02,365214.0
2021-09-03,378331.0
2021-09-06,375798.0
2021-09-07,394671.0
2021-09-08,400656.0
2021-09-09,396511.0
2021-09-10,399670.0
2021-09-13,417557.0
2021-09-14,438861.0
2021-09-15,420058.0
2021-09-16,419559.0
2021-09-17,398314.0
2021-09-22,390637.0
2021-09-23,412187.0
2021-09-24,429404.0
2021-09-27,416942.0
2021-09-28,425441.0
2021-09-29,394549.0
2021-09-30,388145.0
2021-10-08,359082.0
2021-10-11,375143.0
2021-10-12,381847.0
2021-10-13,364908.0
2021-10-14,362269.0
2021-10-15,380763.0
2021-10-18,420286.0
2021-10-19,386134.0
2021-10-20,372427.0
2021-10-21,364250.0
2021-10-22,337603.0
2021-10-25,334694.0
2021-10-26,326998.0
2021-10-27,333495.0
2021-10-28,307778.0
2021-10-29,322340.0
2021-11-01,321988.0
2021-11-02,328785.0
2021-11-03,333794.0
2021-11-04,328882.0
2021-11-05,342774.0
2021-11-08,338395.0
2021-11-09,356770.0
2021-11-10,369499.0
2021-11-11,396257.0
2021-11-12,444541.0
2021-11-15,407264.0
2021-11-16,404597.0
2021-11-17,424633.0
2021-11-18,442416.0
2021-11-19,445579.0
2021-11-22,435380.0
2021-11-23,420410.0
2021-11-24,417826.0
2021-11-25,439799.0
2021-11-26,420160.0
2021-11-29,443898.0
2021-11-30,416243.0
2021-12-01,427852.0
2021-12-02,412897.0
2021-12-03,445932.0
2021-12-06,459695.0
2021-12-07,442910.0
2021-12-08,428739.0
2021-12-09,427103.0
2021-12-10,429841.0
2021-12-13,426585.0
2021-12-14,424449.0
2021-12-15,428657.0
2021-12-16,426202.0
2021-12-17,422730.0
2021-12-20,454239.0
2021-12-21,468363.0
2021-12-22,462892.0
2021-12-23,461453.0
2021-12-24,418356.0
2021-12-27,413002.0
2021-12-28,422383.0
2021-12-29,422311.0
2021-12-30,419614.0
2021-12-31,408517.0
2022-01-04,404769.0
2022-01-05,408269.0
2022-01-06,409346.0
2022-01-07,423482.0
2022-01-10,410812.0
2022-01-11,398664.0
2022-01-12,403547.0
2022-01-13,403134.0
2022-01-14,422265.0
2022-01-17,410876.0
2022-01-18,407923.0
2022-01-19,418316.0
2022-01-20,417555.0
2022-01-21,408734.0
2022-01-24,410799.0
2022-01-25,396623.0
2022-01-26,403369.0
2022-01-27,421765.0
2022-01-28,403637.0
2022-02-07,432364.0
2022-02-08,442011.0
2022-02-09,444946.0
2022-02-10,457308.0
2022-02-11,456717.0
2022-02-14,449767.0
2022-02-15,439557.0
2022-02-16,461455.0
2022-02-17,488682.0
2022-02-18,482573.0
2022-02-21,500130.0
2022-02-22,502747.0
2022-02-23,505550.0
2022-02-24,481589.0
2022-02-25,473741.0
2022-02-28,513596.0
2022-03-01,495857.0
2022-03-02,447942.0
2022-03-03,438603.0
2022-03-04,429988.0
2022-03-07,429196.0
2022-03-08,407481.0
2022-03-09,419008.0
2022-03-10,392731.0
2022-03-11,401938.0
2022-03-14,409792.0
2022-03-15,414196.0
2022-03-16,418838.0
2022-03-17,423485.0
2022-03-18,430706.0
2022-03-21,431356.0
2022-03-22,446869.0
2022-03-23,453652.0
2022-03-24,463143.0
2022-03-25,457715.0
2022-03-28,454496.0
2022-03-29,451174.0
2022-03-30,445475.0
2022-03-31,450137.0
2022-04-01,449707.0
2022-04-06,466588.0
2022-04-07,466350.0
2022-04-08,463826.0
2022-04-11,524451.0
2022-04-12,520197.0
2022-04-13,538651.0
2022-04-14,532012.0
2022-04-15,540043.0
2022-04-18,520552.0
2022-04-19,493230.0
2022-04-20,474872.0
2022-04-21,488031.0
2022-04-22,474914.0
2022-04-25,502575.0
2022-04-26,522795.0
2022-04-27,532701.0
2022-04-28,496101.0
2022-04-29,439638.0
2022-05-05,425985.0
2022-05-06,427746.0
2022-05-09,427967.0
2022-05-10,437205.0
2022-05-11,428466.0
2022-05-12,422916.0
2022-05-13,447522.0
2022-05-16,443906.0
2022-05-17,446282.0
2022-05-18,443245.0
2022-05-19,447486.0
2022-05-20,464130.0
2022-05-23,452604.0
2022-05-24,474742.0
2022-05-25,478555.0
2022-05-26,477482.0
2022-05-27,500585.0
2022-05-30,494568.0
2022-05-31,474748.0
2022-06-01,466854.0
2022-06-02,464834.0
2022-06-06,488808.0
2022-06-07,494921.0
2022-06-08,493803.0
2022-06-09,485044.0
2022-06-10,485854.0
2022-06-13,476558.0
2022-06-14,481687.0
2022-06-15,495494.0
2022-06-16,491413.0
2022-06-17,487896.0
2022-06-20,498709.0
2022-06-21,502687.0
2022-06-22,528936.0
2022-06-23,550519.0
2022-06-24,581651.0
2022-06-27,582828.0
2022-06-28,595161.0
2022-06-29,630515.0
2022-06-30,599798.0
2022-07-01,602936.0
2022-07-04,582708.0
2022-07-05,556055.0
2022-07-06,560381.0
2022-07-07,541147.0
2022-07-08,521709.0
2022-07-11,525960.0
2022-07-12,534346.0
2022-07-13,533569.0
2022-07-14,531767.0
2022-07-15,525336.0
2022-07-18,519019.0
2022-07-19,512684.0
2022-07-20,530375.0
2022-07-21,522409.0
2022-07-22,535271.0
2022-07-25,553710.0
2022-07-26,557744.0
2022-07-27,539388.0
2022-07-28,528031.0
2022-07-29,512549.0
2022-08-01,507805.0
2022-08-02,519954.0
2022-08-03,532031.0
2022-08-04,577541.0
2022-08-05,617048.0
2022-08-08,609148.0
2022-08-09,613881.0
2022-08-10,612217.0
2022-08-11,606813.0
2022-08-12,588886.0
2022-08-15,586376.0
2022-08-16,658233.0
2022-08-17,668598.0
2022-08-18,696729.0
2022-08-19,665290.0
2022-08-22,622047.0
2022-08-23,594645.0
2022-08-24,591226.0
2022-08-25,586187.0
2022-08-26,583100.0
2022-08-29,570180.0
2022-08-30,540188.0
2022-08-31,553491.0
2022-09-01,524178.0
2022-09-02,539242.0
2022-09-05,525882.0
2022-09-06,519141.0
2022-09-07,513602.0
2022-09-08,517519.0
2022-09-09,518738.0
2022-09-13,509401.0
2022-09-14,513224.0
2022-09-15,522413.0
2022-09-16,509515.0
2022-09-19,514120.0
2022-09-20,509655.0
2022-09-21,511950.0
2022-09-22,510229.0
2022-09-23,497102.0
2022-09-26,506049.0
2022-09-27,498612.0
2022-09-28,503252.0
2022-09-29,489777.0
2022-09-30,467692.0
2022-10-10,474746.0
2022-10-11,531275.0
2022-10-12,548763.0
2022-10-13,572642.0
2022-10-14,588972.0
2022-10-17,605733.0
2022-10-18,603123.0
2022-10-19,634631.0
2022-10-20,609840.0
2022-10-21,599558.0
2022-10-24,613586.0
2022-10-25,621516.0
2022-10-26,645450.0
2022-10-27,662442.0
2022-10-28,668794.0
2022-10-31,662899.0
2022-11-01,678544.0
2022-11-02,662502.0
2022-11-03,637106.0
2022-11-04,619329.0
2022-11-07,639379.0
2022-11-08,625861.0
2022-11-09,645987.0
2022-11-10,655893.0
2022-11-11,617944.0
