trading_date,rank,volume,volume_change
2018-12-10,210,56677176,24970
2018-12-11,210,103351577,8172
2018-12-12,210,114992425,3032
2018-12-13,210,114684000,1847
2018-12-14,210,120659840,2083
2018-12-17,210,127098164,2170
2018-12-18,210,126912194,-103
2018-12-19,210,109126625,-653
2018-12-20,210,110582340,1018
2018-12-21,210,149095205,8251
2018-12-24,210,168923506,4130
2018-12-25,210,175590653,2576
2018-12-26,210,161783372,-1068
2018-12-27,210,178948280,5977
2018-12-28,210,136740417,-4381
2019-01-02,210,213328633,3484
2019-01-03,210,199810235,3062
2019-01-04,210,193643559,2046
2019-01-07,210,238717613,6915
2019-01-08,210,270047325,7197
2019-01-09,210,283437849,3530
2019-01-10,210,307911142,5145
2019-01-11,210,339710318,7659
2019-01-14,210,378436431,5070
2019-01-15,210,395591201,2436
2019-01-16,210,415661846,5045
2019-01-17,210,462847231,5375
2019-01-18,210,628884273,16134
2019-01-21,210,782505660,8404
2019-01-22,210,817837959,1603
2019-01-23,210,812036101,577
2019-01-24,210,778553796,115
2019-01-25,210,727469113,-2707
2019-01-28,210,659393928,-1237
2019-01-29,210,670681820,-432
2019-01-30,210,622268206,-3762
2019-01-31,210,594588285,-1486
2019-02-01,210,573630372,-1955
2019-02-11,210,615351979,3857
2019-02-12,210,653586797,4530
2019-02-13,210,768500019,8569
2019-02-14,210,793907636,3207
2019-02-15,210,819117716,1703
2019-02-18,210,896332206,6303
2019-02-19,210,861016823,-2896
2019-02-20,210,856110918,17
2019-02-21,210,843779023,-872
2019-02-22,210,849706140,226
2019-02-25,210,850844464,641
2019-02-26,210,833647698,-1061
2019-02-27,210,820202085,-386
2019-02-28,210,845965369,2326
2019-03-01,210,890357797,1910
2019-03-04,210,941507639,3787
2019-03-05,210,892499814,-1001
2019-03-06,210,1021913458,8427
2019-03-07,210,952749034,-4150
2019-03-08,210,963259936,2525
2019-03-11,210,954321481,489
2019-03-12,210,959677688,-1392
2019-03-13,210,910820121,415
2019-03-14,210,943785141,2546
2019-03-15,210,932081612,1069
2019-03-18,210,923583913,740
2019-03-19,210,949145760,2297
2019-03-20,210,926164182,-836
2019-03-21,210,978695901,2704
2019-03-22,210,962046114,1327
2019-03-25,210,962418740,1023
2019-03-26,210,1065118811,7645
2019-03-27,210,1315268133,14618
2019-03-28,210,1245320107,773
2019-03-29,210,1141427880,-5533
2019-04-01,210,1114363949,-98
2019-04-02,210,1133082410,1761
2019-04-03,210,1054063893,-4864
2019-04-04,210,978735730,3372
2019-04-08,210,1193548382,16056
2019-04-09,210,1229473851,1384
2019-04-10,210,1170372037,-4026
2019-04-11,210,1276223284,8790
2019-04-12,210,1334794174,1489
2019-04-15,210,1286174822,3126
2019-04-16,210,1333596504,13253
2019-04-17,210,1341785219,485
2019-04-18,210,1262653436,-1748
2019-04-19,210,1273358655,-1027
2019-04-22,210,1220925748,-9128
2019-04-23,210,1256694151,3269
2019-04-24,210,1392152458,10051
2019-04-25,210,1432819839,5434
2019-04-26,210,1454741586,1991
