trading_date,rank,volume,volume_change
2018-12-10,210,66767740,26474
2018-12-11,210,79882183,7861
2018-12-12,210,99737865,4681
2018-12-13,210,96391015,2057
2018-12-14,210,124430028,5669
2018-12-17,210,132750475,2094
2018-12-18,210,121773981,918
2018-12-19,210,97462261,-2947
2018-12-20,210,106565009,1558
2018-12-21,210,191284168,10022
2018-12-24,210,216499906,3672
2018-12-25,210,194243242,-142
2018-12-26,210,159622674,1764
2018-12-27,210,227259430,10752
2018-12-28,210,202745649,-1654
2019-01-02,210,291196052,5515
2019-01-03,210,305369883,5462
2019-01-04,210,286103592,555
2019-01-07,210,349026506,8642
2019-01-08,210,394180745,4408
2019-01-09,210,423957129,4874
2019-01-10,210,458338976,3237
2019-01-11,210,521079198,8473
2019-01-14,210,531463298,3840
2019-01-15,210,603249395,5670
2019-01-16,210,612258983,2571
2019-01-17,210,679727862,6238
2019-01-18,210,901337149,14841
2019-01-21,210,1096723446,9907
2019-01-22,210,1023527972,-1102
2019-01-23,210,1043243269,2460
2019-01-24,210,1064699596,2279
2019-01-25,210,1080516890,-21
2019-01-28,210,1069611035,-131
2019-01-29,210,1021857960,-3867
2019-01-30,210,816134439,-11881
2019-01-31,210,774046330,-2441
2019-02-01,210,747083150,-2693
2019-02-11,210,872658209,10361
2019-02-12,210,1035249012,8412
2019-02-13,210,1331493337,14105
2019-02-14,210,1478171437,6629
2019-02-15,210,1808256707,9370
2019-02-18,210,2990915031,20652
2019-02-19,210,2837761712,-182
2019-02-20,210,2953843087,2302
2019-02-21,210,2480510070,-4641
2019-02-22,210,2307136597,-2163
2019-02-25,210,2329763963,1443
2019-02-26,210,2286668607,24
2019-02-27,210,2268628092,-1545
2019-02-28,210,2194703025,-1060
2019-03-01,210,2047186839,-469
2019-03-04,210,1604876558,-5867
2019-03-05,210,1637719166,-562
2019-03-06,210,1643123667,5603
2019-03-07,210,1564017454,-3637
2019-03-08,210,1494416248,-1105
2019-03-11,210,1580234059,275
2019-03-12,210,1562702983,-414
2019-03-13,210,1598475772,3642
2019-03-14,210,1712253175,2881
2019-03-15,210,1842660012,-166
2019-03-18,210,2181641690,9570
2019-03-19,210,2412898482,3008
2019-03-20,210,2443365303,2374
2019-03-21,210,2629272595,1714
2019-03-22,210,2777910164,1779
2019-03-25,210,2305760722,-4925
2019-03-26,210,2304689550,6065
2019-03-27,210,2647182643,15882
2019-03-28,210,2987613402,7219
2019-03-29,210,2660716939,-2793
2019-04-01,210,2932032157,2943
2019-04-02,210,3046666294,3639
2019-04-03,210,3074885078,3694
2019-04-04,210,2036314469,-10782
2019-04-08,210,2567662267,14617
2019-04-09,210,2812683169,3392
2019-04-10,210,2474725572,-5395
2019-04-11,210,2963080146,15583
2019-04-12,210,3214837301,2987
2019-04-15,210,3593053146,9814
2019-04-16,210,3881279626,12594
2019-04-17,210,3959173312,1732
2019-04-18,210,4092755385,8756
2019-04-19,210,4302377827,4551
2019-04-22,210,4066887135,-10325
2019-04-23,210,4554048375,8555
2019-04-24,210,4741515817,12622
2019-04-25,210,5290659042,11513
2019-04-26,210,5170191492,-849
2019-04-29,210,4269303100,-20111
2019-04-30,210,4249398888,-376
2019-05-06,210,4169494773,-2058
2019-05-07,210,4438450726,5366
2019-05-08,210,3852548739,-320
2019-05-09,210,3162695123,-5629
2019-05-10,210,2949901313,-3187
2019-05-13,210,3262764453,15745
2019-05-14,210,3134094374,-2491
2019-05-15,210,3145758714,3592
2019-05-16,210,3619430308,12053
2019-05-17,210,4091667071,15577
2019-05-20,210,4562677091,12075
2019-05-21,210,4592529782,-4225
2019-05-22,210,4507358291,3948
2019-05-23,210,4293864965,-4071
2019-05-24,210,3735853589,-13408
2019-05-27,210,3566633111,-4371
2019-05-28,210,3755332622,10154
2019-05-29,210,3825255946,40
2019-05-30,210,4055781661,2549
2019-05-31,210,3737903406,-3100
2019-06-03,210,3361855749,-10131
2019-06-04,210,3205018816,5176
2019-06-05,210,4706986345,37413
2019-06-06,210,4079880792,-11967
2019-06-10,210,3941833752,3895
2019-06-11,210,3758985458,-5969
2019-06-12,210,3686634444,1156
2019-06-13,210,3924588249,5486
2019-06-14,210,4120029000,2604
2019-06-17,210,4195107038,144
2019-06-18,210,4153171704,2972
2019-06-19,210,4183694267,237
2019-06-20,210,4309162435,-2332
2019-06-21,210,4148004204,3522
2019-06-24,210,4306621890,8888
2019-06-25,210,4641736763,6317
2019-06-26,210,4682859772,2212
2019-06-27,210,4634722376,3042
2019-06-28,210,4369008474,-3610
2019-07-01,210,4059385361,718
2019-07-02,210,4367351772,6622
2019-07-03,210,4036090193,-2355
2019-07-04,210,3616957887,-3794
2019-07-05,210,3506476024,628
2019-07-08,210,4298936139,18640
2019-07-09,210,4529618487,15933
2019-07-10,210,4149906432,-13612
2019-07-11,210,4168566867,511
2019-07-12,210,4378245730,444
2019-07-15,210,3800389551,-6767
2019-07-16,210,3971199192,4319
2019-07-17,210,4288012664,1862
2019-07-18,210,3399861835,-11046
2019-07-19,210,3308473491,11330
2019-07-22,210,3279554046,1344
2019-07-23,210,2907312160,479
2019-07-24,210,2598073858,-2577
2019-07-25,210,2492795964,-796
2019-07-26,210,2573797378,207
2019-07-29,210,2539416114,18989
2019-07-30,210,2581422095,6774
2019-07-31,210,2459552819,-3679
2019-08-01,210,2432654606,-2993
2019-08-02,210,2171280666,-10089
2019-08-05,210,2242089877,4161
2019-08-06,210,1980046173,-2371
2019-08-07,210,1888123442,-1298
2019-08-08,210,1707607558,-1713
2019-08-09,210,1519550138,1919
2019-08-12,210,1319449779,-8404
2019-08-13,210,1219478993,-3796
2019-08-14,210,1096935197,-3347
2019-08-15,210,1323765153,10817
2019-08-16,210,1633492013,6382
2019-08-19,210,1390760336,-8892
2019-08-20,210,1410312377,2057
2019-08-21,210,1119922807,-9615
2019-08-22,210,1069694190,-1411
2019-08-23,210,1049735197,2796
2019-08-26,210,1333202606,14841
2019-08-27,210,1342261545,2371
2019-08-28,210,1461217927,1936
2019-08-29,210,1285776442,-3543
2019-08-30,210,1310137653,1198
