trading_date,rank,volume,volume_change
2013-11-05,210,248547,5155
2013-11-06,210,246327,-768
2013-11-07,210,240879,-4971
2013-11-08,210,239904,3769
2013-11-11,210,242891,2987
2013-11-12,210,241614,-1277
2013-11-13,210,239872,-757
2013-11-14,210,238759,390
2013-11-15,210,236725,731
2013-11-18,210,252670,15945
2013-11-19,210,241007,-4167
2013-11-20,210,233097,-6814
2013-11-21,210,235279,7026
2013-11-22,210,227920,-6547
2013-11-25,210,228453,4365
2013-11-26,210,221158,-4609
2013-11-27,210,218062,-2134
2013-11-28,210,207175,-6666
2013-11-29,210,199473,-7702
2013-12-02,210,198330,1314
2013-12-03,210,197603,-727
2013-12-04,210,185736,-11168
2013-12-05,210,171385,-12788
2013-12-06,210,156429,-14059
2013-12-09,210,156358,-71
2013-12-10,210,153842,-2516
2013-12-11,210,151458,-1938
2013-12-12,210,184551,43691
2013-12-13,210,144100,-36572
2013-12-16,210,140006,-2941
2013-12-17,210,141955,4600
2013-12-18,210,128289,-11473
2013-12-19,210,127621,670
2013-12-20,210,103461,-22765
2013-12-23,210,97191,-5329
2013-12-24,210,94261,-2930
2013-12-25,210,92010,-1040
2013-12-26,210,84352,-4308
2013-12-27,210,79933,-1818
2013-12-30,210,81995,2563
2013-12-31,210,83345,2255
2014-01-02,210,91042,8551
2014-01-03,210,88018,-2385
2014-01-06,210,104480,17773
2014-01-07,210,99118,-5362
2014-01-08,210,100954,3375
2014-01-09,210,89967,-8280
2014-01-10,210,83415,-4337
2014-01-13,210,82528,-492
2014-01-14,210,80521,-1467
2014-01-15,210,80032,-325
2014-01-16,210,81915,2076
2014-01-17,210,78619,-1366
2014-01-20,210,79786,1384
2014-01-21,210,93710,14652
2014-01-22,210,85955,-7209
2014-01-23,210,88005,7094
2014-01-24,210,78590,-6698
2014-01-27,210,76157,520
2014-01-28,210,72160,-3494
2014-01-29,210,68630,-2179
2014-01-30,210,65075,-1420
2014-02-07,210,68165,4017
2014-02-10,210,76980,11029
2014-02-11,210,82054,5538
2014-02-12,210,93953,13077
2014-02-13,210,89429,-2859
2014-02-14,210,91382,2044
2014-02-17,210,92981,2453
2014-02-18,210,105265,16801
2014-02-19,210,101830,-372
2014-02-20,210,101638,1070
2014-02-21,210,101486,-20
2014-02-24,210,100205,4948
2014-02-25,210,97695,-337
2014-02-26,210,100285,3063
2014-02-27,210,103384,6881
2014-02-28,210,94326,-8391
2014-03-03,210,96728,2402
2014-03-04,210,95758,-206
2014-03-05,210,90304,-571
2014-03-06,210,91831,2480
2014-03-07,210,109044,19316
2014-03-10,210,119970,17146
2014-03-11,210,104705,-14198
2014-03-12,210,101935,-2564
2014-03-13,210,100860,-103
2014-03-14,210,101954,2215
2014-03-17,210,141580,40191
2014-03-18,210,149312,10108
2014-03-19,210,145448,-3864
2014-03-20,210,140101,-4625
2014-03-21,210,129395,-5613
2014-03-24,210,135472,7315
2014-03-25,210,123302,-9746
2014-03-26,210,149840,30023
2014-03-27,210,131279,-17613
2014-03-28,210,109063,-16476
2014-03-31,210,103996,-5067
2014-04-01,210,102182,-1563
2014-04-02,210,117052,16274
2014-04-03,210,113789,-3258
2014-04-04,210,120888,7397
2014-04-08,210,101390,-14973
2014-04-09,210,102463,3497
2014-04-10,210,96688,-3454
2014-04-11,210,105567,10921
2014-04-14,210,111048,8147
2014-04-15,210,108520,3754
2014-04-16,210,103127,-2542
2014-04-17,210,105693,3756
2014-04-18,210,116693,12956
2014-04-21,210,127514,12023
2014-04-22,210,131694,4766
2014-04-23,210,128270,-2837
2014-04-24,210,123750,-3531
2014-04-25,210,134809,11644
2014-04-28,210,145810,14235
2014-04-29,210,129451,-16241
2014-04-30,210,137699,12705
2014-05-05,210,132999,-4296
2014-05-06,210,141794,10703
2014-05-07,210,159502,18204
2014-05-08,210,168805,10152
2014-05-09,210,169005,200
2014-05-12,210,170975,3331
2014-05-13,210,175290,5575
2014-05-14,210,162617,-12446
2014-05-15,210,167984,5589
2014-05-16,210,170678,4373
2014-05-19,210,161270,-9401
2014-05-20,210,178777,21788
2014-05-21,210,164346,-9262
2014-05-22,210,157484,-5363
2014-05-23,210,162555,5229
2014-05-26,210,158725,-2380
2014-05-27,210,147379,-11168
2014-05-28,210,144366,-450
2014-05-29,210,146693,2606
2014-05-30,210,147744,3599
2014-06-03,210,158594,13984
2014-06-04,210,157021,4276
2014-06-05,210,153674,580
2014-06-06,210,156197,2597
2014-06-09,210,183591,38195
2014-06-10,210,175401,-6587
2014-06-11,210,174157,-985
2014-06-12,210,174951,5848
2014-06-13,210,167658,8835
2014-06-16,210,170596,7006
2014-06-17,210,163061,-6625
2014-06-18,210,162377,2396
2014-06-19,210,172348,10554
2014-06-20,210,183060,18824
2014-06-23,210,170888,-12172
2014-06-24,210,176679,5791
2014-06-25,210,172256,-3907
2014-06-26,210,172713,2441
2014-06-27,210,165231,-6243
2014-06-30,210,156418,-7619
2014-07-01,210,159469,4917
2014-07-02,210,160219,1261
2014-07-03,210,164041,4511
2014-07-04,210,157325,-6716
2014-07-07,210,148196,-5631
2014-07-08,210,159441,11417
2014-07-09,210,180070,21859
2014-07-10,210,195144,16117
2014-07-11,210,209130,15777
2014-07-14,210,215259,6129
2014-07-15,210,219274,6212
2014-07-16,210,220339,6131
2014-07-17,210,210151,-8868
2014-07-18,210,208921,2336
2014-07-21,210,213985,11363
2014-07-22,210,213629,1367
2014-07-23,210,218923,5294
2014-07-24,210,206697,-5368
2014-07-25,210,221843,17399
2014-07-28,210,206287,-14533
2014-07-29,210,213590,8702
2014-07-30,210,219775,8496
2014-07-31,210,208181,-9959
2014-08-01,210,202180,-5005
2014-08-04,210,204536,4587
2014-08-05,210,195241,-8079
2014-08-06,210,194124,-1117
2014-08-07,210,189382,-4365
2014-08-08,210,187071,-1247
2014-08-11,210,184286,-2030
2014-08-12,210,181486,-2264
2014-08-13,210,176588,-4708
2014-08-14,210,181466,8035
2014-08-15,210,188612,12530
2014-08-18,210,188859,2996
2014-08-19,210,199444,12170
2014-08-20,210,211718,15247
2014-08-21,210,215596,6278
2014-08-22,210,203897,-9114
2014-08-25,210,213068,16741
2014-08-26,210,223535,12828
2014-08-27,210,210653,-12388
2014-08-28,210,220861,10972
2014-08-29,210,226692,5831
2014-09-01,210,220716,9503
2014-09-02,210,215027,-192
2014-09-03,210,223530,10402
2014-09-04,210,239132,21729
2014-09-05,210,229684,-2001
2014-09-09,210,230746,3231
2014-09-10,210,267163,42091
2014-09-11,210,265851,4181
2014-09-12,210,256682,-7569
2014-09-15,210,234235,-19218
2014-09-16,210,202310,-23200
2014-09-17,210,234955,42661
2014-09-18,210,239520,6299
2014-09-19,210,255069,18717
2014-09-22,210,310151,67768
2014-09-23,210,271848,-25554
2014-09-24,210,272737,2928
2014-09-25,210,271489,13095
2014-09-26,210,251244,-15718
2014-09-29,210,226259,-23508
2014-09-30,210,218066,-8193
2014-10-08,210,234330,17124
2014-10-09,210,237813,3890
2014-10-10,210,249173,13022
2014-10-13,210,258998,11377
2014-10-14,210,249458,-2629
2014-10-15,210,260840,11483
2014-10-16,210,262416,1576
2014-10-17,210,304790,46604
2014-10-20,210,310425,7607
2014-10-21,210,276535,-28176
2014-10-22,210,258901,-8207
2014-10-23,210,260730,2541
2014-10-24,210,263453,3062
2014-10-27,210,264855,1402
2014-10-28,210,263388,-1467
2014-10-29,210,260726,-2615
2014-10-30,210,247580,-10465
2014-10-31,210,245145,-1553
2014-11-03,210,243101,-1401
2014-11-04,210,233400,-4335
2014-11-05,210,245065,11665
2014-11-06,210,243533,-1532
2014-11-07,210,239580,2371
2014-11-10,210,243952,5728
2014-11-11,210,240573,-3379
2014-11-12,210,245281,11175
2014-11-13,210,243651,1506
2014-11-14,210,242280,3039
2014-11-17,210,242113,2034
2014-11-18,210,218874,-7592
2014-11-19,210,216559,484
2014-11-20,210,208275,-5074
2014-11-21,210,213778,6031
2014-11-24,210,222400,11499
2014-11-25,210,209843,-9903
2014-11-26,210,211731,2649
2014-11-27,210,201137,-8601
2014-11-28,210,197492,-667
2014-12-01,210,194312,-2627
2014-12-02,210,190922,-2177
2014-12-03,210,194821,5853
2014-12-04,210,193013,-1197
2014-12-05,210,183354,-9659
2014-12-08,210,185399,3003
2014-12-09,210,184441,-746
2014-12-10,210,183262,-662
2014-12-11,210,183050,-212
2014-12-12,210,173235,-6838
2014-12-15,210,184087,12342
