trading_date,rank,volume,volume_change
2013-11-05,210,330813,4032
2013-11-06,210,336810,7950
2013-11-07,210,329342,-7468
2013-11-08,210,328377,-965
2013-11-11,210,329982,1605
2013-11-12,210,327216,-2698
2013-11-13,210,325951,-1265
2013-11-14,210,327135,1184
2013-11-15,210,322590,-2414
2013-11-18,210,321924,34
2013-11-19,210,300480,-17497
2013-11-20,210,308932,8819
2013-11-21,210,312035,3103
2013-11-22,210,300282,-11077
2013-11-25,210,299344,-938
2013-11-26,210,271177,-27739
2013-11-27,210,258163,-12245
2013-11-28,210,246729,-8597
2013-11-29,210,234640,-11636
2013-12-02,210,232335,1006
2013-12-03,210,229912,-1559
2013-12-04,210,224259,-1564
2013-12-05,210,215054,-7823
2013-12-06,210,196577,-17051
2013-12-09,210,197737,1354
2013-12-10,210,195347,-2390
2013-12-11,210,191761,-3147
2013-12-12,210,237854,46845
2013-12-13,210,187479,-49054
2013-12-16,210,193498,6087
2013-12-17,210,192722,405
2013-12-18,210,170659,-18330
2013-12-19,210,170043,-59
2013-12-20,210,114246,-37336
2013-12-23,210,106066,-4217
2013-12-24,210,100882,-416
2013-12-25,210,98165,9011
2013-12-26,210,95768,357
2013-12-27,210,96072,6098
2013-12-30,210,99619,5973
2013-12-31,210,92664,11795
2014-01-02,210,88890,6978
2014-01-03,210,84499,4901
2014-01-06,210,95429,15295
2014-01-07,210,91943,2284
2014-01-08,210,91241,1543
2014-01-09,210,83067,-6346
2014-01-10,210,77786,-4602
2014-01-13,210,77117,835
2014-01-14,210,77540,1287
2014-01-15,210,76827,1532
2014-01-16,210,76759,4740
2014-01-17,210,75668,2106
2014-01-20,210,78006,3258
2014-01-21,210,89864,15368
2014-01-22,210,80328,-3837
2014-01-23,210,77185,3926
2014-01-24,210,72928,-2535
2014-01-27,210,73044,2415
2014-01-28,210,71636,1494
2014-01-29,210,68411,-542
2014-01-30,210,65351,-186
2014-02-07,210,69840,7971
2014-02-10,210,75581,11094
2014-02-11,210,79270,4041
2014-02-12,210,85669,10259
2014-02-13,210,88096,4396
2014-02-14,210,91571,9805
2014-02-17,210,99530,10472
2014-02-18,210,105150,13531
2014-02-19,210,101931,595
2014-02-20,210,99727,1953
2014-02-21,210,106662,9997
2014-02-24,210,93147,-10026
2014-02-25,210,95243,2727
2014-02-26,210,100786,6942
2014-02-27,210,97420,-1626
2014-02-28,210,92914,-3627
2014-03-03,210,94991,5136
2014-03-04,210,95781,2969
2014-03-05,210,93730,50
2014-03-06,210,94941,1337
2014-03-07,210,106411,13763
2014-03-10,210,105188,3630
2014-03-11,210,96606,-4292
2014-03-12,210,92916,-3364
2014-03-13,210,91824,-857
2014-03-14,210,95007,3183
2014-03-17,210,126752,49636
2014-03-18,210,126087,1529
2014-03-19,210,122791,-2111
2014-03-20,210,121362,2610
2014-03-21,210,121393,514
2014-03-24,210,123705,2826
2014-03-25,210,116389,-2511
2014-03-26,210,140479,36654
2014-03-27,210,123448,-9415
2014-03-28,210,97627,-2419
2014-03-31,210,96687,-900
2014-04-01,210,96082,779
2014-04-02,210,108107,17629
2014-04-03,210,109720,1884
2014-04-04,210,121331,11797
2014-04-08,210,107793,-10668
2014-04-09,210,114265,7709
2014-04-10,210,116806,4629
2014-04-11,210,116748,3593
2014-04-14,210,115518,2419
2014-04-15,210,111475,336
2014-04-16,210,115719,6968
2014-04-17,210,113778,-398
2014-04-18,210,117939,13581
2014-04-21,210,128350,10885
2014-04-22,210,121529,3129
2014-04-23,210,121317,7831
2014-04-24,210,118657,-2043
2014-04-25,210,128275,10693
2014-04-28,210,135015,9732
2014-04-29,210,123241,-5195
2014-04-30,210,131601,15727
2014-05-05,210,128043,-1619
2014-05-06,210,142873,16347
2014-05-07,210,159787,19284
2014-05-08,210,163203,3776
2014-05-09,210,161181,-1133
2014-05-12,210,171973,14703
2014-05-13,210,174774,4634
2014-05-14,210,169461,-4644
2014-05-15,210,173205,4538
2014-05-16,210,173587,962
2014-05-19,210,171981,-1196
2014-05-20,210,180353,8978
2014-05-21,210,184040,5110
2014-05-22,210,175519,-3706
2014-05-23,210,184072,8982
2014-05-26,210,195240,11168
2014-05-27,210,196016,2693
2014-05-28,210,188865,-7151
2014-05-29,210,186566,-2299
2014-05-30,210,177482,-5669
2014-06-03,210,188806,15112
2014-06-04,210,193253,4755
2014-06-05,210,195873,8031
2014-06-06,210,196350,477
2014-06-09,210,216443,21973
2014-06-10,210,216961,597
2014-06-11,210,212654,-84
2014-06-12,210,213876,2777
2014-06-13,210,224550,13030
2014-06-16,210,227895,4797
2014-06-17,210,209454,-13014
2014-06-18,210,216996,9830
2014-06-19,210,221591,6897
2014-06-20,210,237311,21939
2014-06-23,210,239450,2625
2014-06-24,210,244099,4864
2014-06-25,210,247134,5749
2014-06-26,210,239890,-1521
2014-06-27,210,241359,4565
2014-06-30,210,219934,-16738
2014-07-01,210,221044,3044
2014-07-02,210,222800,5625
2014-07-03,210,231740,15673
2014-07-04,210,225322,-4002
2014-07-07,210,209582,-1923
2014-07-08,210,215616,6988
2014-07-09,210,244329,34445
2014-07-10,210,250547,7796
2014-07-11,210,254969,7840
2014-07-14,210,258453,10616
2014-07-15,210,263641,7497
2014-07-16,210,257340,-5695
2014-07-17,210,250678,-3946
2014-07-18,210,241084,-1375
2014-07-21,210,265475,47397
2014-07-22,210,269531,7411
2014-07-23,210,273091,5040
2014-07-24,210,263651,-7818
2014-07-25,210,257091,-1066
2014-07-28,210,241207,-12872
2014-07-29,210,259307,20506
2014-07-30,210,267516,10342
2014-07-31,210,260899,188
2014-08-01,210,251282,-8205
2014-08-04,210,256651,6936
2014-08-05,210,257762,2729
2014-08-06,210,255535,-1002
2014-08-07,210,250514,-1325
2014-08-08,210,253470,3586
2014-08-11,210,253700,1128
2014-08-12,210,252359,3039
2014-08-13,210,242853,-7751
2014-08-14,210,239315,6292
2014-08-15,210,236665,339
2014-08-18,210,240317,9495
2014-08-19,210,274350,34867
2014-08-20,210,276936,4701
2014-08-21,210,292918,24937
2014-08-22,210,292915,1599
2014-08-25,210,297866,9862
2014-08-26,210,304735,7595
2014-08-27,210,290042,-13652
2014-08-28,210,303078,15225
2014-08-29,210,310222,10080
2014-09-01,210,305334,9865
2014-09-02,210,294184,-3920
2014-09-03,210,280179,-6682
2014-09-04,210,285529,7972
2014-09-05,210,259002,-20851
2014-09-09,210,252973,-425
2014-09-10,210,262552,18428
2014-09-11,210,263153,5765
2014-09-12,210,263178,1857
2014-09-15,210,248274,-5898
