trading_date,FG_total_oi
2013-11-05,937160.0
2013-11-06,941038.0
2013-11-07,921788.0
2013-11-08,912108.0
2013-11-11,928750.0
2013-11-12,918646.0
2013-11-13,906676.0
2013-11-14,905800.0
2013-11-15,889092.0
2013-11-18,917378.0
2013-11-19,863240.0
2013-11-20,859568.0
2013-11-21,857746.0
2013-11-22,823682.0
2013-11-25,808714.0
2013-11-26,796266.0
2013-11-27,778370.0
2013-11-28,762538.0
2013-11-29,730334.0
2013-12-02,727002.0
2013-12-03,719826.0
2013-12-04,698526.0
2013-12-05,647740.0
2013-12-06,585356.0
2013-12-09,584742.0
2013-12-10,575202.0
2013-12-11,557356.0
2013-12-12,682498.0
2013-12-13,545188.0
2013-12-16,551408.0
2013-12-17,553870.0
2013-12-18,508130.0
2013-12-19,506242.0
2013-12-20,383224.0
2013-12-23,359812.0
2013-12-24,348274.0
2013-12-25,326794.0
2013-12-26,313642.0
2013-12-27,293496.0
2013-12-30,293944.0
2013-12-31,306510.0
2014-01-02,331144.0
2014-01-03,307984.0
2014-01-06,357758.0
2014-01-07,336312.0
2014-01-08,332162.0
2014-01-09,302188.0
2014-01-10,286824.0
2014-01-13,285304.0
2014-01-14,274586.0
2014-01-15,274252.0
2014-01-16,280686.0
2014-01-17,266688.0
2014-01-20,272114.0
2014-01-21,324772.0
2014-01-22,295640.0
2014-01-23,301930.0
2014-01-24,277944.0
2014-01-27,277474.0
2014-01-28,263374.0
2014-01-29,250606.0
2014-01-30,226252.0
2014-02-07,234324.0
2014-02-10,268120.0
2014-02-11,288814.0
2014-02-12,331930.0
2014-02-13,324646.0
2014-02-14,331234.0
2014-02-17,341890.0
2014-02-18,364786.0
2014-02-19,352012.0
2014-02-20,342906.0
2014-02-21,353082.0
2014-02-24,329408.0
2014-02-25,330802.0
2014-02-26,329148.0
2014-02-27,335722.0
2014-02-28,310548.0
2014-03-03,318972.0
2014-03-04,319970.0
2014-03-05,305436.0
2014-03-06,311564.0
2014-03-07,346474.0
2014-03-10,370056.0
2014-03-11,316322.0
2014-03-12,307342.0
2014-03-13,303712.0
2014-03-14,303530.0
2014-03-17,413202.0
2014-03-18,419238.0
2014-03-19,415950.0
2014-03-20,411054.0
2014-03-21,386780.0
2014-03-24,409896.0
2014-03-25,383368.0
2014-03-26,492892.0
2014-03-27,425406.0
2014-03-28,345982.0
2014-03-31,333290.0
2014-04-01,332408.0
2014-04-02,376852.0
2014-04-03,369656.0
2014-04-04,396676.0
2014-04-08,355928.0
2014-04-09,356566.0
2014-04-10,355236.0
2014-04-11,370872.0
2014-04-14,367174.0
2014-04-15,355394.0
2014-04-16,353168.0
2014-04-17,350548.0
2014-04-18,358320.0
2014-04-21,398984.0
2014-04-22,396830.0
2014-04-23,386002.0
2014-04-24,377018.0
2014-04-25,398716.0
2014-04-28,430338.0
2014-04-29,386358.0
2014-04-30,408312.0
2014-05-05,394540.0
2014-05-06,434032.0
2014-05-07,491120.0
2014-05-08,509678.0
2014-05-09,500540.0
2014-05-12,503158.0
2014-05-13,518632.0
2014-05-14,493434.0
2014-05-15,515128.0
2014-05-16,514882.0
2014-05-19,502696.0
2014-05-20,548556.0
2014-05-21,524746.0
2014-05-22,505328.0
2014-05-23,522352.0
2014-05-26,539856.0
2014-05-27,531476.0
2014-05-28,515394.0
2014-05-29,524294.0
2014-05-30,518470.0
2014-06-03,560342.0
2014-06-04,563362.0
2014-06-05,550306.0
2014-06-06,547392.0
2014-06-09,663364.0
2014-06-10,638860.0
2014-06-11,634072.0
2014-06-12,628500.0
2014-06-13,622608.0
2014-06-16,641398.0
2014-06-17,596254.0
2014-06-18,615692.0
2014-06-19,628388.0
2014-06-20,648706.0
2014-06-23,619320.0
2014-06-24,633470.0
2014-06-25,643582.0
2014-06-26,623230.0
2014-06-27,626460.0
2014-06-30,588030.0
2014-07-01,589474.0
2014-07-02,596620.0
2014-07-03,611754.0
2014-07-04,594702.0
2014-07-07,559482.0
2014-07-08,591864.0
2014-07-09,681200.0
2014-07-10,727830.0
2014-07-11,749770.0
2014-07-14,779542.0
2014-07-15,784000.0
2014-07-16,787960.0
2014-07-17,764156.0
2014-07-18,738078.0
2014-07-21,786268.0
2014-07-22,768846.0
2014-07-23,785308.0
2014-07-24,749562.0
2014-07-25,785228.0
2014-07-28,728584.0
2014-07-29,761490.0
2014-07-30,797766.0
2014-07-31,760140.0
2014-08-01,733274.0
2014-08-04,773116.0
2014-08-05,741338.0
2014-08-06,740318.0
2014-08-07,724290.0
2014-08-08,720554.0
2014-08-11,715300.0
2014-08-12,707902.0
2014-08-13,674916.0
2014-08-14,683636.0
2014-08-15,667000.0
2014-08-18,687092.0
2014-08-19,789774.0
2014-08-20,801132.0
2014-08-21,856732.0
2014-08-22,837260.0
2014-08-25,870838.0
2014-08-26,893056.0
2014-08-27,840524.0
2014-08-28,853994.0
2014-08-29,868134.0
2014-09-01,851188.0
2014-09-02,817426.0
2014-09-03,827690.0
2014-09-04,848264.0
2014-09-05,830706.0
2014-09-09,827666.0
2014-09-10,937218.0
2014-09-11,919782.0
2014-09-12,865798.0
2014-09-15,828106.0
2014-09-16,771566.0
2014-09-17,904004.0
2014-09-18,882776.0
2014-09-19,895762.0
2014-09-22,1032428.0
2014-09-23,1017000.0
2014-09-24,1058764.0
2014-09-25,977396.0
2014-09-26,894348.0
2014-09-29,784942.0
2014-09-30,746720.0
2014-10-08,822798.0
2014-10-09,833658.0
2014-10-10,870178.0
2014-10-13,931308.0
2014-10-14,903612.0
2014-10-15,915600.0
2014-10-16,908368.0
2014-10-17,1042806.0
2014-10-20,1062342.0
2014-10-21,967616.0
2014-10-22,922888.0
2014-10-23,925096.0
2014-10-24,932552.0
2014-10-27,926210.0
2014-10-28,922704.0
2014-10-29,928228.0
2014-10-30,881916.0
2014-10-31,877442.0
2014-11-03,892366.0
2014-11-04,840852.0
2014-11-05,863162.0
2014-11-06,857934.0
2014-11-07,844146.0
2014-11-10,889360.0
2014-11-11,892552.0
2014-11-12,978364.0
2014-11-13,948626.0
2014-11-14,968510.0
2014-11-17,934534.0
2014-11-18,842474.0
2014-11-19,823982.0
2014-11-20,807376.0
2014-11-21,805650.0
2014-11-24,833894.0
2014-11-25,786096.0
2014-11-26,774420.0
2014-11-27,743796.0
2014-11-28,727072.0
2014-12-01,683038.0
2014-12-02,667608.0
2014-12-03,689844.0
2014-12-04,680682.0
2014-12-05,646964.0
2014-12-08,643324.0
2014-12-09,641324.0
2014-12-10,634720.0
2014-12-11,634574.0
2014-12-12,588260.0
2014-12-15,621436.0
2014-12-16,590832.0
2014-12-17,568200.0
2014-12-18,550764.0
2014-12-19,553796.0
2014-12-22,549064.0
2014-12-23,505960.0
2014-12-24,554778.0
2014-12-25,558952.0
2014-12-26,554834.0
2014-12-29,679354.0
2014-12-30,713628.0
2014-12-31,664702.0
2015-01-05,707770.0
2015-01-06,732122.0
2015-01-07,718884.0
2015-01-08,693174.0
2015-01-09,667778.0
2015-01-12,618866.0
2015-01-13,604316.0
2015-01-14,551398.0
2015-01-15,580030.0
2015-01-16,537082.0
2015-01-19,550096.0
2015-01-20,544196.0
2015-01-21,536194.0
2015-01-22,566322.0
2015-01-23,521994.0
2015-01-26,499328.0
2015-01-27,504006.0
2015-01-28,495878.0
2015-01-29,489268.0
2015-01-30,478190.0
2015-02-02,474382.0
2015-02-03,492374.0
2015-02-04,511480.0
2015-02-05,507522.0
2015-02-06,507484.0
2015-02-09,508144.0
2015-02-10,509726.0
2015-02-11,572734.0
2015-02-12,558196.0
2015-02-13,537178.0
2015-02-16,528080.0
2015-02-17,511232.0
2015-02-25,507534.0
2015-02-26,601392.0
2015-02-27,607306.0
2015-03-02,572764.0
2015-03-03,533646.0
2015-03-04,550054.0
2015-03-05,511942.0
2015-03-06,509530.0
2015-03-09,474478.0
2015-03-10,462038.0
2015-03-11,460726.0
2015-03-12,456356.0
2015-03-13,463334.0
2015-03-16,465092.0
2015-03-17,449782.0
2015-03-18,427562.0
2015-03-19,421396.0
2015-03-20,446686.0
2015-03-23,445166.0
2015-03-24,431828.0
2015-03-25,424884.0
2015-03-26,431946.0
2015-03-27,415368.0
2015-03-30,529862.0
2015-03-31,439944.0
2015-04-01,406460.0
2015-04-02,429760.0
2015-04-03,447056.0
2015-04-07,398580.0
2015-04-08,399026.0
2015-04-09,375840.0
2015-04-10,386088.0
2015-04-13,346956.0
2015-04-14,322746.0
2015-04-15,309094.0
2015-04-16,319250.0
2015-04-17,313696.0
2015-04-20,348322.0
2015-04-21,310780.0
2015-04-22,300044.0
2015-04-23,303652.0
2015-04-24,283020.0
2015-04-27,289844.0
2015-04-28,282922.0
2015-04-29,271326.0
2015-04-30,261166.0
2015-05-04,269832.0
2015-05-05,292370.0
2015-05-06,300498.0
2015-05-07,272084.0
2015-05-08,300296.0
2015-05-11,308926.0
2015-05-12,289972.0
2015-05-13,286442.0
2015-05-14,261000.0
2015-05-15,320324.0
2015-05-18,308360.0
2015-05-19,289596.0
2015-05-20,288026.0
2015-05-21,266352.0
2015-05-22,277074.0
2015-05-25,287908.0
2015-05-26,272642.0
2015-05-27,269124.0
2015-05-28,273302.0
2015-05-29,267954.0
2015-06-01,259548.0
2015-06-02,317440.0
2015-06-03,270656.0
2015-06-04,282424.0
2015-06-05,266866.0
2015-06-08,273344.0
2015-06-09,264788.0
2015-06-10,266868.0
2015-06-11,313082.0
2015-06-12,270448.0
2015-06-15,257870.0
2015-06-16,232350.0
2015-06-17,231062.0
2015-06-18,216034.0
2015-06-19,214532.0
2015-06-23,217734.0
2015-06-24,208474.0
2015-06-25,212780.0
2015-06-26,209900.0
2015-06-29,203310.0
2015-06-30,218024.0
2015-07-01,223494.0
