trading_date,rank,volume,volume_change
2013-11-05,210,3850602127,5155
2013-11-06,210,3679708621,-768
2013-11-07,210,3502580453,-4971
2013-11-08,210,3431693224,3769
2013-11-11,210,3594587927,2987
2013-11-12,210,3543765084,-1277
2013-11-13,210,3464501946,-757
2013-11-14,210,3476530781,390
2013-11-15,210,3289637159,731
2013-11-18,210,3712847376,15945
2013-11-19,210,3511727095,-4167
2013-11-20,210,3202273547,-6814
2013-11-21,210,3223731887,7026
2013-11-22,210,3051971360,-6547
2013-11-25,210,3148994855,4365
2013-11-26,210,2966041658,-4609
2013-11-27,210,2856200564,-2134
2013-11-28,210,2601647003,-6666
2013-11-29,210,2420738969,-7702
2013-12-02,210,2428998176,1314
2013-12-03,210,2424196239,-727
2013-12-04,210,2146362904,-11168
2013-12-05,210,1814589893,-12788
2013-12-06,210,1509657759,-14059
2013-12-09,210,1531047640,-71
2013-12-10,210,1483830904,-2516
2013-12-11,210,1433031274,-1938
2013-12-12,210,2181469145,43691
2013-12-13,210,1296726196,-36572
2013-12-16,210,1215196306,-2941
2013-12-17,210,1211631441,4600
2013-12-18,210,1011149063,-11473
2013-12-19,210,986788131,670
2013-12-20,210,668121623,-22765
2013-12-23,210,607251927,-5329
2013-12-24,210,572556025,-2930
2013-12-25,210,549518956,-1040
2013-12-26,210,472738536,-4308
2013-12-27,210,427878747,-1818
2013-12-30,210,441410531,2563
2013-12-31,210,430348093,2255
2014-01-02,210,508568956,8551
2014-01-03,210,463502242,-2385
2014-01-06,210,697278964,17773
2014-01-07,210,627362238,-5362
2014-01-08,210,649475732,3375
2014-01-09,210,546374647,-8280
2014-01-10,210,439620275,-4337
2014-01-13,210,424360788,-492
2014-01-14,210,405807827,-1467
2014-01-15,210,397696598,-325
2014-01-16,210,412565257,2076
2014-01-17,210,395411373,-1366
2014-01-20,210,388138394,1384
2014-01-21,210,582019918,14652
2014-01-22,210,562070065,-7209
2014-01-23,210,470984295,7094
2014-01-24,210,423619398,-6698
2014-01-27,210,370854799,520
2014-01-28,210,339401934,-3494
2014-01-29,210,298555594,-2179
2014-01-30,210,277585615,-1420
2014-02-07,210,283553249,4017
2014-02-10,210,356541766,11029
2014-02-11,210,393126096,5538
2014-02-12,210,508372349,13077
2014-02-13,210,472456821,-2859
2014-02-14,210,471551474,2044
2014-02-17,210,475402337,2453
2014-02-18,210,607312379,16801
2014-02-19,210,564880234,-372
2014-02-20,210,571726834,1070
2014-02-21,210,583495266,-20
2014-02-24,210,609878511,4948
2014-02-25,210,561430979,-337
2014-02-26,210,629960031,3063
2014-02-27,210,663045266,6881
2014-02-28,210,556505266,-8391
2014-03-03,210,578568672,2402
2014-03-04,210,586749778,-206
2014-03-05,210,538929940,-571
2014-03-06,210,540162433,2480
2014-03-07,210,882505902,19316
2014-03-10,210,1024946420,17146
2014-03-11,210,796144607,-14198
2014-03-12,210,785508571,-2564
2014-03-13,210,777826506,-103
2014-03-14,210,786975114,2215
2014-03-17,210,1599218296,40191
2014-03-18,210,1696539570,10108
2014-03-19,210,1651621812,-3864
2014-03-20,210,1470732995,-4625
2014-03-21,210,1309964777,-5613
2014-03-24,210,1359980564,7315
2014-03-25,210,1118112506,-9746
2014-03-26,210,1515225286,30023
2014-03-27,210,1190521447,-17613
2014-03-28,210,789461531,-16476
2014-03-31,210,709317336,-5067
2014-04-01,210,687189744,-1563
2014-04-02,210,893843710,16274
2014-04-03,210,843397859,-3258
2014-04-04,210,1011335208,7397
2014-04-08,210,650079580,-14973
2014-04-09,210,642019007,3497
2014-04-10,210,591560384,-3454
2014-04-11,210,658693979,10921
2014-04-14,210,777103128,8147
2014-04-15,210,814683574,3754
2014-04-16,210,703583067,-2542
2014-04-17,210,732565065,3756
2014-04-18,210,1003083867,12956
2014-04-21,210,1181996482,12023
2014-04-22,210,1212853918,4766
2014-04-23,210,1160079068,-2837
2014-04-24,210,1098003952,-3531
2014-04-25,210,1440029605,11644
2014-04-28,210,1626985942,14235
2014-04-29,210,1203155287,-16241
2014-04-30,210,1338954063,12705
2014-05-05,210,1254444059,-4296
2014-05-06,210,1389978200,10703
2014-05-07,210,1846541024,18204
2014-05-08,210,2083953673,10152
2014-05-09,210,2122253813,200
2014-05-12,210,2237186897,3331
2014-05-13,210,2341322294,5575
2014-05-14,210,1941895849,-12446
2014-05-15,210,2136185216,5589
2014-05-16,210,2150445822,4373
2014-05-19,210,1892744718,-9401
2014-05-20,210,2300897335,21788
2014-05-21,210,1956826848,-9262
2014-05-22,210,1743840694,-5363
2014-05-23,210,1867771789,5229
2014-05-26,210,1590681251,-2380
2014-05-27,210,1288826297,-11168
2014-05-28,210,1248376678,-450
2014-05-29,210,1272783197,2606
2014-05-30,210,1309032228,3599
2014-06-03,210,1471154286,13984
2014-06-04,210,1428971509,4276
2014-06-05,210,1401687446,580
2014-06-06,210,1441229375,2597
2014-06-09,210,2027837839,38195
2014-06-10,210,1798537779,-6587
2014-06-11,210,1788433881,-985
2014-06-12,210,1784347821,5848
2014-06-13,210,1721313058,8835
2014-06-16,210,1700637310,7006
2014-06-17,210,1639959365,-6625
2014-06-18,210,1605518665,2396
2014-06-19,210,1897356972,10554
2014-06-20,210,1963673044,18824
2014-06-23,210,1682164666,-12172
2014-06-24,210,1889203977,5791
2014-06-25,210,1696604252,-3907
2014-06-26,210,1746278105,2441
2014-06-27,210,1598858839,-6243
2014-06-30,210,1444295410,-7619
2014-07-01,210,1486521015,4917
2014-07-02,210,1508422631,1261
2014-07-03,210,1611310851,4511
2014-07-04,210,1491293233,-6716
2014-07-07,210,1309143620,-5631
2014-07-08,210,1486853677,11417
2014-07-09,210,1863278972,21859
2014-07-10,210,2173123946,16117
2014-07-11,210,2482676468,15777
2014-07-14,210,2613015861,6129
2014-07-15,210,2642517294,6212
2014-07-16,210,2697073909,6131
2014-07-17,210,2418957927,-8868
2014-07-18,210,2418638089,2336
2014-07-21,210,2673943377,11363
2014-07-22,210,2584939147,1367
2014-07-23,210,2717836239,5294
2014-07-24,210,2355758821,-5368
2014-07-25,210,2748132369,17399
2014-07-28,210,2392734085,-14533
2014-07-29,210,2560885300,8702
2014-07-30,210,2710626381,8496
2014-07-31,210,2458491981,-9959
2014-08-01,210,2284302682,-5005
2014-08-04,210,2331067188,4587
2014-08-05,210,2124366407,-8079
2014-08-06,210,2105411178,-1117
2014-08-07,210,1999234776,-4365
2014-08-08,210,1965588415,-1247
2014-08-11,210,1894646522,-2030
2014-08-12,210,1854680418,-2264
2014-08-13,210,1744469524,-4708
2014-08-14,210,1818498430,8035
2014-08-15,210,1982562116,12530
2014-08-18,210,1954015551,2996
2014-08-19,210,2181834782,12170
2014-08-20,210,2477883976,15247
2014-08-21,210,2516226240,6278
2014-08-22,210,2201369549,-9114
2014-08-25,210,2478338210,16741
2014-08-26,210,2751119093,12828
2014-08-27,210,2427636075,-12388
2014-08-28,210,2628974669,10972
2014-08-29,210,2769973092,5831
2014-09-01,210,2853783836,9503
2014-09-02,210,2730649947,-192
2014-09-03,210,2980485122,10402
2014-09-04,210,3538674640,21729
2014-09-05,210,3118687946,-2001
2014-09-09,210,3276067226,3231
2014-09-10,210,4345208507,42091
2014-09-11,210,4566931171,4181
2014-09-12,210,4270841180,-7569
2014-09-15,210,3437183871,-19218
2014-09-16,210,2599228534,-23200
2014-09-17,210,3431660275,42661
2014-09-18,210,3639210244,6299
2014-09-19,210,4493912959,18717
2014-09-22,210,6921611615,67768
2014-09-23,210,4658257610,-25554
2014-09-24,210,4690086163,2928
2014-09-25,210,4590513953,13095
2014-09-26,210,3902566492,-15718
2014-09-29,210,3396581883,-23508
2014-09-30,210,3235400346,-8193
2014-10-08,210,3563260408,17124
2014-10-09,210,3775716327,3890
2014-10-10,210,4224407195,13022
2014-10-13,210,4403398992,11377
2014-10-14,210,4116220126,-2629
2014-10-15,210,4437396004,11483
2014-10-16,210,4652640720,1576
2014-10-17,210,6051098036,46604
2014-10-20,210,6387621899,7607
2014-10-21,210,5167977663,-28176
2014-10-22,210,4672058491,-8207
2014-10-23,210,4583884914,2541
2014-10-24,210,4721637189,3062
2014-10-27,210,4722566773,1402
2014-10-28,210,4591214878,-1467
2014-10-29,210,4462194390,-2615
2014-10-30,210,3994044920,-10465
2014-10-31,210,3804514481,-1553
2014-11-03,210,3758507617,-1401
2014-11-04,210,3420398794,-4335
2014-11-05,210,3712109419,11665
2014-11-06,210,3836475281,-1532
2014-11-07,210,3735979348,2371
2014-11-10,210,3921638274,5728
2014-11-11,210,3755021223,-3379
2014-11-12,210,3847382047,11175
2014-11-13,210,3788641129,1506
2014-11-14,210,3727075162,3039
2014-11-17,210,3634313029,2034
2014-11-18,210,3025689946,-7592
2014-11-19,210,2967417607,484
2014-11-20,210,2749534317,-5074
2014-11-21,210,2833371008,6031
2014-11-24,210,3019419186,11499
2014-11-25,210,2648034125,-9903
2014-11-26,210,2703510109,2649
2014-11-27,210,2425751879,-8601
2014-11-28,210,2348944156,-667
2014-12-01,210,2224342450,-2627
2014-12-02,210,2135141434,-2177
2014-12-03,210,2232318305,5853
2014-12-04,210,2150678725,-1197
2014-12-05,210,1936319046,-9659
2014-12-08,210,1974248999,3003
2014-12-09,210,1945198367,-746
2014-12-10,210,1972675490,-662
2014-12-11,210,1889458754,-212
2014-12-12,210,1750948203,-6838
2014-12-15,210,2026347549,12342
2014-12-16,210,1776244999,-3420
2014-12-17,210,1779326359,-1504
2014-12-18,210,1676309518,-5513
2014-12-19,210,1635659709,-3030
2014-12-22,210,1558644685,-83
2014-12-23,210,1429292689,-8012
