trading_date,rank,volume,volume_change
2013-11-05,210,7345779085,4032
2013-11-06,210,8276679396,7950
2013-11-07,210,7909964048,-7468
2013-11-08,210,8065605313,-965
2013-11-11,210,8640564920,1605
2013-11-12,210,8696755554,-2698
2013-11-13,210,8689311783,-1265
2013-11-14,210,8706987979,1184
2013-11-15,210,8254977370,-2414
2013-11-18,210,7886844590,34
2013-11-19,210,6771056744,-17497
2013-11-20,210,6755869096,8819
2013-11-21,210,7034202277,3103
2013-11-22,210,6449647838,-11077
2013-11-25,210,6530194398,-938
2013-11-26,210,4685923795,-27739
2013-11-27,210,4183198417,-12245
2013-11-28,210,3959130111,-8597
2013-11-29,210,3570651498,-11636
2013-12-02,210,3530149625,1006
2013-12-03,210,3481222672,-1559
2013-12-04,210,3313841079,-1564
2013-12-05,210,2916487420,-7823
2013-12-06,210,2384223931,-17051
2013-12-09,210,2389789573,1354
2013-12-10,210,2315127695,-2390
2013-12-11,210,2211335091,-3147
2013-12-12,210,3573858862,46845
2013-12-13,210,2044933021,-49054
2013-12-16,210,2116301690,6087
2013-12-17,210,2069638118,405
2013-12-18,210,1670855529,-18330
2013-12-19,210,1640716371,-59
2013-12-20,210,721747672,-37336
2013-12-23,210,644115258,-4217
2013-12-24,210,563419186,-416
2013-12-25,210,559838139,9011
2013-12-26,210,527908728,357
2013-12-27,210,529960196,6098
2013-12-30,210,577515975,5973
2013-12-31,210,505306140,11795
2014-01-02,210,429913336,6978
2014-01-03,210,432562995,4901
2014-01-06,210,596317895,15295
2014-01-07,210,558870997,2284
2014-01-08,210,557603827,1543
2014-01-09,210,422997327,-6346
2014-01-10,210,373371560,-4602
2014-01-13,210,359122063,835
2014-01-14,210,365674190,1287
2014-01-15,210,351767173,1532
2014-01-16,210,347081599,4740
2014-01-17,210,354569078,2106
2014-01-20,210,384212546,3258
2014-01-21,210,522970844,15368
2014-01-22,210,420057168,-3837
2014-01-23,210,351933285,3926
2014-01-24,210,298025518,-2535
2014-01-27,210,300347768,2415
2014-01-28,210,285693760,1494
2014-01-29,210,288225481,-542
2014-01-30,210,261225221,-186
2014-02-07,210,291741072,7971
2014-02-10,210,345298687,11094
2014-02-11,210,360775430,4041
2014-02-12,210,421930047,10259
2014-02-13,210,430547334,4396
2014-02-14,210,501534297,9805
2014-02-17,210,630380394,10472
2014-02-18,210,753868534,13531
2014-02-19,210,729031979,595
2014-02-20,210,656900617,1953
2014-02-21,210,729189436,9997
2014-02-24,210,546124963,-10026
2014-02-25,210,564140043,2727
2014-02-26,210,621830876,6942
2014-02-27,210,562895716,-1626
2014-02-28,210,522544102,-3627
2014-03-03,210,542079439,5136
2014-03-04,210,542987625,2969
2014-03-05,210,547531618,50
2014-03-06,210,576145671,1337
2014-03-07,210,770912267,13763
2014-03-10,210,624596756,3630
2014-03-11,210,587542500,-4292
2014-03-12,210,514466518,-3364
2014-03-13,210,516145168,-857
2014-03-14,210,557302499,3183
2014-03-17,210,954870692,49636
2014-03-18,210,924737931,1529
2014-03-19,210,888854473,-2111
2014-03-20,210,903293650,2610
2014-03-21,210,949554413,514
2014-03-24,210,916763631,2826
2014-03-25,210,798098407,-2511
2014-03-26,210,1073511247,36654
2014-03-27,210,847748146,-9415
2014-03-28,210,584854527,-2419
2014-03-31,210,576438219,-900
2014-04-01,210,566426182,779
2014-04-02,210,684273769,17629
2014-04-03,210,704675020,1884
2014-04-04,210,861374075,11797
2014-04-08,210,678944921,-10668
2014-04-09,210,740249489,7709
2014-04-10,210,788050036,4629
2014-04-11,210,763391162,3593
2014-04-14,210,761985804,2419
2014-04-15,210,731293109,336
2014-04-16,210,796793659,6968
2014-04-17,210,743542656,-398
2014-04-18,210,863523615,13581
2014-04-21,210,1032049670,10885
2014-04-22,210,941387049,3129
2014-04-23,210,980775783,7831
2014-04-24,210,952835221,-2043
2014-04-25,210,1089610769,10693
2014-04-28,210,1214829999,9732
2014-04-29,210,1108405167,-5195
2014-04-30,210,1231638669,15727
2014-05-05,210,1172490745,-1619
2014-05-06,210,1401084881,16347
2014-05-07,210,1824335349,19284
2014-05-08,210,1787489019,3776
2014-05-09,210,1660194869,-1133
2014-05-12,210,1859154017,14703
2014-05-13,210,1843619660,4634
2014-05-14,210,1718097437,-4644
2014-05-15,210,1848390317,4538
2014-05-16,210,1852249521,962
2014-05-19,210,1804325349,-1196
2014-05-20,210,1954328935,8978
2014-05-21,210,2007199420,5110
