trading_date,rank,volume,volume_change
2018-07-25,210,35520,16197
2018-07-26,210,37709,2955
2018-07-27,210,32190,-3113
2018-07-30,210,33037,2931
2018-07-31,210,33268,859
2018-08-01,210,35496,3763
2018-08-02,210,36062,3107
2018-08-03,210,39385,4007
2018-08-06,210,38471,3967
2018-08-07,210,46862,12223
2018-08-08,210,46014,1115
2018-08-09,210,48472,3119
2018-08-10,210,49262,2443
2018-08-13,210,48728,462
2018-08-14,210,49785,2347
2018-08-15,210,51046,1726
2018-08-16,210,40902,772
2018-08-17,210,40265,483
2018-08-20,210,38136,-1671
2018-08-21,210,39226,1479
2018-08-22,210,37718,-1369
2018-08-23,210,41221,4195
2018-08-24,210,41716,1431
2018-08-27,210,40601,-737
2018-08-28,210,40448,43
2018-08-29,210,40961,828
2018-08-30,210,40665,1962
2018-08-31,210,39553,-325
2018-09-03,210,38711,1176
2018-09-04,210,37298,-1017
2018-09-05,210,40433,3847
2018-09-06,210,36380,-3482
2018-09-07,210,35494,199
2018-09-10,210,33619,-256
2018-09-11,210,31716,-293
2018-09-12,210,32496,2150
2018-09-13,210,30379,-1197
2018-09-14,210,29916,2651
2018-09-17,210,27603,-1783
2018-09-18,210,27660,740
2018-09-19,210,28524,1322
2018-09-20,210,29848,3668
2018-09-21,210,28563,-261
2018-09-25,210,31055,4311
2018-09-26,210,39872,10326
2018-09-27,210,42366,2671
2018-09-28,210,37816,-4352
2018-10-08,210,40066,3538
2018-10-09,210,62548,25439
2018-10-10,210,51451,3918
2018-10-11,210,37833,-10855
2018-10-12,210,44077,10266
2018-10-15,210,43560,1057
2018-10-16,210,35221,-4313
2018-10-17,210,36503,2967
2018-10-18,210,35198,494
2018-10-19,210,31586,-2114
2018-10-22,210,41594,11588
2018-10-23,210,38777,-1483
2018-10-24,210,39395,4748
2018-10-25,210,33816,-860
2018-10-26,210,34453,1481
2018-10-29,210,30964,1001
2018-10-30,210,29418,-1475
2018-10-31,210,26934,-1272
2018-11-01,210,30497,6182
2018-11-02,210,29803,1540
2018-11-05,210,28140,-412
2018-11-06,210,28091,2209
2018-11-07,210,39280,15931
2018-11-08,210,32107,-3880
2018-11-09,210,34334,4821
2018-11-12,210,29099,-1903
2018-11-13,210,27821,1310
2018-11-14,210,29544,2401
2018-11-15,210,67803,11186
2018-11-16,210,63368,-2159
2018-11-19,210,64542,1277
2018-11-20,210,64784,2758
2018-11-21,210,65814,5074
2018-11-22,210,68312,3105
2018-11-23,210,66434,474
2018-11-26,210,66937,1899
2018-11-27,210,66140,27
2018-11-28,210,71659,8146
2018-11-29,210,83887,11762
2018-11-30,210,81894,-851
2018-12-03,210,68155,-10260
2018-12-04,210,64511,-1195
2018-12-05,210,65942,2116
2018-12-06,210,69991,5732
2018-12-07,210,74244,8746
2018-12-10,210,64186,-7543
2018-12-11,210,67954,5641
2018-12-12,210,69426,944
2018-12-13,210,81687,14642
2018-12-14,210,64248,-13831
2018-12-17,210,68232,4936
2018-12-18,210,78779,14335
2018-12-19,210,87993,10262
2018-12-20,210,90884,3230
2018-12-21,210,78745,-10404
2018-12-24,210,79813,1790
2018-12-25,210,94095,16379
2018-12-26,210,103603,11715
2018-12-27,210,88444,-14695
2018-12-28,210,83385,-3364
2019-01-02,210,88777,7526
2019-01-03,210,88034,1661
2019-01-04,210,80747,-3065
2019-01-07,210,73253,-3769
2019-01-08,210,66816,-5718
2019-01-09,210,69045,2706
2019-01-10,210,68862,2762
2019-01-11,210,67289,-436
2019-01-14,210,59425,-4409
2019-01-15,210,69037,11300
2019-01-16,210,65870,-1708
2019-01-17,210,56929,-2245
2019-01-18,210,50970,2982
2019-01-21,210,59757,9980
2019-01-22,210,49728,-9610
2019-01-23,210,57436,10127
2019-01-24,210,55692,-72
2019-01-25,210,58415,9652
2019-01-28,210,62348,7569
2019-01-29,210,61051,107
2019-01-30,210,52584,-679
2019-01-31,210,60924,8859
2019-02-01,210,51673,-5300
2019-02-11,210,67927,22605
2019-02-12,210,77388,11934
2019-02-13,210,104567,27800
2019-02-14,210,115028,11130
2019-02-15,210,103473,-10797
2019-02-18,210,64166,-25122
2019-02-19,210,78708,16538
2019-02-20,210,80411,1986
2019-02-21,210,81777,2226
2019-02-22,210,71759,-10018
2019-02-25,210,71437,2697
2019-02-26,210,63560,-1776
2019-02-27,210,53194,-9190
2019-02-28,210,50779,-1802
2019-03-01,210,58670,13137
2019-03-04,210,59190,1257
2019-03-05,210,57836,-811
2019-03-06,210,63259,5943
2019-03-07,210,102371,10589
2019-03-08,210,102268,4289
2019-03-11,210,109182,12756
2019-03-12,210,106663,-1544
2019-03-13,210,114032,9750
2019-03-14,210,109166,-457
2019-03-15,210,102527,-7356
2019-03-18,210,89206,-4674
2019-03-19,210,95480,10496
2019-03-20,210,91839,625
2019-03-21,210,91672,811
2019-03-22,210,82951,-4880
2019-03-25,210,84036,3553
2019-03-26,210,87176,3871
2019-03-27,210,89862,3817
2019-03-28,210,95220,5506
2019-03-29,210,91054,354
2019-04-01,210,88133,122
2019-04-02,210,78331,-5290
2019-04-03,210,79926,3946
2019-04-04,210,81384,2760
2019-04-08,210,75835,-4101
2019-04-09,210,83125,7225
2019-04-10,210,89242,7310
2019-04-11,210,89595,1264
2019-04-12,210,80505,-7274
2019-04-15,210,72059,-3216
2019-04-16,210,77808,6638
2019-04-17,210,73874,-3388
2019-04-18,210,82376,8775
2019-04-19,210,77819,-378
2019-04-22,210,70270,-4746
2019-04-23,210,63410,640
2019-04-24,210,62503,512
2019-04-25,210,72946,14294
2019-04-26,210,70475,-498
2019-04-29,210,57814,-6336
2019-04-30,210,54324,-2681
2019-05-06,210,45124,3032
2019-05-07,210,59825,16153
2019-05-08,210,55347,-3482
2019-05-09,210,52538,-2422
2019-05-10,210,54024,2812
2019-05-13,210,58829,5589
2019-05-14,210,51490,-3853
2019-05-15,210,56135,6528
2019-05-16,210,51385,-3661
2019-05-17,210,60673,11585
2019-05-20,210,60546,2357
2019-05-21,210,51954,-2971
2019-05-22,210,43534,-3873
2019-05-23,210,43906,3309
2019-05-24,210,65633,23972
2019-05-27,210,71361,7000
2019-05-28,210,75476,4967
2019-05-29,210,73664,-1084
2019-05-30,210,58390,-15141
2019-05-31,210,73511,17680
2019-06-03,210,102419,11113
2019-06-04,210,98193,-1362
2019-06-05,210,102343,7870
2019-06-06,210,113748,15521
2019-06-10,210,116012,4279
2019-06-11,210,110596,-5212
2019-06-12,210,119151,10030
2019-06-13,210,118893,2029
2019-06-14,210,126743,6789
2019-06-17,210,119655,-4533
2019-06-18,210,129081,10317
2019-06-19,210,104576,-14635
2019-06-20,210,99262,-2893
2019-06-21,210,89279,-1162
2019-06-24,210,94005,4717
2019-06-25,210,97015,5007
2019-06-26,210,93863,414
2019-06-27,210,93332,218
2019-06-28,210,98595,4924
2019-07-01,210,96913,5536
2019-07-02,210,94766,3268
2019-07-03,210,91819,1352
2019-07-04,210,92080,7851
2019-07-05,210,98092,5315
2019-07-08,210,114680,15449
2019-07-09,210,117018,7435
2019-07-10,210,123593,8766
2019-07-11,210,132497,15849
2019-07-12,210,135499,5315
2019-07-15,210,119662,-15627
2019-07-16,210,127156,11036
2019-07-17,210,122389,1424
2019-07-18,210,127102,2341
2019-07-19,210,122910,174
2019-07-22,210,121783,303
2019-07-23,210,128751,5967
2019-07-24,210,130053,8598
2019-07-25,210,144568,20538
2019-07-26,210,149075,7530
2019-07-29,210,156704,6344
2019-07-30,210,156829,400
2019-07-31,210,160873,6657
2019-08-01,210,174061,14013
2019-08-02,210,165639,-8414
2019-08-05,210,185484,1900
2019-08-06,210,181422,-3917
2019-08-07,210,197843,18131
2019-08-08,210,199098,3359
2019-08-09,210,230559,8199
2019-08-12,210,230682,2721
2019-08-13,210,250564,21991
2019-08-14,210,233829,-17666
2019-08-15,210,260283,30546
2019-08-16,210,267975,3756
2019-08-19,210,249027,-17404
2019-08-20,210,240681,-1633
2019-08-21,210,251674,11723
2019-08-22,210,252776,-349
2019-08-23,210,252709,5345
2019-08-26,210,246491,-2638
2019-08-27,210,252919,5338
2019-08-28,210,246190,-930
2019-08-29,210,248137,1777
2019-08-30,210,249056,3339
2019-09-02,210,268311,20862
2019-09-03,210,273993,4593
2019-09-04,210,277240,3408
2019-09-05,210,259784,-11990
2019-09-06,210,257281,-2631
2019-09-09,210,260588,-800
2019-09-10,210,257497,8053
2019-09-11,210,269977,8912
2019-09-12,210,293292,21648
2019-09-16,210,265711,-4784
2019-09-17,210,261934,996
2019-09-18,210,254981,-6226
2019-09-19,210,250445,-2423
2019-09-20,210,256920,7203
2019-09-23,210,246024,-8008
2019-09-24,210,252468,17436
2019-09-25,210,272528,11798
2019-09-26,210,282013,10580
2019-09-27,210,272063,-1850
2019-09-30,210,258987,4830
2019-10-08,210,279514,17627
2019-10-09,210,291902,13127
2019-10-10,210,300182,6651
2019-10-11,210,301352,3588
2019-10-14,210,315811,18906
2019-10-15,210,326310,11439
2019-10-16,210,382487,18307
2019-10-17,210,395039,12552
2019-10-18,210,385925,-8090
2019-10-21,210,402091,15099
2019-10-22,210,402983,-88
2019-10-23,210,408869,11791
2019-10-24,210,393170,-13644
2019-10-25,210,394155,2123
2019-10-28,210,398166,11227
2019-10-29,210,410827,11056
2019-10-30,210,395994,-12469
2019-10-31,210,373521,-15366
2019-11-01,210,369659,140
2019-11-04,210,358455,-8388
2019-11-05,210,360273,-448
2019-11-06,210,373557,14587
2019-11-07,210,380434,7616
2019-11-08,210,382539,7884
2019-11-11,210,381404,-514
2019-11-12,210,385456,4108
2019-11-13,210,405286,21809
2019-11-14,210,406874,5751
2019-11-15,210,444620,39590
2019-11-18,210,410543,-31289
2019-11-19,210,398434,-10455
2019-11-20,210,418168,18579
2019-11-21,210,399903,-4968
2019-11-22,210,375443,-21530
2019-11-25,210,371685,-10339
2019-11-26,210,352947,-8660
2019-11-27,210,345467,-6065
2019-11-28,210,331969,-10231
2019-11-29,210,334514,1361
2019-12-02,210,347673,16349
2019-12-03,210,334688,-17625
2019-12-04,210,312548,-19285
2019-12-05,210,294905,-2915
2019-12-06,210,299615,3076
2019-12-09,210,293546,-11442
2019-12-10,210,288761,-3479
2019-12-11,210,278297,-592
2019-12-12,210,266589,-12821
2019-12-13,210,257192,-8684
2019-12-16,210,248914,-5368
2019-12-17,210,245734,1412
2019-12-18,210,234234,-8431
2019-12-19,210,252444,31492
2019-12-20,210,249853,-1610
2019-12-23,210,228438,-7969
2019-12-24,210,201796,-17639
2019-12-25,210,212499,11043
2019-12-26,210,191657,-15783
2019-12-27,210,189619,3913
2019-12-30,210,192432,14553
2019-12-31,210,177366,-6655
2020-01-02,210,169319,-7172
2020-01-03,210,168569,7191
2020-01-06,210,176191,4085
2020-01-07,210,171625,-1700
2020-01-08,210,175115,12579
2020-01-09,210,168274,-4038
2020-01-10,210,177411,12246
2020-01-13,210,164598,-11869
2020-01-14,210,176412,11800
2020-01-15,210,162221,-10622
2020-01-16,210,157565,-3829
2020-01-17,210,160429,7450
2020-01-20,210,148293,-10605
2020-01-21,210,136671,-6775
2020-01-22,210,139533,7479
2020-01-23,210,106338,-31640
2020-02-03,210,104597,2652
2020-02-04,210,98419,-2983
2020-02-05,210,107507,9233
2020-02-06,210,123266,18477
2020-02-07,210,157895,-3081
2020-02-10,210,162720,6124
2020-02-11,210,163479,6578
2020-02-12,210,213530,9520
2020-02-13,210,213543,3028
2020-02-14,210,214531,-527
2020-02-17,210,215847,2570
2020-02-18,210,204889,-7895
2020-02-19,210,220141,20422
2020-02-20,210,220498,2350
2020-02-21,210,221188,-454
2020-02-24,210,223223,4324
2020-02-25,210,225074,3370
2020-02-26,210,223905,-44
2020-02-27,210,232762,14655
2020-02-28,210,236492,2426
2020-03-02,210,218119,161
2020-03-03,210,218434,1734
2020-03-04,210,228565,7602
2020-03-05,210,230806,4165
2020-03-06,210,241207,11247
2020-03-09,210,236472,-3277
2020-03-10,210,340466,45429
2020-03-11,210,391345,60060
2020-03-12,210,419889,38387
