trading_date,rank,volume,volume_change
2018-07-25,210,58120,31068
2018-07-26,210,59957,3558
2018-07-27,210,52029,-7423
2018-07-30,210,51631,262
2018-07-31,210,48751,-2090
2018-08-01,210,48986,420
2018-08-02,210,53089,6193
2018-08-03,210,58302,6181
2018-08-06,210,60441,4008
2018-08-07,210,75888,16661
2018-08-08,210,70814,-2643
2018-08-09,210,75386,5389
2018-08-10,210,72747,-1905
2018-08-13,210,71436,-720
2018-08-14,210,72361,1691
2018-08-15,210,73829,2294
2018-08-16,210,57203,-14311
2018-08-17,210,53144,-3188
2018-08-20,210,51452,-1160
2018-08-21,210,52497,1248
2018-08-22,210,51872,271
2018-08-23,210,51929,1326
2018-08-24,210,52076,533
2018-08-27,210,52361,421
2018-08-28,210,51129,-264
2018-08-29,210,51842,1183
2018-08-30,210,51837,961
2018-08-31,210,51303,-534
2018-09-03,210,48602,-2640
2018-09-04,210,48801,404
2018-09-05,210,50393,1894
2018-09-06,210,48093,-453
2018-09-07,210,47455,600
2018-09-10,210,45570,-1228
2018-09-11,210,44066,15
2018-09-12,210,45760,2287
2018-09-13,210,46737,1846
2018-09-14,210,47186,763
2018-09-17,210,43281,-2947
2018-09-18,210,42700,421
2018-09-19,210,40550,-1438
2018-09-20,210,41834,1906
2018-09-21,210,40622,-273
2018-09-25,210,43231,3727
2018-09-26,210,48931,5968
2018-09-27,210,50840,2305
2018-09-28,210,46994,-2154
2018-10-08,210,42365,-3637
2018-10-09,210,65530,25184
2018-10-10,210,60976,-4337
2018-10-11,210,47252,-8122
2018-10-12,210,57308,11480
2018-10-15,210,57145,606
2018-10-16,210,48623,-5101
2018-10-17,210,49675,1621
2018-10-18,210,43325,-5880
2018-10-19,210,39712,-3182
2018-10-22,210,45387,11413
2018-10-23,210,46369,2875
2018-10-24,210,42395,-2518
2018-10-25,210,39820,-463
2018-10-26,210,34845,-3170
2018-10-29,210,27877,-4225
2018-10-30,210,29581,2824
2018-10-31,210,26617,510
2018-11-01,210,32671,6907
2018-11-02,210,27308,-2593
2018-11-05,210,27596,3502
2018-11-06,210,24673,-828
2018-11-07,210,32071,8777
2018-11-08,210,29750,1318
2018-11-09,210,37809,10496
2018-11-12,210,25178,-3832
2018-11-13,210,29535,6350
