trading_date,FU_total_oi
2018-07-25,140224.0
2018-07-26,149012.0
2018-07-27,134900.0
2018-07-30,132520.0
2018-07-31,129066.0
2018-08-01,131642.0
2018-08-02,137140.0
2018-08-03,145820.0
2018-08-06,145024.0
2018-08-07,177384.0
2018-08-08,171316.0
2018-08-09,177608.0
2018-08-10,179916.0
2018-08-13,175264.0
2018-08-14,174986.0
2018-08-15,178848.0
2018-08-16,146918.0
2018-08-17,139232.0
2018-08-20,134678.0
2018-08-21,135592.0
2018-08-22,134416.0
2018-08-23,133540.0
2018-08-24,134552.0
2018-08-27,131432.0
2018-08-28,129816.0
2018-08-29,134618.0
2018-08-30,136224.0
2018-08-31,135464.0
2018-09-03,125542.0
2018-09-04,127332.0
2018-09-05,136694.0
2018-09-06,129458.0
2018-09-07,127236.0
2018-09-10,120508.0
2018-09-11,115472.0
2018-09-12,124250.0
2018-09-13,123236.0
2018-09-14,124996.0
2018-09-17,116036.0
2018-09-18,115106.0
2018-09-19,110374.0
2018-09-20,117650.0
2018-09-21,110236.0
2018-09-25,123280.0
2018-09-26,151588.0
2018-09-27,160154.0
2018-09-28,141678.0
2018-10-08,139800.0
2018-10-09,223758.0
2018-10-10,201548.0
2018-10-11,152226.0
2018-10-12,174926.0
2018-10-15,170992.0
2018-10-16,145242.0
2018-10-17,151276.0
2018-10-18,141476.0
2018-10-19,136492.0
2018-10-22,163390.0
2018-10-23,158296.0
2018-10-24,154394.0
2018-10-25,141984.0
2018-10-26,138568.0
2018-10-29,117702.0
2018-10-30,124150.0
2018-10-31,115642.0
2018-11-01,127974.0
2018-11-02,123420.0
2018-11-05,135492.0
2018-11-06,127244.0
2018-11-07,185244.0
2018-11-08,170480.0
2018-11-09,182014.0
2018-11-12,171344.0
2018-11-13,181746.0
2018-11-14,197572.0
2018-11-15,218672.0
2018-11-16,204952.0
2018-11-19,200798.0
2018-11-20,199574.0
2018-11-21,201058.0
2018-11-22,206406.0
2018-11-23,209050.0
2018-11-26,211400.0
2018-11-27,206646.0
2018-11-28,222904.0
2018-11-29,284506.0
2018-11-30,277542.0
2018-12-03,236636.0
2018-12-04,223926.0
2018-12-05,231406.0
2018-12-06,255098.0
2018-12-07,280280.0
2018-12-10,241520.0
2018-12-11,263624.0
2018-12-12,258938.0
2018-12-13,338186.0
2018-12-14,296758.0
2018-12-17,306786.0
2018-12-18,359082.0
2018-12-19,402284.0
2018-12-20,428140.0
2018-12-21,383790.0
2018-12-24,394364.0
2018-12-25,435836.0
2018-12-26,500586.0
2018-12-27,426812.0
2018-12-28,416914.0
2019-01-02,439652.0
2019-01-03,430370.0
2019-01-04,385604.0
2019-01-07,344660.0
2019-01-08,328588.0
2019-01-09,335696.0
2019-01-10,312954.0
2019-01-11,309654.0
2019-01-14,283256.0
2019-01-15,307862.0
2019-01-16,305174.0
2019-01-17,278052.0
2019-01-18,276034.0
2019-01-21,305480.0
2019-01-22,269942.0
2019-01-23,294020.0
2019-01-24,284436.0
2019-01-25,299074.0
2019-01-28,308234.0
2019-01-29,311162.0
2019-01-30,280312.0
2019-01-31,277702.0
2019-02-01,258562.0
