trading_date,rank,volume,volume_change
2018-07-25,210,83002434,16197
2018-07-26,210,94873251,2955
2018-07-27,210,75048692,-3113
2018-07-30,210,83858745,2931
2018-07-31,210,82273512,859
2018-08-01,210,93084694,3763
2018-08-02,210,96082668,3107
2018-08-03,210,118382057,4007
2018-08-06,210,122356535,3967
2018-08-07,210,197631082,12223
2018-08-08,210,191555242,1115
2018-08-09,210,201589626,3119
2018-08-10,210,195279814,2443
2018-08-13,210,198383280,462
2018-08-14,210,205886501,2347
2018-08-15,210,215543790,1726
2018-08-16,210,142980076,772
2018-08-17,210,160915953,483
2018-08-20,210,157103150,-1671
2018-08-21,210,159555784,1479
2018-08-22,210,155078568,-1369
2018-08-23,210,211563839,4195
2018-08-24,210,198614716,1431
2018-08-27,210,203030873,-737
2018-08-28,210,211816784,43
2018-08-29,210,208328463,828
2018-08-30,210,213798537,1962
2018-08-31,210,207430203,-325
2018-09-03,210,198687377,1176
2018-09-04,210,184984084,-1017
2018-09-05,210,199571087,3847
2018-09-06,210,142266188,-3482
2018-09-07,210,106471174,199
2018-09-10,210,94807277,-256
2018-09-11,210,76958408,-293
2018-09-12,210,61750336,2150
2018-09-13,210,56352365,-1197
2018-09-14,210,57970166,2651
2018-09-17,210,51908851,-1783
2018-09-18,210,54279452,740
2018-09-19,210,57019878,1322
2018-09-20,210,71863430,3668
2018-09-21,210,71164367,-261
2018-09-25,210,72177067,4311
2018-09-26,210,99823302,10326
2018-09-27,210,107692210,2671
2018-09-28,210,92455000,-4352
2018-10-08,210,128895590,3538
2018-10-09,210,307729770,25439
2018-10-10,210,174550585,3918
2018-10-11,210,95465939,-10855
2018-10-12,210,141542477,10266
2018-10-15,210,136060520,1057
2018-10-16,210,100928589,-4313
2018-10-17,210,104710055,2967
2018-10-18,210,103083036,494
2018-10-19,210,70384130,-2114
2018-10-22,210,118918384,11588
2018-10-23,210,107384409,-1483
2018-10-24,210,100693033,4748
2018-10-25,210,77341942,-860
2018-10-26,210,86429005,1481
2018-10-29,210,91704762,1001
2018-10-30,210,70210064,-1475
2018-10-31,210,54718350,-1272
2018-11-01,210,71742945,6182
2018-11-02,210,68954423,1540
2018-11-05,210,46978050,-412
2018-11-06,210,57611829,2209
2018-11-07,210,118593226,15931
2018-11-08,210,85644039,-3880
2018-11-09,210,89621888,4821
2018-11-12,210,57411937,-1903
2018-11-13,210,41935133,1310
2018-11-14,210,47164776,2401
2018-11-15,210,511570175,11186
2018-11-16,210,505375234,-2159
2018-11-19,210,572652206,1277
2018-11-20,210,555887822,2758
2018-11-21,210,542471016,5074
2018-11-22,210,550167156,3105
2018-11-23,210,564923414,474
2018-11-26,210,537680785,1899
2018-11-27,210,563648934,27
2018-11-28,210,658279431,8146
2018-11-29,210,764917429,11762
2018-11-30,210,731778780,-851
2018-12-03,210,428895647,-10260
2018-12-04,210,404167023,-1195
2018-12-05,210,412060878,2116
2018-12-06,210,465783581,5732
2018-12-07,210,438605564,8746
2018-12-10,210,360768602,-7543
2018-12-11,210,386140146,5641
2018-12-12,210,383409418,944
2018-12-13,210,394498687,14642
2018-12-14,210,219789834,-13831
2018-12-17,210,246404414,4936
2018-12-18,210,339670249,14335
2018-12-19,210,419077843,10262
2018-12-20,210,444587978,3230
2018-12-21,210,335690481,-10404
2018-12-24,210,346881881,1790
2018-12-25,210,483122869,16379
2018-12-26,210,595446829,11715
2018-12-27,210,446355492,-14695
2018-12-28,210,406152251,-3364
2019-01-02,210,451693503,7526
2019-01-03,210,440403802,1661
2019-01-04,210,387461769,-3065
2019-01-07,210,329738641,-3769
2019-01-08,210,255168426,-5718
2019-01-09,210,294970055,2706
2019-01-10,210,302933184,2762
2019-01-11,210,258814813,-436
2019-01-14,210,209853469,-4409
2019-01-15,210,330920245,11300
2019-01-16,210,283275104,-1708
2019-01-17,210,200376749,-2245
2019-01-18,210,145567634,2982
2019-01-21,210,205607663,9980
2019-01-22,210,129766208,-9610
2019-01-23,210,192815752,10127
2019-01-24,210,187679556,-72
2019-01-25,210,182579179,9652
2019-01-28,210,231803702,7569
2019-01-29,210,219146209,107
2019-01-30,210,159494180,-679
2019-01-31,210,358662168,8859
2019-02-01,210,148993259,-5300
2019-02-11,210,307689249,22605
2019-02-12,210,445346230,11934
2019-02-13,210,1163139083,27800
2019-02-14,210,1320319656,11130
2019-02-15,210,1134511157,-10797
2019-02-18,210,248445316,-25122
2019-02-19,210,438170106,16538
2019-02-20,210,478040931,1986
2019-02-21,210,477894951,2226
2019-02-22,210,348349779,-10018
2019-02-25,210,331049479,2697
2019-02-26,210,254113640,-1776
2019-02-27,210,170540850,-9190
2019-02-28,210,156101547,-1802
2019-03-01,210,189692074,13137
2019-03-04,210,220772542,1257
2019-03-05,210,211623540,-811
2019-03-06,210,266225681,5943
2019-03-07,210,893273325,10589
2019-03-08,210,989562002,4289
2019-03-11,210,1209696984,12756
2019-03-12,210,1106287541,-1544
2019-03-13,210,1203871766,9750
2019-03-14,210,1152119576,-457
2019-03-15,210,1001463079,-7356
2019-03-18,210,755792748,-4674
2019-03-19,210,927001356,10496
2019-03-20,210,869331077,625
2019-03-21,210,766338304,811
2019-03-22,210,633879829,-4880
2019-03-25,210,638580118,3553
2019-03-26,210,669741766,3871
2019-03-27,210,776803938,3817
2019-03-28,210,870436304,5506
2019-03-29,210,721673384,354
2019-04-01,210,651628151,122
2019-04-02,210,475658969,-5290
2019-04-03,210,489231484,3946
2019-04-04,210,556276816,2760
2019-04-08,210,445534487,-4101
2019-04-09,210,544451269,7225
2019-04-10,210,647933984,7310
2019-04-11,210,648087407,1264
2019-04-12,210,450124275,-7274
2019-04-15,210,385701953,-3216
2019-04-16,210,488101784,6638
2019-04-17,210,443065210,-3388
2019-04-18,210,587334762,8775
2019-04-19,210,499557071,-378
2019-04-22,210,320957916,-4746
2019-04-23,210,258917614,640
2019-04-24,210,268170549,512
2019-04-25,210,344294414,14294
2019-04-26,210,363988413,-498
2019-04-29,210,213177676,-6336
2019-04-30,210,191973344,-2681
2019-05-06,210,155939702,3032
2019-05-07,210,251643257,16153
2019-05-08,210,200562931,-3482
2019-05-09,210,242775546,-2422
2019-05-10,210,274190236,2812
2019-05-13,210,298931467,5589
2019-05-14,210,256972812,-3853
2019-05-15,210,224439483,6528
2019-05-16,210,194216359,-3661
2019-05-17,210,313267461,11585
2019-05-20,210,257764376,2357
2019-05-21,210,173512658,-2971
2019-05-22,210,113822892,-3873
2019-05-23,210,124756974,3309
2019-05-24,210,572769243,23972
2019-05-27,210,660799553,7000
2019-05-28,210,932709858,4967
2019-05-29,210,762101692,-1084
2019-05-30,210,404935798,-15141
2019-05-31,210,513326661,17680
2019-06-03,210,953884561,11113
2019-06-04,210,828570213,-1362
2019-06-05,210,984412037,7870
2019-06-06,210,969064598,15521
2019-06-10,210,1126372258,4279
2019-06-11,210,903493024,-5212
2019-06-12,210,968804725,10030
2019-06-13,210,898825085,2029
2019-06-14,210,977342087,6789
2019-06-17,210,930531963,-4533
2019-06-18,210,1030810665,10317
2019-06-19,210,786230248,-14635
2019-06-20,210,697754198,-2893
2019-06-21,210,553939927,-1162
2019-06-24,210,581091859,4717
2019-06-25,210,659401929,5007
2019-06-26,210,574705861,414
2019-06-27,210,585294146,218
2019-06-28,210,641445885,4924
2019-07-01,210,655800221,5536
2019-07-02,210,671698462,3268
2019-07-03,210,669627065,1352
2019-07-04,210,693322834,7851
2019-07-05,210,707247326,5315
2019-07-08,210,976793410,15449
2019-07-09,210,1203543772,7435
2019-07-10,210,1304167569,8766
2019-07-11,210,1428094013,15849
2019-07-12,210,1453861151,5315
2019-07-15,210,877758030,-15627
2019-07-16,210,1033216808,11036
2019-07-17,210,941550277,1424
2019-07-18,210,1039399942,2341
2019-07-19,210,985063624,174
2019-07-22,210,1063660017,303
2019-07-23,210,1089513685,5967
2019-07-24,210,1064827065,8598
2019-07-25,210,1424598456,20538
2019-07-26,210,1483475649,7530
2019-07-29,210,1628220864,6344
2019-07-30,210,1554206565,400
2019-07-31,210,1680867887,6657
2019-08-01,210,2021626329,14013
2019-08-02,210,1749242937,-8414
2019-08-05,210,2478480770,1900
2019-08-06,210,2270835252,-3917
2019-08-07,210,2590926609,18131
2019-08-08,210,2637432618,3359
2019-08-09,210,3323101015,8199
2019-08-12,210,3332272000,2721
2019-08-13,210,3920200962,21991
2019-08-14,210,3423625125,-17666
2019-08-15,210,4119254257,30546
2019-08-16,210,4298415995,3756
2019-08-19,210,3775989155,-17404
2019-08-20,210,3628358945,-1633
2019-08-21,210,3945737620,11723
2019-08-22,210,3884464618,-349
2019-08-23,210,3943511245,5345
2019-08-26,210,3842068917,-2638
2019-08-27,210,3962178689,5338
2019-08-28,210,3804427828,-930
2019-08-29,210,3870030009,1777
2019-08-30,210,3985092556,3339
2019-09-02,210,4526368257,20862
2019-09-03,210,4674778541,4593
2019-09-04,210,4754025284,3408
2019-09-05,210,4139517430,-11990
2019-09-06,210,4077384789,-2631
2019-09-09,210,4072572578,-800
2019-09-10,210,4015743951,8053
2019-09-11,210,4417488575,8912
2019-09-12,210,5098238178,21648
2019-09-16,210,4398925065,-4784
2019-09-17,210,4371194076,996
2019-09-18,210,4050964125,-6226
2019-09-19,210,3905133423,-2423
2019-09-20,210,4120926148,7203
2019-09-23,210,3872586012,-8008
2019-09-24,210,4102251952,17436
2019-09-25,210,4690136556,11798
2019-09-26,210,4973344157,10580
2019-09-27,210,4819047215,-1850
2019-09-30,210,4489776667,4830
2019-10-08,210,5175385448,17627
2019-10-09,210,5466816874,13127
2019-10-10,210,5651561386,6651
