trading_date,rank,volume,volume_change
2018-07-25,210,711283208,31068
2018-07-26,210,592279559,3558
2018-07-27,210,411114953,-7423
2018-07-30,210,399963455,262
2018-07-31,210,349087959,-2090
2018-08-01,210,415193256,420
2018-08-02,210,495639611,6193
2018-08-03,210,553450756,6181
2018-08-06,210,655628647,4008
2018-08-07,210,1030351454,16661
2018-08-08,210,832060916,-2643
2018-08-09,210,871784054,5389
2018-08-10,210,783074467,-1905
2018-08-13,210,887975406,-720
2018-08-14,210,937893373,1691
2018-08-15,210,938630641,2294
2018-08-16,210,732282909,-14311
2018-08-17,210,661697700,-3188
2018-08-20,210,614648448,-1160
2018-08-21,210,621483317,1248
2018-08-22,210,618701454,271
2018-08-23,210,611819855,1326
2018-08-24,210,493090248,533
2018-08-27,210,467435655,421
2018-08-28,210,452648597,-264
2018-08-29,210,444592426,1183
2018-08-30,210,406605241,961
2018-08-31,210,396735123,-534
2018-09-03,210,384239574,-2640
2018-09-04,210,389697501,404
2018-09-05,210,391891169,1894
2018-09-06,210,382414285,-453
2018-09-07,210,380399307,600
2018-09-10,210,359943528,-1228
2018-09-11,210,353706730,15
2018-09-12,210,359195346,2287
2018-09-13,210,366740235,1846
2018-09-14,210,370679404,763
2018-09-17,210,351204579,-2947
2018-09-18,210,351250550,421
2018-09-19,210,332466644,-1438
2018-09-20,210,333089590,1906
2018-09-21,210,330603074,-273
2018-09-25,210,334307267,3727
2018-09-26,210,369695903,5968
2018-09-27,210,375548770,2305
2018-09-28,210,366660826,-2154
2018-10-08,210,197179655,-3637
2018-10-09,210,416054606,25184
2018-10-10,210,410025740,-4337
2018-10-11,210,332252414,-8122
2018-10-12,210,443122058,11480
2018-10-15,210,413653363,606
2018-10-16,210,340634659,-5101
2018-10-17,210,348423139,1621
2018-10-18,210,182293059,-5880
2018-10-19,210,144358210,-3182
2018-10-22,210,162933411,11413
2018-10-23,210,173109405,2875
2018-10-24,210,141367361,-2518
2018-10-25,210,127509190,-463
2018-10-26,210,86213093,-3170
2018-10-29,210,60794727,-4225
