trading_date,rank,volume,volume_change
2016-02-15,210,90928,1664
2016-02-16,210,93425,2723
2016-02-17,210,94822,1397
2016-02-18,210,95178,936
2016-02-19,210,95362,346
2016-02-22,210,92419,-1634
2016-02-23,210,94159,2040
2016-02-24,210,96349,2190
2016-02-25,210,96401,52
2016-02-26,210,94659,-1742
2016-02-29,210,94883,224
2016-03-01,210,95573,2341
2016-03-02,210,97052,1566
2016-03-03,210,81846,-14971
2016-03-04,210,78869,-1378
2016-03-07,210,73641,-4436
2016-03-08,210,55260,-16526
2016-03-09,210,58513,4305
2016-03-10,210,70891,13219
2016-03-11,210,64781,-6110
2016-03-14,210,62084,-2588
2016-03-15,210,68060,5976
2016-03-16,210,68318,605
2016-03-17,210,62086,-5385
2016-03-18,210,62362,435
2016-03-21,210,63606,3966
2016-03-22,210,63360,-127
2016-03-23,210,62441,-579
2016-03-24,210,56311,-5467
2016-03-25,210,54766,-1134
2016-03-28,210,50182,-3751
2016-03-29,210,49349,-560
2016-03-30,210,48639,-710
2016-03-31,210,46354,-1291
2016-04-01,210,50783,7083
2016-04-05,210,53950,3857
2016-04-06,210,50950,-2259
2016-04-07,210,54900,5651
2016-04-08,210,59859,6212
2016-04-11,210,48609,-5288
2016-04-12,210,40333,-7533
2016-04-13,210,20404,-14188
2016-04-14,210,17640,-2074
2016-04-15,210,16127,-369
2016-04-18,210,15741,-36
2016-04-19,210,15196,-9
2016-04-20,210,14177,-233
2016-04-21,210,11136,-2105
2016-04-22,210,9380,-1476
2016-04-25,210,8884,-269
2016-04-26,210,7477,-1244
2016-04-27,210,6553,113
2016-04-28,210,6031,28
2016-04-29,55,5734,-37
2016-05-03,36,5490,-241
2016-05-04,36,5160,-330
2016-05-05,21,4830,-120
2016-05-06,21,4740,-90
2016-05-09,21,4590,-120
2016-05-10,21,4320,-270
2016-05-11,21,4290,-30
2016-05-12,21,4290,0
2016-05-13,21,4290,0
2016-05-16,21,4290,0
2016-05-20,210,74582,4560
2016-05-23,210,84294,11030
2016-05-24,210,85943,1952
2016-05-25,210,87693,1848
2016-05-26,210,90931,5459
2016-05-27,210,108383,19311
2016-05-30,210,117998,9756
2016-05-31,210,121048,4113
2016-06-01,210,125362,8103
2016-06-02,210,132048,6686
2016-06-03,210,130806,-242
2016-06-06,210,128952,-1068
