trading_date,rank,volume,volume_change
2016-02-15,210,87467,4330
2016-02-16,210,90808,3812
2016-02-17,210,89919,-821
2016-02-18,210,90702,1352
2016-02-19,210,92665,2263
2016-02-22,210,95556,3766
2016-02-23,210,95386,1598
2016-02-24,210,97762,3049
2016-02-25,210,95794,-517
2016-02-26,210,94369,-1415
2016-02-29,210,93813,7602
2016-03-01,210,93927,114
2016-03-02,210,95795,3439
2016-03-03,210,81877,-11494
2016-03-04,210,81899,4631
2016-03-07,210,76056,-4217
2016-03-08,210,61364,-13442
2016-03-09,210,62443,4686
2016-03-10,210,69373,8783
2016-03-11,210,63684,1448
2016-03-14,210,62862,597
2016-03-15,210,67699,7095
2016-03-16,210,69166,1686
2016-03-17,210,61980,-4658
2016-03-18,210,58959,-823
2016-03-21,210,60489,2280
2016-03-22,210,60107,-210
2016-03-23,210,60468,474
2016-03-24,210,57098,-1762
2016-03-25,210,56209,-546
2016-03-28,210,52478,-3658
2016-03-29,210,51457,-574
2016-03-30,210,49187,-1238
2016-03-31,210,46764,-2054
2016-04-01,210,51263,4499
2016-04-05,210,54438,3637
2016-04-06,210,52989,-1449
2016-04-07,210,53587,598
2016-04-08,210,57066,4765
2016-04-11,210,41686,-11951
2016-04-12,210,33533,-3998
2016-04-13,210,17795,-6453
2016-04-14,210,16085,-1526
2016-04-15,210,14381,-1238
2016-04-18,210,13961,-258
2016-04-19,210,12715,-332
2016-04-20,210,12017,-260
2016-04-21,210,9604,-1653
2016-04-22,210,8132,-795
2016-04-25,210,7860,-116
2016-04-26,210,6571,-779
2016-04-27,210,5726,-439
2016-04-28,210,5242,-62
2016-04-29,210,5072,-88
2016-05-03,105,4830,-120
2016-05-04,78,4500,-270
2016-05-05,45,4170,60
2016-05-06,36,4080,-60
2016-05-09,15,3930,-60
2016-05-10,6,3660,0
2016-05-11,3,3630,0
2016-05-12,3,3630,0
2016-05-13,3,3630,0
2016-05-16,3,3630,0
2016-05-20,210,72207,6484
2016-05-23,210,76523,6451
2016-05-24,210,77378,5486
2016-05-25,210,81270,4536
2016-05-26,210,86406,5136
2016-05-27,210,105434,20106
2016-05-30,210,117223,12389
2016-05-31,210,118146,923
2016-06-01,210,119965,8028
2016-06-02,210,126231,6266
2016-06-03,210,125216,2648
2016-06-06,210,122237,2115
2016-06-07,210,116171,-5233
2016-06-08,210,116334,920
2016-06-13,210,110501,-3994
2016-06-14,210,104397,-5500
2016-06-15,210,103527,1716
2016-06-16,210,101243,-1309
2016-06-17,210,99239,-405
2016-06-20,210,98634,764
2016-06-21,210,98930,1409
2016-06-22,210,95772,-3158
2016-06-23,210,92824,-2827
2016-06-24,210,95420,3124
2016-06-27,210,102927,10355
2016-06-28,210,96069,-6048
2016-06-29,210,97434,1515
2016-06-30,210,102469,6764
2016-07-01,210,103905,3222
2016-07-04,210,100828,-745
2016-07-05,210,94046,-6558
2016-07-06,210,92873,-192
2016-07-07,210,101568,9447
2016-07-08,210,98451,-2898
2016-07-11,210,99297,846
2016-07-12,210,100423,3170
2016-07-13,210,96450,-1859
2016-07-14,210,93258,-3192
2016-07-15,210,93563,3420
2016-07-18,210,94003,3165
2016-07-19,210,91057,-2362
2016-07-20,210,88580,-2477
2016-07-21,210,82712,-2205
2016-07-22,210,85272,2560
2016-07-25,210,86250,2179
2016-07-26,210,93488,7713
2016-07-27,210,99653,7321
2016-07-28,210,99437,1267
2016-07-29,210,96963,69
2016-08-01,210,101080,4600
2016-08-02,210,97871,-1686
2016-08-03,210,98578,858
2016-08-04,210,93200,1505
2016-08-05,210,91790,1167
2016-08-08,210,93456,10228
2016-08-09,210,91127,-2067
2016-08-10,210,90403,-678
2016-08-11,210,88497,-1874
2016-08-12,210,88332,2049
2016-08-15,210,80179,-5264
2016-08-16,210,91917,13554
2016-08-17,210,93354,2796
2016-08-18,210,90179,-2840
2016-08-19,210,85897,-3236
2016-08-22,210,83813,-1886
2016-08-23,210,93136,13288
2016-08-24,210,89517,-3517
2016-08-25,210,79119,-7769
2016-08-26,210,75160,-603
2016-08-29,210,65270,-9890
2016-08-30,210,63373,-797
2016-08-31,210,62646,207
2016-09-01,210,56296,-4495
2016-09-02,210,52033,-3406
2016-09-05,210,124226,4341
2016-09-06,210,125630,1579
2016-09-07,210,124381,2534
2016-09-08,210,131242,11567
2016-09-09,210,134174,7441
2016-09-12,210,134825,1201
2016-09-13,210,138876,5066
2016-09-14,210,142430,4343
2016-09-19,210,146784,5686
2016-09-20,210,145546,-713
2016-09-21,210,145667,2718
2016-09-22,210,137299,-5707
2016-09-23,210,136009,-1061
2016-09-26,210,132124,-3225
2016-09-27,210,127460,-2671
2016-09-28,210,122355,-5021
2016-09-29,210,112385,-9887
2016-09-30,210,107654,-4036
2016-10-10,210,106677,-975
2016-10-11,210,104269,-727
2016-10-12,210,110235,12575
2016-10-13,210,109082,-494
2016-10-14,210,123825,15420
2016-10-17,210,120491,-2470
2016-10-18,210,115354,-3740
2016-10-19,210,124031,9948
2016-10-20,210,130400,7232
2016-10-21,210,126663,-3737
2016-10-24,210,127033,372
2016-10-25,210,133901,8383
2016-10-26,210,123928,-9973
2016-10-27,210,123256,-672
2016-10-28,210,127658,4402
2016-10-31,210,128229,754
2016-11-01,210,129530,1330
2016-11-02,210,132251,3533
2016-11-03,210,138467,6611
2016-11-04,210,131883,-6214
2016-11-07,210,128232,-3651
2016-11-08,210,113513,-14719
2016-11-09,210,114184,2416
2016-11-10,210,97686,-10237
2016-11-11,210,92853,-4723
2016-11-14,210,82155,-7032
2016-11-15,210,79907,-2098
2016-11-16,210,77308,-1000
2016-11-17,210,77267,564
2016-11-18,210,77893,626
2016-11-21,210,74050,-3843
2016-11-22,210,69544,-1475
2016-11-23,210,66119,-2398
2016-11-24,210,60430,-2260
2016-11-25,210,54571,-4564
2016-11-28,210,49130,-5135
2016-11-29,210,41764,-6410
2016-11-30,210,35790,-2119
2016-12-01,210,34363,530
2016-12-02,210,96820,6178
2016-12-05,210,114925,17137
2016-12-06,210,125685,14070
2016-12-07,210,144244,22100
2016-12-08,210,144186,1379
2016-12-09,210,140533,-3653
2016-12-12,210,131068,-3712
2016-12-13,210,128899,-1936
2016-12-14,210,129318,265
2016-12-15,210,131887,3386
2016-12-16,210,132252,813
2016-12-19,210,130700,509
2016-12-20,210,127827,-895
2016-12-21,210,132923,5281
2016-12-22,210,129603,-247
2016-12-23,210,124851,-3649
2016-12-26,210,115100,-8594
2016-12-27,210,116307,2829
2016-12-28,210,117030,941
2016-12-29,210,116323,1140
2016-12-30,210,118182,2864
2017-01-03,210,120690,3271
2017-01-04,210,127465,7338
2017-01-05,210,127150,675
2017-01-06,210,133332,10813
2017-01-09,210,123451,-6235
2017-01-10,210,125872,3112
2017-01-11,210,123111,-1473
2017-01-12,210,122527,-236
2017-01-13,210,122302,-225
2017-01-16,210,131926,11175
2017-01-17,210,121616,-10310
2017-01-18,210,124451,3206
2017-01-19,210,128444,7915
2017-01-20,210,128926,1264
2017-01-23,210,124587,-2243
2017-01-24,210,121595,-1770
2017-01-25,210,113890,-6570
2017-01-26,210,115408,1867
2017-02-03,210,124080,9887
2017-02-06,210,123336,-530
2017-02-07,210,121826,507
2017-02-08,210,122221,1164
2017-02-09,210,125287,3100
2017-02-10,210,128737,5709
2017-02-13,210,124989,-3438
2017-02-14,210,121571,-2809
2017-02-15,210,124206,4509
2017-02-16,210,126981,4748
2017-02-17,210,124307,-701
2017-02-20,210,127756,4866
2017-02-21,210,123519,-233
2017-02-22,210,136723,16515
2017-02-23,210,135663,1417
2017-02-24,210,140685,8438
2017-02-27,210,123498,-13243
2017-02-28,210,136202,15016
2017-03-01,210,139894,3744
2017-03-02,210,147184,9833
2017-03-03,210,156991,14356
2017-03-06,210,164139,7823
2017-03-07,210,149341,-12327
2017-03-08,210,156835,10558
2017-03-09,210,146118,-7425
2017-03-10,210,144608,-642
2017-03-13,210,146859,8706
2017-03-14,210,141085,-2722
2017-03-15,210,151462,12134
2017-03-16,210,221540,3420
2017-03-17,210,228973,4766
2017-03-20,210,236046,11519
2017-03-21,210,222537,-14966
2017-03-22,210,227465,9502
2017-03-23,210,228074,3286
2017-03-24,210,235123,8911
2017-03-27,210,231614,-521
2017-03-28,210,228544,3492
2017-03-29,210,226458,639
2017-03-30,210,216631,463
2017-03-31,210,229606,13647
2017-04-05,210,239285,9860
2017-04-06,210,223101,-10039
2017-04-07,210,211430,-9353
2017-04-10,210,202141,-2769
2017-04-11,210,206907,12094
2017-04-12,210,226588,20475
2017-04-13,210,223396,9965
2017-04-14,210,220871,-1469
2017-04-17,210,217776,-3613
2017-04-18,210,213655,1522
2017-04-19,210,216938,4300
2017-04-20,210,223117,5552
2017-04-21,210,225753,4165
2017-04-24,210,226135,-140
2017-04-25,210,230533,5362
2017-04-26,210,220511,-10064
2017-04-27,210,221584,2792
2017-04-28,210,220933,1488
2017-05-02,210,223377,4323
2017-05-03,210,234197,13243
2017-05-04,210,234154,2193
2017-05-05,210,232087,-1426
2017-05-08,210,233140,3615
2017-05-09,210,234731,11029
2017-05-10,210,222019,-11299
2017-05-11,210,209340,-11829
2017-05-12,210,221425,16209
2017-05-15,210,205159,-9440
2017-05-16,210,210855,6400
2017-05-17,210,221504,15232
2017-05-18,210,218790,-2714
2017-05-19,210,209218,-7160
2017-05-22,210,205863,-2716
2017-05-23,210,207903,3318
2017-05-24,210,211356,4243
2017-05-25,210,228452,17514
2017-05-26,210,220497,169
2017-05-31,210,229386,10089
2017-06-01,210,229700,720
2017-06-02,210,236955,7564
2017-06-05,210,225199,-11365
2017-06-06,210,216163,-7909
2017-06-07,210,217041,878
2017-06-08,210,212944,-4097
2017-06-09,210,211752,865
2017-06-12,210,206234,-5518
2017-06-13,210,195761,-10407
2017-06-14,210,204922,9161
2017-06-15,210,213203,10825
2017-06-16,210,211717,-610
2017-06-19,210,205282,-6024
2017-06-20,210,229202,24251
2017-06-21,210,224910,-4292
2017-06-22,210,224037,-705
2017-06-23,210,224770,5087
2017-06-26,210,236350,15753
2017-06-27,210,243000,7543
2017-06-28,210,247713,9204
2017-06-29,210,236329,-4279
2017-06-30,210,210007,-21447
2017-07-03,210,217333,9740
2017-07-04,210,197605,-12996
2017-07-05,210,198130,4907
2017-07-06,210,198140,4836
2017-07-07,210,186311,-11244
2017-07-10,210,184249,1527
2017-07-11,210,200577,18609
2017-07-12,210,191838,-7501
2017-07-13,210,195706,5566
2017-07-14,210,183124,-8614
2017-07-17,210,196895,15539
2017-07-18,210,189150,-6266
2017-07-19,210,191570,4164
2017-07-20,210,176572,-5673
