trading_date,HC_total_oi
2016-02-15,208710.0
2016-02-16,219454.0
2016-02-17,220388.0
2016-02-18,223876.0
2016-02-19,225564.0
2016-02-22,226488.0
2016-02-23,228064.0
2016-02-24,234280.0
2016-02-25,231594.0
2016-02-26,229942.0
2016-02-29,232558.0
2016-03-01,236684.0
2016-03-02,241932.0
2016-03-03,210798.0
2016-03-04,211354.0
2016-03-07,198968.0
2016-03-08,161308.0
2016-03-09,164706.0
2016-03-10,183544.0
2016-03-11,176736.0
2016-03-14,173636.0
2016-03-15,191980.0
2016-03-16,196470.0
2016-03-17,180906.0
2016-03-18,181372.0
2016-03-21,188254.0
2016-03-22,188858.0
2016-03-23,190114.0
2016-03-24,181020.0
2016-03-25,180400.0
2016-03-28,176466.0
2016-03-29,177870.0
2016-03-30,172292.0
2016-03-31,173308.0
2016-04-01,179712.0
2016-04-05,194196.0
2016-04-06,187770.0
2016-04-07,200146.0
2016-04-08,229560.0
2016-04-11,209898.0
2016-04-12,217374.0
2016-04-13,190036.0
2016-04-14,170376.0
2016-04-15,166198.0
2016-04-18,180692.0
2016-04-19,240504.0
2016-04-20,214178.0
2016-04-21,183952.0
2016-04-22,157546.0
2016-04-25,146368.0
2016-04-26,159928.0
2016-04-27,168752.0
2016-04-28,164832.0
2016-04-29,167818.0
2016-05-03,184382.0
2016-05-04,201796.0
2016-05-05,199902.0
2016-05-06,192564.0
2016-05-09,186034.0
2016-05-10,184488.0
2016-05-11,191952.0
2016-05-12,202432.0
2016-05-13,219350.0
2016-05-16,226386.0
2016-05-20,226462.0
2016-05-23,238954.0
2016-05-24,246560.0
2016-05-25,254166.0
2016-05-26,265490.0
2016-05-27,322254.0
2016-05-30,341600.0
2016-05-31,343458.0
2016-06-01,350572.0
2016-06-02,372028.0
2016-06-03,369232.0
2016-06-06,357290.0
2016-06-07,347810.0
2016-06-08,352480.0
2016-06-13,333080.0
2016-06-14,319458.0
2016-06-15,323526.0
2016-06-16,317780.0
2016-06-17,318082.0
2016-06-20,320082.0
2016-06-21,310470.0
2016-06-22,302138.0
2016-06-23,297340.0
2016-06-24,300558.0
2016-06-27,317874.0
2016-06-28,301486.0
2016-06-29,302486.0
2016-06-30,307100.0
2016-07-01,305282.0
2016-07-04,295704.0
2016-07-05,274732.0
2016-07-06,265642.0
2016-07-07,284250.0
2016-07-08,272782.0
2016-07-11,272908.0
2016-07-12,284862.0
2016-07-13,269844.0
2016-07-14,263014.0
2016-07-15,260604.0
2016-07-18,264680.0
2016-07-19,257942.0
2016-07-20,254892.0
2016-07-21,241864.0
2016-07-22,244192.0
2016-07-25,254670.0
2016-07-26,278930.0
2016-07-27,290390.0
2016-07-28,290808.0
2016-07-29,283808.0
2016-08-01,295078.0
2016-08-02,293338.0
2016-08-03,294580.0
2016-08-04,286480.0
2016-08-05,286558.0
2016-08-08,296726.0
2016-08-09,287402.0
2016-08-10,288814.0
2016-08-11,283810.0
2016-08-12,282720.0
2016-08-15,274432.0
2016-08-16,307184.0
2016-08-17,325824.0
2016-08-18,319168.0
2016-08-19,316024.0
2016-08-22,328422.0
2016-08-23,370730.0
2016-08-24,370886.0
2016-08-25,356992.0
2016-08-26,347456.0
2016-08-29,355124.0
2016-08-30,349852.0
2016-08-31,354428.0
2016-09-01,351000.0
2016-09-02,348024.0
2016-09-05,353156.0
2016-09-06,364582.0
2016-09-07,380674.0
2016-09-08,401500.0
2016-09-09,411454.0
2016-09-12,417718.0
2016-09-13,427760.0
2016-09-14,429842.0
2016-09-19,435504.0
2016-09-20,432454.0
2016-09-21,443890.0
2016-09-22,420178.0
2016-09-23,414304.0
2016-09-26,402686.0
2016-09-27,393050.0
2016-09-28,375516.0
2016-09-29,342604.0
2016-09-30,337820.0
2016-10-10,346872.0
2016-10-11,343044.0
2016-10-12,371128.0
2016-10-13,366150.0
2016-10-14,394746.0
2016-10-17,399894.0
2016-10-18,385468.0
2016-10-19,410894.0
2016-10-20,428074.0
2016-10-21,411198.0
2016-10-24,414492.0
2016-10-25,426278.0
2016-10-26,397612.0
2016-10-27,396790.0
2016-10-28,402510.0
2016-10-31,412602.0
2016-11-01,417722.0
2016-11-02,429178.0
2016-11-03,448516.0
2016-11-04,416582.0
2016-11-07,410530.0
2016-11-08,365588.0
2016-11-09,371112.0
2016-11-10,331398.0
2016-11-11,326494.0
2016-11-14,292330.0
2016-11-15,299186.0
2016-11-16,298262.0
2016-11-17,301610.0
2016-11-18,301874.0
2016-11-21,292068.0
2016-11-22,297760.0
2016-11-23,301972.0
2016-11-24,301242.0
2016-11-25,316236.0
2016-11-28,297430.0
2016-11-29,273724.0
2016-11-30,265818.0
2016-12-01,286068.0
2016-12-02,298864.0
2016-12-05,337686.0
2016-12-06,380418.0
2016-12-07,428302.0
2016-12-08,419172.0
2016-12-09,413394.0
2016-12-12,390898.0
2016-12-13,384888.0
2016-12-14,387426.0
2016-12-15,390874.0
2016-12-16,390272.0
2016-12-19,378666.0
2016-12-20,367618.0
2016-12-21,388348.0
2016-12-22,377572.0
2016-12-23,367488.0
2016-12-26,352516.0
2016-12-27,351586.0
2016-12-28,351604.0
2016-12-29,358520.0
2016-12-30,368424.0
2017-01-03,379410.0
2017-01-04,391042.0
2017-01-05,383484.0
2017-01-06,419094.0
2017-01-09,385186.0
2017-01-10,386350.0
2017-01-11,368038.0
2017-01-12,376342.0
2017-01-13,371946.0
