trading_date,rank,volume,volume_change
2013-11-05,210,53330,1290
2013-11-06,210,53155,255
2013-11-07,210,52423,1239
2013-11-08,210,51310,1067
2013-11-11,210,49546,711
2013-11-12,210,48172,-966
2013-11-13,210,48922,444
2013-11-14,210,46095,-2034
2013-11-15,210,45536,668
2013-11-18,210,44748,-627
2013-11-19,210,47084,2299
2013-11-20,210,46815,-276
2013-11-21,210,48291,3367
2013-11-22,210,48308,1198
2013-11-25,210,47258,-791
2013-11-26,210,47902,2815
2013-11-27,210,47856,455
2013-11-28,210,46777,-945
2013-11-29,210,47481,1146
2013-12-02,210,48954,1865
2013-12-03,210,47512,553
2013-12-04,210,51299,3737
2013-12-05,210,52979,1850
2013-12-06,210,52014,-964
2013-12-09,210,53865,2077
2013-12-10,210,52744,-1094
2013-12-11,210,52399,18
2013-12-12,210,53825,2341
2013-12-13,210,56494,3539
2013-12-16,210,57994,2308
2013-12-17,210,59372,2333
2013-12-18,210,60192,1040
2013-12-19,210,60559,973
2013-12-20,210,59793,-361
2013-12-23,210,65583,7193
2013-12-24,210,60109,-1195
2013-12-25,210,58339,-515
2013-12-26,210,62610,4780
2013-12-27,210,53979,-6273
2013-12-30,210,50629,-3156
2013-12-31,210,48131,515
2014-01-02,210,50539,2444
2014-01-03,210,57962,7758
2014-01-06,210,68476,12754
2014-01-07,210,70736,3115
2014-01-08,210,76294,4670
2014-01-09,210,79312,4375
2014-01-10,210,82978,4783
2014-01-13,210,90209,9257
2014-01-14,210,93898,4960
2014-01-15,210,97248,3423
2014-01-16,210,100553,6122
2014-01-17,210,100425,996
2014-01-20,210,107508,7098
2014-01-21,210,116732,9586
2014-01-22,210,117672,1682
2014-01-23,210,108235,-8975
2014-01-24,210,101323,-1571
2014-01-27,210,106668,6573
2014-01-28,210,109295,2033
2014-01-29,210,110981,2501
2014-01-30,210,110090,-891
2014-02-07,210,98083,-6685
2014-02-10,210,101422,3931
2014-02-11,210,97126,-872
2014-02-12,210,98442,2733
2014-02-13,210,98198,-35
2014-02-14,210,99411,2691
2014-02-17,210,94507,-3026
2014-02-18,210,92957,50
2014-02-19,210,93222,874
2014-02-20,210,95566,3617
2014-02-21,210,102577,8716
2014-02-24,210,113337,10828
2014-02-25,210,116627,6081
2014-02-26,210,123117,6145
2014-02-27,210,118626,-3848
2014-02-28,210,120940,1964
2014-03-03,210,121576,1433
2014-03-04,210,127102,5749
2014-03-05,210,134720,10885
2014-03-06,210,141758,8223
2014-03-07,210,163711,26720
2014-03-10,210,153632,-3673
2014-03-11,210,149742,4547
2014-03-12,210,182319,42040
2014-03-13,210,223070,43966
2014-03-14,210,222709,11496
2014-03-17,210,220888,2047
2014-03-18,210,229405,15806
2014-03-19,210,230949,4717
2014-03-20,210,228914,371
2014-03-21,210,215032,-7441
2014-03-24,210,231617,26690
2014-03-25,210,216224,-10363
2014-03-26,210,198849,-14375
2014-03-27,210,195031,-3660
2014-03-28,210,194701,4636
2014-03-31,210,188725,-3548
