trading_date,I_total_oi
2013-11-05,134486.0
2013-11-06,136662.0
2013-11-07,139062.0
2013-11-08,138058.0
2013-11-11,130770.0
2013-11-12,126292.0
2013-11-13,129018.0
2013-11-14,121614.0
2013-11-15,121824.0
2013-11-18,119456.0
2013-11-19,125832.0
2013-11-20,122958.0
2013-11-21,124656.0
2013-11-22,126526.0
2013-11-25,124778.0
2013-11-26,128212.0
2013-11-27,126766.0
2013-11-28,125640.0
2013-11-29,126222.0
2013-12-02,129054.0
2013-12-03,125664.0
2013-12-04,134450.0
2013-12-05,134980.0
2013-12-06,128010.0
2013-12-09,131930.0
2013-12-10,129270.0
2013-12-11,128398.0
2013-12-12,129456.0
2013-12-13,140168.0
2013-12-16,144598.0
2013-12-17,149364.0
2013-12-18,154326.0
2013-12-19,155410.0
2013-12-20,153840.0
2013-12-23,168986.0
2013-12-24,154858.0
2013-12-25,148084.0
2013-12-26,158836.0
2013-12-27,140636.0
2013-12-30,135270.0
2013-12-31,129782.0
2014-01-02,139142.0
2014-01-03,155586.0
2014-01-06,180374.0
2014-01-07,189230.0
2014-01-08,202638.0
2014-01-09,210950.0
2014-01-10,224968.0
2014-01-13,243478.0
2014-01-14,250310.0
2014-01-15,258572.0
2014-01-16,266730.0
2014-01-17,266538.0
2014-01-20,281826.0
2014-01-21,311794.0
2014-01-22,314656.0
2014-01-23,298608.0
2014-01-24,280936.0
2014-01-27,292182.0
2014-01-28,291530.0
2014-01-29,289936.0
2014-01-30,288404.0
2014-02-07,272220.0
2014-02-10,282370.0
2014-02-11,292876.0
2014-02-12,293122.0
2014-02-13,292778.0
2014-02-14,294694.0
2014-02-17,276260.0
2014-02-18,270904.0
2014-02-19,278348.0
2014-02-20,284556.0
2014-02-21,294892.0
2014-02-24,337090.0
2014-02-25,360134.0
2014-02-26,379242.0
2014-02-27,379282.0
2014-02-28,378868.0
2014-03-03,394518.0
2014-03-04,399778.0
2014-03-05,419686.0
2014-03-06,438066.0
2014-03-07,502108.0
2014-03-10,500362.0
2014-03-11,498956.0
2014-03-12,599522.0
2014-03-13,681486.0
2014-03-14,696334.0
2014-03-17,704322.0
2014-03-18,738742.0
2014-03-19,740168.0
2014-03-20,708652.0
2014-03-21,703000.0
2014-03-24,748252.0
2014-03-25,678652.0
2014-03-26,622962.0
2014-03-27,614740.0
2014-03-28,612984.0
2014-03-31,597632.0
2014-04-01,633408.0
2014-04-02,659290.0
2014-04-03,670714.0
2014-04-04,631180.0
2014-04-08,635322.0
2014-04-09,645712.0
2014-04-10,652600.0
2014-04-11,638134.0
2014-04-14,653694.0
2014-04-15,638690.0
2014-04-16,615936.0
2014-04-17,575358.0
2014-04-18,560012.0
2014-04-21,572768.0
2014-04-22,578718.0
2014-04-23,568780.0
2014-04-24,600154.0
2014-04-25,572014.0
2014-04-28,599438.0
2014-04-29,622270.0
2014-04-30,611386.0
2014-05-05,635172.0
