trading_date,rank,volume,volume_change
2013-11-05,210,265246323,-827
2013-11-06,210,249676297,1479
2013-11-07,210,242919049,1759
2013-11-08,210,225703816,2592
2013-11-11,210,199408048,-1976
2013-11-12,210,182563314,-240
2013-11-13,210,236734432,2643
2013-11-14,210,220840550,-1984
2013-11-15,210,217927367,-508
2013-11-18,210,218973078,-111
2013-11-19,210,257826226,4126
2013-11-20,210,253446729,-901
2013-11-21,210,256678485,1154
2013-11-22,210,265929728,1737
2013-11-25,210,256608276,-117
2013-11-26,210,301159036,1595
2013-11-27,210,296731481,-132
2013-11-28,210,291731039,-1124
2013-11-29,210,288635672,127
2013-12-02,210,294920889,1249
2013-12-03,210,291867324,-62
2013-12-04,210,295761119,2155
2013-12-05,210,288461346,699
2013-12-06,210,282785464,-1088
2013-12-09,210,297441576,1301
2013-12-10,210,284018596,-908
2013-12-11,210,289057711,151
2013-12-12,210,292680474,572
2013-12-13,210,324344325,4315
2013-12-16,210,340114385,4355
2013-12-17,210,350040128,1287
2013-12-18,210,358156320,614
2013-12-19,210,357956696,196
2013-12-20,210,346425598,112
2013-12-23,210,378601280,5586
2013-12-24,210,352475706,-2424
2013-12-25,210,314773690,-2240
2013-12-26,210,345068407,4422
2013-12-27,210,282124511,-5262
2013-12-30,210,240475882,-537
2013-12-31,210,218997416,-845
2014-01-02,210,223973622,1919
2014-01-03,210,250880277,10046
2014-01-06,210,324143322,11228
2014-01-07,210,355701918,2331
2014-01-08,210,425634678,6053
2014-01-09,210,486227087,4412
2014-01-10,210,552531718,6587
2014-01-13,210,623430685,6100
2014-01-14,210,641090275,4820
2014-01-15,210,693702144,3441
2014-01-16,210,728627400,3653
2014-01-17,210,745409995,-271
2014-01-20,210,847159122,5079
2014-01-21,210,1121396818,11909
2014-01-22,210,1156522962,2633
2014-01-23,210,1022342167,-3439
2014-01-24,210,891070820,-5389
2014-01-27,210,1033329299,5888
2014-01-28,210,1036691058,359
2014-01-29,210,1045762088,612
2014-01-30,210,1074472641,577
2014-02-07,210,1012060685,-4117
2014-02-10,210,949437682,516
2014-02-11,210,966807818,1825
2014-02-12,210,951780660,1015
2014-02-13,210,986194547,2726
2014-02-14,210,1006024558,2660
2014-02-17,210,850162006,-1976
2014-02-18,210,827520484,-42
2014-02-19,210,851697748,2515
2014-02-20,210,869742888,4139
2014-02-21,210,898655272,3476
2014-02-24,210,1300899187,19722
2014-02-25,210,1554005932,11615
2014-02-26,210,1783447358,9185
2014-02-27,210,1786874203,1129
2014-02-28,210,1756911963,-63
2014-03-03,210,1862226499,4765
2014-03-04,210,1885743410,5321
2014-03-05,210,2065532240,9938
2014-03-06,210,2119768018,7235
2014-03-07,210,2805362572,22794
2014-03-10,210,3134257368,3001
2014-03-11,210,2597500951,5275
2014-03-12,210,4029241603,43937
2014-03-13,210,4682981194,29042
2014-03-14,210,4379491408,3456
2014-03-17,210,4506540146,11998
2014-03-18,210,5094648316,11481
2014-03-19,210,5202457203,4465
2014-03-20,210,5745265004,726
2014-03-21,210,4791071166,1701
2014-03-24,210,5847894250,32075
2014-03-25,210,5067667973,-10425
2014-03-26,210,4138365788,-12619
2014-03-27,210,3856247631,-2087
2014-03-28,210,3629798549,-3032
2014-03-31,210,3695674770,2958
2014-04-01,210,3963921532,12494
2014-04-02,210,4140457857,11061
2014-04-03,210,4587699833,19795
2014-04-04,210,4327926442,-8556
2014-04-08,210,4441047972,5290
2014-04-09,210,5204358793,11057
2014-04-10,210,4999510673,-2128
2014-04-11,210,4765260771,-3799
2014-04-14,210,4757682579,3412
2014-04-15,210,4380903859,4442
2014-04-16,210,4062378213,-4049
2014-04-17,210,3428487384,-11558
2014-04-18,210,2862468896,-5966
2014-04-21,210,2943710758,4341
2014-04-22,210,3064631042,5755
2014-04-23,210,2734535992,-10098
2014-04-24,210,3075970533,7696
2014-04-25,210,2847360483,-3198
