trading_date,rank,volume,volume_change
2013-11-05,210,258793398,1290
2013-11-06,210,255301421,255
2013-11-07,210,240481509,1239
2013-11-08,210,291238098,1067
2013-11-11,210,283691304,711
2013-11-12,210,269571542,-966
2013-11-13,210,226976998,444
2013-11-14,210,196453115,-2034
2013-11-15,210,175207300,668
2013-11-18,210,196522236,-627
2013-11-19,210,239604708,2299
2013-11-20,210,243393999,-276
2013-11-21,210,273674641,3367
2013-11-22,210,225780524,1198
2013-11-25,210,235032838,-791
2013-11-26,210,311550934,2815
2013-11-27,210,358158868,455
2013-11-28,210,358159441,-945
2013-11-29,210,370261369,1146
2013-12-02,210,322441102,1865
2013-12-03,210,338200028,553
2013-12-04,210,483426915,3737
2013-12-05,210,551139783,1850
2013-12-06,210,511279412,-964
2013-12-09,210,515521377,2077
2013-12-10,210,476497470,-1094
2013-12-11,210,389056187,18
2013-12-12,210,391641207,2341
2013-12-13,210,402575606,3539
2013-12-16,210,423423536,2308
2013-12-17,210,427911108,2333
2013-12-18,210,397343992,1040
2013-12-19,210,396143611,973
2013-12-20,210,388230047,-361
2013-12-23,210,361420705,7193
2013-12-24,210,297352591,-1195
2013-12-25,210,296711829,-515
2013-12-26,210,347472918,4780
2013-12-27,210,267098509,-6273
2013-12-30,210,199150145,-3156
2013-12-31,210,194648573,515
2014-01-02,210,228958447,2444
2014-01-03,210,315050400,7758
2014-01-06,210,457053816,12754
2014-01-07,210,480127744,3115
2014-01-08,210,543206306,4670
2014-01-09,210,581335040,4375
2014-01-10,210,638370296,4783
2014-01-13,210,741084377,9257
2014-01-14,210,848463686,4960
2014-01-15,210,884773194,3423
2014-01-16,210,911731427,6122
2014-01-17,210,888177993,996
2014-01-20,210,1010192684,7098
2014-01-21,210,1301813040,9586
2014-01-22,210,1289679830,1682
2014-01-23,210,1041212723,-8975
2014-01-24,210,932959611,-1571
2014-01-27,210,1034496500,6573
2014-01-28,210,1082518917,2033
2014-01-29,210,1115239037,2501
2014-01-30,210,1111190292,-891
2014-02-07,210,821087647,-6685
2014-02-10,210,812944624,3931
2014-02-11,210,762140324,-872
2014-02-12,210,760693260,2733
2014-02-13,210,720976828,-35
2014-02-14,210,747441383,2691
2014-02-17,210,741140365,-3026
2014-02-18,210,682280359,50
2014-02-19,210,681845988,874
2014-02-20,210,683523610,3617
2014-02-21,210,777187695,8716
2014-02-24,210,996375015,10828
2014-02-25,210,1112371205,6081
2014-02-26,210,1155911185,6145
2014-02-27,210,1062587690,-3848
2014-02-28,210,1053505066,1964
2014-03-03,210,979666812,1433
2014-03-04,210,1135435954,5749
2014-03-05,210,1240916654,10885
2014-03-06,210,1377776992,8223
2014-03-07,210,1885725959,26720
2014-03-10,210,1812720510,-3673
2014-03-11,210,1629241158,4547
2014-03-12,210,2324807991,42040
2014-03-13,210,3735148316,43966
2014-03-14,210,3766301159,11496
2014-03-17,210,3666156084,2047
2014-03-18,210,3850768435,15806
2014-03-19,210,3859457931,4717
2014-03-20,210,3672953030,371
2014-03-21,210,3435796168,-7441
2014-03-24,210,4049918535,26690
2014-03-25,210,3517740852,-10363
2014-03-26,210,2915857265,-14375
2014-03-27,210,2698079757,-3660
2014-03-28,210,2701001659,4636
