trading_date,rank,volume,volume_change
2013-11-08,210,19213,19213
2013-11-11,210,18851,180
2013-11-12,210,17778,32
2013-11-13,210,17757,717
2013-11-14,210,16727,-395
2013-11-15,210,19064,3985
2013-11-18,210,21602,5062
2013-11-19,210,19369,-1362
2013-11-20,210,19882,822
2013-11-21,210,16804,-2184
2013-11-22,210,16962,178
2013-11-25,210,23785,9322
2013-11-26,210,22394,-663
2013-11-27,210,20891,71
2013-11-28,210,24946,5971
2013-11-29,210,23798,896
2013-12-02,210,23140,158
2013-12-03,210,23486,1410
2013-12-04,210,24522,980
2013-12-05,210,24258,53
2013-12-06,210,23217,-1034
2013-12-09,210,22828,152
2013-12-10,210,22581,80
2013-12-11,210,22848,798
2013-12-12,210,22903,347
2013-12-13,210,22018,103
2013-12-16,210,22187,-358
2013-12-17,210,22013,629
2013-12-18,210,21921,379
2013-12-19,210,20939,1393
2013-12-20,210,19303,-1768
2013-12-23,210,19328,1080
2013-12-24,210,20500,1362
2013-12-25,210,20876,744
2013-12-26,210,20042,-232
2013-12-27,210,19202,-142
2013-12-30,210,20097,175
2013-12-31,210,20816,953
2014-01-02,210,20588,-135
2014-01-03,210,20328,631
2014-01-06,210,20024,409
2014-01-07,210,19320,-81
2014-01-08,210,19397,170
2014-01-09,210,20720,1356
2014-01-10,210,20057,318
2014-01-13,210,19304,-753
2014-01-14,210,18374,-15
2014-01-15,210,19913,1154
2014-01-16,210,22099,2947
2014-01-17,210,21960,118
2014-01-20,210,21636,98
2014-01-21,210,21190,84
2014-01-22,210,21930,994
2014-01-23,210,21407,328
2014-01-24,210,22039,1035
2014-01-27,210,22413,403
2014-01-28,210,22955,1369
2014-01-29,210,23554,170
2014-01-30,210,22997,34
2014-02-07,210,24415,2333
2014-02-10,210,26831,2102
2014-02-11,210,28796,2113
2014-02-12,210,28915,-202
2014-02-13,210,27738,193
2014-02-14,210,31527,3977
2014-02-17,210,32617,599
2014-02-18,210,32132,-53
2014-02-19,210,32301,524
2014-02-20,210,31407,727
2014-02-21,210,32456,1054
2014-02-24,210,31380,-80
2014-02-25,210,31578,532
2014-02-26,210,30643,-702
2014-02-27,210,31345,786
2014-02-28,210,31853,-104
2014-03-03,210,29329,-1745
2014-03-04,210,29150,529
2014-03-05,210,26386,-954
2014-03-06,210,26331,1387
2014-03-07,210,28539,1723
2014-03-10,210,28714,1236
2014-03-11,210,27809,1017
2014-03-12,210,28036,1092
2014-03-13,210,32489,4719
2014-03-14,210,31892,473
2014-03-17,210,30088,-275
2014-03-18,210,31950,4739
2014-03-19,210,30275,-78
2014-03-20,210,31295,807
2014-03-21,210,33627,2497
2014-03-24,210,33940,908
2014-03-25,210,33543,515
2014-03-26,210,36805,4515
2014-03-27,210,38126,2454
2014-03-28,210,37352,-298
2014-03-31,210,35306,-259
2014-04-01,210,35059,-538
2014-04-02,210,34347,-123
2014-04-03,210,36220,3102
2014-04-04,210,35501,29
2014-04-08,210,38344,3815
2014-04-09,210,37173,-1142
2014-04-10,210,42410,5703
2014-04-11,210,42262,106
2014-04-14,210,39428,-1184
2014-04-15,210,41386,1187
2014-04-16,210,42648,2070
2014-04-17,210,50218,7287
2014-04-18,210,52380,2016
2014-04-21,210,59381,7852
2014-04-22,210,59345,749
2014-04-23,210,61525,3239
2014-04-24,210,60852,-932
2014-04-25,210,59821,-916
2014-04-28,210,63990,4383
2014-04-29,210,65546,1632
2014-04-30,210,70436,5016
2014-05-05,210,75847,6088
2014-05-06,210,78359,2904
2014-05-07,210,82382,6523
2014-05-08,210,70902,-7888
2014-05-09,210,74932,2585
2014-05-12,210,86761,12423
2014-05-13,210,92691,5769
2014-05-14,210,93134,1453
2014-05-15,210,99092,7029
2014-05-16,210,97703,-1127
2014-05-19,210,84198,-12254
2014-05-20,210,96701,14384
2014-05-21,210,82525,-13297
2014-05-22,210,85133,2981
2014-05-23,210,81912,1372
2014-05-26,210,77135,-4955
2014-05-27,210,85712,7855
2014-05-28,210,86361,2068
2014-05-29,210,86158,885
2014-05-30,210,79162,-3195
2014-06-03,210,81895,2328
2014-06-04,210,83186,784
2014-06-05,210,86561,4092
2014-06-06,210,96465,10974
2014-06-09,210,96263,1471
2014-06-10,210,91979,-3754
2014-06-11,210,101492,10192
2014-06-12,210,90638,-8490
2014-06-13,210,94541,3670
2014-06-16,210,91735,-3008
2014-06-17,210,90596,1945
2014-06-18,210,97399,6675
2014-06-19,210,104142,7564
2014-06-20,210,109728,6431
2014-06-23,210,108062,-878
