trading_date,rank,volume,volume_change
2013-11-08,210,21784,21784
2013-11-11,210,21601,1502
2013-11-12,210,21188,102
2013-11-13,210,20916,353
2013-11-14,210,19158,-495
2013-11-15,210,19632,1790
2013-11-18,210,21543,3334
2013-11-19,210,19990,-1324
2013-11-20,210,19883,394
2013-11-21,210,18830,-1388
2013-11-22,210,18288,-539
2013-11-25,210,25761,9015
2013-11-26,210,23538,-684
2013-11-27,210,23482,51
2013-11-28,210,25276,2796
2013-11-29,210,24962,-119
2013-12-02,210,25115,229
2013-12-03,210,26006,2108
2013-12-04,210,25830,1187
2013-12-05,210,26155,-120
2013-12-06,210,25256,-494
2013-12-09,210,25256,-138
2013-12-10,210,26484,742
2013-12-11,210,25982,222
2013-12-12,210,25914,-120
2013-12-13,210,25948,-300
2013-12-16,210,25776,886
2013-12-17,210,25433,-470
2013-12-18,210,25654,251
2013-12-19,210,28652,3229
2013-12-20,210,25961,-1833
2013-12-23,210,26044,737
2013-12-24,210,25713,-330
2013-12-25,210,26499,762
2013-12-26,210,25725,-499
2013-12-27,210,25542,88
2013-12-30,210,24935,322
2013-12-31,210,26068,1014
2014-01-02,210,26184,-113
2014-01-03,210,27535,1194
2014-01-06,210,26532,-1054
2014-01-07,210,23172,-1678
2014-01-08,210,23353,777
2014-01-09,210,24610,1290
2014-01-10,210,24846,250
2014-01-13,210,23835,-728
2014-01-14,210,23405,-13
2014-01-15,210,24423,1421
2014-01-16,210,26026,2302
2014-01-17,210,27147,738
2014-01-20,210,27433,82
2014-01-21,210,25632,-474
2014-01-22,210,25933,698
2014-01-23,210,26257,190
2014-01-24,210,27396,479
2014-01-27,210,27398,756
2014-01-28,210,26599,-792
2014-01-29,210,25694,2
2014-01-30,210,24655,-358
2014-02-07,210,26479,2081
2014-02-10,210,27927,2070
2014-02-11,210,31064,4219
2014-02-12,210,30119,-612
2014-02-13,210,30338,345
2014-02-14,210,32135,2284
2014-02-17,210,31267,-547
2014-02-18,210,30754,518
2014-02-19,210,32170,1019
2014-02-20,210,34009,1178
2014-02-21,210,34250,1668
2014-02-24,210,36224,1879
2014-02-25,210,36387,-9
2014-02-26,210,35218,112
2014-02-27,210,35685,446
2014-02-28,210,35113,-863
2014-03-03,210,34378,178
2014-03-04,210,33432,-380
2014-03-05,210,32071,-266
2014-03-06,210,31010,-302
2014-03-07,210,33245,2831
2014-03-10,210,31124,-1850
2014-03-11,210,29435,-916
2014-03-12,210,28480,377
2014-03-13,210,31098,4187
2014-03-14,210,28784,-1117
2014-03-17,210,25636,-1477
2014-03-18,210,25909,1474
2014-03-19,210,26254,985
2014-03-20,210,27108,1108
2014-03-21,210,30509,4520
2014-03-24,210,30859,667
2014-03-25,210,31176,373
2014-03-26,210,34734,4079
2014-03-27,210,35281,861
2014-03-28,210,33578,-1806
2014-03-31,210,31244,-1935
2014-04-01,210,30286,-675
2014-04-02,210,29545,-183
2014-04-03,210,31625,2633
2014-04-04,210,31648,465
2014-04-08,210,34472,3034
2014-04-09,210,33374,-1144
2014-04-10,210,38338,5129
2014-04-11,210,37776,-532
2014-04-14,210,35574,-2280
2014-04-15,210,36387,1417
2014-04-16,210,37264,1290
2014-04-17,210,44245,7638
2014-04-18,210,44557,843
2014-04-21,210,51881,7723
2014-04-22,210,49996,-1740
2014-04-23,210,51749,2225
2014-04-24,210,48652,-2074
2014-04-25,210,49164,978
2014-04-28,210,53912,5137
2014-04-29,210,55219,1178
2014-04-30,210,60261,6676
2014-05-05,210,63624,3279
2014-05-06,210,67641,3740
2014-05-07,210,71470,4675
2014-05-08,210,68614,-2345
2014-05-09,210,69323,711
2014-05-12,210,76492,8600
2014-05-13,210,84424,7558
