trading_date,rank,volume,volume_change
2013-11-08,210,22455799,19213
2013-11-11,210,20797895,180
2013-11-12,210,19332504,32
2013-11-13,210,19396127,717
2013-11-14,210,17557385,-395
2013-11-15,210,23473904,3985
2013-11-18,210,29399976,5062
2013-11-19,210,24817057,-1362
2013-11-20,210,24280060,822
2013-11-21,210,18095776,-2184
2013-11-22,210,18031180,178
2013-11-25,210,33252223,9322
2013-11-26,210,29768488,-663
2013-11-27,210,26944485,71
2013-11-28,210,37669608,5971
2013-11-29,210,33375450,896
2013-12-02,210,31777962,158
2013-12-03,210,33751060,1410
2013-12-04,210,35034930,980
2013-12-05,210,34306198,53
2013-12-06,210,31918199,-1034
2013-12-09,210,32028608,152
2013-12-10,210,31414019,80
2013-12-11,210,31227844,798
2013-12-12,210,31224473,347
2013-12-13,210,29446234,103
2013-12-16,210,29775109,-358
2013-12-17,210,30913553,629
2013-12-18,210,30594463,379
2013-12-19,210,26590505,1393
2013-12-20,210,22706827,-1768
2013-12-23,210,23553512,1080
2013-12-24,210,26843366,1362
2013-12-25,210,27828866,744
2013-12-26,210,26737632,-232
2013-12-27,210,24254246,-142
2013-12-30,210,25736283,175
2013-12-31,210,26893292,953
2014-01-02,210,26316478,-135
2014-01-03,210,26094028,631
2014-01-06,210,24926696,409
2014-01-07,210,22979362,-81
2014-01-08,210,22287279,170
2014-01-09,210,23738844,1356
2014-01-10,210,22754857,318
2014-01-13,210,21001248,-753
2014-01-14,210,20088828,-15
2014-01-15,210,22446411,1154
2014-01-16,210,26973535,2947
2014-01-17,210,28328060,118
2014-01-20,210,27427750,98
2014-01-21,210,25329738,84
2014-01-22,210,27102040,994
2014-01-23,210,26238473,328
2014-01-24,210,27743595,1035
2014-01-27,210,30086533,403
2014-01-28,210,30587453,1369
2014-01-29,210,32320850,170
2014-01-30,210,30941571,34
2014-02-07,210,33956729,2333
2014-02-10,210,41731999,2102
2014-02-11,210,47062438,2113
2014-02-12,210,46015601,-202
2014-02-13,210,42574396,193
2014-02-14,210,54005511,3977
2014-02-17,210,58015569,599
2014-02-18,210,56731756,-53
2014-02-19,210,57303635,524
2014-02-20,210,56158437,727
2014-02-21,210,58196440,1054
2014-02-24,210,55294992,-80
