trading_date,rank,volume,volume_change
2013-11-08,210,32197098,21784
2013-11-11,210,32529049,1502
2013-11-12,210,32071368,102
2013-11-13,210,32360616,353
2013-11-14,210,26547728,-495
2013-11-15,210,29337290,1790
2013-11-18,210,36882013,3334
2013-11-19,210,30735172,-1324
2013-11-20,210,29717495,394
2013-11-21,210,26790162,-1388
2013-11-22,210,25132076,-539
2013-11-25,210,44029097,9015
2013-11-26,210,38024042,-684
2013-11-27,210,35644092,51
2013-11-28,210,41917354,2796
2013-11-29,210,39952798,-119
2013-12-02,210,41744853,229
2013-12-03,210,44137424,2108
2013-12-04,210,45413300,1187
2013-12-05,210,46625549,-120
2013-12-06,210,47486866,-494
2013-12-09,210,46987286,-138
2013-12-10,210,50649100,742
2013-12-11,210,48820076,222
2013-12-12,210,46051072,-120
2013-12-13,210,44424982,-300
2013-12-16,210,46157088,886
2013-12-17,210,44826045,-470
2013-12-18,210,46409244,251
2013-12-19,210,51962840,3229
2013-12-20,210,46074891,-1833
2013-12-23,210,49872938,737
2013-12-24,210,48394825,-330
2013-12-25,210,51589349,762
2013-12-26,210,46446513,-499
2013-12-27,210,46276142,88
2013-12-30,210,45025551,322
2013-12-31,210,48309010,1014
2014-01-02,210,48792786,-113
2014-01-03,210,53997589,1194
2014-01-06,210,49316610,-1054
2014-01-07,210,35060640,-1678
2014-01-08,210,37559271,777
2014-01-09,210,40193222,1290
2014-01-10,210,41499754,250
2014-01-13,210,38187903,-728
2014-01-14,210,37535517,-13
2014-01-15,210,41414325,1421
2014-01-16,210,47340180,2302
2014-01-17,210,50531477,738
2014-01-20,210,50360659,82
2014-01-21,210,47235386,-474
2014-01-22,210,48615479,698
2014-01-23,210,48801095,190
2014-01-24,210,52131036,479
2014-01-27,210,52028810,756
2014-01-28,210,46876699,-792
2014-01-29,210,46889756,2
2014-01-30,210,42801777,-358
2014-02-07,210,49859711,2081
2014-02-10,210,55553365,2070
2014-02-11,210,67282096,4219
2014-02-12,210,63750197,-612
2014-02-13,210,64215590,345
2014-02-14,210,71875121,2284
2014-02-17,210,66061635,-547
2014-02-18,210,65514972,518
2014-02-19,210,72103324,1019
2014-02-20,210,79400769,1178
2014-02-21,210,84036566,1668
2014-02-24,210,89379462,1879
2014-02-25,210,90459909,-9
2014-02-26,210,80359046,112
2014-02-27,210,82803477,446
2014-02-28,210,78438429,-863
2014-03-03,210,76619548,178
2014-03-04,210,70527644,-380
2014-03-05,210,66992611,-266
2014-03-06,210,62625902,-302
2014-03-07,210,71061175,2831
2014-03-10,210,59608560,-1850
2014-03-11,210,51448835,-916
2014-03-12,210,50492828,377
2014-03-13,210,58068748,4187
2014-03-14,210,50803780,-1117
2014-03-17,210,39453594,-1477
2014-03-18,210,38837733,1474
2014-03-19,210,41371656,985
2014-03-20,210,42494416,1108
2014-03-21,210,52622969,4520
2014-03-24,210,54360923,667
2014-03-25,210,54998564,373
2014-03-26,210,68705022,4079
2014-03-27,210,71383881,861
2014-03-28,210,62235336,-1806
2014-03-31,210,52593114,-1935
2014-04-01,210,49139210,-675
2014-04-02,210,46813015,-183
2014-04-03,210,53456429,2633
2014-04-04,210,53829446,465
2014-04-08,210,65160132,3034
2014-04-09,210,60839756,-1144
2014-04-10,210,80699226,5129
2014-04-11,210,78942962,-532
2014-04-14,210,68863576,-2280
2014-04-15,210,71608495,1417
2014-04-16,210,74595566,1290
2014-04-17,210,107218017,7638
2014-04-18,210,106924831,843
2014-04-21,210,146206097,7723
2014-04-22,210,136755892,-1740
2014-04-23,210,145129597,2225
2014-04-24,210,127052672,-2074
2014-04-25,210,129161174,978
2014-04-28,210,159284730,5137
2014-04-29,210,165665303,1178
2014-04-30,210,200435763,6676
2014-05-05,210,222926504,3279
2014-05-06,210,253921173,3740
2014-05-07,210,283838428,4675
2014-05-08,210,265524556,-2345
2014-05-09,210,270424221,711
2014-05-12,210,327645114,8600
2014-05-13,210,403170058,7558
2014-05-14,210,392676575,-1213
2014-05-15,210,431940654,4261
2014-05-16,210,408267149,-664
