trading_date,rank,volume,volume_change
2013-11-05,210,157691,-1400
2013-11-06,210,155915,466
2013-11-07,210,153327,-2372
2013-11-08,210,155868,2884
2013-11-11,210,154337,3784
2013-11-12,210,154777,1453
2013-11-13,210,158389,3733
2013-11-14,210,164256,7413
2013-11-15,210,169057,3782
2013-11-18,210,171526,3071
2013-11-19,210,171758,320
2013-11-20,210,176131,8099
2013-11-21,210,174268,-486
2013-11-22,210,178973,2588
2013-11-25,210,177879,-1094
2013-11-26,210,177677,2344
2013-11-27,210,179911,5664
2013-11-28,210,179002,-6781
2013-11-29,210,180714,1728
2013-12-02,210,175851,-3251
2013-12-03,210,163915,-8811
2013-12-04,210,158203,3835
2013-12-05,210,162902,7916
2013-12-06,210,148505,-7511
2013-12-09,210,152738,4728
2013-12-10,210,149148,-2677
2013-12-11,210,149294,2637
2013-12-12,210,144325,-558
2013-12-13,210,127819,-15243
2013-12-16,210,123096,-3217
2013-12-17,210,122787,-1309
2013-12-18,210,112263,-8727
2013-12-19,210,112830,672
2013-12-20,210,110657,1783
2013-12-23,210,115322,6079
2013-12-24,210,113953,-1358
2013-12-25,210,99809,-9096
2013-12-26,210,92022,-5889
2013-12-27,210,94660,3107
2013-12-30,210,89440,-4721
2013-12-31,210,81739,-5245
2014-01-02,210,84138,817
2014-01-03,210,88198,5769
2014-01-06,210,86182,-2551
2014-01-07,210,93239,7335
2014-01-08,210,89330,175
2014-01-09,210,94437,7357
2014-01-10,210,99314,4081
2014-01-13,210,100635,2159
2014-01-14,210,97704,-2390
2014-01-15,210,94026,1043
2014-01-16,210,103378,13763
2014-01-17,210,100620,-2051
2014-01-20,210,101896,8555
2014-01-21,210,101708,329
2014-01-22,210,97363,-2299
2014-01-23,210,92348,-3925
2014-01-24,210,80404,-7432
2014-01-27,210,79450,-758
2014-01-28,210,91505,13302
2014-01-29,210,76812,-14261
2014-01-30,210,75249,-732
2014-02-07,210,74562,3119
2014-02-10,210,84637,10487
2014-02-11,210,91686,9569
2014-02-12,210,101690,13457
2014-02-13,210,98148,-1124
2014-02-14,210,97552,3393
2014-02-17,210,75799,-10929
2014-02-18,210,70390,-5298
2014-02-19,210,69743,4585
2014-02-20,210,72539,3314
2014-02-21,210,72234,808
2014-02-24,210,90290,24233
2014-02-25,210,84828,-1124
2014-02-26,210,86871,2288
2014-02-27,210,86396,758
2014-02-28,210,87766,1800
2014-03-03,210,94597,9003
2014-03-04,210,104044,18776
2014-03-05,210,92391,-8670
2014-03-06,210,96607,10498
2014-03-07,210,95655,8129
2014-03-10,210,95696,6275
2014-03-11,210,88602,-2579
2014-03-12,210,90861,7894
2014-03-13,210,94318,8934
2014-03-14,210,92981,5138
2014-03-17,210,92029,1673
2014-03-18,210,95526,4315
2014-03-19,210,96237,3959
2014-03-20,210,123379,32353
2014-03-21,210,134176,9229
2014-03-24,210,140128,10251
2014-03-25,210,119852,-10697
2014-03-26,210,102873,-6153
2014-03-27,210,98379,-2637
2014-03-28,210,93922,-3869
2014-03-31,210,98658,20367
2014-04-01,210,100986,3428
2014-04-02,210,100842,863
2014-04-03,210,116684,21253
2014-04-04,210,114031,4146
2014-04-08,210,125213,17185
2014-04-09,210,122065,-2916
2014-04-10,210,106040,-13256
2014-04-11,210,98161,-7382
2014-04-14,210,93964,-3340
2014-04-15,210,119123,30008
2014-04-16,210,99571,-11958
2014-04-17,210,98425,2825
2014-04-18,210,101608,9181
2014-04-21,210,110284,9989
2014-04-22,210,105628,-155
2014-04-23,210,119693,17731
2014-04-24,210,112248,-6030
2014-04-25,210,112400,4592
2014-04-28,210,119632,8735
2014-04-29,210,115280,-72
