trading_date,rank,volume,volume_change
2013-11-05,210,186238,10129
2013-11-06,210,186482,1863
2013-11-07,210,172846,-14945
2013-11-08,210,179125,13964
2013-11-11,210,181456,3492
2013-11-12,210,180780,3587
2013-11-13,210,182344,3071
2013-11-14,210,187312,6255
2013-11-15,210,196410,9155
2013-11-18,210,205914,7687
2013-11-19,210,204782,-1019
2013-11-20,210,203735,1192
2013-11-21,210,211651,11020
2013-11-22,210,211863,2089
2013-11-25,210,212955,1222
2013-11-26,210,215393,5161
2013-11-27,210,208300,881
2013-11-28,210,210507,10311
2013-11-29,210,212064,524
2013-12-02,210,211606,217
2013-12-03,210,211197,850
2013-12-04,210,208580,-728
2013-12-05,210,208202,3514
2013-12-06,210,194371,-11812
2013-12-09,210,195949,2911
2013-12-10,210,195921,1186
2013-12-11,210,202662,5504
2013-12-12,210,202256,-395
2013-12-13,210,164676,-27766
2013-12-16,210,157928,-3375
2013-12-17,210,154605,2171
2013-12-18,210,139660,-10256
2013-12-19,210,140063,1909
2013-12-20,210,144392,7791
2013-12-23,210,142572,4302
2013-12-24,210,141030,-75
2013-12-25,210,122520,-14598
2013-12-26,210,117308,-2895
2013-12-27,210,120721,5485
2013-12-30,210,119874,427
2013-12-31,210,113528,-3611
2014-01-02,210,114019,1143
2014-01-03,210,114578,-590
2014-01-06,210,113316,-643
2014-01-07,210,118154,6099
2014-01-08,210,116897,-2286
2014-01-09,210,115281,-1227
2014-01-10,210,114772,1865
2014-01-13,210,114543,23
2014-01-14,210,117409,3530
2014-01-15,210,108183,-3763
2014-01-16,210,110335,5910
2014-01-17,210,111644,2173
2014-01-20,210,114728,3982
2014-01-21,210,109315,-1634
2014-01-22,210,104110,-861
2014-01-23,210,102708,-216
2014-01-24,210,92980,-6499
2014-01-27,210,90844,-1967
2014-01-28,210,97364,7893
2014-01-29,210,83743,-12024
2014-01-30,210,81664,1123
2014-02-07,210,81547,75
2014-02-10,210,92408,12433
2014-02-11,210,97685,7190
2014-02-12,210,107644,10193
2014-02-13,210,107049,2446
2014-02-14,210,105706,-256
2014-02-17,210,94683,2965
2014-02-18,210,86412,-8277
2014-02-19,210,94104,8115
2014-02-20,210,89077,-5210
2014-02-21,210,91580,3656
2014-02-24,210,95926,10929
2014-02-25,210,84254,-4272
2014-02-26,210,83489,-153
2014-02-27,210,82083,404
2014-02-28,210,86293,3605
2014-03-03,210,88626,3626
2014-03-04,210,96940,12015
2014-03-05,210,89478,-3374
2014-03-06,210,91421,12738
2014-03-07,210,97586,7699
2014-03-10,210,95794,3882
2014-03-11,210,84492,2980
2014-03-12,210,97050,18064
2014-03-13,210,101811,6476
2014-03-14,210,92149,1145
2014-03-17,210,93479,6620
2014-03-18,210,97025,5941
2014-03-19,210,94485,1548
2014-03-20,210,120636,36573
2014-03-21,210,126118,18151
2014-03-24,210,157453,37446
2014-03-25,210,130002,-21899
2014-03-26,210,112117,16057
2014-03-27,210,109647,4244
2014-03-28,210,105122,6017
2014-03-31,210,120633,20428
2014-04-01,210,123094,6457
2014-04-02,210,121229,-1410
