trading_date,JM_total_oi
2013-11-05,538656.0
2013-11-06,522744.0
2013-11-07,480928.0
2013-11-08,488946.0
2013-11-11,487106.0
2013-11-12,481056.0
2013-11-13,488174.0
2013-11-14,497636.0
2013-11-15,525322.0
2013-11-18,538446.0
2013-11-19,532876.0
2013-11-20,545504.0
2013-11-21,551578.0
2013-11-22,556642.0
2013-11-25,559512.0
2013-11-26,571256.0
2013-11-27,590728.0
2013-11-28,573310.0
2013-11-29,576324.0
2013-12-02,566570.0
2013-12-03,556090.0
2013-12-04,541648.0
2013-12-05,548900.0
2013-12-06,511508.0
2013-12-09,526248.0
2013-12-10,510902.0
2013-12-11,530294.0
2013-12-12,512194.0
2013-12-13,442998.0
2013-12-16,425834.0
2013-12-17,423394.0
2013-12-18,379396.0
2013-12-19,379350.0
2013-12-20,387204.0
2013-12-23,380634.0
2013-12-24,372656.0
2013-12-25,333694.0
2013-12-26,313452.0
2013-12-27,328670.0
2013-12-30,326410.0
2013-12-31,306180.0
2014-01-02,318780.0
2014-01-03,323608.0
2014-01-06,319502.0
2014-01-07,326266.0
2014-01-08,321680.0
2014-01-09,325216.0
2014-01-10,329916.0
2014-01-13,333976.0
2014-01-14,332234.0
2014-01-15,316072.0
2014-01-16,346166.0
2014-01-17,328498.0
2014-01-20,342554.0
2014-01-21,322638.0
2014-01-22,306396.0
2014-01-23,289644.0
2014-01-24,261104.0
2014-01-27,256048.0
2014-01-28,282328.0
2014-01-29,238902.0
2014-01-30,228972.0
2014-02-07,239220.0
2014-02-10,261960.0
2014-02-11,281068.0
2014-02-12,312084.0
2014-02-13,301828.0
2014-02-14,301248.0
2014-02-17,265574.0
2014-02-18,244560.0
2014-02-19,263764.0
2014-02-20,257910.0
2014-02-21,252492.0
2014-02-24,291512.0
2014-02-25,264048.0
2014-02-26,264642.0
2014-02-27,263378.0
2014-02-28,269944.0
2014-03-03,288508.0
2014-03-04,311224.0
2014-03-05,277018.0
2014-03-06,302822.0
2014-03-07,319032.0
2014-03-10,324672.0
2014-03-11,278278.0
2014-03-12,292946.0
2014-03-13,307118.0
2014-03-14,295686.0
2014-03-17,299116.0
2014-03-18,299956.0
2014-03-19,300518.0
