trading_date,rank,volume,volume_change
2013-11-05,210,1528806335,-1400
2013-11-06,210,1595760189,466
2013-11-07,210,1575044935,-2372
2013-11-08,210,1566877210,2884
2013-11-11,210,1531121253,3784
2013-11-12,210,1574467745,1453
2013-11-13,210,1642021861,3733
2013-11-14,210,1710380352,7413
2013-11-15,210,1787563675,3782
2013-11-18,210,1808963184,3071
2013-11-19,210,1823601978,320
2013-11-20,210,1930859763,8099
2013-11-21,210,1863705828,-486
2013-11-22,210,1948594619,2588
2013-11-25,210,1925547957,-1094
2013-11-26,210,1927667269,2344
2013-11-27,210,2059040035,5664
2013-11-28,210,1924659974,-6781
2013-11-29,210,1960620942,1728
2013-12-02,210,1850769359,-3251
2013-12-03,210,1644759615,-8811
2013-12-04,210,1569222107,3835
2013-12-05,210,1603563886,7916
2013-12-06,210,1424890713,-7511
2013-12-09,210,1520770566,4728
2013-12-10,210,1474081222,-2677
2013-12-11,210,1481807630,2637
2013-12-12,210,1389452409,-558
2013-12-13,210,1072641863,-15243
2013-12-16,210,979311990,-3217
2013-12-17,210,969644691,-1309
2013-12-18,210,829030939,-8727
2013-12-19,210,855300986,672
2013-12-20,210,824055649,1783
2013-12-23,210,1044748944,6079
2013-12-24,210,1003978037,-1358
2013-12-25,210,725912545,-9096
2013-12-26,210,572348788,-5889
2013-12-27,210,611138090,3107
2013-12-30,210,524326006,-4721
2013-12-31,210,429042157,-5245
2014-01-02,210,450780956,817
2014-01-03,210,504697214,5769
2014-01-06,210,451427904,-2551
2014-01-07,210,516169107,7335
2014-01-08,210,485690484,175
2014-01-09,210,578163521,7357
2014-01-10,210,625251350,4081
2014-01-13,210,640709661,2159
2014-01-14,210,639533742,-2390
2014-01-15,210,593415724,1043
2014-01-16,210,788744494,13763
2014-01-17,210,752559832,-2051
2014-01-20,210,825293470,8555
2014-01-21,210,844052144,329
2014-01-22,210,819354741,-2299
2014-01-23,210,700397780,-3925
2014-01-24,210,569191920,-7432
2014-01-27,210,566017368,-758
2014-01-28,210,752100435,13302
2014-01-29,210,541718668,-14261
2014-01-30,210,535407813,-732
2014-02-07,210,527159310,3119
2014-02-10,210,651634485,10487
2014-02-11,210,733068268,9569
2014-02-12,210,798780398,13457
2014-02-13,210,761789806,-1124
2014-02-14,210,759098676,3393
