trading_date,rank,volume,volume_change
2013-11-05,210,3485812740,10129
2013-11-06,210,3243317310,1863
2013-11-07,210,2469453606,-14945
2013-11-08,210,2688998611,13964
2013-11-11,210,2727049188,3492
2013-11-12,210,2750537446,3587
2013-11-13,210,2769144200,3071
2013-11-14,210,3032856982,6255
2013-11-15,210,3247752096,9155
2013-11-18,210,3670759336,7687
2013-11-19,210,3669065472,-1019
2013-11-20,210,3601929275,1192
2013-11-21,210,3978777287,11020
2013-11-22,210,4025418959,2089
2013-11-25,210,4169731067,1222
2013-11-26,210,4354226543,5161
2013-11-27,210,3820820042,881
2013-11-28,210,4233049115,10311
2013-11-29,210,4377163138,524
2013-12-02,210,4482329292,217
2013-12-03,210,4360139895,850
2013-12-04,210,4133215166,-728
2013-12-05,210,4129027182,3514
2013-12-06,210,3639773435,-11812
2013-12-09,210,3558315551,2911
2013-12-10,210,3564428545,1186
2013-12-11,210,3559513186,5504
2013-12-12,210,3566015222,-395
2013-12-13,210,2059575268,-27766
2013-12-16,210,1977496996,-3375
2013-12-17,210,1814921733,2171
2013-12-18,210,1509464752,-10256
2013-12-19,210,1492391907,1909
2013-12-20,210,1649286416,7791
2013-12-23,210,1622431944,4302
2013-12-24,210,1566676534,-75
2013-12-25,210,1143336300,-14598
2013-12-26,210,1088058114,-2895
2013-12-27,210,1346599731,5485
2013-12-30,210,1337347072,427
2013-12-31,210,1167508094,-3611
2014-01-02,210,1050246641,1143
2014-01-03,210,1016267166,-590
2014-01-06,210,991759840,-643
2014-01-07,210,1111789316,6099
2014-01-08,210,1022410377,-2286
2014-01-09,210,976979155,-1227
2014-01-10,210,994546680,1865
2014-01-13,210,980484729,23
2014-01-14,210,1088940169,3530
2014-01-15,210,870237695,-3763
2014-01-16,210,898413993,5910
2014-01-17,210,933985692,2173
2014-01-20,210,972215100,3982
2014-01-21,210,872659329,-1634
2014-01-22,210,848421322,-861
2014-01-23,210,879699864,-216
2014-01-24,210,725629464,-6499
2014-01-27,210,692561706,-1967
2014-01-28,210,702824250,7893
2014-01-29,210,546771883,-12024
2014-01-30,210,539598362,1123
2014-02-07,210,505858047,75
2014-02-10,210,766605442,12433
2014-02-11,210,825934553,7190
2014-02-12,210,958630312,10193
2014-02-13,210,966137223,2446
2014-02-14,210,963097136,-256
2014-02-17,210,947741625,2965
2014-02-18,210,686421096,-8277
2014-02-19,210,800089700,8115
2014-02-20,210,694711181,-5210
2014-02-21,210,709443562,3656
2014-02-24,210,692396894,10929
2014-02-25,210,577103062,-4272
2014-02-26,210,642537597,-153
2014-02-27,210,623287331,404
2014-02-28,210,609352905,3605
2014-03-03,210,600446792,3626
2014-03-04,210,666702562,12015
2014-03-05,210,625469178,-3374
2014-03-06,210,771785813,12738
2014-03-07,210,681925606,7699
2014-03-10,210,698267316,3882
2014-03-11,210,518038936,2980
2014-03-12,210,999776612,18064
2014-03-13,210,1107528615,6476
2014-03-14,210,823290481,1145
2014-03-17,210,863262661,6620
2014-03-18,210,914457369,5941
2014-03-19,210,916413591,1548
2014-03-20,210,1519855144,36573
2014-03-21,210,1479892562,18151
2014-03-24,210,2402334365,37446
2014-03-25,210,1331831236,-21899
2014-03-26,210,1103791777,16057
2014-03-27,210,1026442849,4244
2014-03-28,210,973227426,6017
2014-03-31,210,1319278461,20428
2014-04-01,210,1389598508,6457
2014-04-02,210,1264405177,-1410
2014-04-03,210,1242755364,5536
2014-04-04,210,1118028051,6435
2014-04-08,210,1474498295,20720
2014-04-09,210,1412950610,1019
2014-04-10,210,1069786076,-16973
2014-04-11,210,904192148,5933
2014-04-14,210,736304676,-9884
2014-04-15,210,1061734627,27898
2014-04-16,210,982611924,-8688
2014-04-17,210,908649399,3882
2014-04-18,210,960839196,13684
2014-04-21,210,866214214,3043
2014-04-22,210,707424991,-4022
2014-04-23,210,943561192,17797
2014-04-24,210,842690831,-4954
2014-04-25,210,836656797,858
2014-04-28,210,872571959,6678
2014-04-29,210,913028103,3302
2014-04-30,210,1003047000,5620
2014-05-05,210,889873805,-4566
2014-05-06,210,944316799,4298
2014-05-07,210,1190086004,17707
2014-05-08,210,1110639794,-1398
2014-05-09,210,1288433774,11902
2014-05-12,210,1621905713,19483
2014-05-13,210,1421899127,-3014
2014-05-14,210,1406063092,-742
2014-05-15,210,1192329912,-7903
2014-05-16,210,983134107,-13468
2014-05-19,210,1096805412,5947
2014-05-20,210,1269269197,11784
2014-05-21,210,1555291816,11463
2014-05-22,210,1189492189,-7003
2014-05-23,210,1254989049,4896
2014-05-26,210,1181526359,-910
2014-05-27,210,1148072447,3970
2014-05-28,210,1307468833,7385
2014-05-29,210,1251358420,-3356
2014-05-30,210,1175518612,359
2014-06-03,210,1192287859,8291
2014-06-04,210,1076208944,1397
2014-06-05,210,1337869134,22198
2014-06-06,210,1278079469,4743
2014-06-09,210,1243621655,1780
2014-06-10,210,1296895134,5785
2014-06-11,210,1161936317,-4993
2014-06-12,210,950412660,-6920
2014-06-13,210,1116933316,12436
2014-06-16,210,969771606,-4244
2014-06-17,210,811860405,-10885
2014-06-18,210,764424064,-2882
2014-06-19,210,753874732,-587
2014-06-20,210,724407666,3088
2014-06-23,210,924834278,15296
2014-06-24,210,921139368,-30
2014-06-25,210,943196913,3548
2014-06-26,210,951552861,3213
2014-06-27,210,1065003308,8391
2014-06-30,210,1097662666,971
2014-07-01,210,1303290746,13068
2014-07-02,210,1195816072,257
