trading_date,rank,volume,volume_change
2013-11-05,210,97403,-2308
2013-11-06,210,101964,5794
2013-11-07,210,99702,3227
2013-11-08,210,97187,-1235
2013-11-11,210,89409,-7245
2013-11-12,210,93506,3571
2013-11-13,210,101660,12921
2013-11-14,210,101610,1853
2013-11-15,210,97838,264
2013-11-18,210,98238,2228
2013-11-19,210,104209,5938
2013-11-20,210,85897,-12804
2013-11-21,210,82714,-1021
2013-11-22,210,79331,-2898
2013-11-25,210,79286,1692
2013-11-26,210,83714,8387
2013-11-27,210,75475,-720
2013-11-28,210,73247,3603
2013-11-29,210,66908,-5083
2013-12-02,210,72105,7245
2013-12-03,210,71861,1436
2013-12-04,210,66280,-322
2013-12-05,210,70232,7051
2013-12-06,210,75592,6892
2013-12-09,210,70704,-3121
2013-12-10,210,67912,-1667
2013-12-11,210,79722,15454
2013-12-12,210,73700,-3473
2013-12-13,210,72203,1526
2013-12-16,210,78422,7804
2013-12-17,210,70266,-3395
2013-12-18,210,63934,-987
2013-12-19,210,62162,1162
2013-12-20,210,57227,-3133
2013-12-23,210,66100,10829
2013-12-24,210,70572,7567
2013-12-25,210,67008,-2020
2013-12-26,210,67369,503
2013-12-27,210,63902,-3449
2013-12-30,210,64762,1914
2013-12-31,210,56129,-5439
2014-01-02,210,61820,6693
2014-01-03,210,64000,2848
2014-01-06,210,61889,4618
2014-01-07,210,67830,7263
2014-01-08,210,61348,-4258
2014-01-09,210,72160,17189
2014-01-10,210,77123,7509
2014-01-13,210,69410,-5118
2014-01-14,210,67100,-985
2014-01-15,210,66688,600
2014-01-16,210,72694,8544
2014-01-17,210,75530,2836
2014-01-20,210,74271,3056
2014-01-21,210,72722,2388
2014-01-22,210,71899,660
2014-01-23,210,68569,-3336
2014-01-24,210,60340,-4409
2014-01-27,210,58615,-139
2014-01-28,210,57297,2185
2014-01-29,210,52739,-4527
2014-01-30,210,52132,-1337
2014-02-07,210,54356,3061
2014-02-10,210,60392,8059
2014-02-11,210,62893,6981
2014-02-12,210,68085,4096
2014-02-13,210,63479,-4313
2014-02-14,210,69391,6046
2014-02-17,210,61418,-880
2014-02-18,210,64818,4900
2014-02-19,210,68811,5475
2014-02-20,210,61663,-2328
2014-02-21,210,60908,2816
2014-02-24,210,63009,8073
2014-02-25,210,65643,3570
2014-02-26,210,68419,8158
2014-02-27,210,69795,1071
2014-02-28,210,68546,1251
2014-03-03,210,81185,13952
2014-03-04,210,80213,541
2014-03-05,210,88950,10498
2014-03-06,210,90734,2603
2014-03-07,210,87824,-817
2014-03-10,210,84148,1367
2014-03-11,210,79613,-5270
2014-03-12,210,90968,12223
2014-03-13,210,82457,-3895
2014-03-14,210,82464,2199
2014-03-17,210,87899,6453
2014-03-18,210,89442,1524
2014-03-19,210,88087,122
2014-03-20,210,87128,-831
2014-03-21,210,91169,4751
2014-03-24,210,91477,3779
2014-03-25,210,82239,-7269
2014-03-26,210,75886,-2789
2014-03-27,210,79890,9091
2014-03-28,210,79055,725
2014-03-31,210,74889,-490
2014-04-01,210,78255,5480
2014-04-02,210,82544,5224
2014-04-03,210,82053,6825
2014-04-04,210,97063,17085
2014-04-08,210,99169,6985
2014-04-09,210,100873,4368
2014-04-10,210,90506,-10430
2014-04-11,210,87381,5091
2014-04-14,210,95108,12393
2014-04-15,210,90608,-1908
2014-04-16,210,101737,12979
2014-04-17,210,107487,6013
2014-04-18,210,96847,-5098
2014-04-21,210,96878,426
2014-04-22,210,92853,630
2014-04-23,210,94506,2374
2014-04-24,210,98733,6228
2014-04-25,210,95557,-2333
2014-04-28,210,92285,-1558
2014-04-29,210,95947,4997
2014-04-30,210,99646,6129
2014-05-05,210,95117,-3070
2014-05-06,210,98934,6765
2014-05-07,210,102431,4407
2014-05-08,210,105147,3931
2014-05-09,210,104150,-774
2014-05-12,210,109809,8201
2014-05-13,210,94074,-7055
2014-05-14,210,96495,3145
2014-05-15,210,93991,-1738
2014-05-16,210,99536,10835
2014-05-19,210,93678,-5107
2014-05-20,210,94343,1358
2014-05-21,210,95192,376
2014-05-22,210,91606,-3844
2014-05-23,210,90558,997
2014-05-26,210,90078,6842
2014-05-27,210,87969,-273
2014-05-28,210,85442,-1027
2014-05-29,210,82252,290
2014-05-30,210,84869,5104
