trading_date,rank,volume,volume_change
2013-11-05,210,100348,-710
2013-11-06,210,101180,1022
2013-11-07,210,101929,6915
2013-11-08,210,101126,3955
2013-11-11,210,96444,-4193
2013-11-12,210,98503,4564
2013-11-13,210,97756,-2186
2013-11-14,210,98009,552
2013-11-15,210,93682,-4917
2013-11-18,210,95821,5241
2013-11-19,210,100225,8263
2013-11-20,210,92121,-4558
2013-11-21,210,95104,3344
2013-11-22,210,92584,-1289
2013-11-25,210,91098,389
2013-11-26,210,94285,14410
2013-11-27,210,89141,99
2013-11-28,210,90608,2235
2013-11-29,210,90776,509
2013-12-02,210,94329,5967
2013-12-03,210,88632,-5004
2013-12-04,210,87973,2498
2013-12-05,210,90830,4475
2013-12-06,210,92979,2332
2013-12-09,210,87512,-5180
2013-12-10,210,84778,-677
2013-12-11,210,83481,236
2013-12-12,210,84504,2329
2013-12-13,210,78943,1640
2013-12-16,210,84413,5345
2013-12-17,210,77134,-3349
2013-12-18,210,70425,-1548
2013-12-19,210,68541,-1734
2013-12-20,210,66458,541
2013-12-23,210,70068,4340
2013-12-24,210,76148,6528
2013-12-25,210,78833,3265
2013-12-26,210,77228,-327
2013-12-27,210,77651,2356
2013-12-30,210,80073,7701
2013-12-31,210,74792,-3354
2014-01-02,210,75101,4237
2014-01-03,210,74091,985
2014-01-06,210,76410,5434
2014-01-07,210,82311,5977
2014-01-08,210,75794,-4546
2014-01-09,210,90369,16751
2014-01-10,210,88692,-223
2014-01-13,210,84831,2706
2014-01-14,210,84977,5196
2014-01-15,210,81624,2236
2014-01-16,210,84062,3843
2014-01-17,210,86131,2834
2014-01-20,210,87333,4994
2014-01-21,210,86859,1997
2014-01-22,210,90360,10972
2014-01-23,210,80776,-2794
2014-01-24,210,72883,-3153
2014-01-27,210,70076,-2106
2014-01-28,210,69436,4587
2014-01-29,210,66225,-3492
2014-01-30,210,62042,-938
2014-02-07,210,63725,1788
2014-02-10,210,72252,12942
2014-02-11,210,79417,12879
2014-02-12,210,81673,7180
2014-02-13,210,76835,-1007
2014-02-14,210,84830,11625
2014-02-17,210,83042,19184
2014-02-18,210,81935,4418
2014-02-19,210,89518,10798
2014-02-20,210,83508,528
2014-02-21,210,85027,4626
2014-02-24,210,86358,7074
2014-02-25,210,79299,-1545
2014-02-26,210,82087,9056
2014-02-27,210,77740,-2747
2014-02-28,210,77125,8793
