trading_date,J_total_oi
2013-11-05,360666.0
2013-11-06,368496.0
2013-11-07,360522.0
2013-11-08,361674.0
2013-11-11,340658.0
2013-11-12,346626.0
2013-11-13,344668.0
2013-11-14,343266.0
2013-11-15,328186.0
2013-11-18,333434.0
2013-11-19,348650.0
2013-11-20,311676.0
2013-11-21,306992.0
2013-11-22,299180.0
2013-11-25,304490.0
2013-11-26,327044.0
2013-11-27,296076.0
2013-11-28,297646.0
2013-11-29,289794.0
2013-12-02,306448.0
2013-12-03,286140.0
2013-12-04,284086.0
2013-12-05,283350.0
2013-12-06,285802.0
2013-12-09,272882.0
2013-12-10,267120.0
2013-12-11,278244.0
2013-12-12,274258.0
2013-12-13,252048.0
2013-12-16,265158.0
2013-12-17,241084.0
2013-12-18,227140.0
2013-12-19,222856.0
2013-12-20,214046.0
2013-12-23,229294.0
2013-12-24,243880.0
2013-12-25,247214.0
2013-12-26,243432.0
2013-12-27,237246.0
2013-12-30,247106.0
2013-12-31,220106.0
2014-01-02,228992.0
2014-01-03,229848.0
2014-01-06,230240.0
2014-01-07,245746.0
2014-01-08,234792.0
2014-01-09,276252.0
2014-01-10,271542.0
2014-01-13,261846.0
2014-01-14,260352.0
2014-01-15,251068.0
2014-01-16,261020.0
2014-01-17,265440.0
2014-01-20,260818.0
2014-01-21,266654.0
2014-01-22,273240.0
2014-01-23,256856.0
2014-01-24,240064.0
2014-01-27,225048.0
2014-01-28,219072.0
2014-01-29,193434.0
2014-01-30,181726.0
2014-02-07,189948.0
2014-02-10,225974.0
2014-02-11,244584.0
2014-02-12,253950.0
2014-02-13,243854.0
2014-02-14,265912.0
2014-02-17,248262.0
2014-02-18,254064.0
2014-02-19,268578.0
2014-02-20,248852.0
2014-02-21,257298.0
2014-02-24,265870.0
2014-02-25,253576.0
2014-02-26,264898.0
2014-02-27,270746.0
2014-02-28,268504.0
2014-03-03,300410.0
2014-03-04,301502.0
2014-03-05,339056.0
2014-03-06,348998.0
2014-03-07,339424.0
2014-03-10,337650.0
2014-03-11,295170.0
2014-03-12,332286.0
2014-03-13,316094.0
2014-03-14,301756.0
2014-03-17,313704.0
2014-03-18,323566.0
2014-03-19,313176.0
2014-03-20,308250.0
2014-03-21,327054.0
2014-03-24,318540.0
2014-03-25,293118.0
2014-03-26,279412.0
2014-03-27,311112.0
2014-03-28,300672.0
2014-03-31,285226.0
2014-04-01,286542.0
2014-04-02,304014.0
2014-04-03,299590.0
2014-04-04,332524.0
2014-04-08,345632.0
2014-04-09,349066.0
2014-04-10,333166.0
2014-04-11,328524.0
2014-04-14,346404.0
2014-04-15,325018.0
2014-04-16,336714.0
2014-04-17,354428.0
2014-04-18,334796.0
2014-04-21,335204.0
2014-04-22,331708.0
2014-04-23,335562.0
2014-04-24,342232.0
2014-04-25,330792.0
2014-04-28,310640.0
2014-04-29,321984.0
2014-04-30,337974.0
2014-05-05,319948.0
2014-05-06,336710.0
2014-05-07,344124.0
2014-05-08,348114.0
2014-05-09,342654.0
2014-05-12,381024.0
2014-05-13,348542.0
2014-05-14,358288.0
2014-05-15,341154.0
2014-05-16,355346.0
2014-05-19,345030.0
2014-05-20,342930.0
2014-05-21,341840.0
2014-05-22,331462.0
2014-05-23,325648.0
2014-05-26,335072.0
2014-05-27,342238.0
2014-05-28,325660.0
2014-05-29,316326.0
2014-05-30,320446.0
2014-06-03,308596.0
2014-06-04,298010.0
2014-06-05,332256.0
2014-06-06,327578.0
2014-06-09,304524.0
2014-06-10,311498.0
2014-06-11,316298.0
2014-06-12,335002.0
2014-06-13,310260.0
2014-06-16,327166.0
2014-06-17,317186.0
2014-06-18,314344.0
2014-06-19,318542.0
2014-06-20,298404.0
2014-06-23,334424.0
2014-06-24,323770.0
2014-06-25,321174.0
2014-06-26,342164.0
2014-06-27,333996.0
2014-06-30,334072.0
2014-07-01,348850.0
2014-07-02,349342.0
2014-07-03,369546.0
2014-07-04,385546.0
2014-07-07,350500.0
2014-07-08,354152.0
2014-07-09,366138.0
2014-07-10,366152.0
2014-07-11,377160.0
2014-07-14,385332.0
2014-07-15,365874.0
2014-07-16,374412.0
2014-07-17,373070.0
2014-07-18,364950.0
2014-07-21,346192.0
2014-07-22,324292.0
2014-07-23,356360.0
2014-07-24,352644.0
2014-07-25,344600.0
2014-07-28,342464.0
2014-07-29,327662.0
2014-07-30,322392.0
2014-07-31,330260.0
2014-08-01,351606.0
2014-08-04,351978.0
2014-08-05,336526.0
2014-08-06,347880.0
2014-08-07,345770.0
2014-08-08,332746.0
2014-08-11,344742.0
2014-08-12,333512.0
2014-08-13,345052.0
2014-08-14,338730.0
2014-08-15,342806.0
2014-08-18,339084.0
2014-08-19,343436.0
2014-08-20,338930.0
2014-08-21,333266.0
2014-08-22,334112.0
2014-08-25,330628.0
2014-08-26,319866.0
2014-08-27,309200.0
2014-08-28,295910.0
2014-08-29,287016.0
2014-09-01,274468.0
2014-09-02,298576.0
2014-09-03,297306.0
2014-09-04,286714.0
2014-09-05,291570.0
2014-09-09,323508.0
2014-09-10,334512.0
2014-09-11,327752.0
2014-09-12,334002.0
2014-09-15,324878.0
2014-09-16,327774.0
2014-09-17,322954.0
2014-09-18,327008.0
2014-09-19,316618.0
2014-09-22,311466.0
2014-09-23,313260.0
2014-09-24,310230.0
2014-09-25,271480.0
2014-09-26,264406.0
2014-09-29,243240.0
2014-09-30,219058.0
2014-10-08,228280.0
2014-10-09,299434.0
2014-10-10,272238.0
2014-10-13,303240.0
2014-10-14,283564.0
2014-10-15,280982.0
2014-10-16,271762.0
2014-10-17,282540.0
2014-10-20,260638.0
2014-10-21,263550.0
2014-10-22,257060.0
2014-10-23,256176.0
2014-10-24,301042.0
2014-10-27,260450.0
2014-10-28,259950.0
2014-10-29,248636.0
2014-10-30,251702.0
2014-10-31,237740.0
2014-11-03,243928.0
2014-11-04,231114.0
2014-11-05,223022.0
2014-11-06,226400.0
2014-11-07,214276.0
2014-11-10,214662.0
2014-11-11,225516.0
2014-11-12,216352.0
2014-11-13,209176.0
2014-11-14,196214.0
2014-11-17,195206.0
2014-11-18,207958.0
2014-11-19,208164.0
2014-11-20,206332.0
2014-11-21,198800.0
2014-11-24,210000.0
2014-11-25,210768.0
2014-11-26,217456.0
2014-11-27,216198.0
2014-11-28,213768.0
2014-12-01,207776.0
2014-12-02,212724.0
2014-12-03,212360.0
2014-12-04,221062.0
2014-12-05,220744.0
2014-12-08,229012.0
2014-12-09,234694.0
2014-12-10,233144.0
2014-12-11,226640.0
2014-12-12,238434.0
2014-12-15,233488.0
2014-12-16,238946.0
2014-12-17,253018.0
2014-12-18,239876.0
2014-12-19,240242.0
2014-12-22,249998.0
2014-12-23,301200.0
2014-12-24,282620.0
2014-12-25,285496.0
2014-12-26,276928.0
2014-12-29,275014.0
2014-12-30,227592.0
2014-12-31,158332.0
2015-01-05,146720.0
2015-01-06,166088.0
2015-01-07,166302.0
