trading_date,rank,volume,volume_change
2013-11-05,210,673547663,-2308
2013-11-06,210,741053050,5794
2013-11-07,210,705319286,3227
2013-11-08,210,657105441,-1235
2013-11-11,210,553611361,-7245
2013-11-12,210,613422738,3571
2013-11-13,210,763299128,12921
2013-11-14,210,809694786,1853
2013-11-15,210,729773802,264
2013-11-18,210,738546530,2228
2013-11-19,210,767033699,5938
2013-11-20,210,505608743,-12804
2013-11-21,210,439533574,-1021
2013-11-22,210,414030353,-2898
2013-11-25,210,409430816,1692
2013-11-26,210,434874576,8387
2013-11-27,210,367866323,-720
2013-11-28,210,315960815,3603
2013-11-29,210,273482700,-5083
2013-12-02,210,326002283,7245
2013-12-03,210,311117529,1436
2013-12-04,210,282659342,-322
2013-12-05,210,316705068,7051
2013-12-06,210,363328992,6892
2013-12-09,210,320248940,-3121
2013-12-10,210,298706174,-1667
2013-12-11,210,436855738,15454
2013-12-12,210,366324948,-3473
2013-12-13,210,363713113,1526
2013-12-16,210,410253162,7804
2013-12-17,210,326043220,-3395
2013-12-18,210,299354812,-987
2013-12-19,210,272912748,1162
2013-12-20,210,229182277,-3133
2013-12-23,210,299616518,10829
2013-12-24,210,396327580,7567
2013-12-25,210,328393616,-2020
2013-12-26,210,327511049,503
2013-12-27,210,280179824,-3449
2013-12-30,210,290784028,1914
2013-12-31,210,228050037,-5439
2014-01-02,210,280151046,6693
2014-01-03,210,282960192,2848
2014-01-06,210,258689011,4618
2014-01-07,210,338973656,7263
2014-01-08,210,223208900,-4258
2014-01-09,210,322278190,17189
2014-01-10,210,402270447,7509
2014-01-13,210,304880002,-5118
2014-01-14,210,301927102,-985
2014-01-15,210,298898090,600
2014-01-16,210,346231666,8544
2014-01-17,210,373845700,2836
2014-01-20,210,344279893,3056
2014-01-21,210,326513948,2388
2014-01-22,210,309168567,660
2014-01-23,210,282265869,-3336
2014-01-24,210,207995344,-4409
2014-01-27,210,199023757,-139
2014-01-28,210,193341389,2185
2014-01-29,210,162317285,-4527
2014-01-30,210,154260872,-1337
2014-02-07,210,166474418,3061
2014-02-10,210,211358036,8059
2014-02-11,210,230853255,6981
2014-02-12,210,268600709,4096
2014-02-13,210,230566903,-4313
2014-02-14,210,271268101,6046
2014-02-17,210,221021026,-880
2014-02-18,210,250084908,4900
2014-02-19,210,282211163,5475
2014-02-20,210,236547947,-2328
2014-02-21,210,215855630,2816
2014-02-24,210,219987067,8073
2014-02-25,210,239698133,3570
2014-02-26,210,258139485,8158
2014-02-27,210,271449033,1071
2014-02-28,210,265358658,1251
2014-03-03,210,371776051,13952
2014-03-04,210,353101901,541
2014-03-05,210,470876198,10498
2014-03-06,210,483257986,2603
2014-03-07,210,487832528,-817
2014-03-10,210,445673018,1367
2014-03-11,210,398879291,-5270
2014-03-12,210,453276144,12223
2014-03-13,210,388921943,-3895
2014-03-14,210,375200304,2199
2014-03-17,210,436225955,6453
2014-03-18,210,474332632,1524
2014-03-19,210,461499495,122
2014-03-20,210,445584766,-831
2014-03-21,210,475908439,4751
2014-03-24,210,514165753,3779
2014-03-25,210,417891547,-7269
2014-03-26,210,348973982,-2789
2014-03-27,210,383649040,9091
2014-03-28,210,374835933,725
2014-03-31,210,331638831,-490
2014-04-01,210,365566827,5480
2014-04-02,210,387814056,5224
2014-04-03,210,402105495,6825
2014-04-04,210,594022083,17085
2014-04-08,210,580966755,6985
2014-04-09,210,581359567,4368
2014-04-10,210,465385664,-10430
2014-04-11,210,450923025,5091
2014-04-14,210,554605224,12393
2014-04-15,210,518663140,-1908
2014-04-16,210,653431209,12979
2014-04-17,210,692046799,6013
2014-04-18,210,560981153,-5098
2014-04-21,210,554687066,426
2014-04-22,210,521580359,630
2014-04-23,210,526690236,2374
2014-04-24,210,580432341,6228
2014-04-25,210,533315139,-2333
2014-04-28,210,515611999,-1558
2014-04-29,210,563728837,4997
2014-04-30,210,611704058,6129
2014-05-05,210,568855411,-3070
2014-05-06,210,591419352,6765
2014-05-07,210,655839725,4407
2014-05-08,210,686548759,3931
2014-05-09,210,680925140,-774
2014-05-12,210,763530103,8201
2014-05-13,210,578942846,-7055
2014-05-14,210,593740975,3145
2014-05-15,210,540264903,-1738
2014-05-16,210,619603270,10835
2014-05-19,210,540936114,-5107
2014-05-20,210,566310841,1358
2014-05-21,210,549951234,376
2014-05-22,210,498880694,-3844
2014-05-23,210,497218404,997
2014-05-26,210,515289430,6842
2014-05-27,210,503015627,-273
2014-05-28,210,462214454,-1027
2014-05-29,210,440678394,290
2014-05-30,210,448557681,5104
2014-06-03,210,370444216,-2025
2014-06-04,210,362504717,-510
2014-06-05,210,485946664,13207
2014-06-06,210,453619230,-2729
2014-06-09,210,401139446,-1958
2014-06-10,210,412173580,2462
2014-06-11,210,420645530,2576
2014-06-12,210,490671687,8799
2014-06-13,210,406234989,-7397
2014-06-16,210,494006092,8379
2014-06-17,210,460341197,-697
2014-06-18,210,437830878,-1020
2014-06-19,210,454174736,2820
2014-06-20,210,443687977,-664
2014-06-23,210,417301090,3717
2014-06-24,210,360658180,-1077
2014-06-25,210,341996017,-1445
2014-06-26,210,433984282,10268
2014-06-27,210,418212531,-1700
2014-06-30,210,391637116,131
2014-07-01,210,441854003,3417
2014-07-02,210,446357891,576
2014-07-03,210,505230989,5474
2014-07-04,210,503399275,3203
2014-07-07,210,403236096,-4737
2014-07-08,210,473402913,5436
2014-07-09,210,523285710,5208
2014-07-10,210,495088469,418
2014-07-11,210,542858120,6016
2014-07-14,210,603930346,6986
2014-07-15,210,582952553,-1405
2014-07-16,210,569395668,960
2014-07-17,210,550204407,1635
2014-07-18,210,519126284,58
2014-07-21,210,469175104,-1664
2014-07-22,210,373937068,-5211
2014-07-23,210,450886235,9455
2014-07-24,210,450318390,-52
2014-07-25,210,422620695,-3065
2014-07-28,210,398946200,2022
2014-07-29,210,420915709,2777
2014-07-30,210,341197912,-5904
2014-07-31,210,369735334,3273
2014-08-01,210,404367394,5176
2014-08-04,210,523617171,7373
2014-08-05,210,388801372,-2489
2014-08-06,210,465344558,8128
2014-08-07,210,514873960,3293
2014-08-08,210,541796351,2675
2014-08-11,210,523490853,4131
2014-08-12,210,499809497,-1361
2014-08-13,210,525081242,4023
2014-08-14,210,542555227,447
2014-08-15,210,610210344,7282
2014-08-18,210,652672330,4599
2014-08-19,210,706861821,3364
2014-08-20,210,670775035,-1076
2014-08-21,210,631629018,-2726
2014-08-22,210,636949095,3205
2014-08-25,210,625160857,4182
2014-08-26,210,576032819,-643
2014-08-27,210,504097975,-2192
2014-08-28,210,450858413,-1109
2014-08-29,210,469925620,1307
2014-09-01,210,435094464,-2045
2014-09-02,210,490507046,11840
2014-09-03,210,513316102,2000
2014-09-04,210,449494632,-4759
2014-09-05,210,525541595,8524
2014-09-09,210,706387632,12547
2014-09-10,210,732652378,6926
2014-09-11,210,708620653,-354
2014-09-12,210,723434807,2211
2014-09-15,210,680591501,-1586
2014-09-16,210,720977868,4110
2014-09-17,210,695206427,-2047
2014-09-18,210,754813749,4770
2014-09-19,210,746939711,-742
2014-09-22,210,695922843,-4367
2014-09-23,210,766204985,3847
2014-09-24,210,789040538,2797
2014-09-25,210,560801530,-13283
2014-09-26,210,542209036,139
2014-09-29,210,429193533,-6852
2014-09-30,210,350553928,-5333
2014-10-08,210,387079758,3393
2014-10-09,210,665022364,25448
2014-10-10,210,625952523,-3372
2014-10-13,210,680297087,8761
2014-10-14,210,536451462,-5208
2014-10-15,210,563759721,2132
2014-10-16,210,530459318,-2693
2014-10-17,210,593873376,6009
2014-10-20,210,507971851,-4181
2014-10-21,210,509422529,2324
2014-10-22,210,497764237,1642
2014-10-23,210,540948707,1591
2014-10-24,210,610362428,15693
2014-10-27,210,456735962,-8989
2014-10-28,210,542183641,1471
2014-10-29,210,366356676,-4618
2014-10-30,210,526630819,6147
2014-10-31,210,583821049,-2135
2014-11-03,210,611055321,4710
2014-11-04,210,670445823,2169
2014-11-05,210,641214358,-402
2014-11-06,210,625369424,2469
2014-11-07,210,584666425,466
2014-11-10,210,545196730,2305
2014-11-11,210,577665947,3566
2014-11-12,210,574447824,907
2014-11-13,210,443534101,-3336
2014-11-14,210,380756350,-3078
2014-11-17,210,330934242,-1737
2014-11-18,210,241839919,2652
2014-11-19,210,215344824,-1100
2014-11-20,210,208119021,-363
2014-11-21,210,179380643,-1825
2014-11-24,210,223733264,4879
2014-11-25,210,213885642,1033
2014-11-26,210,218709996,2345
2014-11-27,210,227456391,193
2014-11-28,210,257054806,4505
2014-12-01,210,248283239,-654
2014-12-02,210,245520411,2527
2014-12-03,210,245669699,1741
2014-12-04,210,268981150,3396
2014-12-05,210,277625103,476
2014-12-08,210,317025484,4312
2014-12-09,210,333269257,2450
2014-12-10,210,318649020,-704
2014-12-11,210,303388731,278
2014-12-12,210,337539603,2855
2014-12-15,210,313753459,-487
2014-12-16,210,352332470,4699
2014-12-17,210,397871547,5840
2014-12-18,210,374177808,-3492
2014-12-19,210,431245962,5658
2014-12-22,210,352392926,-843
2014-12-23,210,492718009,15981
2014-12-24,210,409763103,-6168
2014-12-25,210,417031161,2015
2014-12-26,210,391982935,-3499
2014-12-29,210,359625212,-1967
2014-12-30,210,294450109,-5401
2014-12-31,210,137179558,-16602
2015-01-05,210,113009300,-911
2015-01-06,210,141728717,6494
2015-01-07,210,140115514,699
2015-01-08,210,138437915,3196
2015-01-09,210,119746374,-3048
2015-01-12,210,112402656,-221
2015-01-13,210,119183727,1110
2015-01-14,210,129952410,2386
2015-01-15,210,132739561,1809
2015-01-16,210,130774927,1754
2015-01-19,210,174667510,6326
2015-01-20,210,113280851,-8112
2015-01-21,210,108514309,-964
2015-01-22,210,107921043,149
2015-01-23,210,119725402,3019
2015-01-26,210,166700433,6481
2015-01-27,210,147135492,-2093
2015-01-28,210,145213820,-58
2015-01-29,210,140579548,-2126
2015-01-30,210,139173605,-390
2015-02-02,210,120700238,-822
2015-02-03,210,102500956,-2476
2015-02-04,210,106988265,3233
2015-02-05,210,101307006,-729
2015-02-06,210,105274714,1702
2015-02-09,210,86089427,-1592
2015-02-10,210,74636909,-1012
2015-02-11,210,67933104,-1339
2015-02-12,210,64689662,-789
2015-02-13,210,60050801,-390
2015-02-16,210,44914680,-1876
2015-02-17,210,40618015,-861
2015-02-25,210,35442425,-439
2015-02-26,210,36474489,842
2015-02-27,210,39713802,1259
2015-03-02,210,45751726,1462
