trading_date,rank,volume,volume_change
2013-11-05,210,668848366,-710
2013-11-06,210,679135648,1022
2013-11-07,210,615832865,6915
2013-11-08,210,626761578,3955
2013-11-11,210,590358754,-4193
2013-11-12,210,591195269,4564
2013-11-13,210,550922116,-2186
2013-11-14,210,561489347,552
2013-11-15,210,536069638,-4917
2013-11-18,210,561474189,5241
2013-11-19,210,613000435,8263
2013-11-20,210,534010299,-4558
2013-11-21,210,588075470,3344
2013-11-22,210,576100340,-1289
2013-11-25,210,549678314,389
2013-11-26,210,562934717,14410
2013-11-27,210,553000413,99
2013-11-28,210,575644312,2235
2013-11-29,210,557253196,509
2013-12-02,210,587699629,5967
2013-12-03,210,518158956,-5004
2013-12-04,210,513773513,2498
2013-12-05,210,610107630,4475
2013-12-06,210,626858867,2332
2013-12-09,210,552692072,-5180
2013-12-10,210,507610562,-677
2013-12-11,210,483112007,236
2013-12-12,210,494154576,2329
2013-12-13,210,447948113,1640
2013-12-16,210,478707865,5345
2013-12-17,210,424606140,-3349
2013-12-18,210,361534817,-1548
2013-12-19,210,354196863,-1734
2013-12-20,210,321419806,541
2013-12-23,210,360028154,4340
2013-12-24,210,407995218,6528
2013-12-25,210,460591277,3265
2013-12-26,210,441406542,-327
2013-12-27,210,445143447,2356
2013-12-30,210,536691745,7701
2013-12-31,210,475586126,-3354
2014-01-02,210,406562977,4237
2014-01-03,210,408950391,985
2014-01-06,210,408056042,5434
2014-01-07,210,489425035,5977
2014-01-08,210,399953328,-4546
2014-01-09,210,514994353,16751
2014-01-10,210,493949982,-223
2014-01-13,210,476953901,2706
2014-01-14,210,454804317,5196
2014-01-15,210,466922216,2236
2014-01-16,210,511902494,3843
2014-01-17,210,529481773,2834
2014-01-20,210,503656243,4994
2014-01-21,210,490452103,1997
2014-01-22,210,579890464,10972
2014-01-23,210,457098322,-2794
2014-01-24,210,366790135,-3153
2014-01-27,210,343918514,-2106
2014-01-28,210,341747762,4587
2014-01-29,210,329214661,-3492
2014-01-30,210,272926348,-938
2014-02-07,210,285951509,1788
2014-02-10,210,333464286,12942
2014-02-11,210,424255973,12879
2014-02-12,210,448151681,7180
2014-02-13,210,406613603,-1007
2014-02-14,210,450680036,11625
2014-02-17,210,438765476,19184
2014-02-18,210,440706799,4418
2014-02-19,210,513620868,10798
2014-02-20,210,468975440,528
2014-02-21,210,486951883,4626
2014-02-24,210,515029630,7074
2014-02-25,210,402155199,-1545
2014-02-26,210,438788303,9056
2014-02-27,210,377877810,-2747
2014-02-28,210,400849223,8793
2014-03-03,210,465322283,11430
2014-03-04,210,588454886,9839
2014-03-05,210,801454590,25820
2014-03-06,210,859385764,9432
2014-03-07,210,947288482,8348
2014-03-10,210,901659257,3669
2014-03-11,210,630337458,-6945
2014-03-12,210,704903103,15127
2014-03-13,210,636376010,-683
2014-03-14,210,635653443,-274
2014-03-17,210,705484313,8167
2014-03-18,210,713930036,1612
2014-03-19,210,656848654,-766
2014-03-20,210,663086522,3985
2014-03-21,210,768413726,10544
2014-03-24,210,629776315,-5545
2014-03-25,210,482164730,-1797
2014-03-26,210,475070471,3474
2014-03-27,210,700570559,15573
2014-03-28,210,723463182,4036
2014-03-31,210,783954824,4355
2014-04-01,210,737621701,-2197
2014-04-02,210,735657022,3462
2014-04-03,210,622284285,-800
2014-04-04,210,719335363,13805
2014-04-08,210,875729073,16329
2014-04-09,210,885829997,5613
2014-04-10,210,740919996,-6437
2014-04-11,210,711662037,-1249
2014-04-14,210,802304050,7622
2014-04-15,210,623030599,-7904
2014-04-16,210,700794679,12426
2014-04-17,210,825191447,10681
2014-04-18,210,821283745,118
2014-04-21,210,885476017,3517
2014-04-22,210,870777469,-2771
2014-04-23,210,796495442,2363
2014-04-24,210,886290826,6970
2014-04-25,210,789473574,-4677
2014-04-28,210,663386429,-4028
2014-04-29,210,788367918,6064
2014-04-30,210,752959177,8771
2014-05-05,210,634169077,-5130
2014-05-06,210,681176608,5502
2014-05-07,210,838075246,9859
2014-05-08,210,838459188,309
2014-05-09,210,770980144,-3469
2014-05-12,210,986548639,16796
2014-05-13,210,879320247,-5535
2014-05-14,210,897981919,5734
2014-05-15,210,848935566,-1891
2014-05-16,210,830548309,5630
2014-05-19,210,836853235,116
2014-05-20,210,766270501,-3267
2014-05-21,210,771147359,2312
2014-05-22,210,782779013,2207
2014-05-23,210,767358568,-300
2014-05-26,210,725389255,4287
2014-05-27,210,773860457,4285
2014-05-28,210,745867615,-655
2014-05-29,210,771599003,2430
2014-05-30,210,684262584,1845
2014-06-03,210,655130069,-587
2014-06-04,210,577178899,-2321
2014-06-05,210,725140846,12529
2014-06-06,210,632775588,-2678
2014-06-09,210,605424109,-1919
2014-06-10,210,607211988,4193
2014-06-11,210,694709489,5547
2014-06-12,210,754852382,4554
2014-06-13,210,618393339,-5074
2014-06-16,210,666059874,5998
2014-06-17,210,628212140,-3272
2014-06-18,210,683530231,2598
2014-06-19,210,686043027,2708
2014-06-20,210,649139988,-1758
2014-06-23,210,814552440,18588
2014-06-24,210,794113903,1426
2014-06-25,210,803749766,474
2014-06-26,210,853821268,5819
2014-06-27,210,858238529,2651
2014-06-30,210,810897773,1702
2014-07-01,210,860892755,3870
2014-07-02,210,920790442,6084
2014-07-03,210,959429454,5981
2014-07-04,210,1046359198,4131
2014-07-07,210,797269171,-4025
2014-07-08,210,847765539,3613
2014-07-09,210,843487653,4545
2014-07-10,210,878273696,2797
2014-07-11,210,925840785,3361
2014-07-14,210,940687772,1971
2014-07-15,210,793309610,-4320
2014-07-16,210,854896343,4599
2014-07-17,210,877105103,2567
2014-07-18,210,762739324,-182
2014-07-21,210,639929140,-3966
2014-07-22,210,578953255,-4647
2014-07-23,210,683852610,16215
2014-07-24,210,684925139,4898
2014-07-25,210,576841868,-1384
2014-07-28,210,467266800,-1762
2014-07-29,210,487736983,507
2014-07-30,210,463762252,463
2014-07-31,210,489860755,2521
2014-08-01,210,540218455,7808
2014-08-04,210,585564253,9078
2014-08-05,210,606405504,4461
2014-08-06,210,662103020,6040
2014-08-07,210,690186375,528
2014-08-08,210,692048643,169
2014-08-11,210,790497921,8588
2014-08-12,210,699567992,-4933
2014-08-13,210,723264889,4035
2014-08-14,210,637165892,-973
2014-08-15,210,590994565,4108
2014-08-18,210,560382256,-666
2014-08-19,210,531365315,-131
2014-08-20,210,522596635,98
2014-08-21,210,504137514,-1
2014-08-22,210,467229414,-207
2014-08-25,210,453924607,-433
2014-08-26,210,405062380,-2954
2014-08-27,210,458288129,6313
2014-08-28,210,425935712,226
2014-08-29,210,405861336,384
2014-09-01,210,399417400,-1430
2014-09-02,210,499724973,8908
2014-09-03,210,575003647,10123
2014-09-04,210,671290019,7637
2014-09-05,210,719335257,4376
2014-09-09,210,814319823,12601
2014-09-10,210,894599220,10981
2014-09-11,210,905726221,1127
2014-09-12,210,949976076,3395
2014-09-15,210,950264347,1973
2014-09-16,210,962808682,1162
2014-09-17,210,849836776,1113
2014-09-18,210,867085590,1849
2014-09-19,210,802343919,-835
2014-09-22,210,712884621,-17
2014-09-23,210,708819109,2522
2014-09-24,210,705358209,1960
2014-09-25,210,635804969,-5164
2014-09-26,210,602470556,-1401
2014-09-29,210,582460948,-2528
2014-09-30,210,559283641,-3567
2014-10-08,210,601753897,6813
2014-10-09,210,788963670,17852
2014-10-10,210,532373361,-7555
2014-10-13,210,624614831,14916
2014-10-14,210,664360114,-1022
2014-10-15,210,713015037,4413
2014-10-16,210,635340673,-1932
2014-10-17,210,795549028,9186
2014-10-20,210,597115555,-8819
2014-10-21,210,566947858,358
2014-10-22,210,451850265,-4036
2014-10-23,210,437986008,-156
2014-10-24,210,560967855,13946
2014-10-27,210,449878460,-6569
2014-10-28,210,502963816,3594
2014-10-29,210,475556563,-554
2014-10-30,210,494671177,3552
2014-10-31,210,478296944,-2411
2014-11-03,210,538409752,2224
2014-11-04,210,493077607,-4426
