trading_date,rank,volume,volume_change
2013-11-05,210,150074,6929
2013-11-06,210,160123,13853
2013-11-07,210,143294,-11890
2013-11-08,210,136741,-4607
2013-11-11,210,141249,4119
2013-11-12,210,138793,1186
2013-11-13,210,151877,18405
2013-11-14,210,150189,-2692
2013-11-15,210,144678,-6711
2013-11-18,210,144166,2241
2013-11-19,210,143493,2670
2013-11-20,210,139645,-1372
2013-11-21,210,131953,1715
2013-11-22,210,133033,3033
2013-11-25,210,146504,17701
2013-11-26,210,140911,10775
2013-11-27,210,156971,17873
2013-11-28,210,156904,6300
2013-11-29,210,158820,4335
2013-12-02,210,163046,9804
2013-12-03,210,160407,1974
2013-12-04,210,164430,3385
2013-12-05,210,159062,-3378
2013-12-06,210,159199,1798
2013-12-09,210,163995,3807
2013-12-10,210,157568,-4965
2013-12-11,210,149380,-6132
2013-12-12,210,141577,-4614
2013-12-13,210,138238,1836
2013-12-16,210,139847,1966
2013-12-17,210,136026,-4280
2013-12-18,210,128858,-4109
2013-12-19,210,122779,-1647
2013-12-20,210,119495,-3014
2013-12-23,210,112933,-2436
2013-12-24,210,123160,12907
2013-12-25,210,116166,-6895
2013-12-26,210,114760,-170
2013-12-27,210,105765,-8198
2013-12-30,210,100701,-2320
2013-12-31,210,99682,507
2014-01-02,210,108689,10931
2014-01-03,210,125437,17406
2014-01-06,210,136094,17105
2014-01-07,210,157711,30412
2014-01-08,210,157662,2180
2014-01-09,210,137554,-12751
2014-01-10,210,127536,843
2014-01-13,210,143306,18420
2014-01-14,210,148820,8253
2014-01-15,210,146600,-618
2014-01-16,210,140884,-2249
2014-01-17,210,150620,10988
2014-01-20,210,152839,8513
2014-01-21,210,145488,-6196
2014-01-22,210,151223,7597
2014-01-23,210,157919,11845
2014-01-24,210,156102,-87
2014-01-27,210,154250,-1852
2014-01-28,210,154037,471
2014-01-29,210,136929,-9662
2014-01-30,210,134431,-979
2014-02-07,210,136151,2733
2014-02-10,210,161318,30891
2014-02-11,210,179474,21548
2014-02-12,210,186485,8898
2014-02-13,210,197045,12535
2014-02-14,210,193966,-1465
2014-02-17,210,191854,1699
2014-02-18,210,215753,26295
2014-02-19,210,221661,6088
2014-02-20,210,212221,-7186
2014-02-21,210,221261,14249
2014-02-24,210,216201,-5809
2014-02-25,210,214808,6485
2014-02-26,210,219032,4199
2014-02-27,210,213395,2806
2014-02-28,210,205415,-7065
2014-03-03,210,206904,11103
2014-03-04,210,208674,2896
2014-03-05,210,210295,3543
2014-03-06,210,201037,-844
2014-03-07,210,197896,758
2014-03-10,210,220067,24116
2014-03-11,210,199060,-11915
2014-03-12,210,205184,6896
2014-03-13,210,189155,-15235
2014-03-14,210,195034,11168
2014-03-17,210,192617,1263
2014-03-18,210,196944,2988
2014-03-19,210,179112,-13574
2014-03-20,210,193970,18000
2014-03-21,210,187109,5882
2014-03-24,210,189534,6302
2014-03-25,210,172431,-9222
2014-03-26,210,180086,8174
2014-03-27,210,153514,-15615
2014-03-28,210,164812,11782
2014-03-31,210,141977,-22916
2014-04-01,210,160572,20559
2014-04-02,210,172463,10371
2014-04-03,210,186921,26514
2014-04-04,210,196108,10744
2014-04-08,210,190056,-5795
2014-04-09,210,192411,2930
2014-04-10,210,184501,-7537
2014-04-11,210,182522,2512
2014-04-14,210,168626,-4820
2014-04-15,210,172263,6283
2014-04-16,210,165115,-5359
2014-04-17,210,160363,2384
2014-04-18,210,154302,-3181
2014-04-21,210,159252,5537
