trading_date,rank,volume,volume_change
2013-11-05,210,126379,6633
2013-11-06,210,110111,-12072
2013-11-07,210,98968,-3306
2013-11-08,210,99672,2149
2013-11-11,210,105482,7005
2013-11-12,210,112952,11427
2013-11-13,210,123956,16666
2013-11-14,210,123378,2499
2013-11-15,210,112544,-7696
2013-11-18,210,111493,699
2013-11-19,210,105591,-2037
2013-11-20,210,112522,6223
2013-11-21,210,108314,1709
2013-11-22,210,115024,10878
2013-11-25,210,120981,4841
2013-11-26,210,132828,14254
2013-11-27,210,138719,6656
2013-11-28,210,135896,-1764
2013-11-29,210,137613,2497
2013-12-02,210,148077,11030
2013-12-03,210,137495,-7216
2013-12-04,210,143173,6579
2013-12-05,210,142158,-356
2013-12-06,210,140975,-1051
2013-12-09,210,145400,6958
2013-12-10,210,135371,-7598
2013-12-11,210,129617,-4114
2013-12-12,210,122994,-1476
2013-12-13,210,121536,-769
2013-12-16,210,116524,826
2013-12-17,210,113070,18
2013-12-18,210,104412,-3223
2013-12-19,210,100214,-3157
2013-12-20,210,100070,1208
2013-12-23,210,92912,-4880
2013-12-24,210,99413,12519
2013-12-25,210,91254,-5079
2013-12-26,210,94739,5039
2013-12-27,210,88798,-3647
2013-12-30,210,86866,-2049
2013-12-31,210,81481,-316
2014-01-02,210,88190,6251
2014-01-03,210,95253,9055
2014-01-06,210,102565,11298
2014-01-07,210,109584,10414
2014-01-08,210,106973,-2903
2014-01-09,210,104150,4921
2014-01-10,210,101060,1357
2014-01-13,210,111188,13520
2014-01-14,210,116272,6315
2014-01-15,210,116083,6519
2014-01-16,210,115147,-612
2014-01-17,210,113707,5049
2014-01-20,210,121458,8172
2014-01-21,210,108661,-10686
2014-01-22,210,109116,4176
2014-01-23,210,111098,3283
2014-01-24,210,107831,-3409
2014-01-27,210,106107,1740
2014-01-28,210,112268,8828
2014-01-29,210,112857,-1113
2014-01-30,210,106925,-4812
2014-02-07,210,108351,2944
2014-02-10,210,125001,18515
2014-02-11,210,139314,14402
2014-02-12,210,139732,4900
2014-02-13,210,151066,7902
2014-02-14,210,159035,12117
2014-02-17,210,162351,5296
2014-02-18,210,165448,8776
2014-02-19,210,174538,8564
2014-02-20,210,165090,2618
2014-02-21,210,172357,14129
2014-02-24,210,161958,-7330
2014-02-25,210,163939,8534
2014-02-26,210,159223,708
2014-02-27,210,153847,-2963
2014-02-28,210,145651,-4774
2014-03-03,210,140729,-2580
2014-03-04,210,141572,3880
2014-03-05,210,134241,2616
2014-03-06,210,137981,944
2014-03-07,210,126309,-987
2014-03-10,210,145954,21012
2014-03-11,210,144439,4431
2014-03-12,210,137730,2723
2014-03-13,210,129249,-5249
2014-03-14,210,127246,7424
2014-03-17,210,134008,5415
2014-03-18,210,123127,-1252
2014-03-19,210,128117,10408
2014-03-20,210,134964,6514
2014-03-21,210,133786,1484
2014-03-24,210,134258,1130
2014-03-25,210,119961,-16037
2014-03-26,210,119362,4399
2014-03-27,210,104936,-10760
2014-03-28,210,116708,11078
2014-03-31,210,102752,-11678
2014-04-01,210,116750,16247
2014-04-02,210,125928,9029
2014-04-03,210,140602,16328
2014-04-04,210,151363,12270
2014-04-08,210,143980,-7490
2014-04-09,210,147269,6397
2014-04-10,210,142825,-4389
2014-04-11,210,140425,198
2014-04-14,210,138482,-2017
2014-04-15,210,138568,2631
2014-04-16,210,144376,4413
2014-04-17,210,143114,-1093
2014-04-18,210,139632,10375
2014-04-21,210,147839,10993
2014-04-22,210,159507,13559
2014-04-23,210,157090,-398
2014-04-24,210,157519,2655
2014-04-25,210,149436,-2963
2014-04-28,210,148154,681
2014-04-29,210,163283,15533
2014-04-30,210,163735,3652
2014-05-05,210,173410,11646
2014-05-06,210,179670,6405
2014-05-07,210,188809,9418
2014-05-08,210,181063,-4827
2014-05-09,210,195130,16709
2014-05-12,210,189413,-3829
2014-05-13,210,198052,7078
2014-05-14,210,198894,375
2014-05-15,210,195833,5517
2014-05-16,210,217456,18866
2014-05-19,210,214170,-3116
2014-05-20,210,215295,3280
2014-05-21,210,230402,28134
2014-05-22,210,231039,2360
2014-05-23,210,233043,3787
2014-05-26,210,245357,23426
2014-05-27,210,269986,27804
2014-05-28,210,273451,5949
2014-05-29,210,284365,11010
2014-05-30,210,285744,1893
2014-06-03,210,279016,1049
2014-06-04,210,275503,-1895
2014-06-05,210,279716,4225
2014-06-06,210,272720,-5649
2014-06-09,210,272418,-167
2014-06-10,210,267772,-4629
2014-06-11,210,269972,2325
2014-06-12,210,268133,2321
2014-06-13,210,267959,-152
2014-06-16,210,280310,15122
2014-06-17,210,281603,3612
2014-06-18,210,283106,1186
2014-06-19,210,275259,-7629
2014-06-20,210,279551,10161
2014-06-23,210,288820,9639
2014-06-24,210,278305,-5834
2014-06-25,210,281389,4041
2014-06-26,210,277084,-3933
2014-06-27,210,287913,14985
2014-06-30,210,290127,5716
2014-07-01,210,286387,-5476
2014-07-02,210,273902,-9637
2014-07-03,210,276040,2106
2014-07-04,210,277623,-628
2014-07-07,210,273147,1265
2014-07-08,210,271951,-547
2014-07-09,210,266407,2291
2014-07-10,210,269219,2751
2014-07-11,210,269543,5942
2014-07-14,210,277460,13582
2014-07-15,210,278028,2964
2014-07-16,210,266982,-15366
2014-07-17,210,278104,13210
2014-07-18,210,225419,-41760
2014-07-21,210,219987,-3560
2014-07-22,210,231497,9161
2014-07-23,210,235399,8960
2014-07-24,210,249150,14535
2014-07-25,210,251072,2759
2014-07-28,210,254541,4469
2014-07-29,210,244151,-6041
2014-07-30,210,249057,5769
2014-07-31,210,246703,-3532
2014-08-01,210,244277,648
2014-08-04,210,231762,-6619
2014-08-05,210,224769,-9229
2014-08-06,210,174035,-36317
2014-08-07,210,133380,-40769
2014-08-08,210,103393,-13423
2014-08-11,210,103769,3447
2014-08-12,210,107616,6918
2014-08-13,210,110970,6669
