trading_date,L_total_oi
2013-11-05,497462.0
2013-11-06,488140.0
2013-11-07,432652.0
2013-11-08,415788.0
2013-11-11,422682.0
2013-11-12,438918.0
2013-11-13,495316.0
2013-11-14,485346.0
2013-11-15,460352.0
2013-11-18,459608.0
2013-11-19,430570.0
2013-11-20,434130.0
2013-11-21,427776.0
2013-11-22,437228.0
2013-11-25,464544.0
2013-11-26,498292.0
2013-11-27,532574.0
2013-11-28,525804.0
2013-11-29,532132.0
2013-12-02,565770.0
2013-12-03,532310.0
2013-12-04,551510.0
2013-12-05,530978.0
2013-12-06,519798.0
2013-12-09,537802.0
2013-12-10,496530.0
2013-12-11,468312.0
2013-12-12,439520.0
2013-12-13,429782.0
2013-12-16,418986.0
2013-12-17,405098.0
2013-12-18,383276.0
2013-12-19,367834.0
2013-12-20,357086.0
2013-12-23,341110.0
2013-12-24,373074.0
2013-12-25,340372.0
2013-12-26,346042.0
2013-12-27,317640.0
2013-12-30,310168.0
2013-12-31,306114.0
2014-01-02,326856.0
2014-01-03,364680.0
2014-01-06,392434.0
2014-01-07,447786.0
2014-01-08,449668.0
2014-01-09,385292.0
2014-01-10,383688.0
2014-01-13,439434.0
2014-01-14,434164.0
2014-01-15,432356.0
2014-01-16,421768.0
2014-01-17,423148.0
2014-01-20,434322.0
2014-01-21,416004.0
2014-01-22,423620.0
2014-01-23,435874.0
2014-01-24,421010.0
2014-01-27,413198.0
2014-01-28,413206.0
2014-01-29,375692.0
2014-01-30,356540.0
2014-02-07,373052.0
2014-02-10,458600.0
2014-02-11,509634.0
2014-02-12,529928.0
2014-02-13,561268.0
2014-02-14,564480.0
2014-02-17,560234.0
2014-02-18,613994.0
2014-02-19,622194.0
2014-02-20,608138.0
2014-02-21,612904.0
2014-02-24,608246.0
2014-02-25,601920.0
2014-02-26,607816.0
2014-02-27,595722.0
2014-02-28,574966.0
2014-03-03,572484.0
2014-03-04,563202.0
2014-03-05,574548.0
2014-03-06,566158.0
2014-03-07,543636.0
2014-03-10,618060.0
2014-03-11,571182.0
2014-03-12,577516.0
2014-03-13,548042.0
2014-03-14,554000.0
2014-03-17,569172.0
2014-03-18,545442.0
2014-03-19,506914.0
2014-03-20,528366.0
2014-03-21,513190.0
2014-03-24,515972.0
2014-03-25,466472.0
2014-03-26,482780.0
2014-03-27,433042.0
2014-03-28,459950.0
2014-03-31,410460.0
2014-04-01,460502.0
2014-04-02,485226.0
2014-04-03,521632.0
2014-04-04,545156.0
2014-04-08,517096.0
2014-04-09,526922.0
2014-04-10,513356.0
2014-04-11,505256.0
2014-04-14,487962.0
2014-04-15,499846.0
2014-04-16,496832.0
2014-04-17,495094.0
2014-04-18,499468.0
2014-04-21,531896.0
2014-04-22,561154.0
2014-04-23,552098.0
2014-04-24,551730.0
2014-04-25,537050.0
2014-04-28,521480.0
2014-04-29,564126.0
2014-04-30,556626.0
2014-05-05,605816.0
2014-05-06,613360.0
2014-05-07,643996.0
2014-05-08,613476.0
2014-05-09,639016.0
2014-05-12,621246.0
2014-05-13,638818.0
2014-05-14,643112.0
2014-05-15,649644.0
2014-05-16,689174.0
2014-05-19,674222.0
2014-05-20,694766.0
2014-05-21,733046.0
2014-05-22,739626.0
2014-05-23,737426.0
2014-05-26,769798.0
2014-05-27,817084.0
2014-05-28,823784.0
2014-05-29,866234.0
2014-05-30,860198.0
2014-06-03,860388.0
2014-06-04,854950.0
2014-06-05,866480.0
2014-06-06,851864.0
2014-06-09,858088.0
2014-06-10,857722.0
2014-06-11,859112.0
2014-06-12,861206.0
2014-06-13,839940.0
2014-06-16,868228.0
2014-06-17,890102.0
2014-06-18,860740.0
2014-06-19,850470.0
2014-06-20,867946.0
2014-06-23,864528.0
2014-06-24,846752.0
2014-06-25,863336.0
2014-06-26,845476.0
2014-06-27,861794.0
2014-06-30,870406.0
2014-07-01,847538.0
2014-07-02,818850.0
2014-07-03,824600.0
2014-07-04,816896.0
2014-07-07,820888.0
2014-07-08,822852.0
2014-07-09,816718.0
2014-07-10,815606.0
2014-07-11,829122.0
2014-07-14,873880.0
2014-07-15,860072.0
2014-07-16,817922.0
2014-07-17,863818.0
2014-07-18,690492.0
2014-07-21,699660.0
2014-07-22,711686.0
2014-07-23,729372.0
2014-07-24,763912.0
2014-07-25,749942.0
2014-07-28,735620.0
2014-07-29,722542.0
2014-07-30,729246.0
2014-07-31,735126.0
2014-08-01,732030.0
2014-08-04,714382.0
2014-08-05,646642.0
2014-08-06,533730.0
2014-08-07,452508.0
2014-08-08,399848.0
2014-08-11,380584.0
2014-08-12,388874.0
2014-08-13,386998.0
2014-08-14,379148.0
2014-08-15,369992.0
2014-08-18,357356.0
2014-08-19,349244.0
2014-08-20,377990.0
2014-08-21,332588.0
2014-08-22,328112.0
2014-08-25,341782.0
2014-08-26,344804.0
2014-08-27,337420.0
2014-08-28,346514.0
2014-08-29,375212.0
2014-09-01,382422.0
2014-09-02,358036.0
2014-09-03,369804.0
2014-09-04,393688.0
2014-09-05,414610.0
2014-09-09,510066.0
2014-09-10,517928.0
2014-09-11,519226.0
2014-09-12,539472.0
2014-09-15,519976.0
2014-09-16,525040.0
2014-09-17,570352.0
2014-09-18,580378.0
2014-09-19,572278.0
2014-09-22,571520.0
2014-09-23,587628.0
2014-09-24,557288.0
2014-09-25,585522.0
2014-09-26,583486.0
2014-09-29,560956.0
2014-09-30,517596.0
2014-10-08,518686.0
2014-10-09,573682.0
2014-10-10,685130.0
2014-10-13,630232.0
2014-10-14,583304.0
2014-10-15,526694.0
2014-10-16,522654.0
2014-10-17,546896.0
2014-10-20,544678.0
2014-10-21,542280.0
2014-10-22,527832.0
2014-10-23,507868.0
2014-10-24,457064.0
2014-10-27,481658.0
2014-10-28,479028.0
2014-10-29,473074.0
2014-10-30,486100.0
2014-10-31,466438.0
2014-11-03,487818.0
2014-11-04,496884.0
2014-11-05,470650.0
2014-11-06,453772.0
2014-11-07,444114.0
2014-11-10,448166.0
2014-11-11,497986.0
2014-11-12,507290.0
2014-11-13,517020.0
2014-11-14,524110.0
2014-11-17,528668.0
2014-11-18,548882.0
2014-11-19,523576.0
2014-11-20,536728.0
2014-11-21,537782.0
2014-11-24,621362.0
2014-11-25,623800.0
2014-11-26,630506.0
2014-11-27,622688.0
2014-11-28,674748.0
2014-12-01,683770.0
2014-12-02,662734.0
2014-12-03,686750.0
2014-12-04,685054.0
2014-12-05,664396.0
2014-12-08,675978.0
2014-12-09,667580.0
2014-12-10,696816.0
2014-12-11,712326.0
2014-12-12,676112.0
2014-12-15,687518.0
2014-12-16,690686.0
2014-12-17,735360.0
2014-12-18,743772.0
2014-12-19,701458.0
2014-12-22,718128.0
2014-12-23,668870.0
2014-12-24,647600.0
2014-12-25,657290.0
2014-12-26,694500.0
2014-12-29,659526.0
2014-12-30,622918.0
2014-12-31,561656.0
2015-01-05,561770.0
2015-01-06,674840.0
2015-01-07,735980.0
2015-01-08,710492.0
2015-01-09,730180.0
2015-01-12,734472.0
2015-01-13,739798.0
2015-01-14,776506.0
2015-01-15,768376.0
2015-01-16,738334.0
2015-01-19,758468.0
2015-01-20,764604.0
2015-01-21,781564.0
2015-01-22,818278.0
2015-01-23,824362.0
2015-01-26,816600.0
2015-01-27,794736.0
2015-01-28,801400.0
2015-01-29,811098.0
2015-01-30,812366.0
2015-02-02,832880.0
2015-02-03,832884.0
2015-02-04,731746.0
2015-02-05,763090.0
2015-02-06,792836.0
2015-02-09,799986.0
2015-02-10,828860.0
2015-02-11,879100.0
2015-02-12,868910.0
2015-02-13,812064.0
2015-02-16,729750.0
2015-02-17,685506.0
2015-02-25,680438.0
2015-02-26,772340.0
2015-02-27,723450.0
2015-03-02,728488.0
2015-03-03,677466.0
2015-03-04,686516.0
2015-03-05,635952.0
2015-03-06,657964.0
2015-03-09,658668.0
2015-03-10,645620.0
2015-03-11,618402.0
2015-03-12,639136.0
2015-03-13,647402.0
2015-03-16,610682.0
2015-03-17,648724.0
2015-03-18,628554.0
2015-03-19,634718.0
2015-03-20,641956.0
2015-03-23,692430.0
2015-03-24,691164.0
2015-03-25,725346.0
2015-03-26,722120.0
2015-03-27,729522.0
2015-03-30,748950.0
2015-03-31,719778.0
2015-04-01,721220.0
2015-04-02,702418.0
2015-04-03,690594.0
2015-04-07,679176.0
2015-04-08,605542.0
2015-04-09,602714.0
2015-04-10,585944.0
2015-04-13,554482.0
2015-04-14,528844.0
2015-04-15,508916.0
2015-04-16,471262.0
2015-04-17,454100.0
2015-04-20,445000.0
2015-04-21,454806.0
2015-04-22,439082.0
2015-04-23,493764.0
2015-04-24,547940.0
2015-04-27,562792.0
