trading_date,rank,volume,volume_change
2013-11-05,210,1634992244,6929
2013-11-06,210,1834599213,13853
2013-11-07,210,1432722002,-11890
2013-11-08,210,1325588175,-4607
2013-11-11,210,1402732763,4119
2013-11-12,210,1341280485,1186
2013-11-13,210,1561517185,18405
2013-11-14,210,1346096319,-2692
2013-11-15,210,1234676868,-6711
2013-11-18,210,1211836048,2241
2013-11-19,210,1243356685,2670
2013-11-20,210,1198813239,-1372
2013-11-21,210,1152653067,1715
2013-11-22,210,1149822443,3033
2013-11-25,210,1333584318,17701
2013-11-26,210,1278371877,10775
2013-11-27,210,1556522839,17873
2013-11-28,210,1508440708,6300
2013-11-29,210,1552547864,4335
2013-12-02,210,1707389580,9804
2013-12-03,210,1591424193,1974
2013-12-04,210,1685270266,3385
2013-12-05,210,1575286846,-3378
2013-12-06,210,1554622753,1798
2013-12-09,210,1667628683,3807
2013-12-10,210,1545037074,-4965
2013-12-11,210,1374267828,-6132
2013-12-12,210,1229893201,-4614
2013-12-13,210,1198988858,1836
2013-12-16,210,1232717021,1966
2013-12-17,210,1205551102,-4280
2013-12-18,210,1061936530,-4109
2013-12-19,210,954679047,-1647
2013-12-20,210,917844055,-3014
2013-12-23,210,832899121,-2436
2013-12-24,210,985785734,12907
2013-12-25,210,896671356,-6895
2013-12-26,210,859700040,-170
2013-12-27,210,718223199,-8198
2013-12-30,210,676859119,-2320
2013-12-31,210,607157338,507
2014-01-02,210,733923193,10931
2014-01-03,210,956963659,17406
2014-01-06,210,1132143718,17105
2014-01-07,210,1460237793,30412
2014-01-08,210,1497288420,2180
2014-01-09,210,1176113492,-12751
2014-01-10,210,1031720630,843
2014-01-13,210,1272637594,18420
2014-01-14,210,1518103220,8253
2014-01-15,210,1503151752,-618
2014-01-16,210,1355487504,-2249
2014-01-17,210,1570440540,10988
2014-01-20,210,1652719491,8513
2014-01-21,210,1408481534,-6196
2014-01-22,210,1550934215,7597
2014-01-23,210,1702147109,11845
2014-01-24,210,1549854756,-87
2014-01-27,210,1500381662,-1852
2014-01-28,210,1538085443,471
2014-01-29,210,1217122737,-9662
2014-01-30,210,1182278649,-979
2014-02-07,210,1190950783,2733
2014-02-10,210,1633357838,30891
2014-02-11,210,2205755050,21548
2014-02-12,210,2261755717,8898
2014-02-13,210,2587567087,12535
2014-02-14,210,2476371550,-1465
2014-02-17,210,2358940960,1699
2014-02-18,210,3031778069,26295
2014-02-19,210,3195985989,6088
2014-02-20,210,2947822741,-7186
2014-02-21,210,3242824797,14249
2014-02-24,210,3172073113,-5809
2014-02-25,210,3478112940,6485
2014-02-26,210,3634614088,4199
2014-02-27,210,3490082661,2806
2014-02-28,210,3290473717,-7065
2014-03-03,210,3772265758,11103
2014-03-04,210,3748899874,2896
2014-03-05,210,3772018953,3543
2014-03-06,210,3512877701,-844
2014-03-07,210,3324909392,758
2014-03-10,210,4037122745,24116
2014-03-11,210,3432752824,-11915
2014-03-12,210,3707486360,6896
2014-03-13,210,3021669493,-15235
2014-03-14,210,3594435702,11168
2014-03-17,210,3487606341,1263
2014-03-18,210,3547301202,2988
2014-03-19,210,2743525414,-13574
2014-03-20,210,3401943524,18000
2014-03-21,210,3005181691,5882
2014-03-24,210,3207608528,6302
2014-03-25,210,2732892163,-9222
2014-03-26,210,2905716966,8174
2014-03-27,210,2089640470,-15615
2014-03-28,210,2485448868,11782
2014-03-31,210,1945925523,-22916
2014-04-01,210,2278846500,20559
2014-04-02,210,2417076655,10371
