trading_date,rank,volume,volume_change
2013-11-05,210,1067704859,6633
2013-11-06,210,700024465,-12072
2013-11-07,210,578592580,-3306
2013-11-08,210,588940824,2149
2013-11-11,210,719924174,7005
2013-11-12,210,848398928,11427
2013-11-13,210,1052956818,16666
2013-11-14,210,1092981968,2499
2013-11-15,210,908260614,-7696
2013-11-18,210,879129957,699
2013-11-19,210,760707465,-2037
2013-11-20,210,971151730,6223
2013-11-21,210,977861470,1709
2013-11-22,210,1132524850,10878
2013-11-25,210,1076522705,4841
2013-11-26,210,1291534590,14254
2013-11-27,210,1363689301,6656
2013-11-28,210,1284167240,-1764
2013-11-29,210,1343044497,2497
2013-12-02,210,1482263053,11030
2013-12-03,210,1301829499,-7216
2013-12-04,210,1402618133,6579
2013-12-05,210,1360473434,-356
2013-12-06,210,1307150493,-1051
2013-12-09,210,1449403076,6958
2013-12-10,210,1239126769,-7598
2013-12-11,210,1154168295,-4114
2013-12-12,210,1020370566,-1476
2013-12-13,210,1005040290,-769
2013-12-16,210,877247676,826
2013-12-17,210,847608216,18
2013-12-18,210,733117698,-3223
2013-12-19,210,676519236,-3157
2013-12-20,210,669689436,1208
2013-12-23,210,553467872,-4880
2013-12-24,210,585218749,12519
2013-12-25,210,493968878,-5079
2013-12-26,210,545109149,5039
2013-12-27,210,501706236,-3647
2013-12-30,210,472766830,-2049
2013-12-31,210,427782727,-316
2014-01-02,210,480900258,6251
2014-01-03,210,546609631,9055
2014-01-06,210,635417673,11298
2014-01-07,210,695196940,10414
2014-01-08,210,635484733,-2903
2014-01-09,210,621730692,4921
2014-01-10,210,585835044,1357
2014-01-13,210,728820998,13520
2014-01-14,210,806227518,6315
2014-01-15,210,834864679,6519
2014-01-16,210,834674229,-612
2014-01-17,210,833563845,5049
2014-01-20,210,982435468,8172
2014-01-21,210,749668181,-10686
2014-01-22,210,757617292,4176
2014-01-23,210,768301750,3283
2014-01-24,210,735111109,-3409
2014-01-27,210,723923797,1740
2014-01-28,210,839968806,8828
2014-01-29,210,852782895,-1113
2014-01-30,210,777776717,-4812
2014-02-07,210,836119217,2944
2014-02-10,210,941731367,18515
2014-02-11,210,1154658600,14402
2014-02-12,210,1195789844,4900
2014-02-13,210,1349722110,7902
2014-02-14,210,1573728191,12117
2014-02-17,210,1738565753,5296
2014-02-18,210,1925891942,8776
2014-02-19,210,2022872762,8564
2014-02-20,210,1909328522,2618
2014-02-21,210,2045894817,14129
2014-02-24,210,1858041188,-7330
2014-02-25,210,1910663211,8534
2014-02-26,210,1740643453,708
2014-02-27,210,1585300071,-2963
2014-02-28,210,1399177725,-4774
2014-03-03,210,1330533529,-2580
2014-03-04,210,1386618056,3880
2014-03-05,210,1253989561,2616
2014-03-06,210,1249903519,944
2014-03-07,210,1091308963,-987
2014-03-10,210,1265035698,21012
2014-03-11,210,1280473025,4431
2014-03-12,210,1145346360,2723
2014-03-13,210,1017083011,-5249
2014-03-14,210,1014204300,7424
2014-03-17,210,1085432452,5415
2014-03-18,210,933964885,-1252
2014-03-19,210,1057263873,10408
2014-03-20,210,1161346290,6514
2014-03-21,210,1105675108,1484
2014-03-24,210,1105601646,1130
2014-03-25,210,898344403,-16037
2014-03-26,210,868618102,4399
2014-03-27,210,683899438,-10760
2014-03-28,210,875000938,11078
2014-03-31,210,694984704,-11678
2014-04-01,210,861706860,16247
2014-04-02,210,996542988,9029
2014-04-03,210,1284405922,16328
2014-04-04,210,1462776791,12270
2014-04-08,210,1322693658,-7490
2014-04-09,210,1352368981,6397
2014-04-10,210,1259789051,-4389
2014-04-11,210,1180188347,198
2014-04-14,210,1161676074,-2017
2014-04-15,210,1200856372,2631
2014-04-16,210,1297694416,4413
2014-04-17,210,1365949182,-1093
2014-04-18,210,1461153836,10375
2014-04-21,210,1575282721,10993
2014-04-22,210,1763525133,13559
2014-04-23,210,1755610296,-398
2014-04-24,210,1771173187,2655
2014-04-25,210,1626987748,-2963
