trading_date,rank,volume,volume_change
2014-06-17,210,571,571
2014-06-18,210,989,466
2014-06-19,210,1287,374
2014-06-20,210,1353,136
2014-06-23,210,1268,256
2014-06-24,210,1276,112
2014-06-25,210,1656,590
2014-06-26,210,1536,33
2014-06-27,210,1607,183
2014-06-30,210,1625,165
2014-07-01,210,1771,225
2014-07-02,210,1875,178
2014-07-03,210,2068,213
2014-07-04,210,2049,35
2014-07-07,210,2423,401
2014-07-08,210,2835,498
2014-07-09,210,2625,142
2014-07-10,210,2359,27
2014-07-11,210,2437,127
2014-07-14,210,2387,9
2014-07-15,210,2477,118
2014-07-16,210,2402,-70
2014-07-17,210,2425,60
2014-07-18,210,2340,-59
2014-07-21,210,2284,-41
2014-07-22,210,2171,-77
2014-07-23,210,2150,-13
2014-07-24,210,2178,45
2014-07-25,210,2217,95
2014-07-28,210,2245,74
2014-07-29,210,2133,-70
2014-07-30,210,2094,46
2014-07-31,210,2078,-3
2014-08-01,210,1882,-166
2014-08-04,210,1883,7
2014-08-05,210,1874,158
2014-08-06,210,1840,-33
2014-08-07,210,1682,-127
2014-08-08,210,1779,157
2014-08-11,210,1646,-111
2014-08-12,210,1561,-67
2014-08-13,210,1755,280
2014-08-14,210,1830,110
2014-08-15,210,1776,-27
2014-08-18,210,1781,27
2014-08-19,210,2137,379
2014-08-20,210,2025,-72
2014-08-21,210,1972,-45
2014-08-22,210,1846,-104
2014-08-25,210,2118,318
2014-08-26,210,3216,1211
2014-08-27,210,3690,560
2014-08-28,210,4034,374
2014-08-29,210,4915,881
2014-09-01,210,4879,42
2014-09-02,210,4191,-608
2014-09-03,210,4270,149
2014-09-04,210,4464,247
2014-09-05,210,4541,125
2014-09-09,210,4501,30
2014-09-10,210,4496,91
2014-09-11,210,4505,55
2014-09-12,210,5975,1581
2014-09-15,210,6666,889
2014-09-16,210,7045,1202
2014-09-17,210,7873,924
2014-09-18,210,8137,299
2014-09-19,210,8219,138
2014-09-22,210,8142,-51
2014-09-23,210,7431,-539
2014-09-24,210,7492,61
2014-09-25,210,7418,-74
2014-09-26,210,7298,-93
2014-09-29,210,7688,435
2014-09-30,210,7201,-441
2014-10-08,210,7473,279
2014-10-09,210,7534,66
2014-10-10,210,8650,1192
2014-10-13,210,8798,214
2014-10-14,210,9025,275
2014-10-15,210,8819,-169
2014-10-16,210,7938,-816
2014-10-17,210,7245,-690
2014-10-20,210,11269,4140
2014-10-21,210,11547,471
