trading_date,rank,volume,volume_change
2014-06-17,210,601,601
2014-06-18,210,1062,470
2014-06-19,210,1413,406
2014-06-20,210,1442,58
2014-06-23,210,1414,-18
2014-06-24,210,1428,56
2014-06-25,210,1982,584
2014-06-26,210,1874,-19
2014-06-27,210,1880,46
2014-06-30,210,1852,57
2014-07-01,210,1918,137
2014-07-02,210,2032,159
2014-07-03,210,2261,274
2014-07-04,210,2255,80
2014-07-07,210,2688,525
2014-07-08,210,3218,611
2014-07-09,210,2782,-302
2014-07-10,210,2577,-124
2014-07-11,210,2574,16
2014-07-14,210,2480,-73
2014-07-15,210,2588,123
2014-07-16,210,2506,-39
2014-07-17,210,2621,157
2014-07-18,210,2439,-25
2014-07-21,210,2410,-14
2014-07-22,210,2399,23
2014-07-23,210,2350,-3
2014-07-24,210,2367,25
2014-07-25,210,2404,48
2014-07-28,210,2448,55
2014-07-29,210,2385,-57
2014-07-30,210,2358,-13
2014-07-31,210,2356,-2
2014-08-01,210,1982,-347
2014-08-04,210,1988,20
2014-08-05,210,1986,22
2014-08-06,210,1919,-48
2014-08-07,210,1790,-108
2014-08-08,210,1848,76
2014-08-11,210,1722,-80
2014-08-12,210,1643,-42
2014-08-13,210,1856,324
2014-08-14,210,1901,145
2014-08-15,210,1839,-36
2014-08-18,210,1840,169
2014-08-19,210,2296,662
2014-08-20,210,2158,-131
2014-08-21,210,2077,-78
2014-08-22,210,1928,-105
2014-08-25,210,2287,605
2014-08-26,210,3399,1177
2014-08-27,210,3959,573
2014-08-28,210,4284,373
2014-08-29,210,5158,991
2014-09-01,210,5174,33
2014-09-02,210,4905,-246
2014-09-03,210,4982,124
2014-09-04,210,5208,271
2014-09-05,210,5253,76
2014-09-09,210,5145,-39
2014-09-10,210,5175,44
2014-09-11,210,5188,40
2014-09-12,210,6694,1637
2014-09-15,210,7466,823
2014-09-16,210,8024,642
2014-09-17,210,8450,483
2014-09-18,210,8639,254
2014-09-19,210,8707,72
2014-09-22,210,8410,-261
2014-09-23,210,7806,365
2014-09-24,210,7999,347
2014-09-25,210,7878,-33
2014-09-26,210,7788,-28
2014-09-29,210,7994,272
2014-09-30,210,7568,-188
2014-10-08,210,7635,87
2014-10-09,210,7681,98
2014-10-10,210,8440,834
2014-10-13,210,8483,92
2014-10-14,210,8612,186
2014-10-15,210,8519,88
2014-10-16,210,7514,-1005
2014-10-17,210,6797,34
2014-10-20,210,10370,3965
2014-10-21,210,10877,601
2014-10-22,210,10317,-516
2014-10-23,210,11090,803
2014-10-24,210,10343,-267
2014-10-27,210,8603,-837
2014-10-28,210,8980,404
2014-10-29,210,9190,236
2014-10-30,210,9202,399
2014-10-31,210,9637,747
2014-11-03,210,11133,2070
