trading_date,MA_total_oi
2014-06-17,1202.0
2014-06-18,2176.0
2014-06-19,2956.0
2014-06-20,2978.0
2014-06-23,2896.0
2014-06-24,2962.0
2014-06-25,4192.0
2014-06-26,3986.0
2014-06-27,3986.0
2014-06-30,4008.0
2014-07-01,4204.0
2014-07-02,4358.0
2014-07-03,4800.0
2014-07-04,4750.0
2014-07-07,5804.0
2014-07-08,6912.0
2014-07-09,6010.0
2014-07-10,5446.0
2014-07-11,5516.0
2014-07-14,5302.0
2014-07-15,5498.0
2014-07-16,5310.0
2014-07-17,5490.0
2014-07-18,5158.0
2014-07-21,5116.0
2014-07-22,4978.0
2014-07-23,4890.0
2014-07-24,4908.0
2014-07-25,5020.0
2014-07-28,5126.0
2014-07-29,4958.0
2014-07-30,4904.0
2014-07-31,4856.0
2014-08-01,4186.0
2014-08-04,4154.0
2014-08-05,4126.0
2014-08-06,4036.0
2014-08-07,3772.0
2014-08-08,3970.0
2014-08-11,3702.0
2014-08-12,3516.0
2014-08-13,4086.0
2014-08-14,4298.0
2014-08-15,4152.0
2014-08-18,4248.0
2014-08-19,5162.0
2014-08-20,4812.0
2014-08-21,4598.0
2014-08-22,4224.0
2014-08-25,4808.0
2014-08-26,7080.0
2014-08-27,8188.0
2014-08-28,8952.0
2014-08-29,10822.0
2014-09-01,10830.0
2014-09-02,10180.0
2014-09-03,10350.0
2014-09-04,10782.0
2014-09-05,10910.0
2014-09-09,10748.0
2014-09-10,10776.0
2014-09-11,10792.0
2014-09-12,14336.0
2014-09-15,15646.0
2014-09-16,16836.0
2014-09-17,18108.0
2014-09-18,18546.0
2014-09-19,18934.0
2014-09-22,18522.0
2014-09-23,17068.0
2014-09-24,17134.0
2014-09-25,16802.0
2014-09-26,16516.0
2014-09-29,17018.0
2014-09-30,15782.0
2014-10-08,16214.0
2014-10-09,16368.0
2014-10-10,18722.0
2014-10-13,18902.0
2014-10-14,19330.0
2014-10-15,18796.0
2014-10-16,16932.0
2014-10-17,15598.0
2014-10-20,24600.0
2014-10-21,25400.0
2014-10-22,23930.0
2014-10-23,25336.0
2014-10-24,25008.0
2014-10-27,21804.0
2014-10-28,22136.0
2014-10-29,22246.0
2014-10-30,22304.0
2014-10-31,23344.0
2014-11-03,27722.0
2014-11-04,29594.0
2014-11-05,35450.0
2014-11-06,37634.0
2014-11-07,41646.0
2014-11-10,41810.0
2014-11-11,43126.0
2014-11-12,44234.0
2014-11-13,45088.0
2014-11-14,46516.0
2014-11-17,48150.0
2014-11-18,49218.0
2014-11-19,60186.0
2014-11-20,81716.0
2014-11-21,81758.0
2014-11-24,84260.0
2014-11-25,84510.0
2014-11-26,82670.0
2014-11-27,80468.0
2014-11-28,83868.0
2014-12-01,91436.0
2014-12-02,92850.0
2014-12-03,92068.0
2014-12-04,102904.0
2014-12-05,115282.0
2014-12-08,123800.0
2014-12-09,125452.0
2014-12-10,127364.0
2014-12-11,136336.0
2014-12-12,156676.0
2014-12-15,180362.0
2014-12-16,274284.0
2014-12-17,417278.0
2014-12-18,464838.0
2014-12-19,406482.0
2014-12-22,536996.0
2014-12-23,564320.0
2014-12-24,541960.0
2014-12-25,475824.0
2014-12-26,495408.0
2014-12-29,476680.0
2014-12-30,476578.0
2014-12-31,387162.0
2015-01-05,405960.0
2015-01-06,440070.0
2015-01-07,452592.0
2015-01-08,444456.0
2015-01-09,438568.0
2015-01-12,587724.0
2015-01-13,622330.0
2015-01-14,581428.0
2015-01-15,553472.0
2015-01-16,543896.0
2015-01-19,526386.0
2015-01-20,543332.0
2015-01-21,510868.0
2015-01-22,482052.0
2015-01-23,479284.0
2015-01-26,502776.0
2015-01-27,495712.0
2015-01-28,636898.0
2015-01-29,583134.0
2015-01-30,557632.0
2015-02-02,572804.0
2015-02-03,596326.0
2015-02-04,541330.0
2015-02-05,527554.0
2015-02-06,565430.0
2015-02-09,540012.0
2015-02-10,523552.0
2015-02-11,499142.0
2015-02-12,551132.0
2015-02-13,542600.0
2015-02-16,423592.0
2015-02-17,365204.0
2015-02-25,440582.0
2015-02-26,664662.0
2015-02-27,725372.0
2015-03-02,851386.0
2015-03-03,735532.0
2015-03-04,724118.0
2015-03-05,887084.0
2015-03-06,986646.0
2015-03-09,1215782.0
2015-03-10,1212804.0
2015-03-11,1213692.0
2015-03-12,1335368.0
2015-03-13,1188758.0
2015-03-16,1196856.0
2015-03-17,1205580.0
2015-03-18,1176190.0
2015-03-19,1130052.0
2015-03-20,1106070.0
2015-03-23,1024638.0
2015-03-24,952354.0
2015-03-25,794530.0
2015-03-26,829056.0
2015-03-27,778396.0
2015-03-30,808658.0
2015-03-31,838508.0
2015-04-01,831738.0
2015-04-02,1012132.0
2015-04-03,795872.0
2015-04-07,788808.0
2015-04-08,770280.0
2015-04-09,818546.0
2015-04-10,983582.0
2015-04-13,869364.0
2015-04-14,812750.0
2015-04-15,791926.0
2015-04-16,888524.0
2015-04-17,791750.0
2015-04-20,794754.0
2015-04-21,830420.0
2015-04-22,791420.0
2015-04-23,775476.0
2015-04-24,730374.0
2015-04-27,743232.0
2015-04-28,714074.0
2015-04-29,682230.0
2015-04-30,655706.0
2015-05-04,657048.0
2015-05-05,631966.0
2015-05-06,625686.0
2015-05-07,572832.0
2015-05-08,583118.0
2015-05-11,586048.0
2015-05-12,600406.0
2015-05-13,580256.0
2015-05-14,593918.0
2015-05-15,570774.0
2015-05-18,552614.0
2015-05-19,630660.0
2015-05-20,583194.0
2015-05-21,563530.0
2015-05-22,543502.0
2015-05-25,523090.0
2015-05-26,468074.0
2015-05-27,509798.0
2015-05-28,516082.0
2015-05-29,552002.0
2015-06-01,493042.0
2015-06-02,493222.0
2015-06-03,523822.0
2015-06-04,506020.0
2015-06-05,530136.0
2015-06-08,516340.0
2015-06-09,498446.0
2015-06-10,513918.0
2015-06-11,588792.0
2015-06-12,523474.0
2015-06-15,501634.0
2015-06-16,540954.0
2015-06-17,582314.0
2015-06-18,637196.0
2015-06-19,563850.0
2015-06-23,513576.0
2015-06-24,510256.0
2015-06-25,513494.0
2015-06-26,491148.0
2015-06-29,449040.0
2015-06-30,464122.0
2015-07-01,481874.0
2015-07-02,489658.0
2015-07-03,437922.0
2015-07-06,591238.0
2015-07-07,746338.0
2015-07-08,590916.0
2015-07-09,406474.0
2015-07-10,457830.0
2015-07-13,489172.0
2015-07-14,529050.0
2015-07-15,508560.0
2015-07-16,525706.0
2015-07-17,540578.0
2015-07-20,534940.0
2015-07-21,541340.0
2015-07-22,566074.0
2015-07-23,646998.0
2015-07-24,666272.0
2015-07-27,608450.0
2015-07-28,532206.0
2015-07-29,564872.0
2015-07-30,525560.0
2015-07-31,517544.0
2015-08-03,537344.0
2015-08-04,490834.0
2015-08-05,509552.0
2015-08-06,613800.0
2015-08-07,589356.0
2015-08-10,601010.0
2015-08-11,542750.0
2015-08-12,566818.0
2015-08-13,555772.0
2015-08-14,562320.0
2015-08-17,572570.0
2015-08-18,592518.0
2015-08-19,568868.0
2015-08-20,588344.0
2015-08-21,562190.0
2015-08-24,558846.0
2015-08-25,545570.0
2015-08-26,652330.0
2015-08-27,640326.0
2015-08-28,596230.0
2015-08-31,600944.0
2015-09-01,688996.0
2015-09-02,626412.0
2015-09-07,637998.0
2015-09-08,672168.0
2015-09-09,696972.0
2015-09-10,690208.0
2015-09-11,729474.0
2015-09-14,808206.0
2015-09-15,772390.0
2015-09-16,724398.0
2015-09-17,682590.0
2015-09-18,694422.0
2015-09-21,665824.0
2015-09-22,645150.0
2015-09-23,811202.0
2015-09-24,766206.0
2015-09-25,699968.0
2015-09-28,672002.0
2015-09-29,583402.0
2015-09-30,525578.0
2015-10-08,489462.0
2015-10-09,642992.0
2015-10-12,673484.0
2015-10-13,650082.0
2015-10-14,641052.0
2015-10-15,659032.0
2015-10-16,631198.0
2015-10-19,621900.0
2015-10-20,629364.0
2015-10-21,670954.0
2015-10-22,652720.0
2015-10-23,769254.0
2015-10-26,728616.0
2015-10-27,707656.0
2015-10-28,687280.0
2015-10-29,659272.0
2015-10-30,748820.0
2015-11-02,746562.0
2015-11-03,733948.0
2015-11-04,788142.0
2015-11-05,755798.0
2015-11-06,819262.0
2015-11-09,811346.0
2015-11-10,831690.0
2015-11-11,927266.0
2015-11-12,903374.0
2015-11-13,895572.0
2015-11-16,876022.0
2015-11-17,797702.0
2015-11-18,1058892.0
2015-11-19,969150.0
2015-11-20,972666.0
2015-11-23,1051656.0
2015-11-24,904792.0
2015-11-25,878944.0
2015-11-26,801664.0
2015-11-27,767366.0
2015-11-30,761900.0
2015-12-01,752110.0
2015-12-02,772454.0
2015-12-03,827792.0
2015-12-04,794496.0
2015-12-07,748346.0
2015-12-08,808994.0
2015-12-09,760338.0
2015-12-10,747992.0
2015-12-11,733068.0
2015-12-14,718316.0
2015-12-15,675940.0
2015-12-16,660432.0
2015-12-17,664066.0
2015-12-18,686926.0
2015-12-21,767196.0
2015-12-22,806226.0
2015-12-23,768170.0
2015-12-24,735686.0
2015-12-25,704246.0
2015-12-28,666182.0
2015-12-29,740230.0
2015-12-30,660168.0
2015-12-31,605210.0
2016-01-04,545882.0
2016-01-05,591062.0
2016-01-06,606700.0
2016-01-07,631304.0
2016-01-08,715878.0
2016-01-11,630324.0
2016-01-12,646522.0
2016-01-13,688666.0
2016-01-14,644314.0
2016-01-15,607274.0
2016-01-18,608660.0
2016-01-19,675252.0
2016-01-20,658408.0
2016-01-21,681836.0
2016-01-22,721372.0
2016-01-25,730278.0
2016-01-26,677174.0
2016-01-27,764024.0
2016-01-28,681296.0
2016-01-29,688020.0
2016-02-01,654780.0
2016-02-02,620000.0
2016-02-03,595568.0
2016-02-04,631164.0
2016-02-05,541676.0
2016-02-15,634286.0
2016-02-16,689124.0
2016-02-17,707778.0
2016-02-18,738848.0
2016-02-19,759406.0
2016-02-22,772870.0
2016-02-23,745164.0
2016-02-24,745342.0
2016-02-25,648498.0
2016-02-26,661372.0
2016-02-29,618092.0
2016-03-01,619980.0
2016-03-02,647712.0
2016-03-03,765446.0
2016-03-04,678070.0
2016-03-07,689542.0
2016-03-08,546586.0
2016-03-09,755854.0
2016-03-10,601070.0
2016-03-11,582480.0
2016-03-14,605046.0
2016-03-15,591232.0
2016-03-16,615720.0
2016-03-17,611996.0
2016-03-18,631774.0
2016-03-21,694134.0
2016-03-22,722032.0
2016-03-23,694250.0
2016-03-24,614314.0
2016-03-25,614574.0
2016-03-28,597180.0
2016-03-29,578592.0
2016-03-30,529274.0
2016-03-31,534468.0
2016-04-01,525416.0
2016-04-05,504590.0
2016-04-06,528590.0
2016-04-07,526212.0
2016-04-08,497012.0
2016-04-11,651922.0
2016-04-12,602736.0
2016-04-13,531780.0
2016-04-14,566234.0
2016-04-15,562910.0
2016-04-18,535570.0
2016-04-19,531052.0
2016-04-20,534922.0
2016-04-21,581320.0
2016-04-22,427748.0
2016-04-25,466542.0
2016-04-26,409576.0
2016-04-27,448386.0
2016-04-28,444562.0
2016-04-29,427394.0
2016-05-03,424662.0
2016-05-04,419760.0
2016-05-05,403970.0
2016-05-06,439428.0
2016-05-09,429814.0
2016-05-10,410578.0
2016-05-11,408888.0
2016-05-12,384628.0
2016-05-13,387468.0
2016-05-16,381074.0
2016-05-17,375902.0
2016-05-18,377016.0
2016-05-19,461272.0
2016-05-20,464256.0
2016-05-23,493438.0
2016-05-24,504108.0
2016-05-25,485644.0
2016-05-26,462720.0
2016-05-27,450262.0
2016-05-30,458948.0
2016-05-31,427260.0
2016-06-01,450796.0
2016-06-02,436578.0
2016-06-03,450266.0
2016-06-06,457658.0
2016-06-07,413954.0
