trading_date,rank,volume,volume_change
2014-06-17,210,66559,571
2014-06-18,210,106669,466
2014-06-19,210,150277,374
2014-06-20,210,202803,136
2014-06-23,210,295346,256
2014-06-24,210,294260,112
2014-06-25,210,354088,590
2014-06-26,210,347158,33
2014-06-27,210,447933,183
2014-06-30,210,426865,165
2014-07-01,210,513455,225
2014-07-02,210,577755,178
2014-07-03,210,650602,213
2014-07-04,210,635795,35
2014-07-07,210,729487,401
2014-07-08,210,817443,498
2014-07-09,210,851423,142
2014-07-10,210,827873,27
2014-07-11,210,860017,127
2014-07-14,210,898507,9
2014-07-15,210,929403,118
2014-07-16,210,880556,-70
2014-07-17,210,855487,60
2014-07-18,210,764972,-59
2014-07-21,210,755802,-41
2014-07-22,210,687985,-77
2014-07-23,210,670362,-13
2014-07-24,210,682508,45
2014-07-25,210,688529,95
2014-07-28,210,706335,74
2014-07-29,210,570317,-70
2014-07-30,210,522778,46
2014-07-31,210,516848,-3
2014-08-01,210,444658,-166
2014-08-04,210,446623,7
2014-08-05,210,497928,158
2014-08-06,210,481460,-33
2014-08-07,210,419104,-127
2014-08-08,210,523731,157
2014-08-11,210,442690,-111
2014-08-12,210,409557,-67
2014-08-13,210,497185,280
2014-08-14,210,519954,110
2014-08-15,210,478252,-27
2014-08-18,210,435169,27
2014-08-19,210,621449,379
2014-08-20,210,550169,-72
2014-08-21,210,550378,-45
2014-08-22,210,471400,-104
2014-08-25,210,736266,318
2014-08-26,210,2142796,1211
2014-08-27,210,2295950,560
2014-08-28,210,2640322,374
2014-08-29,210,3386995,881
2014-09-01,210,3440493,42
2014-09-02,210,2932987,-608
2014-09-03,210,3084212,149
2014-09-04,210,3305068,247
2014-09-05,210,3477477,125
2014-09-09,210,3317373,30
2014-09-10,210,3280240,91
2014-09-11,210,3212413,55
2014-09-12,210,4849695,1581
2014-09-15,210,4890902,889
2014-09-16,210,5525691,1202
2014-09-17,210,6274797,924
2014-09-18,210,6282599,299
2014-09-19,210,6366663,138
2014-09-22,210,5884642,-51
2014-09-23,210,4744207,-539
2014-09-24,210,4950050,61
2014-09-25,210,4756298,-74
2014-09-26,210,4758016,-93
2014-09-29,210,5920242,435
2014-09-30,210,5241289,-441
2014-10-08,210,6303509,279
2014-10-09,210,6489050,66
2014-10-10,210,8381704,1192
2014-10-13,210,12977538,214
2014-10-14,210,13655187,275
2014-10-15,210,13220173,-169
2014-10-16,210,8453370,-816
2014-10-17,210,7601425,-690
2014-10-20,210,12284917,4140
2014-10-21,210,13088613,471
2014-10-22,210,12653775,-466
2014-10-23,210,12595312,633
2014-10-24,210,11806330,639
2014-10-27,210,10602795,-879
2014-10-28,210,10937104,251
2014-10-29,210,11085153,202
2014-10-30,210,9809750,56
2014-10-31,210,11409663,735
2014-11-03,210,13886470,2055
2014-11-04,210,15437193,1099
2014-11-05,210,19273214,2307
2014-11-06,210,22165668,1524
2014-11-07,210,22991820,1837
2014-11-10,210,21995621,-161
2014-11-11,210,23268655,482
2014-11-12,210,24803454,914
2014-11-13,210,24827538,191
2014-11-14,210,25939106,616
2014-11-17,210,28499609,1284
2014-11-18,210,29281387,880
2014-11-19,210,39412840,4098
2014-11-20,210,71949647,9217
2014-11-21,210,74407812,274
2014-11-24,210,76150092,625
2014-11-25,210,78870702,894
2014-11-26,210,65015351,928
2014-11-27,210,57175908,-622
2014-11-28,210,63528494,2892
2014-12-01,210,71886715,3091
2014-12-02,210,68678535,-628
2014-12-03,210,65776448,396
2014-12-04,210,89267942,5679
2014-12-05,210,100812482,5152
2014-12-08,210,92127340,2897
2014-12-09,210,105210213,5384
2014-12-10,210,104448195,231
2014-12-11,210,117247200,5137
2014-12-12,210,129201233,5004
2014-12-15,210,133605297,4325
2014-12-16,210,278562933,26348
2014-12-17,210,1278974951,66963
2014-12-18,210,1427378836,22666
2014-12-19,210,1579571421,9308
2014-12-22,210,2095792552,27278
2014-12-23,210,2189439784,14428
2014-12-24,210,2007166488,-2420
2014-12-25,210,1700556926,-12513
2014-12-26,210,1833140511,7953
2014-12-29,210,1171097346,-14242
2014-12-30,210,1150265301,-3321
2014-12-31,210,922184804,-15799
2015-01-05,210,1032308524,8340
2015-01-06,210,1173221395,10032
2015-01-07,210,1032805299,829
2015-01-08,210,1018421023,380
2015-01-09,210,927352445,-1245
2015-01-12,210,1509924754,42921
2015-01-13,210,1665741912,17583
2015-01-14,210,1433378920,-585
2015-01-15,210,1340190404,479
2015-01-16,210,1212186053,7643
2015-01-19,210,1354786673,4662
2015-01-20,210,1393074399,7856
2015-01-21,210,1209408115,-4666
2015-01-22,210,1064633151,-5242
2015-01-23,210,1133442768,8382
2015-01-26,210,1428549550,26724
2015-01-27,210,1420071491,762
2015-01-28,210,2269845381,48621
2015-01-29,210,1774700852,-16859
2015-01-30,210,1847172729,8041
2015-02-02,210,1636376444,2178
2015-02-03,210,1766321044,5602
2015-02-04,210,1448882353,-5960
2015-02-05,210,1350986535,-1113
2015-02-06,210,1525961908,7402
2015-02-09,210,1441552043,-2182
2015-02-10,210,1314957204,-5635
2015-02-11,210,1242304947,-876
2015-02-12,210,1360979940,13222
2015-02-13,210,1346204078,4918
2015-02-16,210,862758327,-25352
2015-02-17,210,690273560,-12096
2015-02-25,210,978991245,28491
2015-02-26,210,1940266485,67390
2015-02-27,210,2453188398,22101
2015-03-02,210,4850591352,58732
2015-03-03,210,3027369481,-20934
2015-03-04,210,2654801271,6915
2015-03-05,210,3817669109,53374
2015-03-06,210,4833983715,41665
2015-03-09,210,9288221000,95381
2015-03-10,210,9270246965,12057
2015-03-11,210,8416477098,-7422
2015-03-12,210,10577439993,64141
2015-03-13,210,8554635120,-36402
2015-03-16,210,8548796477,11014
2015-03-17,210,8108051887,16950
2015-03-18,210,8606437443,22084
2015-03-19,210,7702084817,-3126
2015-03-20,210,7530114590,-4815
2015-03-23,210,6438121044,-21343
2015-03-24,210,5196119557,-9357
2015-03-25,210,3636570651,-45038
2015-03-26,210,3343449883,829
2015-03-27,210,3441810136,8371
2015-03-30,210,3878604688,17913
2015-03-31,210,3961048623,23143
2015-04-01,210,3889448055,4095
2015-04-02,210,5111641365,67994
2015-04-03,210,3747871726,-27416
2015-04-07,210,3913063189,11708
2015-04-08,210,3308301618,-10235
2015-04-09,210,4056376437,30278
2015-04-10,210,5955766892,55518
2015-04-13,210,4835753805,-25219
2015-04-14,210,4140543787,-23789
2015-04-15,210,3618515808,-10772
2015-04-16,210,4585022275,31457
2015-04-17,210,3442455477,241
2015-04-20,210,3531342835,6394
2015-04-21,210,3452859849,23732
2015-04-22,210,3359423488,6825
2015-04-23,210,3016962029,-7755
2015-04-24,210,2646526098,-6932
2015-04-27,210,2823024986,4614
2015-04-28,210,2460009303,-6178
2015-04-29,210,2140605096,-1681
2015-04-30,210,2288367389,9101
2015-05-04,210,2380752058,1146
2015-05-05,210,2307682253,-4611
2015-05-06,210,1774622605,-2741
2015-05-07,210,1568703229,-4063
2015-05-08,210,1780365223,11199
2015-05-11,210,1833394156,3539
2015-05-12,210,2056813809,11545
2015-05-13,210,1916909600,-1713
2015-05-14,210,2219451390,5863
2015-05-15,210,2354050109,4433
2015-05-18,210,2206024350,-3273
2015-05-19,210,2486890819,24648
2015-05-20,210,2218693850,-500
2015-05-21,210,2032781777,-6477
2015-05-22,210,2046297988,772
2015-05-25,210,2031142225,-1492
2015-05-26,210,1703297467,-13026
2015-05-27,210,1875053476,17424
2015-05-28,210,1995133032,8312
2015-05-29,210,2303749860,20227
2015-06-01,210,1810114790,1922
2015-06-02,210,1855693725,3492
2015-06-03,210,1893670131,5012
2015-06-04,210,1871670685,404
2015-06-05,210,2139466032,18607
2015-06-08,210,2116738913,363
2015-06-09,210,1823734852,-4290
2015-06-10,210,1853865048,8856
2015-06-11,210,2049188550,29804
2015-06-12,210,1493195371,-3874
2015-06-15,210,1310929966,-9309
2015-06-16,210,1376188060,16918
2015-06-17,210,1529000665,13094
2015-06-18,210,2241628421,36019
2015-06-19,210,1662495073,-17781
2015-06-23,210,1437628009,-12626
2015-06-24,210,1307458749,-2082
2015-06-25,210,1341620928,4739
2015-06-26,210,1287204582,3065
2015-06-29,210,1268270979,2621
2015-06-30,210,1461347007,10263
2015-07-01,210,1624284602,6910
2015-07-02,210,1612235825,4585
2015-07-03,210,1295987611,-17005
