trading_date,rank,volume,volume_change
2014-06-17,210,179575,601
2014-06-18,210,271338,470
2014-06-19,210,393881,406
2014-06-20,210,409478,58
2014-06-23,210,408696,-18
2014-06-24,210,414982,56
2014-06-25,210,636992,584
2014-06-26,210,631826,-19
2014-06-27,210,636046,46
2014-06-30,210,577826,57
2014-07-01,210,589658,137
2014-07-02,210,616114,159
2014-07-03,210,718539,274
2014-07-04,210,764463,80
2014-07-07,210,927970,525
2014-07-08,210,1155960,611
2014-07-09,210,976378,-302
2014-07-10,210,863799,-124
2014-07-11,210,864360,16
2014-07-14,210,821120,-73
2014-07-15,210,925342,123
2014-07-16,210,905840,-39
2014-07-17,210,925961,157
2014-07-18,210,810437,-25
2014-07-21,210,796898,-14
2014-07-22,210,821239,23
2014-07-23,210,823012,-3
2014-07-24,210,868991,25
2014-07-25,210,876268,48
2014-07-28,210,920594,55
2014-07-29,210,893581,-57
2014-07-30,210,876480,-13
2014-07-31,210,875314,-2
2014-08-01,210,650222,-347
2014-08-04,210,651180,20
2014-08-05,210,654484,22
2014-08-06,210,637897,-48
2014-08-07,210,465134,-108
2014-08-08,210,472426,76
2014-08-11,210,350250,-80
2014-08-12,210,313485,-42
2014-08-13,210,364276,324
2014-08-14,210,404423,145
2014-08-15,210,389901,-36
2014-08-18,210,422140,169
2014-08-19,210,929968,662
2014-08-20,210,903806,-131
2014-08-21,210,772557,-78
2014-08-22,210,591616,-105
2014-08-25,210,1428387,605
2014-08-26,210,4114169,1177
2014-08-27,210,6136433,573
2014-08-28,210,7143214,373
2014-08-29,210,9650086,991
2014-09-01,210,9746910,33
2014-09-02,210,9793393,-246
2014-09-03,210,9987936,124
2014-09-04,210,10392670,271
2014-09-05,210,10441033,76
2014-09-09,210,10416491,-39
2014-09-10,210,10411947,44
2014-09-11,210,10433338,40
2014-09-12,210,11586024,1637
2014-09-15,210,12262246,823
2014-09-16,210,14154368,642
2014-09-17,210,14584788,483
2014-09-18,210,14735157,254
2014-09-19,210,14830363,72
2014-09-22,210,13883874,-261
2014-09-23,210,14092192,365
