trading_date,rank,volume,volume_change
2013-11-05,210,953116,-22614
2013-11-06,210,957685,29962
2013-11-07,210,950620,11457
2013-11-08,210,943314,-4163
2013-11-11,210,938262,19385
2013-11-12,210,946093,8011
2013-11-13,210,913187,-17944
2013-11-14,210,888901,-19018
2013-11-15,210,884288,1790
2013-11-18,210,862583,-12740
2013-11-19,210,926676,54006
2013-11-20,210,908540,-12151
2013-11-21,210,885766,-13229
2013-11-22,210,883875,-1891
2013-11-25,210,863395,-8176
2013-11-26,210,844799,-18467
2013-11-27,210,840627,15298
2013-11-28,210,801222,-21099
2013-11-29,210,792766,13892
2013-12-02,210,812798,17408
2013-12-03,210,821045,15062
2013-12-04,210,835889,16768
2013-12-05,210,804680,-16034
2013-12-06,210,831780,17486
2013-12-09,210,808702,-1181
2013-12-10,210,755147,-42839
2013-12-11,210,744534,-9971
2013-12-12,210,696299,-27515
2013-12-13,210,684823,6434
2013-12-16,210,677723,-16242
2013-12-17,210,663630,-1450
2013-12-18,210,658207,5104
2013-12-19,210,663146,13226
2013-12-20,210,665232,7016
2013-12-23,210,621941,-41781
2013-12-24,210,656374,19683
2013-12-25,210,669696,43528
2013-12-26,210,663145,-10617
2013-12-27,210,654788,322
2013-12-30,210,624258,-19836
2013-12-31,210,623331,3289
2014-01-02,210,631173,11215
2014-01-03,210,647975,21773
2014-01-06,210,640496,-4705
2014-01-07,210,709929,53514
2014-01-08,210,699489,-1882
2014-01-09,210,688707,-15383
2014-01-10,210,673681,-2814
2014-01-13,210,695245,24184
2014-01-14,210,680178,543
2014-01-15,210,703507,28643
2014-01-16,210,739486,47199
2014-01-17,210,792169,46514
2014-01-20,210,774684,-5052
2014-01-21,210,779803,3515
2014-01-22,210,780547,1870
2014-01-23,210,771164,-4221
2014-01-24,210,765419,-14312
2014-01-27,210,749025,-12059
2014-01-28,210,726930,-14748
2014-01-29,210,709137,-17457
2014-01-30,210,722516,4972
2014-02-07,210,704266,-3672
2014-02-10,210,716710,54587
2014-02-11,210,710961,1658
2014-02-12,210,780160,54833
2014-02-13,210,797618,50209
2014-02-14,210,876218,62105
2014-02-17,210,832191,-9400
2014-02-18,210,811761,-2559
2014-02-19,210,832660,6291
2014-02-20,210,835979,3307
2014-02-21,210,818515,-877
2014-02-24,210,836431,28284
2014-02-25,210,847571,32957
2014-02-26,210,840309,-771
2014-02-27,210,832160,33
2014-02-28,210,843793,1752
2014-03-03,210,843698,20623
2014-03-04,210,863188,8305
2014-03-05,210,846231,-8715
2014-03-06,210,859822,10566
2014-03-07,210,876443,16046
2014-03-10,210,897643,48004
2014-03-11,210,893869,-9549
2014-03-12,210,906198,9880
2014-03-13,210,952099,40766
2014-03-14,210,1000009,40273
2014-03-17,210,954727,8567
2014-03-18,210,957459,5541
2014-03-19,210,933662,-3225
2014-03-20,210,886301,-20732
2014-03-21,210,858828,-10674
2014-03-24,210,889610,29035
2014-03-25,210,905789,37554
2014-03-26,210,902742,-3981
2014-03-27,210,821431,-39125
2014-03-28,210,844471,27519
2014-03-31,210,822745,-14727
2014-04-01,210,774121,-13637
2014-04-02,210,804229,50739
2014-04-03,210,754829,-416
2014-04-04,210,758190,16171
2014-04-08,210,734976,-14127
2014-04-09,210,759687,29437
2014-04-10,210,772154,9473
2014-04-11,210,804969,36227
2014-04-14,210,802017,-3552
2014-04-15,210,800556,1075
2014-04-16,210,814762,17663
2014-04-17,210,851088,56577
2014-04-18,210,841949,-4088
2014-04-21,210,821857,-6365
2014-04-22,210,858792,41039
2014-04-23,210,890427,35504
2014-04-24,210,882028,-14483
2014-04-25,210,874145,-6093
2014-04-28,210,842497,-19906
2014-04-29,210,806319,-15197
2014-04-30,210,776338,-21237
2014-05-05,210,775249,18959
2014-05-06,210,799394,32148
2014-05-07,210,805642,6273
2014-05-08,210,793312,-6340
2014-05-09,210,779330,-9203
2014-05-12,210,737634,-34212
2014-05-13,210,699818,-11327
2014-05-14,210,717690,12893
2014-05-15,210,713328,5709
2014-05-16,210,717420,4347
2014-05-19,210,770527,48179
2014-05-20,210,772285,5716
2014-05-21,210,787383,18459
2014-05-22,210,799317,32447
2014-05-23,210,802543,13176
2014-05-26,210,786817,-4378
2014-05-27,210,743000,-10132
2014-05-28,210,795992,45572
2014-05-29,210,819252,13226
2014-05-30,210,837526,13755
2014-06-03,210,858717,19489
2014-06-04,210,880923,35247
2014-06-05,210,872752,35967
2014-06-06,210,904624,39082
2014-06-09,210,906766,10730
2014-06-10,210,885629,-19851
2014-06-11,210,877427,11498
2014-06-12,210,868275,-1364
2014-06-13,210,881408,15410
2014-06-16,210,900147,8105
2014-06-17,210,930058,41617
2014-06-18,210,933149,8113
2014-06-19,210,930632,-4851
2014-06-20,210,940781,1305
2014-06-23,210,932837,10894
2014-06-24,210,937596,20017
2014-06-25,210,933140,12201
2014-06-26,210,914251,-11413
2014-06-27,210,881202,-23836
2014-06-30,210,873155,2396
2014-07-01,210,860988,-13546
2014-07-02,210,894361,48215
2014-07-03,210,898475,23961
2014-07-04,210,926058,27746
2014-07-07,210,907720,26925
2014-07-08,210,903448,-3490
2014-07-09,210,906830,-15079
2014-07-10,210,904001,11961
2014-07-11,210,897392,-10583
2014-07-14,210,889844,10885
2014-07-15,210,863957,-21610
2014-07-16,210,830453,-19848
2014-07-17,210,816173,-14826
2014-07-18,210,799681,-14682
2014-07-21,210,811700,30204
2014-07-22,210,791186,-22597
2014-07-23,210,805741,-4634
2014-07-24,210,745602,-32207
2014-07-25,210,740377,5304
2014-07-28,210,725549,-2809
2014-07-29,210,745942,12211
2014-07-30,210,752701,4784
2014-07-31,210,750140,784
2014-08-01,210,746209,41427
2014-08-04,210,759474,23371
2014-08-05,210,774278,13866
2014-08-06,210,788707,14027
2014-08-07,210,766664,-14497
2014-08-08,210,788668,31169
2014-08-11,210,826245,27797
2014-08-12,210,808754,-15799
2014-08-13,210,835144,48220
2014-08-14,210,797315,-27823
2014-08-15,210,798786,4497
2014-08-18,210,798249,-18176
2014-08-19,210,829700,32884
2014-08-20,210,836382,33632
2014-08-21,210,792482,-17567
2014-08-22,210,762900,-16297
2014-08-25,210,767930,-7549
2014-08-26,210,766227,6645
2014-08-27,210,783193,7710
2014-08-28,210,803879,15436
2014-08-29,210,808238,24250
2014-09-01,210,785577,-3424
2014-09-02,210,792907,817
2014-09-03,210,827886,24527
2014-09-04,210,841477,31419
2014-09-05,210,853221,1339
2014-09-09,210,845661,-17423
2014-09-10,210,806540,-19603
2014-09-11,210,794473,-12067
2014-09-12,210,820627,14016
2014-09-15,210,814938,-3781
2014-09-16,210,870004,55067
2014-09-17,210,894913,39045
2014-09-18,210,910089,45444
2014-09-19,210,912621,896
2014-09-22,210,879451,-24808
2014-09-23,210,869185,8831
2014-09-24,210,890612,22675
2014-09-25,210,888262,-817
2014-09-26,210,830701,-50255
2014-09-29,210,787271,-20586
2014-09-30,210,777082,-9149
2014-10-08,210,751828,-5696
2014-10-09,210,758019,12026
2014-10-10,210,770942,13245
2014-10-13,210,810066,38041
2014-10-14,210,815990,2602
