trading_date,rank,volume,volume_change
2013-11-05,210,1354215,16009
2013-11-06,210,1388174,35870
2013-11-07,210,1386660,-90
2013-11-08,210,1355175,-23737
2013-11-11,210,1390827,21664
2013-11-12,210,1416702,25710
2013-11-13,210,1372134,-30194
2013-11-14,210,1331510,-46788
2013-11-15,210,1285436,-17243
2013-11-18,210,1310036,19723
2013-11-19,210,1355552,49524
2013-11-20,210,1345834,-9207
2013-11-21,210,1328993,-21618
2013-11-22,210,1310207,13963
2013-11-25,210,1277785,-1465
2013-11-26,210,1230855,-50895
2013-11-27,210,1206731,-16394
2013-11-28,210,1218519,2477
2013-11-29,210,1198909,-19594
2013-12-02,210,1186297,-2777
2013-12-03,210,1219995,33713
2013-12-04,210,1248094,28104
2013-12-05,210,1230147,-16329
2013-12-06,210,1225235,-4873
2013-12-09,210,1237020,10274
2013-12-10,210,1210527,-26423
2013-12-11,210,1201372,-11216
2013-12-12,210,1137610,-45222
2013-12-13,210,1110792,-30066
2013-12-16,210,1084145,-26427
2013-12-17,210,1028049,-44707
2013-12-18,210,988671,-28682
2013-12-19,210,990172,1729
2013-12-20,210,971582,-6545
2013-12-23,210,912006,-59576
2013-12-24,210,913637,9735
2013-12-25,210,911513,-8353
2013-12-26,210,911442,-44
2013-12-27,210,885385,-9365
2013-12-30,210,936440,36830
2013-12-31,210,935967,4265
2014-01-02,210,948423,22503
2014-01-03,210,1003484,52735
2014-01-06,210,1010040,11339
2014-01-07,210,986235,-31032
2014-01-08,210,981345,-12833
2014-01-09,210,977182,18427
2014-01-10,210,998242,21933
2014-01-13,210,1014841,26297
2014-01-14,210,964939,-54184
2014-01-15,210,973174,9792
2014-01-16,210,1022280,49123
2014-01-17,210,1066498,48978
2014-01-20,210,1053281,-3970
2014-01-21,210,1066616,22072
2014-01-22,210,1070513,6073
2014-01-23,210,1081807,11298
2014-01-24,210,1093265,11462
2014-01-27,210,1066456,-24526
2014-01-28,210,1046153,-8625
2014-01-29,210,1041199,-11932
2014-01-30,210,1040968,-231
2014-02-07,210,990283,-48621
2014-02-10,210,1034489,43979
2014-02-11,210,1046869,15647
2014-02-12,210,1089822,59416
2014-02-13,210,1127892,44465
2014-02-14,210,1165749,40954
2014-02-17,210,1167956,19145
2014-02-18,210,1193451,11526
2014-02-19,210,1200387,1500
2014-02-20,210,1200269,6055
2014-02-21,210,1216260,26961
2014-02-24,210,1196064,-12051
2014-02-25,210,1207662,24529
2014-02-26,210,1175671,-30270
2014-02-27,210,1177856,3421
2014-02-28,210,1189889,5020
2014-03-03,210,1152248,-24780
2014-03-04,210,1149325,2094
2014-03-05,210,1128192,8037
2014-03-06,210,1123572,4051
2014-03-07,210,1128615,15641
2014-03-10,210,1152735,20289
2014-03-11,210,1127625,-8341
2014-03-12,210,1123542,3276
2014-03-13,210,1148672,45648
2014-03-14,210,1204671,43060
2014-03-17,210,1179251,-5781
2014-03-18,210,1163540,-16659
2014-03-19,210,1075703,-69648
2014-03-20,210,963639,-57179
2014-03-21,210,941092,-9679
2014-03-24,210,958507,19640
2014-03-25,210,964508,-1955
2014-03-26,210,931371,-12616
2014-03-27,210,934823,4252
2014-03-28,210,921389,-13941
2014-03-31,210,904409,-16980
2014-04-01,210,804057,-66495
2014-04-02,210,829952,21801
2014-04-03,210,830081,7796
2014-04-04,210,853993,22836
2014-04-08,210,867399,13416
2014-04-09,210,885149,27925
2014-04-10,210,889590,-2389
2014-04-11,210,902808,22948
2014-04-14,210,929789,25392
2014-04-15,210,888688,-21356
2014-04-16,210,847986,-30735
2014-04-17,210,885012,35087
2014-04-18,210,897391,6569
2014-04-21,210,892393,-2688
2014-04-22,210,921533,42391
2014-04-23,210,955958,36439
2014-04-24,210,942227,-2352
2014-04-25,210,935845,210
2014-04-28,210,914855,-9492
2014-04-29,210,896066,-7793
2014-04-30,210,868943,-23190
2014-05-05,210,906575,42538
2014-05-06,210,922741,20921
2014-05-07,210,938958,19069
2014-05-08,210,966646,28020
2014-05-09,210,927798,-29967
2014-05-12,210,869757,-45012
2014-05-13,210,862370,-10188
2014-05-14,210,872154,11732
2014-05-15,210,891759,22188
2014-05-16,210,902910,12199
2014-05-19,210,990191,91474
2014-05-20,210,978507,-11025
2014-05-21,210,1011529,32647
2014-05-22,210,1058311,34153
