trading_date,M_total_oi
2013-11-05,3885668.0
2013-11-06,4038100.0
2013-11-07,3995596.0
2013-11-08,3922998.0
2013-11-11,3871120.0
2013-11-12,3953718.0
2013-11-13,3819556.0
2013-11-14,3708554.0
2013-11-15,3665098.0
2013-11-18,3677384.0
2013-11-19,3790038.0
2013-11-20,3764160.0
2013-11-21,3728738.0
2013-11-22,3671562.0
2013-11-25,3591908.0
2013-11-26,3528074.0
2013-11-27,3483008.0
2013-11-28,3468778.0
2013-11-29,3450964.0
2013-12-02,3433440.0
2013-12-03,3535224.0
2013-12-04,3596596.0
2013-12-05,3524324.0
2013-12-06,3490242.0
2013-12-09,3475556.0
2013-12-10,3413026.0
2013-12-11,3411674.0
2013-12-12,3261978.0
2013-12-13,3159224.0
2013-12-16,3108372.0
2013-12-17,3012418.0
2013-12-18,2939104.0
2013-12-19,2946504.0
2013-12-20,2927310.0
2013-12-23,2775874.0
2013-12-24,2833652.0
2013-12-25,2807436.0
2013-12-26,2754418.0
2013-12-27,2752696.0
2013-12-30,2773540.0
2013-12-31,2742118.0
2014-01-02,2795772.0
2014-01-03,2910938.0
2014-01-06,2920614.0
2014-01-07,3007202.0
2014-01-08,2997242.0
2014-01-09,2860212.0
2014-01-10,2875086.0
2014-01-13,3005460.0
2014-01-14,2859326.0
2014-01-15,2847612.0
2014-01-16,2945284.0
2014-01-17,3070954.0
2014-01-20,3061574.0
2014-01-21,3081102.0
2014-01-22,3096832.0
2014-01-23,3101976.0
2014-01-24,3131220.0
2014-01-27,3003866.0
2014-01-28,2980618.0
2014-01-29,2904874.0
2014-01-30,2879506.0
2014-02-07,2752008.0
2014-02-10,2884548.0
2014-02-11,2929302.0
2014-02-12,3109216.0
2014-02-13,3211190.0
2014-02-14,3337898.0
2014-02-17,3347390.0
2014-02-18,3308840.0
2014-02-19,3323840.0
2014-02-20,3339860.0
2014-02-21,3377236.0
2014-02-24,3389278.0
2014-02-25,3438972.0
2014-02-26,3394674.0
2014-02-27,3384868.0
2014-02-28,3384046.0
2014-03-03,3329288.0
2014-03-04,3324560.0
2014-03-05,3334566.0
2014-03-06,3354276.0
2014-03-07,3365940.0
2014-03-10,3307410.0
2014-03-11,3251960.0
2014-03-12,3261178.0
2014-03-13,3350374.0
2014-03-14,3452862.0
2014-03-17,3402114.0
2014-03-18,3346142.0
2014-03-19,3255702.0
2014-03-20,3071134.0
2014-03-21,2987084.0
2014-03-24,3029928.0
2014-03-25,3019414.0
2014-03-26,2909420.0
2014-03-27,2730932.0
2014-03-28,2704740.0
2014-03-31,2661832.0
2014-04-01,2487612.0
2014-04-02,2581844.0
2014-04-03,2486838.0
2014-04-04,2553354.0
2014-04-08,2564230.0
2014-04-09,2581138.0
2014-04-10,2612022.0
2014-04-11,2654940.0
2014-04-14,2674684.0
2014-04-15,2588992.0
2014-04-16,2580126.0
2014-04-17,2689744.0
2014-04-18,2646552.0
2014-04-21,2601288.0
2014-04-22,2708052.0
2014-04-23,2789266.0
2014-04-24,2760744.0
2014-04-25,2746260.0
2014-04-28,2664296.0
2014-04-29,2566478.0
2014-04-30,2480732.0
2014-05-05,2530326.0
2014-05-06,2600444.0
2014-05-07,2626446.0
2014-05-08,2661482.0
2014-05-09,2570836.0
2014-05-12,2424678.0
2014-05-13,2410050.0
2014-05-14,2444158.0
2014-05-15,2490260.0
2014-05-16,2470858.0
2014-05-19,2705596.0
2014-05-20,2659192.0
2014-05-21,2741304.0
2014-05-22,2888226.0
2014-05-23,2953810.0
2014-05-26,2981272.0
2014-05-27,2787384.0
2014-05-28,2907114.0
2014-05-29,3011516.0
2014-05-30,3035548.0
2014-06-03,3090084.0
2014-06-04,3194298.0
2014-06-05,3236844.0
2014-06-06,3317938.0
2014-06-09,3424336.0
2014-06-10,3444606.0
2014-06-11,3429996.0
2014-06-12,3413190.0
2014-06-13,3504996.0
2014-06-16,3555528.0
2014-06-17,3719932.0
2014-06-18,3758062.0
2014-06-19,3652366.0
2014-06-20,3635832.0
2014-06-23,3605576.0
2014-06-24,3698830.0
2014-06-25,3777260.0
2014-06-26,3729042.0
2014-06-27,3659766.0
2014-06-30,3602614.0
2014-07-01,3403544.0
2014-07-02,3459842.0
2014-07-03,3587882.0
2014-07-04,3590908.0
2014-07-07,3578766.0
2014-07-08,3566254.0
2014-07-09,3562012.0
2014-07-10,3575786.0
2014-07-11,3489236.0
2014-07-14,3561886.0
2014-07-15,3516558.0
2014-07-16,3530702.0
2014-07-17,3491604.0
2014-07-18,3449174.0
2014-07-21,3485770.0
2014-07-22,3439340.0
2014-07-23,3466240.0
2014-07-24,3233738.0
2014-07-25,3206954.0
2014-07-28,3131576.0
2014-07-29,3122384.0
2014-07-30,3142996.0
2014-07-31,3159164.0
2014-08-01,3275604.0
2014-08-04,3377942.0
2014-08-05,3387072.0
2014-08-06,3463250.0
2014-08-07,3385382.0
2014-08-08,3436640.0
2014-08-11,3516566.0
2014-08-12,3446708.0
2014-08-13,3612062.0
2014-08-14,3383598.0
2014-08-15,3319808.0
2014-08-18,3321638.0
2014-08-19,3360912.0
2014-08-20,3393836.0
2014-08-21,3250884.0
2014-08-22,3204462.0
2014-08-25,3168222.0
2014-08-26,3211262.0
2014-08-27,3273190.0
2014-08-28,3337910.0
2014-08-29,3314232.0
2014-09-01,3299134.0
2014-09-02,3271316.0
2014-09-03,3324130.0
2014-09-04,3480586.0
2014-09-05,3380742.0
2014-09-09,3321776.0
2014-09-10,3180898.0
2014-09-11,3146172.0
2014-09-12,3144340.0
2014-09-15,3148576.0
2014-09-16,3403106.0
2014-09-17,3522126.0
2014-09-18,3581304.0
2014-09-19,3566384.0
2014-09-22,3398714.0
2014-09-23,3273082.0
2014-09-24,3329266.0
2014-09-25,3281676.0
2014-09-26,3194582.0
2014-09-29,3099632.0
2014-09-30,3039898.0
2014-10-08,3035930.0
2014-10-09,3100416.0
2014-10-10,3145860.0
2014-10-13,3317740.0
2014-10-14,3297048.0
2014-10-15,3369424.0
2014-10-16,3360598.0
2014-10-17,3365974.0
2014-10-20,3346306.0
2014-10-21,3458632.0
2014-10-22,3489352.0
2014-10-23,3538600.0
2014-10-24,3590668.0
2014-10-27,3667352.0
2014-10-28,3623424.0
2014-10-29,3685042.0
2014-10-30,3670006.0
2014-10-31,3704138.0
2014-11-03,3828694.0
2014-11-04,3714132.0
2014-11-05,3638652.0
2014-11-06,3631400.0
2014-11-07,3703918.0
2014-11-10,3750058.0
2014-11-11,3713286.0
2014-11-12,3722148.0
2014-11-13,3725176.0
2014-11-14,3790896.0
2014-11-17,3835132.0
2014-11-18,3921354.0
2014-11-19,4033178.0
2014-11-20,3974798.0
2014-11-21,3899984.0
2014-11-24,3945370.0
2014-11-25,3955760.0
2014-11-26,3991622.0
2014-11-27,3890132.0
2014-11-28,3782178.0
2014-12-01,3709124.0
2014-12-02,3633642.0
2014-12-03,3512466.0
2014-12-04,3581112.0
2014-12-05,3441092.0
2014-12-08,3360278.0
2014-12-09,3354388.0
2014-12-10,3407506.0
2014-12-11,3469202.0
2014-12-12,3437142.0
2014-12-15,3419702.0
2014-12-16,3351028.0
2014-12-17,3374380.0
2014-12-18,3378388.0
2014-12-19,3323322.0
2014-12-22,3338034.0
2014-12-23,3249674.0
2014-12-24,3366106.0
2014-12-25,3317668.0
2014-12-26,3196274.0
2014-12-29,3196820.0
2014-12-30,3151280.0
2014-12-31,3204238.0
2015-01-05,3404260.0
2015-01-06,3060810.0
2015-01-07,3039570.0
2015-01-08,3057600.0
2015-01-09,3201592.0
2015-01-12,3194446.0
2015-01-13,3458974.0
2015-01-14,3588454.0
2015-01-15,3410188.0
2015-01-16,3554752.0
2015-01-19,3372748.0
2015-01-20,3445912.0
2015-01-21,3521554.0
2015-01-22,3654100.0
2015-01-23,3684526.0
2015-01-26,3761304.0
2015-01-27,3704034.0
2015-01-28,3722572.0
2015-01-29,3704990.0
2015-01-30,3632420.0
2015-02-02,3726892.0
2015-02-03,3711402.0
2015-02-04,3637630.0
2015-02-05,3650386.0
2015-02-06,3605724.0
2015-02-09,3568058.0
2015-02-10,3531768.0
2015-02-11,3685048.0
2015-02-12,3648634.0
2015-02-13,3503610.0
