trading_date,rank,volume,volume_change
2013-11-05,210,58759768724,-22614
2013-11-06,210,62111927349,29962
2013-11-07,210,59807742738,11457
2013-11-08,210,59837594832,-4163
2013-11-11,210,58267243404,19385
2013-11-12,210,58433474115,8011
2013-11-13,210,55650101527,-17944
2013-11-14,210,53307696963,-19018
2013-11-15,210,52616681392,1790
2013-11-18,210,49951892465,-12740
2013-11-19,210,60002309150,54006
2013-11-20,210,55155442912,-12151
2013-11-21,210,52127777846,-13229
2013-11-22,210,51559762611,-1891
2013-11-25,210,49067444869,-8176
2013-11-26,210,47387207819,-18467
2013-11-27,210,46895519213,15298
2013-11-28,210,43078190566,-21099
2013-11-29,210,43054982172,13892
2013-12-02,210,45275336808,17408
2013-12-03,210,48542530255,15062
2013-12-04,210,50003466157,16768
2013-12-05,210,47125655506,-16034
2013-12-06,210,47026829318,17486
2013-12-09,210,44785776272,-1181
2013-12-10,210,39608242479,-42839
2013-12-11,210,38049894742,-9971
2013-12-12,210,30782555573,-27515
2013-12-13,210,29256008141,6434
2013-12-16,210,28700870377,-16242
2013-12-17,210,29556049564,-1450
2013-12-18,210,29505792003,5104
2013-12-19,210,29761550990,13226
2013-12-20,210,29403134732,7016
2013-12-23,210,22556676895,-41781
2013-12-24,210,25397733132,19683
2013-12-25,210,27339014022,43528
2013-12-26,210,27097166037,-10617
2013-12-27,210,26400737998,322
2013-12-30,210,22912936296,-19836
2013-12-31,210,22789445677,3289
2014-01-02,210,23164291567,11215
2014-01-03,210,24471175551,21773
2014-01-06,210,23895495080,-4705
2014-01-07,210,29946535993,53514
2014-01-08,210,29016693607,-1882
2014-01-09,210,28105274393,-15383
2014-01-10,210,27816884871,-2814
2014-01-13,210,29594828275,24184
2014-01-14,210,28246323546,543
2014-01-15,210,30264097605,28643
2014-01-16,210,34111892352,47199
2014-01-17,210,39571675723,46514
2014-01-20,210,37753914820,-5052
2014-01-21,210,37802787403,3515
2014-01-22,210,37562069505,1870
2014-01-23,210,36120544600,-4221
2014-01-24,210,35540385453,-14312
2014-01-27,210,34242637433,-12059
2014-01-28,210,32460432994,-14748
2014-01-29,210,30556838171,-17457
2014-01-30,210,31591616842,4972
2014-02-07,210,31222800928,-3672
2014-02-10,210,31211689320,54587
2014-02-11,210,31515089003,1658
2014-02-12,210,36149198594,54833
2014-02-13,210,40410479750,50209
2014-02-14,210,48330463556,62105
2014-02-17,210,43964822401,-9400
2014-02-18,210,41795290327,-2559
2014-02-19,210,42930672482,6291
2014-02-20,210,43311603925,3307
2014-02-21,210,40802874021,-877
2014-02-24,210,43181709485,28284
2014-02-25,210,45598006169,32957
2014-02-26,210,45353275497,-771
2014-02-27,210,44174945996,33
2014-02-28,210,44783444591,1752
2014-03-03,210,46628372140,20623
2014-03-04,210,48075937074,8305
2014-03-05,210,44483124069,-8715
2014-03-06,210,45740955036,10566
2014-03-07,210,47461946495,16046
2014-03-10,210,50165405913,48004
2014-03-11,210,48653526281,-9549
2014-03-12,210,50240145090,9880
2014-03-13,210,55644943085,40766
2014-03-14,210,60766820407,40273
2014-03-17,210,57335546913,8567
2014-03-18,210,57509471221,5541
2014-03-19,210,55174966032,-3225
2014-03-20,210,49568337337,-20732
2014-03-21,210,47448971700,-10674
2014-03-24,210,49828817346,29035
2014-03-25,210,49634831575,37554
2014-03-26,210,48915894850,-3981
2014-03-27,210,41739664745,-39125
2014-03-28,210,44207891427,27519
2014-03-31,210,42063350307,-14727
2014-04-01,210,39088935619,-13637
2014-04-02,210,41212984849,50739
2014-04-03,210,37990542571,-416
2014-04-04,210,36402134006,16171
2014-04-08,210,32739289076,-14127
2014-04-09,210,34132247081,29437
2014-04-10,210,34344232584,9473
2014-04-11,210,38209963773,36227
2014-04-14,210,39310332945,-3552
2014-04-15,210,38398967756,1075
2014-04-16,210,39063075140,17663
2014-04-17,210,42989268446,56577
2014-04-18,210,41815793947,-4088
2014-04-21,210,41867376701,-6365
2014-04-22,210,47009783366,41039
