trading_date,rank,volume,volume_change
2013-11-05,210,169862022337,16009
2013-11-06,210,182310559886,35870
2013-11-07,210,185354624634,-90
2013-11-08,210,182215027491,-23737
2013-11-11,210,182145836737,21664
2013-11-12,210,185744560248,25710
2013-11-13,210,181658605192,-30194
2013-11-14,210,167710092556,-46788
2013-11-15,210,159139401294,-17243
2013-11-18,210,161729602182,19723
2013-11-19,210,169626635798,49524
2013-11-20,210,164470037376,-9207
2013-11-21,210,156134056853,-21618
2013-11-22,210,160776270299,13963
2013-11-25,210,154474249847,-1465
2013-11-26,210,137779983237,-50895
2013-11-27,210,129066751453,-16394
2013-11-28,210,128937952099,2477
2013-11-29,210,123799417725,-19594
2013-12-02,210,123322563903,-2777
2013-12-03,210,127236496129,33713
2013-12-04,210,139123863960,28104
2013-12-05,210,136151431691,-16329
2013-12-06,210,137152976127,-4873
2013-12-09,210,135596350054,10274
2013-12-10,210,129864506145,-26423
2013-12-11,210,128175020870,-11216
2013-12-12,210,116418245398,-45222
2013-12-13,210,109733899220,-30066
2013-12-16,210,105347140361,-26427
2013-12-17,210,92624172651,-44707
2013-12-18,210,84930727417,-28682
2013-12-19,210,84241607840,1729
2013-12-20,210,80665544344,-6545
2013-12-23,210,68510321252,-59576
2013-12-24,210,68013672623,9735
2013-12-25,210,66752039679,-8353
2013-12-26,210,66903224006,-44
2013-12-27,210,63987405225,-9365
2013-12-30,210,71108596944,36830
2013-12-31,210,72784632819,4265
2014-01-02,210,74018149639,22503
2014-01-03,210,84200546296,52735
2014-01-06,210,88682170962,11339
2014-01-07,210,75540483935,-31032
2014-01-08,210,70806454279,-12833
2014-01-09,210,74398392722,18427
2014-01-10,210,78158617378,21933
2014-01-13,210,79030459221,26297
2014-01-14,210,70174036267,-54184
2014-01-15,210,72977488762,9792
2014-01-16,210,81358752894,49123
2014-01-17,210,89855659966,48978
2014-01-20,210,87248852577,-3970
2014-01-21,210,88031509430,22072
2014-01-22,210,88629328729,6073
2014-01-23,210,91590305621,11298
2014-01-24,210,96018686671,11462
2014-01-27,210,92474185762,-24526
2014-01-28,210,93392030071,-8625
2014-01-29,210,92863663789,-11932
2014-01-30,210,93737270740,-231
2014-02-07,210,82524387269,-48621
2014-02-10,210,89596112303,43979
2014-02-11,210,90301434891,15647
2014-02-12,210,98024260222,59416
2014-02-13,210,106312353378,44465
2014-02-14,210,116134686857,40954
2014-02-17,210,119904099308,19145
2014-02-18,210,122130718123,11526
2014-02-19,210,124505748769,1500
2014-02-20,210,125068739825,6055
2014-02-21,210,126845114884,26961
2014-02-24,210,123827743384,-12051
2014-02-25,210,125650870976,24529
2014-02-26,210,112260091517,-30270
2014-02-27,210,112730562716,3421
2014-02-28,210,113404611233,5020
2014-03-03,210,102295826404,-24780
2014-03-04,210,101514974649,2094
2014-03-05,210,99158356772,8037
2014-03-06,210,98603131798,4051
2014-03-07,210,99428361667,15641
2014-03-10,210,103674135331,20289
2014-03-11,210,102661698435,-8341
2014-03-12,210,103109109168,3276
2014-03-13,210,103946326504,45648
2014-03-14,210,113551832215,43060
2014-03-17,210,110748685433,-5781
2014-03-18,210,109042794338,-16659
2014-03-19,210,90080027773,-69648
2014-03-20,210,75255024019,-57179
2014-03-21,210,72506392074,-9679
2014-03-24,210,79136450269,19640
2014-03-25,210,81210357770,-1955
2014-03-26,210,77739407657,-12616
2014-03-27,210,76608263499,4252
2014-03-28,210,73935738711,-13941
2014-03-31,210,70668234317,-16980
2014-04-01,210,53069649371,-66495
2014-04-02,210,53471278572,21801
2014-04-03,210,54789007207,7796
2014-04-04,210,58106849739,22836
2014-04-08,210,62335449069,13416
2014-04-09,210,66165656237,27925
2014-04-10,210,63265199522,-2389
2014-04-11,210,67337926334,22948
2014-04-14,210,69813615923,25392
2014-04-15,210,65790644034,-21356
2014-04-16,210,58702228820,-30735
2014-04-17,210,62306254442,35087
2014-04-18,210,65900876571,6569
2014-04-21,210,63864478017,-2688
2014-04-22,210,67229596557,42391
2014-04-23,210,73555955256,36439
2014-04-24,210,75330350399,-2352
2014-04-25,210,73540293885,210
2014-04-28,210,75539033189,-9492
2014-04-29,210,73617002146,-7793
2014-04-30,210,68259972683,-23190
2014-05-05,210,77348179969,42538
2014-05-06,210,82138831135,20921
2014-05-07,210,87982369296,19069
2014-05-08,210,92007765028,28020
2014-05-09,210,82240473262,-29967
2014-05-12,210,70020667099,-45012
2014-05-13,210,65984885614,-10188
2014-05-14,210,66491463974,11732
2014-05-15,210,69917730425,22188
2014-05-16,210,75548989824,12199
2014-05-19,210,90367244085,91474
2014-05-20,210,88832387025,-11025
2014-05-21,210,96644776677,32647
2014-05-22,210,101269177027,34153
2014-05-23,210,102372342969,19166
2014-05-26,210,102315379279,4488
2014-05-27,210,84991571473,-59005
2014-05-28,210,91205554110,64511
2014-05-29,210,96841571016,44726
2014-05-30,210,96255213233,3039
2014-06-03,210,105248795707,20801
2014-06-04,210,115876825651,53167
2014-06-05,210,122569940206,31733
2014-06-06,210,134080535206,55022
2014-06-09,210,138955598514,46692
2014-06-10,210,133356294478,-9595
2014-06-11,210,131999388682,-7378
2014-06-12,210,121523956187,-13974
2014-06-13,210,133252577761,54349
2014-06-16,210,142451940450,38846
2014-06-17,210,139023935968,24585
2014-06-18,210,142176030898,13583
2014-06-19,210,132017196637,-52793
2014-06-20,210,134186915056,8923
2014-06-23,210,135775165011,1957
2014-06-24,210,145507455116,60127
2014-06-25,210,149148947004,31596
2014-06-26,210,147650929468,-14766
2014-06-27,210,147731350247,2434
2014-06-30,210,145493966380,-25900
2014-07-01,210,133001027458,-69570
2014-07-02,210,130667910242,28153
2014-07-03,210,137808161361,54899
2014-07-04,210,139654118757,20954
2014-07-07,210,140517770560,7560
2014-07-08,210,139834716725,4982
2014-07-09,210,137336193593,-5861
2014-07-10,210,139286919112,19552
2014-07-11,210,127804636385,-35108
2014-07-14,210,130684027551,40791
2014-07-15,210,131380575094,-19239
2014-07-16,210,128060758078,-5251
2014-07-17,210,123656061021,-757
2014-07-18,210,123094246046,-10483
2014-07-21,210,118081831338,-9994
2014-07-22,210,113839564051,-4963
2014-07-23,210,114086853054,7955
2014-07-24,210,103530426592,-60117
2014-07-25,210,99968535186,-22414
2014-07-28,210,94487668828,-18069
2014-07-29,210,95735608068,2769
2014-07-30,210,101023366582,18830
2014-07-31,210,103207615935,10281
2014-08-01,210,110443325834,29840
2014-08-04,210,113380473716,57854
2014-08-05,210,110989924526,75
2014-08-06,210,116683566175,53489
2014-08-07,210,111309887529,-27229
2014-08-08,210,114881774346,17930
2014-08-11,210,120231567631,27254
2014-08-12,210,118469275614,-14387
2014-08-13,210,124655978439,51522
2014-08-14,210,113875968548,-62083
2014-08-15,210,107469567858,-7580
2014-08-18,210,104127546814,-7711
2014-08-19,210,109545102674,19890
2014-08-20,210,115168059180,9402
2014-08-21,210,104609284966,-48608
2014-08-22,210,102651491909,-9394
2014-08-25,210,99278163249,-19240
2014-08-26,210,89838927229,-7759
2014-08-27,210,97323505626,37359
2014-08-28,210,102645531088,29681
2014-08-29,210,103771592530,13060
2014-09-01,210,100910879332,-9533
2014-09-02,210,105180641378,15793
2014-09-03,210,106126418397,12575
2014-09-04,210,106483282107,34609
2014-09-05,210,105093563569,-22207
2014-09-09,210,101417581342,-12320
2014-09-10,210,90832215863,-38339
2014-09-11,210,89824258320,-10173
2014-09-12,210,96046128733,22141
2014-09-15,210,100459604263,10201
2014-09-16,210,111357608540,99748
2014-09-17,210,121314575631,54159
2014-09-18,210,124242072193,25821
2014-09-19,210,117830420569,-6076
2014-09-22,210,101086928684,-41824
2014-09-23,210,104968129420,24819
2014-09-24,210,106898681101,37066
2014-09-25,210,104300543745,2707
2014-09-26,210,104571050187,-350
2014-09-29,210,101661243426,1590
2014-09-30,210,98085469916,-20051
2014-10-08,210,97940081388,-85
2014-10-09,210,103449008318,25857
2014-10-10,210,103981529169,-11292
2014-10-13,210,117808505195,61883
2014-10-14,210,121202396626,31124
2014-10-15,210,122922674529,22841
2014-10-16,210,124041978373,-9268
2014-10-17,210,126560278256,5018
2014-10-20,210,123364326458,-23163
2014-10-21,210,133672314395,44972
2014-10-22,210,140041491024,22271
2014-10-23,210,141868161307,28469
2014-10-24,210,153314236868,19519
2014-10-27,210,166771366346,54768
2014-10-28,210,166166303015,-8184
2014-10-29,210,176501871376,28094
2014-10-30,210,175146779035,-8493
2014-10-31,210,189369862849,36715
2014-11-03,210,190216341108,33079
2014-11-04,210,174645377684,-26697
2014-11-05,210,170483154980,-12931
2014-11-06,210,172991687619,1060
2014-11-07,210,178664086531,37078
2014-11-10,210,179648116292,12401
2014-11-11,210,174084190851,-18874
2014-11-12,210,178553953135,24055
2014-11-13,210,179764718857,13124
2014-11-14,210,181953641342,11037
2014-11-17,210,191631044309,22755
2014-11-18,210,188973947541,2332
2014-11-19,210,190846428903,28782
2014-11-20,210,186090734378,-17862
2014-11-21,210,175267235658,-26111
2014-11-24,210,171025717364,-9326
2014-11-25,210,168347624752,14812
2014-11-26,210,161661010770,-1621
2014-11-27,210,157866956336,-6337
2014-11-28,210,154334763394,-10033
2014-12-01,210,148537935390,-26448
2014-12-02,210,144392532757,-19239
2014-12-03,210,138364857249,-1907
2014-12-04,210,135714593925,16540
2014-12-05,210,128111563914,-26084
2014-12-08,210,123338691173,-18516
2014-12-09,210,123809572635,966
2014-12-10,210,128874716641,28701
2014-12-11,210,134352379697,31060
2014-12-12,210,132110193446,-1072
2014-12-15,210,131790119865,-2737
2014-12-16,210,121377104817,157
2014-12-17,210,120772855657,12402
2014-12-18,210,122864819552,6625
2014-12-19,210,117996182169,-15719
2014-12-22,210,116742460414,-3230
2014-12-23,210,112337163191,13731
2014-12-24,210,118096158809,44969
2014-12-25,210,116960191633,-6601
2014-12-26,210,118019036852,-30579
2014-12-29,210,133998641315,66723
2014-12-30,210,127742304406,6666
2014-12-31,210,133657362715,30232
2015-01-05,210,134841333893,31513
2015-01-06,210,122103645934,-59571
2015-01-07,210,117055973088,-16506
2015-01-08,210,119604283903,8749
2015-01-09,210,122557658482,35024
2015-01-12,210,120546354418,1604
2015-01-13,210,134414113448,72608
2015-01-14,210,137249732216,3175
2015-01-15,210,133872488157,-21471
2015-01-16,210,143839311473,76048
2015-01-19,210,125685305598,-54522
2015-01-20,210,127658348949,41273
2015-01-21,210,144062753750,68766
2015-01-22,210,157060983656,61466
2015-01-23,210,152446070173,43
2015-01-26,210,155925161493,45599
2015-01-27,210,151222997278,2485
2015-01-28,210,147594239979,3980
2015-01-29,210,145659067336,-7484
2015-01-30,210,141369773705,-20346
2015-02-02,210,142419715304,15181
2015-02-03,210,149943311339,34019
2015-02-04,210,143243333746,-19778
2015-02-05,210,147435606054,18731
2015-02-06,210,147230643542,412
2015-02-09,210,145010507557,-15170
2015-02-10,210,146138896143,12766
2015-02-11,210,156098221273,56200
2015-02-12,210,158112231240,4783
2015-02-13,210,152531421441,-30589
2015-02-16,210,155545114981,27529
