trading_date,NI_total_oi
2015-03-30,35902.0
2015-03-31,58466.0
2015-04-01,75244.0
2015-04-02,85002.0
2015-04-03,85388.0
2015-04-07,89290.0
2015-04-08,102518.0
2015-04-09,106938.0
2015-04-10,113782.0
2015-04-13,121946.0
2015-04-14,140574.0
2015-04-15,147038.0
2015-04-16,147560.0
2015-04-17,144894.0
2015-04-20,134524.0
2015-04-21,127918.0
2015-04-22,128110.0
2015-04-23,129402.0
2015-04-24,135734.0
2015-04-27,143730.0
2015-04-28,143102.0
2015-04-29,145518.0
2015-04-30,166686.0
2015-05-04,171370.0
2015-05-05,181624.0
2015-05-06,201138.0
2015-05-07,200342.0
2015-05-08,193134.0
2015-05-11,213434.0
2015-05-12,214664.0
2015-05-13,211638.0
2015-05-14,213386.0
2015-05-15,228940.0
2015-05-18,225496.0
2015-05-19,225450.0
2015-05-20,218934.0
2015-05-21,215526.0
2015-05-22,219386.0
2015-05-25,233590.0
2015-05-26,240820.0
2015-05-27,257008.0
2015-05-28,276440.0
2015-05-29,277304.0
2015-06-01,282466.0
2015-06-02,281842.0
2015-06-03,281446.0
2015-06-04,280718.0
2015-06-05,287976.0
2015-06-08,296998.0
2015-06-09,288510.0
2015-06-10,283328.0
2015-06-11,272784.0
2015-06-12,269720.0
2015-06-15,274490.0
2015-06-16,280656.0
2015-06-17,273744.0
2015-06-18,258734.0
2015-06-19,265376.0
2015-06-23,268364.0
2015-06-24,263026.0
2015-06-25,268904.0
2015-06-26,268080.0
2015-06-29,278316.0
2015-06-30,283856.0
2015-07-01,263474.0
2015-07-02,252304.0
2015-07-03,237622.0
2015-07-06,237550.0
2015-07-07,238580.0
2015-07-08,233848.0
2015-07-09,208486.0
2015-07-10,220016.0
2015-07-13,232870.0
2015-07-14,229606.0
2015-07-15,232528.0
2015-07-16,221804.0
2015-07-17,223226.0
2015-07-20,230408.0
2015-07-21,242636.0
2015-07-22,233014.0
2015-07-23,236402.0
2015-07-24,238898.0
2015-07-27,242532.0
2015-07-28,233154.0
2015-07-29,221236.0
2015-07-30,233214.0
2015-07-31,246128.0
2015-08-03,248766.0
2015-08-04,237654.0
2015-08-05,239158.0
2015-08-06,236642.0
2015-08-07,241494.0
2015-08-10,235556.0
2015-08-11,231580.0
2015-08-12,225022.0
2015-08-13,230718.0
2015-08-14,241978.0
2015-08-17,236840.0
2015-08-18,247142.0
2015-08-19,244026.0
2015-08-20,257890.0
2015-08-21,262244.0
2015-08-24,290274.0
2015-08-25,290590.0
2015-08-26,290442.0
2015-08-27,270512.0
2015-08-28,242808.0
2015-08-31,240586.0
2015-09-01,250180.0
2015-09-02,241332.0
2015-09-07,241814.0
2015-09-08,280626.0
2015-09-09,269052.0
2015-09-10,282122.0
2015-09-11,274892.0
2015-09-14,267388.0
2015-09-15,277378.0
2015-09-16,252398.0
2015-09-17,256788.0
2015-09-18,274030.0
2015-09-21,298940.0
2015-09-22,299722.0
2015-09-23,308452.0
2015-09-24,310474.0
2015-09-25,286194.0
2015-09-28,286034.0
2015-09-29,285858.0
2015-09-30,254722.0
2015-10-08,258922.0
2015-10-09,266130.0
2015-10-12,250552.0
2015-10-13,246532.0
2015-10-14,247762.0
2015-10-15,292944.0
2015-10-16,290138.0
2015-10-19,274996.0
2015-10-20,257668.0
2015-10-21,260354.0
2015-10-22,240278.0
2015-10-23,254406.0
2015-10-26,252962.0
2015-10-27,248104.0
2015-10-28,242778.0
2015-10-29,242066.0
2015-10-30,312818.0
2015-11-02,342320.0
2015-11-03,354520.0
2015-11-04,370968.0
2015-11-05,416494.0
2015-11-06,403950.0
2015-11-09,445156.0
2015-11-10,446426.0
2015-11-11,472268.0
2015-11-12,466372.0
2015-11-13,500530.0
2015-11-16,485746.0
2015-11-17,490266.0
2015-11-18,493186.0
2015-11-19,491014.0
2015-11-20,506790.0
2015-11-23,512500.0
2015-11-24,499376.0
2015-11-25,473574.0
2015-11-26,470808.0
2015-11-27,457438.0
2015-11-30,456560.0
2015-12-01,462618.0
2015-12-02,475100.0
2015-12-03,483824.0
2015-12-04,470322.0
2015-12-07,464222.0
2015-12-08,506498.0
2015-12-09,523110.0
2015-12-10,537640.0
2015-12-11,506884.0
2015-12-14,511826.0
2015-12-15,501742.0
2015-12-16,496282.0
2015-12-17,499616.0
2015-12-18,502700.0
2015-12-21,516932.0
2015-12-22,531136.0
2015-12-23,547100.0
2015-12-24,568546.0
2015-12-25,587834.0
2015-12-28,613210.0
2015-12-29,590968.0
2015-12-30,561378.0
2015-12-31,538348.0
2016-01-04,534856.0
2016-01-05,526990.0
2016-01-06,537024.0
2016-01-07,577616.0
2016-01-08,550962.0
2016-01-11,563764.0
2016-01-12,583814.0
2016-01-13,589486.0
2016-01-14,556096.0
2016-01-15,525384.0
2016-01-18,456926.0
2016-01-19,448454.0
2016-01-20,445410.0
2016-01-21,435606.0
2016-01-22,439884.0
2016-01-25,434528.0
2016-01-26,437698.0
2016-01-27,452040.0
2016-01-28,450680.0
2016-01-29,446642.0
2016-02-01,468770.0
2016-02-02,450374.0
2016-02-03,445434.0
2016-02-04,430106.0
2016-02-05,417108.0
2016-02-15,441994.0
2016-02-16,459466.0
2016-02-17,453192.0
2016-02-18,448218.0
2016-02-19,449438.0
2016-02-22,461030.0
2016-02-23,442682.0
2016-02-24,446786.0
2016-02-25,470058.0
2016-02-26,458104.0
2016-02-29,466816.0
2016-03-01,466674.0
2016-03-02,453228.0
2016-03-03,446130.0
2016-03-04,506184.0
2016-03-07,562956.0
2016-03-08,520298.0
2016-03-09,472544.0
2016-03-10,494058.0
2016-03-11,488162.0
2016-03-14,493982.0
2016-03-15,490856.0
2016-03-16,532808.0
2016-03-17,548384.0
2016-03-18,575952.0
2016-03-21,597586.0
2016-03-22,609182.0
2016-03-23,618966.0
2016-03-24,601000.0
2016-03-25,595008.0
2016-03-28,605398.0
2016-03-29,590514.0
2016-03-30,640900.0
2016-03-31,669048.0
2016-04-01,673850.0
2016-04-05,680256.0
2016-04-06,650156.0
2016-04-07,649200.0
2016-04-08,645628.0
2016-04-11,639816.0
2016-04-12,659378.0
2016-04-13,664718.0
2016-04-14,665480.0
2016-04-15,670138.0
2016-04-18,674250.0
2016-04-19,698604.0
2016-04-20,696300.0
2016-04-21,750314.0
2016-04-22,707464.0
2016-04-25,708354.0
2016-04-26,708016.0
2016-04-27,707412.0
2016-04-28,714006.0
2016-04-29,753698.0
2016-05-03,811286.0
2016-05-04,784962.0
2016-05-05,770262.0
2016-05-06,732820.0
2016-05-09,759296.0
2016-05-10,753126.0
2016-05-11,761222.0
2016-05-12,751436.0
2016-05-13,746642.0
2016-05-16,745158.0
2016-05-17,669034.0
2016-05-18,694188.0
2016-05-19,697852.0
2016-05-20,704034.0
2016-05-23,720120.0
2016-05-24,730224.0
2016-05-25,732338.0
2016-05-26,747930.0
2016-05-27,740892.0
2016-05-30,742142.0
2016-05-31,749662.0
2016-06-01,763428.0
2016-06-02,740048.0
2016-06-03,757832.0
2016-06-06,743802.0
2016-06-07,728712.0
2016-06-08,704764.0
2016-06-13,697738.0
2016-06-14,685080.0
2016-06-15,697542.0
2016-06-16,666310.0
2016-06-17,656474.0
2016-06-20,649380.0
2016-06-21,626722.0
2016-06-22,620356.0
2016-06-23,611900.0
2016-06-24,599486.0
2016-06-27,611820.0
2016-06-28,619416.0
2016-06-29,613734.0
2016-06-30,651000.0
2016-07-01,683700.0
2016-07-04,757730.0
2016-07-05,741056.0
2016-07-06,696636.0
2016-07-07,685982.0
2016-07-08,657138.0
2016-07-11,689308.0
2016-07-12,724986.0
2016-07-13,722204.0
2016-07-14,731684.0
2016-07-15,747856.0
2016-07-18,736944.0
2016-07-19,767308.0
2016-07-20,743374.0
2016-07-21,760138.0
2016-07-22,739244.0
2016-07-25,710098.0
2016-07-26,683566.0
2016-07-27,662032.0
2016-07-28,694860.0
2016-07-29,676264.0
2016-08-01,706444.0
2016-08-02,784760.0
2016-08-03,760554.0
2016-08-04,693654.0
2016-08-05,713702.0
2016-08-08,754716.0
2016-08-09,747088.0
2016-08-10,748682.0
2016-08-11,753900.0
2016-08-12,753904.0
2016-08-15,759158.0
2016-08-16,740748.0
2016-08-17,745048.0
2016-08-18,738020.0
2016-08-19,739530.0
2016-08-22,744194.0
2016-08-23,723764.0
2016-08-24,724406.0
2016-08-25,716928.0
2016-08-26,700962.0
2016-08-29,675468.0
2016-08-30,682876.0
2016-08-31,675954.0
2016-09-01,663818.0
2016-09-02,644764.0
2016-09-05,651236.0
2016-09-06,639324.0
2016-09-07,622998.0
2016-09-08,629460.0
2016-09-09,623084.0
2016-09-12,611480.0
2016-09-13,603620.0
2016-09-14,600104.0
2016-09-19,598424.0
2016-09-20,535242.0
2016-09-21,525252.0
2016-09-22,522006.0
2016-09-23,529044.0
2016-09-26,538924.0
2016-09-27,558856.0
2016-09-28,537620.0
2016-09-29,520956.0
2016-09-30,491200.0
2016-10-10,492580.0
2016-10-11,521864.0
2016-10-12,516818.0
2016-10-13,528800.0
2016-10-14,524342.0
2016-10-17,544224.0
2016-10-18,550626.0
2016-10-19,568294.0
