trading_date,rank,volume,volume_change
2013-11-05,210,83815,3447
2013-11-06,210,83819,439
2013-11-07,210,84783,2157
2013-11-08,210,78000,-4931
2013-11-11,210,77351,-317
2013-11-12,210,82957,8152
2013-11-13,210,82036,2068
2013-11-14,210,87735,7063
2013-11-15,210,93730,6409
2013-11-18,210,82512,-9472
2013-11-19,210,84301,3298
2013-11-20,210,85425,2162
2013-11-21,210,85864,2100
2013-11-22,210,82685,-1882
2013-11-25,210,81065,-848
2013-11-26,210,80449,970
2013-11-27,210,78799,-1650
2013-11-28,210,80359,1560
2013-11-29,210,81815,1677
2013-12-02,210,78568,-3247
2013-12-03,210,76619,-1925
2013-12-04,210,77445,826
2013-12-05,210,76182,-330
2013-12-06,210,75399,-585
2013-12-09,210,75826,587
2013-12-10,210,77516,1715
2013-12-11,210,81277,5199
2013-12-12,210,80970,319
2013-12-13,210,80410,1483
2013-12-16,210,84873,4909
2013-12-17,210,82746,-1882
2013-12-18,210,77291,-2519
2013-12-19,210,76012,-1279
2013-12-20,210,74917,-1095
2013-12-23,210,74693,413
2013-12-24,210,74853,3044
2013-12-25,210,79928,5514
2013-12-26,210,81591,1863
2013-12-27,210,80354,-194
2013-12-30,210,79503,-282
2013-12-31,210,81039,2112
2014-01-02,210,85146,5440
2014-01-03,210,84543,-603
2014-01-06,210,83762,1075
2014-01-07,210,83743,2235
2014-01-08,210,83204,2623
2014-01-09,210,83414,969
2014-01-10,210,84165,801
2014-01-13,210,83270,-354
2014-01-14,210,83618,568
2014-01-15,210,82255,-1201
2014-01-16,210,86906,4880
2014-01-17,210,87514,618
2014-01-20,210,92691,7339
2014-01-21,210,95878,3720
2014-01-22,210,97434,1556
2014-01-23,210,98053,1074
2014-01-24,210,98969,1925
2014-01-27,210,96126,-1740
2014-01-28,210,99820,5846
2014-01-29,210,98601,-1208
2014-01-30,210,94865,-2121
2014-02-07,210,86197,-7920
2014-02-10,210,87994,2118
2014-02-11,210,89340,2031
2014-02-12,210,90897,2682
2014-02-13,210,93520,2711
2014-02-14,210,95732,3082
2014-02-17,210,91856,-2465
2014-02-18,210,91799,869
2014-02-19,210,86848,-3609
2014-02-20,210,86117,-352
2014-02-21,210,85216,-637
2014-02-24,210,84857,-302
2014-02-25,210,83270,-1587
2014-02-26,210,87011,3741
2014-02-27,210,89432,2513
2014-02-28,210,86397,-2067
2014-03-03,210,81941,-4228
2014-03-04,210,82479,538
2014-03-05,210,83717,1540
2014-03-06,210,84232,1037
2014-03-07,210,82533,-1699
2014-03-10,210,81567,-352
2014-03-11,210,78432,-3135
2014-03-12,210,76218,-2214
2014-03-13,210,78303,2521
2014-03-14,210,81541,4409
2014-03-17,210,88009,6742
2014-03-18,210,97732,9759
2014-03-19,210,106663,9630
2014-03-20,210,107961,2750
2014-03-21,210,104554,-1785
2014-03-24,210,105403,849
2014-03-25,210,102100,-2817
2014-03-26,210,101910,312
2014-03-27,210,100574,-447
2014-03-28,210,98979,95
2014-03-31,210,96077,-2417
2014-04-01,210,93182,-2590
2014-04-02,210,91722,985
2014-04-03,210,88788,-2934
2014-04-04,210,88787,194
2014-04-08,210,89465,1186
2014-04-09,210,88380,-1085
2014-04-10,210,89699,1319
2014-04-11,210,87765,-1607
2014-04-14,210,85329,-2436
2014-04-15,210,83412,-1803
2014-04-16,210,81794,-1618
2014-04-17,210,81338,-250
2014-04-18,210,82831,1649
2014-04-21,210,81843,63
2014-04-22,210,80132,-1686
2014-04-23,210,79785,-236
2014-04-24,210,80466,815
2014-04-25,210,81495,1551
2014-04-28,210,78204,-2910
2014-04-29,210,84973,13925
2014-04-30,210,91072,6617
2014-05-05,210,90003,714
2014-05-06,210,86014,89
2014-05-07,210,87794,2392
2014-05-08,210,87104,-67
2014-05-09,210,87134,2727
2014-05-12,210,92341,9226
2014-05-13,210,81217,-10164
2014-05-14,210,81801,584
2014-05-15,210,84403,2627
2014-05-16,210,82750,-1502
2014-05-19,210,87595,4845
2014-05-20,210,88422,1558
2014-05-21,210,89512,1090
2014-05-22,210,87357,-1849
2014-05-23,210,87002,262
2014-05-26,210,88740,1857
2014-05-27,210,85059,-2058
2014-05-28,210,87325,4069
2014-05-29,210,86406,-919
2014-05-30,210,88970,3161
2014-06-03,210,88744,783
2014-06-04,210,90213,2337
2014-06-05,210,92498,2285
2014-06-06,210,95994,3681
2014-06-09,210,93368,-2604
2014-06-10,210,89902,-3041
2014-06-11,210,88361,-1332
2014-06-12,210,86994,-968
2014-06-13,210,90837,4069
2014-06-16,210,92499,2316
2014-06-17,210,94962,2463
2014-06-18,210,90238,-4574
2014-06-19,210,88433,-1784
2014-06-20,210,87431,61
2014-06-23,210,85139,-1851
2014-06-24,210,87042,1903
2014-06-25,210,88725,2494
2014-06-26,210,88940,215
2014-06-27,210,87577,-1062
2014-06-30,210,87747,864
2014-07-01,210,86906,736
2014-07-02,210,86975,69
2014-07-03,210,85172,-878
2014-07-04,210,83337,-1835
2014-07-07,210,79312,-3795
2014-07-08,210,76692,-2620
2014-07-09,210,78112,1420
2014-07-10,210,81892,4571
2014-07-11,210,84986,3397
2014-07-14,210,84061,-925
2014-07-15,210,80944,-3117
2014-07-16,210,80485,156
2014-07-17,210,79530,-133
2014-07-18,210,77411,-1932
2014-07-21,210,81749,5014
2014-07-22,210,84179,2463
2014-07-23,210,81469,-1923
2014-07-24,210,84043,2667
2014-07-25,210,82086,-1957
2014-07-28,210,82868,782
2014-07-29,210,83383,719
2014-07-30,210,83531,148
2014-07-31,210,82734,-536
2014-08-01,210,81629,-1016
2014-08-04,210,79219,-2410
2014-08-05,210,79862,643
2014-08-06,210,79806,-56
2014-08-07,210,80011,232
2014-08-08,210,79708,-214
2014-08-11,210,78512,-1156
2014-08-12,210,77144,-1199
2014-08-13,210,76604,-502
2014-08-14,210,77449,2471
2014-08-15,210,77180,307
2014-08-18,210,78045,1062
2014-08-19,210,78685,738
2014-08-20,210,79380,695
2014-08-21,210,79884,715
2014-08-22,210,81386,1502
2014-08-25,210,83244,1858
2014-08-26,210,82493,-751
2014-08-27,210,83858,1545
2014-08-28,210,82055,-1798
2014-08-29,210,80354,-1701
2014-09-01,210,78214,-1551
2014-09-02,210,78284,70
2014-09-03,210,77629,-655
2014-09-04,210,76708,-921
2014-09-05,210,76995,287
2014-09-09,210,76180,-815
2014-09-10,210,77533,1815
2014-09-11,210,77727,2046
2014-09-12,210,76937,-669
2014-09-15,210,74457,-2404
2014-09-16,210,75862,3872
2014-09-17,210,74634,-1228
2014-09-18,210,73806,45
2014-09-19,210,72926,-821
2014-09-22,210,73329,1010
2014-09-23,210,73966,721
2014-09-24,210,76618,3698
2014-09-25,210,75596,-1022
2014-09-26,210,73214,1061
2014-09-29,210,65104,-1695
2014-09-30,210,63835,-872
2014-10-08,210,64905,1968
2014-10-09,210,67411,2826
2014-10-10,210,65775,-1174
2014-10-13,210,66713,938
2014-10-14,210,67677,988
2014-10-15,210,66379,-934
2014-10-16,210,63728,-2651
2014-10-17,210,62493,-1174
2014-10-20,210,65893,3400
2014-10-21,210,65880,-6
2014-10-22,210,63104,-2682
2014-10-23,210,64361,1461
2014-10-24,210,63519,-699
2014-10-27,210,63780,280
2014-10-28,210,62973,-556
2014-10-29,210,61615,1233
2014-10-30,210,56862,-4471
2014-10-31,210,56365,-497
2014-11-03,210,57005,640
2014-11-04,210,56611,584
2014-11-05,210,53683,-2924
2014-11-06,210,52840,-843
2014-11-07,210,52045,-458
2014-11-10,210,53843,2226
2014-11-11,210,55231,2096
2014-11-12,210,55256,770
2014-11-13,210,57397,2738
2014-11-14,210,61607,4935
2014-11-17,210,61944,699
2014-11-18,210,60238,297
2014-11-19,210,62484,3092
2014-11-20,210,61619,-865
2014-11-21,210,61146,-13
2014-11-24,210,60260,-582
2014-11-25,210,60808,715
2014-11-26,210,61834,1559
2014-11-27,210,59816,-1835
2014-11-28,210,58094,-1512
2014-12-01,210,56028,-1098
2014-12-02,210,52635,-2450
2014-12-03,210,57896,5294
2014-12-04,210,57682,95
2014-12-05,210,61374,4500
2014-12-08,210,64273,2899
2014-12-09,210,63783,640
