trading_date,rank,volume,volume_change
2013-11-05,210,145666,13212
2013-11-06,210,146816,1152
2013-11-07,210,145840,-934
2013-11-08,210,137430,-4683
2013-11-11,210,133464,-3966
2013-11-12,210,143007,12028
2013-11-13,210,147886,5085
2013-11-14,210,159973,12685
2013-11-15,210,169652,10635
2013-11-18,210,156943,-11313
2013-11-19,210,158993,2720
2013-11-20,210,158391,188
2013-11-21,210,161442,3714
2013-11-22,210,150347,-10932
2013-11-25,210,148404,-1943
2013-11-26,210,144091,-1869
2013-11-27,210,140361,-2296
2013-11-28,210,144142,3781
2013-11-29,210,142294,-1848
2013-12-02,210,140227,-649
2013-12-03,210,140647,606
2013-12-04,210,145976,5329
2013-12-05,210,142751,-3225
2013-12-06,210,142045,-706
2013-12-09,210,142848,1635
2013-12-10,210,143915,1206
2013-12-11,210,149123,5735
2013-12-12,210,149362,762
2013-12-13,210,141678,-2400
2013-12-16,210,143127,3855
2013-12-17,210,142235,55
2013-12-18,210,133140,-7168
2013-12-19,210,132734,-43
2013-12-20,210,132513,537
2013-12-23,210,133019,612
2013-12-24,210,130628,-2278
2013-12-25,210,135271,4818
2013-12-26,210,135688,835
2013-12-27,210,135485,-106
2013-12-30,210,135708,1389
2013-12-31,210,136216,752
2014-01-02,210,138196,2240
2014-01-03,210,132475,-3356
2014-01-06,210,123593,-7454
2014-01-07,210,126910,4538
2014-01-08,210,126244,1872
2014-01-09,210,127905,5648
2014-01-10,210,129396,1491
2014-01-13,210,126595,-2043
2014-01-14,210,125705,-792
2014-01-15,210,127047,4231
2014-01-16,210,130191,3168
2014-01-17,210,128830,42
2014-01-20,210,143344,15094
2014-01-21,210,146894,4512
2014-01-22,210,146798,711
2014-01-23,210,150709,3911
2014-01-24,210,152258,1549
2014-01-27,210,148510,-2433
2014-01-28,210,149562,1052
2014-01-29,210,148030,-904
2014-01-30,210,143658,-4372
2014-02-07,210,126256,-16846
2014-02-10,210,131264,5547
2014-02-11,210,130973,1458
2014-02-12,210,134404,4597
2014-02-13,210,137711,3307
2014-02-14,210,141282,3571
2014-02-17,210,143640,2358
2014-02-18,210,146472,2832
2014-02-19,210,139237,-1704
2014-02-20,210,136741,-2344
2014-02-21,210,136324,-417
2014-02-24,210,135065,-670
2014-02-25,210,132104,-2961
2014-02-26,210,129504,-2600
2014-02-27,210,129668,325
2014-02-28,210,126328,-2794
2014-03-03,210,126971,943
2014-03-04,210,126037,-538
2014-03-05,210,128211,2174
2014-03-06,210,126431,916
2014-03-07,210,124975,-1456
2014-03-10,210,121398,-3577
2014-03-11,210,117594,-3804
2014-03-12,210,115775,-1668
2014-03-13,210,119774,4023
2014-03-14,210,118511,-229
2014-03-17,210,122884,5285
2014-03-18,210,134872,16263
2014-03-19,210,151622,18917
2014-03-20,210,154047,3854
2014-03-21,210,152643,-1171
2014-03-24,210,153039,848
2014-03-25,210,150173,-2613
2014-03-26,210,149702,-443
2014-03-27,210,149580,-122
2014-03-28,210,149357,-223
2014-03-31,210,147361,-1698
2014-04-01,210,145136,-1729
2014-04-02,210,142589,-2136
2014-04-03,210,141260,-1088
2014-04-04,210,142179,1189
2014-04-08,210,144193,2487
2014-04-09,210,143209,-984
2014-04-10,210,143208,-1
2014-04-11,210,139570,-3638
2014-04-14,210,136826,-2675
2014-04-15,210,135079,-1698
2014-04-16,210,135769,2697
2014-04-17,210,135008,-654
2014-04-18,210,132402,-1955
2014-04-21,210,130539,-1584
2014-04-22,210,130306,435
2014-04-23,210,129121,-466
2014-04-24,210,128931,-190
2014-04-25,210,130214,1283
2014-04-28,210,126858,-3228
2014-04-29,210,134607,8913
2014-04-30,210,138868,5082
2014-05-05,210,136575,-2235
2014-05-06,210,133328,-2891
2014-05-07,210,132417,-846
2014-05-08,210,132275,-142
2014-05-09,210,130658,-543
2014-05-12,210,126880,-3500
2014-05-13,210,115896,-10984
2014-05-14,210,114280,-1616
2014-05-15,210,116217,2098
2014-05-16,210,112050,-3815
2014-05-19,210,115220,3386
2014-05-20,210,113887,-349
2014-05-21,210,112700,1421
2014-05-22,210,114783,2744
2014-05-23,210,118840,4087
2014-05-26,210,119396,556
2014-05-27,210,119553,595
2014-05-28,210,124189,4673
2014-05-29,210,120285,-3904
2014-05-30,210,118395,-665
2014-06-03,210,115602,-2767
2014-06-04,210,117859,2756
2014-06-05,210,122138,4279
2014-06-06,210,128446,6308
2014-06-09,210,127829,1872
2014-06-10,210,123254,-4004
2014-06-11,210,123058,-132
2014-06-12,210,120914,-1574
2014-06-13,210,128485,8016
2014-06-16,210,133188,5160
2014-06-17,210,137836,5918
2014-06-18,210,137770,503
2014-06-19,210,134905,-2722
2014-06-20,210,135813,908
2014-06-23,210,134548,-673
2014-06-24,210,136361,2190
2014-06-25,210,139682,3961
2014-06-26,210,141269,1669
2014-06-27,210,140173,-1096
2014-06-30,210,140119,1115
2014-07-01,210,137083,-2992
2014-07-02,210,136113,-930
2014-07-03,210,133673,-2440
2014-07-04,210,131009,-2664
2014-07-07,210,125837,-4550
2014-07-08,210,122653,-2110
2014-07-09,210,124355,2235
2014-07-10,210,132338,9350
2014-07-11,210,133070,1620
2014-07-14,210,130185,-2677
2014-07-15,210,124219,-5660
2014-07-16,210,123076,-1011
2014-07-17,210,122685,-224
2014-07-18,210,119443,-3122
2014-07-21,210,127159,8151
2014-07-22,210,135059,8606
2014-07-23,210,129594,-5349
2014-07-24,210,135131,6002
2014-07-25,210,131329,-3097
2014-07-28,210,134183,3114
2014-07-29,210,135946,4369
2014-07-30,210,135870,-76
2014-07-31,210,135377,-310
2014-08-01,210,131922,-3396
2014-08-04,210,128072,-3714
2014-08-05,210,130157,3564
2014-08-06,210,130616,870
2014-08-07,210,130653,37
