trading_date,OI_total_oi
2013-11-05,336804.0
2013-11-06,342266.0
2013-11-07,340538.0
2013-11-08,314478.0
2013-11-11,305736.0
2013-11-12,332588.0
2013-11-13,334304.0
2013-11-14,366150.0
2013-11-15,388134.0
2013-11-18,358868.0
2013-11-19,359794.0
2013-11-20,364704.0
2013-11-21,366898.0
2013-11-22,340704.0
2013-11-25,336908.0
2013-11-26,330606.0
2013-11-27,321418.0
2013-11-28,324176.0
2013-11-29,323814.0
2013-12-02,310544.0
2013-12-03,306564.0
2013-12-04,314438.0
2013-12-05,311700.0
2013-12-06,306654.0
2013-12-09,307562.0
2013-12-10,310404.0
2013-12-11,320822.0
2013-12-12,324308.0
2013-12-13,316052.0
2013-12-16,325672.0
2013-12-17,319708.0
2013-12-18,306144.0
2013-12-19,303212.0
2013-12-20,300848.0
2013-12-23,303778.0
2013-12-24,304792.0
2013-12-25,323346.0
2013-12-26,324696.0
2013-12-27,317990.0
2013-12-30,316322.0
2013-12-31,323020.0
2014-01-02,332378.0
2014-01-03,323744.0
2014-01-06,312764.0
2014-01-07,316522.0
2014-01-08,314666.0
2014-01-09,314438.0
2014-01-10,319392.0
2014-01-13,315658.0
2014-01-14,315816.0
2014-01-15,312042.0
2014-01-16,320982.0
2014-01-17,320778.0
2014-01-20,340492.0
2014-01-21,354304.0
2014-01-22,354494.0
2014-01-23,359670.0
2014-01-24,359236.0
2014-01-27,351926.0
2014-01-28,352072.0
2014-01-29,344152.0
2014-01-30,331734.0
2014-02-07,294856.0
2014-02-10,305998.0
2014-02-11,319184.0
2014-02-12,324804.0
2014-02-13,333834.0
2014-02-14,338336.0
2014-02-17,340798.0
2014-02-18,345214.0
2014-02-19,328054.0
2014-02-20,322272.0
2014-02-21,318504.0
2014-02-24,312532.0
2014-02-25,305332.0
2014-02-26,303212.0
2014-02-27,302432.0
2014-02-28,292668.0
2014-03-03,295324.0
2014-03-04,292806.0
2014-03-05,300246.0
2014-03-06,295184.0
2014-03-07,288234.0
2014-03-10,275106.0
2014-03-11,269774.0
2014-03-12,264092.0
2014-03-13,273338.0
2014-03-14,267878.0
2014-03-17,284590.0
2014-03-18,331914.0
2014-03-19,366202.0
2014-03-20,375572.0
2014-03-21,363778.0
2014-03-24,364750.0
2014-03-25,350692.0
2014-03-26,348702.0
2014-03-27,349274.0
2014-03-28,347054.0
2014-03-31,342312.0
2014-04-01,335288.0
2014-04-02,323166.0
2014-04-03,318782.0
2014-04-04,319554.0
2014-04-08,323776.0
2014-04-09,317872.0
2014-04-10,318992.0
2014-04-11,312956.0
2014-04-14,306996.0
2014-04-15,302684.0
2014-04-16,304760.0
2014-04-17,302752.0
2014-04-18,298698.0
2014-04-21,294034.0
2014-04-22,291734.0
2014-04-23,285250.0
2014-04-24,283496.0
2014-04-25,283652.0
2014-04-28,277102.0
2014-04-29,313698.0
2014-04-30,327384.0
2014-05-05,315656.0
2014-05-06,308856.0
2014-05-07,309652.0
2014-05-08,313280.0
2014-05-09,308982.0
2014-05-12,300590.0
2014-05-13,273936.0
2014-05-14,269710.0
2014-05-15,273114.0
2014-05-16,265940.0
2014-05-19,273756.0
2014-05-20,273652.0
2014-05-21,277368.0
2014-05-22,274814.0
2014-05-23,282438.0
2014-05-26,283894.0
2014-05-27,274724.0
2014-05-28,282346.0
2014-05-29,277796.0
2014-05-30,277538.0
2014-06-03,275428.0
2014-06-04,286368.0
2014-06-05,294896.0
2014-06-06,306018.0
2014-06-09,305476.0
2014-06-10,292572.0
2014-06-11,289706.0
2014-06-12,282008.0
2014-06-13,297930.0
2014-06-16,308192.0
2014-06-17,322014.0
2014-06-18,318742.0
2014-06-19,308550.0
2014-06-20,307394.0
2014-06-23,299212.0
2014-06-24,301488.0
2014-06-25,307034.0
2014-06-26,310056.0
2014-06-27,306262.0
2014-06-30,305706.0
2014-07-01,305526.0
2014-07-02,306362.0
2014-07-03,302772.0
2014-07-04,300692.0
2014-07-07,294072.0
2014-07-08,289742.0
2014-07-09,293010.0
2014-07-10,314762.0
2014-07-11,321052.0
2014-07-14,312362.0
2014-07-15,298234.0
2014-07-16,295968.0
2014-07-17,292534.0
2014-07-18,284586.0
2014-07-21,303724.0
2014-07-22,315472.0
2014-07-23,305598.0
2014-07-24,315318.0
2014-07-25,306804.0
2014-07-28,311344.0
2014-07-29,315046.0
2014-07-30,313568.0
2014-07-31,310212.0
2014-08-01,302940.0
2014-08-04,295528.0
2014-08-05,301214.0
2014-08-06,304560.0
2014-08-07,301972.0
2014-08-08,303100.0
2014-08-11,296750.0
2014-08-12,287692.0
2014-08-13,291852.0
2014-08-14,296556.0
2014-08-15,291930.0
2014-08-18,297728.0
2014-08-19,295906.0
2014-08-20,297926.0
2014-08-21,300476.0
2014-08-22,302374.0
2014-08-25,301118.0
2014-08-26,301120.0
2014-08-27,305178.0
2014-08-28,301008.0
2014-08-29,294982.0
2014-09-01,289772.0
2014-09-02,289656.0
2014-09-03,285790.0
2014-09-04,282910.0
2014-09-05,281218.0
2014-09-09,281452.0
2014-09-10,286190.0
2014-09-11,284868.0
2014-09-12,282560.0
2014-09-15,283962.0
2014-09-16,277788.0
2014-09-17,273158.0
2014-09-18,266622.0
2014-09-19,253300.0
2014-09-22,241802.0
2014-09-23,243822.0
2014-09-24,248856.0
2014-09-25,243834.0
2014-09-26,243594.0
2014-09-29,223204.0
2014-09-30,217504.0
2014-10-08,226666.0
2014-10-09,236744.0
2014-10-10,231808.0
2014-10-13,232960.0
2014-10-14,235858.0
2014-10-15,234220.0
2014-10-16,224906.0
2014-10-17,217278.0
2014-10-20,229012.0
2014-10-21,226940.0
2014-10-22,214100.0
2014-10-23,215002.0
2014-10-24,214568.0
2014-10-27,217758.0
2014-10-28,214020.0
2014-10-29,210796.0
2014-10-30,193556.0
2014-10-31,192950.0
2014-11-03,193400.0
2014-11-04,192926.0
2014-11-05,180896.0
2014-11-06,177626.0
2014-11-07,179120.0
2014-11-10,182616.0
2014-11-11,184868.0
2014-11-12,191082.0
2014-11-13,195940.0
2014-11-14,206008.0
2014-11-17,208954.0
2014-11-18,197166.0
2014-11-19,208494.0
2014-11-20,205026.0
2014-11-21,200320.0
2014-11-24,198470.0
2014-11-25,202804.0
2014-11-26,203806.0
2014-11-27,197538.0
2014-11-28,187672.0
2014-12-01,175320.0
2014-12-02,163686.0
2014-12-03,177248.0
2014-12-04,177266.0
2014-12-05,187894.0
2014-12-08,192772.0
2014-12-09,188470.0
2014-12-10,186850.0
2014-12-11,188674.0
2014-12-12,184026.0
2014-12-15,174014.0
2014-12-16,171678.0
2014-12-17,168904.0
2014-12-18,166420.0
2014-12-19,169948.0
2014-12-22,166472.0
2014-12-23,161178.0
2014-12-24,160718.0
2014-12-25,160382.0
2014-12-26,157108.0
2014-12-29,158202.0
2014-12-30,157330.0
2014-12-31,155672.0
2015-01-05,155572.0
2015-01-06,159530.0
2015-01-07,157234.0
2015-01-08,175624.0
2015-01-09,178088.0
2015-01-12,177840.0
2015-01-13,180468.0
2015-01-14,180492.0
2015-01-15,195186.0
2015-01-16,197970.0
2015-01-19,192728.0
2015-01-20,198964.0
2015-01-21,195708.0
2015-01-22,193790.0
2015-01-23,189636.0
2015-01-26,186476.0
2015-01-27,189958.0
2015-01-28,183670.0
2015-01-29,178288.0
2015-01-30,197482.0
2015-02-02,192742.0
2015-02-03,201782.0
2015-02-04,190236.0
2015-02-05,184530.0
2015-02-06,186100.0
2015-02-09,185318.0
2015-02-10,182452.0
2015-02-11,177940.0
2015-02-12,171712.0
2015-02-13,165804.0
2015-02-16,162838.0
2015-02-17,162120.0
2015-02-25,160328.0
2015-02-26,164040.0
2015-02-27,151242.0
2015-03-02,150320.0
2015-03-03,155508.0
2015-03-04,160544.0
2015-03-05,150096.0
2015-03-06,146200.0
2015-03-09,148896.0
2015-03-10,147768.0
2015-03-11,153686.0
2015-03-12,156712.0
2015-03-13,154236.0
2015-03-16,156018.0
2015-03-17,155960.0
2015-03-18,153534.0
2015-03-19,155528.0
2015-03-20,155066.0
2015-03-23,154194.0
2015-03-24,152788.0
2015-03-25,151776.0
2015-03-26,150482.0
2015-03-27,152556.0
2015-03-30,154176.0
2015-03-31,153978.0
2015-04-01,151300.0
2015-04-02,150536.0
2015-04-03,151028.0
2015-04-07,150990.0
2015-04-08,155002.0
2015-04-09,157940.0
2015-04-10,155974.0
2015-04-13,156236.0
2015-04-14,151620.0
2015-04-15,155102.0
2015-04-16,155304.0
2015-04-17,155740.0
2015-04-20,145692.0
2015-04-21,150224.0
2015-04-22,152510.0
2015-04-23,157822.0
2015-04-24,158112.0
2015-04-27,158116.0
2015-04-28,166374.0
2015-04-29,167784.0
2015-04-30,166446.0
2015-05-04,174222.0
2015-05-05,175522.0
2015-05-06,168552.0
2015-05-07,168786.0
2015-05-08,169650.0
2015-05-11,172276.0
2015-05-12,173820.0
2015-05-13,175460.0
2015-05-14,172984.0
2015-05-15,174250.0
2015-05-18,175024.0
2015-05-19,171834.0
2015-05-20,164548.0
2015-05-21,164982.0
2015-05-22,164988.0
2015-05-25,164278.0
2015-05-26,170654.0
2015-05-27,172530.0
2015-05-28,172006.0
2015-05-29,168530.0
2015-06-01,167260.0
2015-06-02,167140.0
2015-06-03,170852.0
2015-06-04,172268.0
2015-06-05,177364.0
2015-06-08,182772.0
2015-06-09,199804.0
2015-06-10,209858.0
2015-06-11,213670.0
2015-06-12,206124.0
2015-06-15,207998.0
2015-06-16,203108.0
2015-06-17,202352.0
2015-06-18,201952.0
2015-06-19,200112.0
2015-06-23,199248.0
2015-06-24,202856.0
2015-06-25,208614.0
2015-06-26,202168.0
2015-06-29,203690.0
2015-06-30,221832.0
2015-07-01,213674.0
2015-07-02,216370.0
2015-07-03,215836.0
2015-07-06,214898.0
2015-07-07,213706.0
2015-07-08,195280.0
2015-07-09,192302.0
2015-07-10,191936.0
2015-07-13,194240.0
2015-07-14,190398.0
2015-07-15,192092.0
2015-07-16,195052.0
2015-07-17,198674.0
2015-07-20,198474.0
2015-07-21,201412.0
2015-07-22,203786.0
2015-07-23,207212.0
