trading_date,rank,volume,volume_change
2013-11-05,210,400047893,3447
2013-11-06,210,395026819,439
2013-11-07,210,406601659,2157
2013-11-08,210,350206032,-4931
2013-11-11,210,344040011,-317
2013-11-12,210,397278431,8152
2013-11-13,210,373756630,2068
2013-11-14,210,435736225,7063
2013-11-15,210,518430224,6409
2013-11-18,210,394409344,-9472
2013-11-19,210,398997383,3298
2013-11-20,210,406211639,2162
2013-11-21,210,417779476,2100
2013-11-22,210,397441145,-1882
2013-11-25,210,375251467,-848
2013-11-26,210,367826789,970
2013-11-27,210,350630927,-1650
2013-11-28,210,362300381,1560
2013-11-29,210,377688159,1677
2013-12-02,210,343065272,-3247
2013-12-03,210,331097011,-1925
2013-12-04,210,341403667,826
2013-12-05,210,334191400,-330
2013-12-06,210,329702639,-585
2013-12-09,210,328908304,587
2013-12-10,210,339532830,1715
2013-12-11,210,367517909,5199
2013-12-12,210,366352702,319
2013-12-13,210,375518730,1483
2013-12-16,210,418731711,4909
2013-12-17,210,399789966,-1882
2013-12-18,210,352239481,-2519
2013-12-19,210,345487032,-1279
2013-12-20,210,334309715,-1095
2013-12-23,210,334266135,413
2013-12-24,210,338634133,3044
2013-12-25,210,385158684,5514
2013-12-26,210,410213963,1863
2013-12-27,210,398945148,-194
2013-12-30,210,396696675,-282
2013-12-31,210,426204525,2112
2014-01-02,210,460139742,5440
2014-01-03,210,438136217,-603
2014-01-06,210,438663896,1075
2014-01-07,210,430720817,2235
2014-01-08,210,433286870,2623
2014-01-09,210,428680442,969
2014-01-10,210,439935215,801
2014-01-13,210,431972332,-354
2014-01-14,210,438007604,568
2014-01-15,210,418160459,-1201
2014-01-16,210,476642826,4880
2014-01-17,210,498617520,618
2014-01-20,210,560557169,7339
2014-01-21,210,594718598,3720
2014-01-22,210,600369292,1556
2014-01-23,210,618599187,1074
2014-01-24,210,632360201,1925
2014-01-27,210,597702798,-1740
2014-01-28,210,682397278,5846
2014-01-29,210,663668175,-1208
2014-01-30,210,621777931,-2121
2014-02-07,210,529023103,-7920
2014-02-10,210,530385522,2118
2014-02-11,210,539604428,2031
2014-02-12,210,538369079,2682
2014-02-13,210,566063910,2711
2014-02-14,210,582686880,3082
2014-02-17,210,523003192,-2465
2014-02-18,210,521653475,869
2014-02-19,210,460812230,-3609
2014-02-20,210,459612315,-352
2014-02-21,210,449852848,-637
2014-02-24,210,446752777,-302
2014-02-25,210,432314454,-1587
2014-02-26,210,480216887,3741
2014-02-27,210,519857942,2513
2014-02-28,210,487739597,-2067
2014-03-03,210,437521679,-4228
2014-03-04,210,436604209,538
2014-03-05,210,464541281,1540
2014-03-06,210,478536768,1037
2014-03-07,210,468685737,-1699
2014-03-10,210,471251017,-352
2014-03-11,210,466478144,-3135
2014-03-12,210,438640208,-2214
2014-03-13,210,444348923,2521
2014-03-14,210,457845491,4409
2014-03-17,210,568671671,6742
2014-03-18,210,671599042,9759
2014-03-19,210,822926137,9630
2014-03-20,210,799059807,2750
2014-03-21,210,842232050,-1785
2014-03-24,210,843666661,849
2014-03-25,210,813963918,-2817
2014-03-26,210,797572686,312
2014-03-27,210,766526388,-447
2014-03-28,210,747098853,95
2014-03-31,210,655324793,-2417
2014-04-01,210,580342586,-2590
2014-04-02,210,510535696,985
2014-04-03,210,491047318,-2934
2014-04-04,210,471505827,194
2014-04-08,210,482566809,1186
2014-04-09,210,474378050,-1085
2014-04-10,210,480430113,1319
2014-04-11,210,474802457,-1607
