trading_date,rank,volume,volume_change
2013-11-05,210,1756873322,13212
2013-11-06,210,1818342340,1152
2013-11-07,210,1828203184,-934
2013-11-08,210,1776913074,-4683
2013-11-11,210,1663135322,-3966
2013-11-12,210,1822728285,12028
2013-11-13,210,2262738228,5085
2013-11-14,210,2595139959,12685
2013-11-15,210,2881934168,10635
2013-11-18,210,2446238001,-11313
2013-11-19,210,2574448519,2720
2013-11-20,210,2555211309,188
2013-11-21,210,2502796056,3714
2013-11-22,210,2229453179,-10932
2013-11-25,210,2198472088,-1943
2013-11-26,210,2164756153,-1869
2013-11-27,210,2052485009,-2296
2013-11-28,210,2258645792,3781
2013-11-29,210,2137442354,-1848
2013-12-02,210,2090735805,-649
2013-12-03,210,2182863205,606
2013-12-04,210,2508832088,5329
2013-12-05,210,2421242711,-3225
2013-12-06,210,2449198555,-706
2013-12-09,210,2447985528,1635
2013-12-10,210,2449065839,1206
2013-12-11,210,2564022443,5735
2013-12-12,210,2606060172,762
2013-12-13,210,2367881830,-2400
2013-12-16,210,2383988367,3855
2013-12-17,210,2397548645,55
2013-12-18,210,2139043924,-7168
2013-12-19,210,2145251196,-43
2013-12-20,210,2107687383,537
2013-12-23,210,2087481691,612
2013-12-24,210,2031067086,-2278
2013-12-25,210,2098939195,4818
2013-12-26,210,2046663406,835
2013-12-27,210,2072094373,-106
2013-12-30,210,2052705516,1389
2013-12-31,210,1989139238,752
2014-01-02,210,2018173798,2240
2014-01-03,210,1849097695,-3356
2014-01-06,210,1435097809,-7454
2014-01-07,210,1896159142,4538
2014-01-08,210,1840394686,1872
2014-01-09,210,1936475577,5648
2014-01-10,210,1906119400,1491
2014-01-13,210,1839273045,-2043
2014-01-14,210,1738328103,-792
2014-01-15,210,1828863289,4231
2014-01-16,210,1859139703,3168
2014-01-17,210,1757167676,42
2014-01-20,210,2765151970,15094
2014-01-21,210,2779870394,4512
2014-01-22,210,2781689408,711
2014-01-23,210,2890257305,3911
2014-01-24,210,2991635126,1549
2014-01-27,210,3061632870,-2433
2014-01-28,210,3076726716,1052
2014-01-29,210,3084368232,-904
2014-01-30,210,2934310642,-4372
2014-02-07,210,1796921912,-16846
2014-02-10,210,1757351980,5547
2014-02-11,210,1618274381,1458
