trading_date,rank,volume,volume_change
2014-07-29,210,9900,3087
2014-07-30,210,12690,4194
2014-07-31,210,11349,1653
2014-08-01,210,12561,-197
2014-08-04,210,14598,3455
2014-08-05,210,15039,990
2014-08-06,210,13805,-497
2014-08-07,210,12792,-687
2014-08-08,210,13068,871
2014-08-11,210,12563,290
2014-08-12,210,11997,-189
2014-08-13,210,12470,700
2014-08-14,210,12474,250
2014-08-15,210,13139,730
2014-08-18,210,11052,-168
2014-08-19,210,10442,-502
2014-08-20,210,9688,-357
2014-08-21,210,9583,405
2014-08-22,210,9240,-234
2014-08-25,210,9212,423
2014-08-26,210,8896,-74
2014-08-27,210,8831,178
2014-08-28,210,8693,336
2014-08-29,210,8586,-27
2014-09-01,210,8626,251
2014-09-02,210,8032,111
2014-09-03,210,7374,-322
2014-09-04,210,7319,318
2014-09-05,210,7137,-105
2014-09-09,210,6561,-574
2014-09-10,210,6459,-95
2014-09-11,210,6029,-51
2014-09-12,210,6363,507
2014-09-15,210,6284,72
2014-09-16,210,5960,-324
2014-09-17,210,5931,172
2014-09-18,210,5478,-332
2014-09-19,210,4902,-573
2014-09-22,210,4161,-326
2014-09-23,210,4162,138
2014-09-24,210,4061,-101
2014-09-25,210,3877,-184
2014-09-26,210,3726,-135
2014-09-29,210,3702,-17
2014-09-30,190,3548,11
2014-10-08,136,3330,-195
2014-10-09,105,3010,-265
2014-10-10,91,3050,45
2014-10-13,91,3025,-5
2014-10-14,78,3020,15
2014-10-15,36,2925,55
2016-10-10,210,15101,734
2016-10-11,210,15305,681
2016-10-12,210,14918,-292
2016-10-13,210,13675,-1151
2016-10-14,210,12893,-430
2016-10-17,210,12472,-392
2016-10-18,210,9520,-483
2016-10-19,210,8803,-717
2016-10-20,210,7880,-884
2016-10-21,210,7467,-270
2016-10-24,210,6230,-850
2016-10-25,210,16124,689
2016-10-26,210,15657,-43
2016-10-27,210,15463,-37
2016-10-28,210,15379,-109
2016-10-31,210,14261,-565
2016-11-01,210,13550,-824
2016-11-02,210,12775,-675
2016-11-03,210,12404,-330
2016-11-04,210,11985,-388
2016-11-07,210,11464,-511
2016-11-08,210,9288,-1765
2016-11-09,210,8377,-572
2016-11-10,210,8081,-102
2016-11-11,210,7738,-83
2016-11-14,210,7080,-641
2016-11-15,210,6455,-370
2016-11-16,210,17005,1321
2016-11-17,210,16350,-222
2016-11-18,210,16111,-239
2016-11-21,210,16939,1056
2016-11-22,210,17793,1337
2016-11-23,210,18764,1502
2016-11-24,210,18461,325
2016-11-25,210,17527,14
2016-11-28,210,18631,1143
2016-11-29,210,17760,217
2016-11-30,210,17164,309
2016-12-01,210,28892,2152
2016-12-02,210,29301,771
2016-12-05,210,29616,619
