trading_date,rank,volume,volume_change
2014-07-29,210,14111,4157
2014-07-30,210,16696,3145
2014-07-31,210,16295,50
2014-08-01,210,17628,-187
2014-08-04,210,20357,2942
2014-08-05,210,19344,-688
2014-08-06,210,17641,-1143
2014-08-07,210,16655,-868
2014-08-08,210,16477,-394
2014-08-11,210,16575,98
2014-08-12,210,16313,-39
2014-08-13,210,16520,397
2014-08-14,210,16722,202
2014-08-15,210,16731,9
2014-08-18,210,14442,-259
2014-08-19,210,13843,-170
2014-08-20,210,13059,-366
2014-08-21,210,12921,-39
2014-08-22,210,12518,-403
2014-08-25,210,12103,-396
2014-08-26,210,11915,-175
2014-08-27,210,11918,177
2014-08-28,210,11850,84
2014-08-29,210,11542,-232
2014-09-01,210,10619,-665
2014-09-02,210,10315,-180
2014-09-03,210,9691,-362
2014-09-04,210,9500,-186
2014-09-05,210,9351,-123
2014-09-09,210,8585,-756
2014-09-10,210,8441,50
2014-09-11,210,7999,-441
2014-09-12,210,8235,236
2014-09-15,210,8186,-45
2014-09-16,210,7761,-326
2014-09-17,210,7526,-199
2014-09-18,210,6996,-520
2014-09-19,210,6496,-487
2014-09-22,210,5820,-668
2014-09-23,210,5636,-176
2014-09-24,210,5504,-113
2014-09-25,210,5305,-198
2014-09-26,210,5120,-151
2014-09-29,210,5076,-36
2014-09-30,190,4758,-289
2014-10-08,171,4540,-217
2014-10-09,171,4210,15
2014-10-10,153,4270,65
2014-10-13,153,4245,-25
2014-10-14,136,4245,25
2014-10-15,105,4185,25
2016-10-10,210,13766,461
2016-10-11,210,14516,642
2016-10-12,210,13945,-263
2016-10-13,210,12719,-1226
2016-10-14,210,12222,-476
2016-10-17,210,11904,-246
2016-10-18,210,9145,-627
2016-10-19,210,8616,-447
2016-10-20,210,7723,-817
2016-10-21,210,7251,-470
2016-10-24,210,6130,-967
2016-10-25,210,17361,1267
2016-10-26,210,15937,-1177
2016-10-27,210,15601,8
2016-10-28,210,15355,-236
2016-10-31,210,14389,-440
2016-11-01,210,13930,-136
2016-11-02,210,12635,-655
2016-11-03,210,12393,-192
2016-11-04,210,12022,-366
2016-11-07,210,11463,-490
2016-11-08,210,9486,-1566
2016-11-09,210,8588,-892
2016-11-10,210,8346,-242
2016-11-11,210,7585,-448
2016-11-14,210,6839,-614
2016-11-15,210,6158,-518
2016-11-16,210,16336,1760
2016-11-17,210,15750,-202
2016-11-18,210,15519,-239
2016-11-21,210,16254,866
2016-11-22,210,17022,1185
2016-11-23,210,18219,1152
2016-11-24,210,18301,206
2016-11-25,210,18359,763
2016-11-28,210,18764,805
2016-11-29,210,16735,-883
2016-11-30,210,16200,-398
2016-12-01,210,26332,1313
2016-12-02,210,27883,1995
2016-12-05,210,28407,1470
2016-12-06,210,28630,-87
2016-12-07,210,29188,1234
2016-12-08,210,30249,930
2016-12-09,210,29980,155
2016-12-12,210,28801,-597
2016-12-13,210,28892,662
2016-12-14,210,28097,-593
2016-12-15,210,27147,-277
2016-12-16,210,22665,-1407
2016-12-19,210,23813,1595
2016-12-20,210,23380,263
2016-12-21,210,22164,-936
2016-12-22,210,22101,177
2016-12-23,210,21445,22
2016-12-26,210,21223,-129
2016-12-27,210,21285,433
2016-12-28,210,20476,-634
2016-12-29,210,19945,-227
2016-12-30,210,19615,-392
2017-01-03,210,19354,-193
2017-01-04,210,19192,130
2017-01-05,210,18345,-769
2017-01-06,210,18152,148
2017-01-09,210,17930,-18
2017-01-10,210,17374,102
2017-01-11,210,15885,-1361
2017-01-12,210,26217,687
2017-01-13,210,24822,-1161
2017-01-16,210,26040,1287
2017-01-17,210,20753,-579
2017-01-18,210,21117,527
2017-01-19,210,21404,270
2017-01-20,210,20141,-716
2017-01-23,210,18678,276
2017-01-24,210,18710,10
2017-01-25,210,18354,-356
2017-01-26,210,17684,120
2017-02-03,210,17943,314
2017-02-06,210,17668,548
2017-02-07,210,18427,1069
2017-02-08,210,19882,1511
2017-02-09,210,20167,455
2017-02-10,210,20548,387
2017-02-13,210,21187,713
2017-02-14,210,19825,-1254
2017-02-15,210,18798,-950
2017-02-16,210,13522,-1549
2017-02-17,210,12632,-820
2017-02-20,210,11630,-643
2017-02-21,210,21864,366
2017-02-22,210,21691,76
2017-02-23,210,21689,562
