trading_date,PB_total_oi
2014-07-29,51066.0
2014-07-30,58026.0
2014-07-31,56154.0
2014-08-01,54342.0
2014-08-04,60818.0
2014-08-05,58316.0
2014-08-06,55974.0
2014-08-07,52882.0
2014-08-08,51770.0
2014-08-11,51190.0
2014-08-12,50678.0
2014-08-13,51458.0
2014-08-14,50008.0
2014-08-15,50382.0
2014-08-18,44160.0
2014-08-19,42838.0
2014-08-20,42068.0
2014-08-21,42352.0
2014-08-22,42862.0
2014-08-25,41942.0
2014-08-26,41038.0
2014-08-27,41142.0
2014-08-28,40662.0
2014-08-29,39796.0
2014-09-01,38570.0
2014-09-02,39032.0
2014-09-03,38938.0
2014-09-04,39086.0
2014-09-05,39840.0
2014-09-09,39060.0
2014-09-10,40888.0
2014-09-11,40320.0
2014-09-12,40754.0
2014-09-15,40722.0
2014-09-16,36294.0
2014-09-17,36088.0
2014-09-18,36108.0
2014-09-19,35370.0
2014-09-22,35086.0
2014-09-23,34738.0
2014-09-24,35170.0
2014-09-25,35458.0
2014-09-26,34924.0
2014-09-29,34366.0
2014-09-30,33208.0
2014-10-08,32616.0
2014-10-09,32314.0
2014-10-10,32978.0
2014-10-13,33258.0
2014-10-14,33234.0
2014-10-15,33914.0
2016-10-10,55500.0
2016-10-11,58604.0
2016-10-12,58164.0
2016-10-13,55206.0
2016-10-14,53866.0
2016-10-17,54012.0
2016-10-18,49320.0
2016-10-19,48598.0
2016-10-20,47802.0
2016-10-21,52568.0
2016-10-24,53202.0
2016-10-25,56126.0
2016-10-26,52716.0
2016-10-27,53468.0
2016-10-28,55102.0
2016-10-31,55134.0
2016-11-01,55288.0
2016-11-02,54110.0
2016-11-03,55832.0
2016-11-04,55046.0
2016-11-07,55956.0
2016-11-08,52846.0
2016-11-09,52140.0
2016-11-10,53120.0
2016-11-11,52226.0
2016-11-14,52392.0
2016-11-15,51378.0
2016-11-16,53890.0
2016-11-17,53448.0
2016-11-18,53314.0
2016-11-21,57528.0
2016-11-22,65682.0
