trading_date,rank,volume,volume_change
2014-07-29,210,6325166,3087
2014-07-30,210,11602132,4194
2014-07-31,210,8793601,1653
2014-08-01,210,10364723,-197
2014-08-04,210,14062024,3455
2014-08-05,210,18176525,990
2014-08-06,210,12632321,-497
2014-08-07,210,11164996,-687
2014-08-08,210,11223362,871
2014-08-11,210,10662357,290
2014-08-12,210,9806593,-189
2014-08-13,210,10715788,700
2014-08-14,210,10603484,250
2014-08-15,210,11591339,730
2014-08-18,210,8867266,-168
2014-08-19,210,7251448,-502
2014-08-20,210,6263188,-357
2014-08-21,210,6242829,405
2014-08-22,210,5979802,-234
2014-08-25,210,6260660,423
2014-08-26,210,5837596,-74
2014-08-27,210,5335083,178
2014-08-28,210,5235571,336
2014-08-29,210,4992702,-27
2014-09-01,210,6653134,251
2014-09-02,210,6486226,111
2014-09-03,210,6112872,-322
2014-09-04,210,6985105,318
2014-09-05,210,6297375,-105
2014-09-09,210,4753219,-574
2014-09-10,210,4700965,-95
2014-09-11,210,4554825,-51
2014-09-12,210,4778061,507
2014-09-15,210,4841912,72
2014-09-16,210,4706258,-324
2014-09-17,210,4787473,172
2014-09-18,210,4262364,-332
2014-09-19,210,3469400,-573
2014-09-22,210,2025013,-326
2014-09-23,210,2101566,138
2014-09-24,210,2060157,-101
2014-09-25,210,1758845,-184
2014-09-26,210,1772000,-135
2014-09-29,210,1782194,-17
2014-09-30,190,1783080,11
2014-10-08,136,1579400,-195
2014-10-09,105,1356750,-265
2014-10-10,91,1411650,45
2014-10-13,91,1415375,-5
2014-10-14,78,1433700,15
2014-10-15,36,1474375,55
2016-10-10,210,16663481,734
2016-10-11,210,17349875,681
2016-10-12,210,17539186,-292
2016-10-13,210,14713019,-1151
2016-10-14,210,13780621,-430
2016-10-17,210,13195638,-392
2016-10-18,210,6567402,-483
2016-10-19,210,5691301,-717
2016-10-20,210,4939026,-884
2016-10-21,210,4648573,-270
2016-10-24,210,3975286,-850
2016-10-25,210,17150232,689
2016-10-26,210,19090307,-43
2016-10-27,210,18643841,-37
2016-10-28,210,17268613,-109
2016-10-31,210,14801427,-565
2016-11-01,210,13642942,-824
2016-11-02,210,12280431,-675
2016-11-03,210,11451198,-330
2016-11-04,210,10989741,-388
2016-11-07,210,10801896,-511
2016-11-08,210,7820680,-1765
2016-11-09,210,7061477,-572
2016-11-10,210,6540601,-102
2016-11-11,210,6085336,-83
2016-11-14,210,4992770,-641
2016-11-15,210,4721483,-370
2016-11-16,210,25704731,1321
2016-11-17,210,23193932,-222
2016-11-18,210,22960863,-239
2016-11-21,210,29381297,1056
2016-11-22,210,27810555,1337
2016-11-23,210,28788924,1502
2016-11-24,210,28780569,325
2016-11-25,210,25655465,14
2016-11-28,210,29760063,1143
2016-11-29,210,25501570,217
2016-11-30,210,23617506,309
2016-12-01,210,68984158,2152
2016-12-02,210,70047499,771
2016-12-05,210,69345786,619
2016-12-06,210,73785166,598
2016-12-07,210,74126586,1286
2016-12-08,210,75648607,968
2016-12-09,210,67079838,-224
2016-12-12,210,65578451,-392
2016-12-13,210,61461288,-190
2016-12-14,210,57332818,-624
2016-12-15,210,57837903,1268
2016-12-16,210,39163555,-2490
2016-12-19,210,43532982,1187
2016-12-20,210,37924371,665
2016-12-21,210,37511761,219
2016-12-22,210,39121953,254
2016-12-23,210,39145697,143
2016-12-26,210,31279915,1820
2016-12-27,210,37509885,2067
2016-12-28,210,34538962,-307
2016-12-29,210,39333944,421
2016-12-30,210,47273820,231
2017-01-03,210,45075698,-1073
2017-01-04,210,45485337,634
2017-01-05,210,45210782,89
2017-01-06,210,45121980,272
2017-01-09,210,43506748,-877
2017-01-10,210,42140872,-374
2017-01-11,210,39047674,-1293
2017-01-12,210,57775995,1067
2017-01-13,210,56220417,-496
2017-01-16,210,57032862,624
2017-01-17,210,30410801,-250
2017-01-18,210,31859871,783
2017-01-19,210,28457256,-380
