trading_date,rank,volume,volume_change
2014-07-29,210,15456577,4157
2014-07-30,210,18598768,3145
2014-07-31,210,17050661,50
2014-08-01,210,19798324,-187
2014-08-04,210,25923545,2942
2014-08-05,210,24737140,-688
2014-08-06,210,20936611,-1143
2014-08-07,210,19073749,-868
2014-08-08,210,18420769,-394
2014-08-11,210,18194303,98
2014-08-12,210,18532083,-39
2014-08-13,210,18605790,397
2014-08-14,210,19030142,202
2014-08-15,210,19236815,9
2014-08-18,210,15153346,-259
2014-08-19,210,14435119,-170
2014-08-20,210,13163287,-366
2014-08-21,210,13037221,-39
2014-08-22,210,12383788,-403
2014-08-25,210,11680129,-396
2014-08-26,210,11814279,-175
2014-08-27,210,12135078,177
2014-08-28,210,12142370,84
2014-08-29,210,11753752,-232
2014-09-01,210,10655817,-665
2014-09-02,210,10519015,-180
2014-09-03,210,9448005,-362
2014-09-04,210,9024838,-186
2014-09-05,210,8972451,-123
2014-09-09,210,7480925,-756
2014-09-10,210,7611535,50
2014-09-11,210,6432877,-441
2014-09-12,210,6968975,236
2014-09-15,210,6880734,-45
2014-09-16,210,6211201,-326
2014-09-17,210,5824620,-199
2014-09-18,210,5173832,-520
2014-09-19,210,4710790,-487
2014-09-22,210,4074596,-668
2014-09-23,210,3946006,-176
2014-09-24,210,3722914,-113
2014-09-25,210,3541453,-198
2014-09-26,210,3432744,-151
2014-09-29,210,3410772,-36
2014-09-30,190,3076240,-289
2014-10-08,171,2947800,-217
2014-10-09,171,2908650,15
2014-10-10,153,3022100,65
2014-10-13,153,2954475,-25
2014-10-14,136,2983725,25
2014-10-15,105,3241425,25
2016-10-10,210,12937854,461
2016-10-11,210,14299926,642
2016-10-12,210,13467037,-263
2016-10-13,210,11178197,-1226
2016-10-14,210,10640152,-476
2016-10-17,210,10769088,-246
2016-10-18,210,7076291,-627
2016-10-19,210,6206866,-447
2016-10-20,210,4764047,-817
2016-10-21,210,4018673,-470
2016-10-24,210,3260068,-967
2016-10-25,210,23559557,1267
2016-10-26,210,20382697,-1177
2016-10-27,210,20618633,8
2016-10-28,210,19586171,-236
2016-10-31,210,17662317,-440
2016-11-01,210,17117564,-136
2016-11-02,210,15396967,-655
2016-11-03,210,14299571,-192
2016-11-04,210,14330512,-366
2016-11-07,210,13318827,-490
2016-11-08,210,9982936,-1566
2016-11-09,210,8633238,-892
2016-11-10,210,8297292,-242
2016-11-11,210,6848977,-448
2016-11-14,210,5954347,-614
2016-11-15,210,4574898,-518
2016-11-16,210,18842954,1760
2016-11-17,210,17679414,-202
2016-11-18,210,17459817,-239
2016-11-21,210,19499056,866
2016-11-22,210,21240442,1185
2016-11-23,210,24740249,1152
2016-11-24,210,22124745,206
2016-11-25,210,22543475,763
2016-11-28,210,23895062,805
2016-11-29,210,19254583,-883
2016-11-30,210,19711858,-398
2016-12-01,210,52744756,1313
2016-12-02,210,58641215,1995
2016-12-05,210,65490683,1470
2016-12-06,210,65580244,-87
2016-12-07,210,71253040,1234
2016-12-08,210,75797789,930
2016-12-09,210,74553958,155
2016-12-12,210,71082525,-597
2016-12-13,210,72196218,662
2016-12-14,210,67124409,-593
2016-12-15,210,61557405,-277
2016-12-16,210,40130371,-1407
2016-12-19,210,42111085,1595
2016-12-20,210,40336186,263
2016-12-21,210,36944598,-936
2016-12-22,210,36333507,177
2016-12-23,210,35310391,22
2016-12-26,210,34282709,-129
2016-12-27,210,35315159,433
2016-12-28,210,32725872,-634
2016-12-29,210,31260265,-227
2016-12-30,210,31856253,-392
2017-01-03,210,31635342,-193
2017-01-04,210,32445238,130
2017-01-05,210,30829221,-769
2017-01-06,210,29888946,148
2017-01-09,210,29071022,-18
2017-01-10,210,29622616,102
2017-01-11,210,26736893,-1361
2017-01-12,210,63360135,687
2017-01-13,210,58766134,-1161
2017-01-16,210,63536154,1287
2017-01-17,210,38264167,-579
2017-01-18,210,37853223,527
2017-01-19,210,38590662,270
2017-01-20,210,33818837,-716
2017-01-23,210,36920344,276
2017-01-24,210,34808090,10
2017-01-25,210,33711110,-356
2017-01-26,210,31229584,120
2017-02-03,210,31220975,314
2017-02-06,210,30801146,548
2017-02-07,210,34736905,1069
2017-02-08,210,37358458,1511
2017-02-09,210,39446585,455
2017-02-10,210,42857674,387
2017-02-13,210,45192811,713
2017-02-14,210,40127863,-1254
2017-02-15,210,38061660,-950
2017-02-16,210,18239160,-1549
2017-02-17,210,16178728,-820
2017-02-20,210,14419810,-643
2017-02-21,210,42398052,366
2017-02-22,210,40635181,76
2017-02-23,210,39667175,562
2017-02-24,210,36936555,-659
2017-02-27,210,36743982,360
2017-02-28,210,34333514,434
2017-03-01,210,33447415,14
2017-03-02,210,32925683,94
2017-03-03,210,30775090,-501
2017-03-06,210,29611224,683
2017-03-07,210,29232082,278
2017-03-08,210,26275598,-985
2017-03-09,210,24588221,-198
2017-03-10,210,22226716,-633
2017-03-13,210,21359566,-170
2017-03-14,210,20008738,-916
2017-03-15,210,46845384,2439
2017-03-16,210,37760155,1304
2017-03-17,210,36817087,-275
2017-03-20,210,37853784,746
2017-03-21,210,37988096,429
2017-03-22,210,38471692,1549
2017-03-23,210,42297978,1560
2017-03-24,210,43582198,1130
2017-03-27,210,40592691,-762
2017-03-28,210,42625241,1363
2017-03-29,210,43740359,592
2017-03-30,210,44133190,34
2017-03-31,210,36203877,-1297
2017-04-05,210,34675745,-915
2017-04-06,210,68489533,2079
2017-04-07,210,58444163,496
2017-04-10,210,54781574,-1134
2017-04-11,210,54219362,325
2017-04-12,210,56962436,1544
2017-04-13,210,55690953,-753
2017-04-14,210,55469708,432
2017-04-17,210,55604067,377
2017-04-18,210,42502764,1070
2017-04-19,210,36666801,-828
2017-04-20,210,34345783,-280
2017-04-21,210,35440563,501
2017-04-24,210,35897380,924
2017-04-25,210,36020857,323
2017-04-26,210,34735619,-545
2017-04-27,210,29184356,771
2017-04-28,210,30992456,134
2017-05-02,210,32992016,492
2017-05-03,210,36012830,1058
2017-05-04,210,35562062,223
2017-05-05,210,35463812,-302
2017-05-08,210,34984846,339
2017-05-09,210,35089847,91
2017-05-10,210,29954317,-759
2017-05-11,210,29527458,77
2017-05-12,210,28341424,181
2017-05-15,210,27075087,-287
2017-05-16,210,38068150,887
2017-05-17,210,35689823,-182
2017-05-18,210,41240687,1823
2017-05-19,210,41964568,541
2017-05-22,210,33701856,-2010
