trading_date,rank,volume,volume_change
2014-02-28,210,16082,16082
2014-03-03,210,15736,1487
2014-03-04,210,18652,3854
2014-03-05,210,21635,3424
2014-03-06,210,25907,4800
2014-03-07,210,28390,3816
2014-03-10,210,32993,7310
2014-03-11,210,29562,-288
2014-03-12,210,34065,5051
2014-03-13,210,33597,696
2014-03-14,210,32442,-418
2014-03-17,210,30627,-1106
2014-03-18,210,28525,-1833
2014-03-19,210,27669,-13
2014-03-20,210,26540,-1108
2014-03-21,210,26451,990
2014-03-24,210,28437,1537
2014-03-25,210,26934,153
2014-03-26,210,28644,3576
2014-03-27,210,28153,230
2014-03-28,210,29364,1399
2014-03-31,210,29502,150
2014-04-01,210,35429,6774
2014-04-02,210,36547,1162
2014-04-03,210,38567,2466
2014-04-04,210,41209,3128
2014-04-08,210,42673,1890
2014-04-09,210,44448,1832
2014-04-10,210,44751,1382
2014-04-11,210,45386,1499
2014-04-14,210,47421,2558
2014-04-15,210,48269,2431
2014-04-16,210,48334,64
2014-04-17,210,48727,243
2014-04-18,210,46608,-1112
2014-04-21,210,46997,392
2014-04-22,210,51111,4386
2014-04-23,210,51713,637
2014-04-24,210,51442,365
2014-04-25,210,52229,1084
2014-04-28,210,51360,-755
2014-04-29,210,52453,1049
2014-04-30,210,55256,2945
2014-05-05,210,54592,154
2014-05-06,210,52246,-1327
2014-05-07,210,48986,381
2014-05-08,210,46970,-1886
2014-05-09,210,46349,713
2014-05-12,210,46564,165
2014-05-13,210,45426,-1138
2014-05-14,210,44794,328
2014-05-15,210,48331,3854
2014-05-16,210,51141,3810
2014-05-19,210,54330,4321
2014-05-20,210,58039,3983
2014-05-21,210,59971,1912
2014-05-22,210,59421,3235
2014-05-23,210,56926,604
2014-05-26,210,57805,3091
2014-05-27,210,51749,-3682
2014-05-28,210,51557,-564
2014-05-29,210,49822,-1417
2014-05-30,210,49023,-155
2014-06-03,210,50805,2045
2014-06-04,210,51879,1193
2014-06-05,210,53132,1127
2014-06-06,210,53605,797
2014-06-09,210,55090,2216
2014-06-10,210,61876,7634
2014-06-11,210,58085,-268
2014-06-12,210,59032,1035
2014-06-13,210,55300,-1723
2014-06-16,210,56929,2088
2014-06-17,210,52207,-617
2014-06-18,210,56634,5206
2014-06-19,210,53329,-253
2014-06-20,210,54578,1971
2014-06-23,210,64099,10677
2014-06-24,210,65478,1829
2014-06-25,210,60344,-2360
2014-06-26,210,62572,3365
2014-06-27,210,63983,1701
2014-06-30,210,62674,-1402
2014-07-01,210,63822,7503
2014-07-02,210,62795,-482
2014-07-03,210,61174,-1478
2014-07-04,210,61590,4705
2014-07-07,210,64301,3420
2014-07-08,210,67018,3422
2014-07-09,210,67941,1755
2014-07-10,210,69545,1604
2014-07-11,210,66759,-524
2014-07-14,210,65127,-2070
2014-07-15,210,64923,1307
2014-07-16,210,68218,5983
2014-07-17,210,67318,-492
2014-07-18,210,66513,1274
2014-07-21,210,68236,3747
2014-07-22,210,67711,202
2014-07-23,210,67773,1368
2014-07-24,210,68013,805
2014-07-25,210,65969,-459
2014-07-28,210,67628,788
2014-07-29,210,63958,-1714
2014-07-30,210,64549,731
2014-07-31,210,62134,-909
2014-08-01,210,65390,1717
2014-08-04,210,63279,-1802
2014-08-05,210,61976,1026
2014-08-06,210,62240,1590
2014-08-07,210,62203,-37
2014-08-08,210,64667,2248
2014-08-11,210,59216,-2557
2014-08-12,210,59578,2038
2014-08-13,210,61056,1791
2014-08-14,210,56213,-1426
2014-08-15,210,54823,144
2014-08-18,210,56214,3252
2014-08-19,210,54553,-507
2014-08-20,210,57349,2773
2014-08-21,210,57360,1235
2014-08-22,210,58773,493
2014-08-25,210,59440,1840
2014-08-26,210,59281,23
2014-08-27,210,58506,-690
2014-08-28,210,59073,638
2014-08-29,210,62014,4317
2014-09-01,210,67297,4397
2014-09-02,210,63597,-4205
2014-09-03,210,65938,3222
2014-09-04,210,88932,27881
2014-09-05,210,89529,3268
2014-09-09,210,92561,4256
2014-09-10,210,93533,813
2014-09-11,210,94745,81
2014-09-12,210,95045,118
2014-09-15,210,92966,-2079
2014-09-16,210,91329,-1878
2014-09-17,210,94773,2836
2014-09-18,210,97104,2324
2014-09-19,210,97151,374
2014-09-22,210,92949,-3318
2014-09-23,210,96151,2953
2014-09-24,210,95667,-463
2014-09-25,210,98805,3138
2014-09-26,210,96426,-1976
2014-09-29,210,94166,-1687
2014-09-30,210,91192,-2656
2014-10-08,210,94574,6162
2014-10-09,210,98114,4020
2014-10-10,210,100519,2647
2014-10-13,210,97192,-2688
2014-10-14,210,91748,-2396
2014-10-15,210,88573,-1937
2014-10-16,210,93009,3939
2014-10-17,210,100281,9418
2014-10-20,210,110039,13610
2014-10-21,210,109487,1291
2014-10-22,210,110855,-222
2014-10-23,210,108711,-1751
2014-10-24,210,104829,-860
2014-10-27,210,107048,1016
2014-10-28,210,111821,6477
2014-10-29,210,113162,2394
2014-10-30,210,102046,-10303
2014-10-31,210,96332,-3148
2014-11-03,210,94042,-2141
2014-11-04,210,94219,1998
2014-11-05,210,93660,2988
2014-11-06,210,92928,5694
2014-11-07,210,95932,6781
2014-11-10,210,101967,7383
2014-11-11,210,99652,593
2014-11-12,210,97553,-954
2014-11-13,210,104502,6825
2014-11-14,210,103447,2521
2014-11-17,210,105428,1422
2014-11-18,210,106359,1500
2014-11-19,210,102073,-3182
2014-11-20,210,105788,2258
2014-11-21,210,110509,5414
2014-11-24,210,104940,-5799
2014-11-25,210,107003,4287
2014-11-26,210,106148,-855
2014-11-27,210,105096,266
2014-11-28,210,107470,3786
2014-12-01,210,102753,-1982
2014-12-02,210,101003,-1661
2014-12-03,210,102319,2502
2014-12-04,210,96948,-1401
2014-12-05,210,94372,-2750
2014-12-08,210,95538,2036
2014-12-09,210,95708,3957
2014-12-10,210,101207,3723
2014-12-11,210,104253,4987
2014-12-12,210,107647,4276
2014-12-15,210,107851,3397
2014-12-16,210,111171,4043
2014-12-17,210,113903,2958
2014-12-18,210,131618,15930
2014-12-19,210,130133,-1262
2014-12-22,210,130758,-45
2014-12-23,210,127667,-1418
2014-12-24,210,132561,3637
2014-12-25,210,135022,2461
2014-12-26,210,129584,692
2014-12-29,210,129277,622
2014-12-30,210,123954,-4728
2014-12-31,210,129936,7178
2015-01-05,210,125899,961
2015-01-06,210,137407,12083
2015-01-07,210,150769,13362
2015-01-08,210,157168,7083
2015-01-09,210,176013,22950
2015-01-12,210,172631,-2898
2015-01-13,210,167711,-5987
2015-01-14,210,175015,9783
2015-01-15,210,172324,3979
2015-01-16,210,175085,4901
2015-01-19,210,171158,-2865
2015-01-20,210,174937,5707
2015-01-21,210,181563,6364
2015-01-22,210,188875,8475
2015-01-23,210,183300,-4565
2015-01-26,210,195729,12867
2015-01-27,210,197643,1893
2015-01-28,210,198357,5851
2015-01-29,210,200954,2221
2015-01-30,210,205752,4991
2015-02-02,210,195355,2768
2015-02-03,210,180077,-15020
2015-02-04,210,161186,-11901
2015-02-05,210,152736,-6282
2015-02-06,210,160760,11892
2015-02-09,210,160083,-946
2015-02-10,210,160148,1573
2015-02-11,210,162856,2830
2015-02-12,210,158424,-4380
2015-02-13,210,150120,-2800
2015-02-16,210,140546,-12697
2015-02-17,210,134252,-2868
2015-02-25,210,126965,-4897
2015-02-26,210,124947,1850
2015-02-27,210,138688,16185
2015-03-02,210,135029,7174
2015-03-03,210,132294,-1162
2015-03-04,210,135083,5398
2015-03-05,210,133441,341
2015-03-06,210,140661,4356
2015-03-09,210,141329,7135
2015-03-10,210,149331,6217
2015-03-11,210,148799,2872
2015-03-12,210,153408,3195
2015-03-13,210,152642,16630
2015-03-16,210,156478,15011
2015-03-17,210,167405,9876
2015-03-18,210,176356,16167
2015-03-19,210,187875,24665
2015-03-20,210,178116,-8515
2015-03-23,210,175469,-5221
2015-03-24,210,179119,8657
2015-03-25,210,190247,11793
2015-03-26,210,193847,7228
2015-03-27,210,191356,3932
2015-03-30,210,193397,2197
2015-03-31,210,189571,-2753
2015-04-01,210,194527,5381
2015-04-02,210,191858,971
2015-04-03,210,221293,31811
2015-04-07,210,214671,-5983
2015-04-08,210,193797,-10827
2015-04-09,210,186970,-5099
2015-04-10,210,190735,6391
2015-04-13,210,189122,-1205
2015-04-14,210,185022,-4100
2015-04-15,210,186865,2349
2015-04-16,210,187605,7726
2015-04-17,210,195095,7639
2015-04-20,210,195659,1732
2015-04-21,210,203617,8074
2015-04-22,210,202445,4009
2015-04-23,210,199971,131
2015-04-24,210,209756,12468
2015-04-27,210,201102,-1075
2015-04-28,210,195420,-5730
2015-04-29,210,184662,-8240
2015-04-30,210,185428,3327
2015-05-04,210,186662,1017
2015-05-05,210,182439,-5620
2015-05-06,210,194302,13910
2015-05-07,210,197802,4751
2015-05-08,210,188889,1316
2015-05-11,210,195900,7436
2015-05-12,210,208960,19842
2015-05-13,210,210906,4738
2015-05-14,210,215040,4134
2015-05-15,210,225919,7668
2015-05-18,210,225055,1583
2015-05-19,210,221673,1552
2015-05-20,210,197091,-12134
2015-05-21,210,196550,4086
2015-05-22,210,200475,4886
2015-05-25,210,200201,-274
2015-05-26,210,203179,12272
2015-05-27,210,199701,1576
2015-05-28,210,205126,4100
2015-05-29,210,204603,1619
2015-06-01,210,210625,3614
2015-06-02,210,212043,2941
2015-06-03,210,204755,-4875
2015-06-04,210,202839,-3146
2015-06-05,210,201210,-1211
2015-06-08,210,200151,-794
2015-06-09,210,200353,202
2015-06-10,210,200594,6424
2015-06-11,210,215782,25012
2015-06-12,210,211673,-3097
2015-06-15,210,209006,-3188
2015-06-16,210,207590,2700
2015-06-17,210,197974,-6323
2015-06-18,210,193503,-3484
2015-06-19,210,190866,-3792
2015-06-23,210,185935,-2610
2015-06-24,210,189966,3919
2015-06-25,210,191118,2590
2015-06-26,210,189745,2241
2015-06-29,210,189766,-1284
2015-06-30,210,190782,1016
2015-07-01,210,180948,-5608
2015-07-02,210,178434,-2496
2015-07-03,210,177965,-1450
2015-07-06,210,171938,-4755
2015-07-07,210,170346,-1877
2015-07-08,210,166451,-1049
2015-07-09,210,150942,-14949
2015-07-10,210,158229,8251
2015-07-13,210,156806,-342
2015-07-14,210,158282,2924
2015-07-15,210,155927,-1744
2015-07-16,210,159512,3271
2015-07-17,210,161783,1780
2015-07-20,210,157691,-4932
2015-07-21,210,157302,1070
2015-07-22,210,152747,-5097
2015-07-23,210,141774,-9199
2015-07-24,210,136104,-304
2015-07-27,210,141178,5924
2015-07-28,210,136135,-4975
2015-07-29,210,131380,-2865
2015-07-30,210,132382,2206
2015-07-31,210,130822,-1803
2015-08-03,210,138347,7858
2015-08-04,210,138724,280
2015-08-05,210,138337,4186
2015-08-06,210,144067,7079
2015-08-07,210,139233,-2644
2015-08-10,210,136281,-2128
2015-08-11,210,129377,2660
2015-08-12,210,122303,-7090
2015-08-13,210,125092,1557
2015-08-14,210,129377,8886
2015-08-17,210,121991,-5910
2015-08-18,210,116400,-3369
2015-08-19,210,110046,9967
2015-08-20,210,110754,607
2015-08-21,210,111001,-814
2015-08-24,210,115783,6162
2015-08-25,210,111351,-2569
2015-08-26,210,112584,5111
2015-08-27,210,108562,374
2015-08-28,210,106429,-359
2015-08-31,210,108627,3665
2015-09-01,210,108526,705
2015-09-02,210,108996,1440
2015-09-07,210,115409,7132
2015-09-08,210,119019,5714
2015-09-09,210,117595,-295
2015-09-10,210,134144,20623
2015-09-11,210,141440,8861
2015-09-14,210,142547,3242
2015-09-15,210,152462,12096
2015-09-16,210,156367,5546
2015-09-17,210,170092,13925
2015-09-18,210,166357,1523
2015-09-21,210,161539,-5281
2015-09-22,210,161673,-783
2015-09-23,210,154243,-1215
2015-09-24,210,163772,9074
2015-09-25,210,167616,7528
2015-09-28,210,150365,-9089
2015-09-29,210,151766,1058
2015-09-30,210,150334,-946
2015-10-08,210,146752,-2211
2015-10-09,210,141839,-3532
2015-10-12,210,141319,276
2015-10-13,210,139513,-836
2015-10-14,210,138832,-150
2015-10-15,210,140121,1883
2015-10-16,210,147428,8743
2015-10-19,210,157201,9734
2015-10-20,210,152816,-4759
2015-10-21,210,166630,15366
2015-10-22,210,162811,-2183
2015-10-23,210,169706,6111
2015-10-26,210,169111,3591
2015-10-27,210,171700,-405
2015-10-28,210,170823,-794
2015-10-29,210,173007,4611
2015-10-30,210,178183,11116
2015-11-02,210,178694,515
2015-11-03,210,185639,7295
2015-11-04,210,184413,3704
2015-11-05,210,190027,3441
2015-11-06,210,178552,-5270
2015-11-09,210,183504,1693
2015-11-10,210,182095,2972
2015-11-11,210,174838,-4696
2015-11-12,210,168217,-3455
2015-11-13,210,179838,14624
2015-11-16,210,188484,9732
2015-11-17,210,189098,7967
2015-11-18,210,173757,-9626
2015-11-19,210,183524,8325
2015-11-20,210,180861,11676
2015-11-23,210,194382,18004
2015-11-24,210,189282,5509
2015-11-25,210,198121,13730
2015-11-26,210,186938,-9764
2015-11-27,210,175195,-8620
2015-11-30,210,166272,-3301
2015-12-01,210,174587,13431
2015-12-02,210,181813,11457
2015-12-03,210,194558,13646
2015-12-04,210,184330,-8592
2015-12-07,210,182345,-309
2015-12-08,210,185970,18626
2015-12-09,210,193441,8557
2015-12-10,210,206313,17683
2015-12-11,210,218107,11881
2015-12-14,210,228874,13721
2015-12-15,210,222389,-2707
2015-12-16,210,210307,-9770
2015-12-17,210,212516,7668
2015-12-18,210,215675,3070
2015-12-21,210,212312,8824
2015-12-22,210,214287,6303
2015-12-23,210,214819,583
2015-12-24,210,236071,28348
2015-12-25,210,226563,-2174
2015-12-28,210,226346,447
2015-12-29,210,216320,-12112
2015-12-30,210,218395,4478
2015-12-31,210,217407,4370
2016-01-04,210,217369,4331
2016-01-05,210,209442,-6531
2016-01-06,210,237183,25783
2016-01-07,210,219349,-9965
2016-01-08,210,213766,-3668
2016-01-11,210,206557,-4823
2016-01-12,210,221421,21180
2016-01-13,210,237020,13592
2016-01-14,210,247620,10002
2016-01-15,210,225806,-16899
2016-01-18,210,234162,19661
2016-01-19,210,248054,10134
2016-01-20,210,231450,-12622
2016-01-21,210,237107,11867
2016-01-22,210,247047,10627
2016-01-25,210,244966,2066
