trading_date,PP_total_oi
2014-02-28,38538.0
2014-03-03,40130.0
2014-03-04,48000.0
2014-03-05,52438.0
2014-03-06,63544.0
2014-03-07,69598.0
2014-03-10,78834.0
2014-03-11,69996.0
2014-03-12,81570.0
2014-03-13,80978.0
2014-03-14,80264.0
2014-03-17,78586.0
2014-03-18,76776.0
2014-03-19,73014.0
2014-03-20,68204.0
2014-03-21,68196.0
2014-03-24,71252.0
2014-03-25,67820.0
2014-03-26,73914.0
2014-03-27,72704.0
2014-03-28,77842.0
2014-03-31,76736.0
2014-04-01,87132.0
2014-04-02,91006.0
2014-04-03,94524.0
2014-04-04,101678.0
2014-04-08,104162.0
2014-04-09,106090.0
2014-04-10,107586.0
2014-04-11,108812.0
2014-04-14,115004.0
2014-04-15,119642.0
2014-04-16,120432.0
2014-04-17,124526.0
2014-04-18,118840.0
2014-04-21,120784.0
2014-04-22,134206.0
2014-04-23,134512.0
2014-04-24,132912.0
2014-04-25,134070.0
2014-04-28,129432.0
2014-04-29,130328.0
2014-04-30,138830.0
2014-05-05,138944.0
2014-05-06,138130.0
2014-05-07,126888.0
2014-05-08,121286.0
2014-05-09,124190.0
2014-05-12,119884.0
2014-05-13,116860.0
2014-05-14,119536.0
2014-05-15,127524.0
2014-05-16,136600.0
2014-05-19,145730.0
2014-05-20,152770.0
2014-05-21,155360.0
2014-05-22,166674.0
2014-05-23,168986.0
2014-05-26,178126.0
2014-05-27,157096.0
2014-05-28,150394.0
2014-05-29,151048.0
2014-05-30,152552.0
2014-06-03,161952.0
2014-06-04,164090.0
2014-06-05,172038.0
2014-06-06,170816.0
2014-06-09,176606.0
2014-06-10,205172.0
2014-06-11,199904.0
2014-06-12,200136.0
2014-06-13,194304.0
2014-06-16,192652.0
2014-06-17,176956.0
2014-06-18,179650.0
2014-06-19,177404.0
2014-06-20,183170.0
2014-06-23,209566.0
2014-06-24,212524.0
2014-06-25,209696.0
2014-06-26,219176.0
2014-06-27,220352.0
2014-06-30,221446.0
2014-07-01,233086.0
2014-07-02,211130.0
2014-07-03,211344.0
2014-07-04,220534.0
2014-07-07,222020.0
2014-07-08,224200.0
2014-07-09,225702.0
2014-07-10,227134.0
2014-07-11,226420.0
2014-07-14,220190.0
2014-07-15,220756.0
2014-07-16,231506.0
2014-07-17,228430.0
2014-07-18,222400.0
2014-07-21,226676.0
2014-07-22,226756.0
2014-07-23,229930.0
2014-07-24,226722.0
2014-07-25,227544.0
2014-07-28,233334.0
2014-07-29,228940.0
2014-07-30,224198.0
2014-07-31,216022.0
2014-08-01,214450.0
2014-08-04,212084.0
2014-08-05,209656.0
2014-08-06,209702.0
2014-08-07,209762.0
2014-08-08,206604.0
2014-08-11,188346.0
2014-08-12,184130.0
2014-08-13,185330.0
2014-08-14,184620.0
2014-08-15,179226.0
2014-08-18,179860.0
2014-08-19,181612.0
2014-08-20,183518.0
2014-08-21,192134.0
2014-08-22,191358.0
2014-08-25,193168.0
2014-08-26,195062.0
2014-08-27,192734.0
2014-08-28,190982.0
2014-08-29,194872.0
2014-09-01,204684.0
2014-09-02,195818.0
2014-09-03,208144.0
2014-09-04,274636.0
2014-09-05,262690.0
2014-09-09,258034.0
2014-09-10,259350.0
2014-09-11,257284.0
2014-09-12,260850.0
2014-09-15,251822.0
2014-09-16,248272.0
2014-09-17,251244.0
2014-09-18,260026.0
2014-09-19,259078.0
2014-09-22,250134.0
2014-09-23,260532.0
2014-09-24,265582.0
2014-09-25,268436.0
2014-09-26,257044.0
2014-09-29,245166.0
2014-09-30,236066.0
2014-10-08,247358.0
2014-10-09,254536.0
2014-10-10,271864.0
2014-10-13,260092.0
2014-10-14,247886.0
2014-10-15,243614.0
2014-10-16,258768.0
2014-10-17,293114.0
2014-10-20,318866.0
2014-10-21,317960.0
2014-10-22,312628.0
2014-10-23,295060.0
2014-10-24,286838.0
2014-10-27,292608.0
2014-10-28,307110.0
2014-10-29,308086.0
2014-10-30,280996.0
2014-10-31,265600.0
2014-11-03,257982.0
2014-11-04,269502.0
2014-11-05,271202.0
2014-11-06,292648.0
2014-11-07,308012.0
2014-11-10,326626.0
2014-11-11,328624.0
2014-11-12,319024.0
2014-11-13,330546.0
2014-11-14,342346.0
2014-11-17,339552.0
2014-11-18,341948.0
2014-11-19,335752.0
2014-11-20,336736.0
2014-11-21,343218.0
2014-11-24,329704.0
2014-11-25,339826.0
2014-11-26,337664.0
2014-11-27,340176.0
2014-11-28,338700.0
2014-12-01,319486.0
2014-12-02,310786.0
2014-12-03,322874.0
2014-12-04,309696.0
2014-12-05,303260.0
2014-12-08,315678.0
2014-12-09,317856.0
2014-12-10,313620.0
2014-12-11,318558.0
2014-12-12,318714.0
2014-12-15,332348.0
2014-12-16,339978.0
2014-12-17,347322.0
2014-12-18,382902.0
2014-12-19,372070.0
2014-12-22,370962.0
2014-12-23,355282.0
2014-12-24,365710.0
2014-12-25,371328.0
2014-12-26,372456.0
2014-12-29,372774.0
2014-12-30,354866.0
2014-12-31,357308.0
2015-01-05,370820.0
2015-01-06,419976.0
2015-01-07,464742.0
2015-01-08,500584.0
2015-01-09,577854.0
2015-01-12,535752.0
2015-01-13,519670.0
2015-01-14,538460.0
2015-01-15,533398.0
2015-01-16,546270.0
2015-01-19,510038.0
2015-01-20,533418.0
2015-01-21,542640.0
2015-01-22,568682.0
2015-01-23,551350.0
2015-01-26,586710.0
2015-01-27,584884.0
2015-01-28,597798.0
2015-01-29,596722.0
2015-01-30,616298.0
2015-02-02,601976.0
2015-02-03,560856.0
2015-02-04,512900.0
2015-02-05,482566.0
2015-02-06,513214.0
2015-02-09,514874.0
2015-02-10,513360.0
2015-02-11,517642.0
2015-02-12,499700.0
2015-02-13,487884.0
2015-02-16,436866.0
2015-02-17,417608.0
2015-02-25,407954.0
2015-02-26,403600.0
2015-02-27,438250.0
2015-03-02,467268.0
2015-03-03,456998.0
2015-03-04,479218.0
2015-03-05,475230.0
2015-03-06,471748.0
2015-03-09,469528.0
2015-03-10,482612.0
2015-03-11,498628.0
2015-03-12,482820.0
2015-03-13,490036.0
2015-03-16,537872.0
2015-03-17,542672.0
2015-03-18,555800.0
2015-03-19,598978.0
2015-03-20,580482.0
2015-03-23,574986.0
2015-03-24,571936.0
2015-03-25,601808.0
2015-03-26,629578.0
