trading_date,rank,volume,volume_change
2013-11-05,210,257827,4543
2013-11-06,210,247303,-1165
2013-11-07,210,248268,-3440
2013-11-08,210,247449,12821
2013-11-11,210,230193,-20882
2013-11-12,210,223530,8469
2013-11-13,210,232666,11519
2013-11-14,210,236739,5496
2013-11-15,210,234631,3314
2013-11-18,210,231466,-1352
2013-11-19,210,227954,-1947
2013-11-20,210,228983,8256
2013-11-21,210,237147,18872
2013-11-22,210,247524,12385
2013-11-25,210,252143,6433
2013-11-26,210,209624,-20164
2013-11-27,210,207765,1780
2013-11-28,210,204020,234
2013-11-29,210,202322,6309
2013-12-02,210,201871,445
2013-12-03,210,204113,5255
2013-12-04,210,204532,2821
2013-12-05,210,201949,6495
2013-12-06,210,200777,-765
2013-12-09,210,193988,7645
2013-12-10,210,188883,-3217
2013-12-11,210,189287,6351
2013-12-12,210,180801,-2134
2013-12-13,210,193480,9995
2013-12-16,210,189530,-1337
2013-12-17,210,191720,6629
2013-12-18,210,194460,12132
2013-12-19,210,193646,-3877
2013-12-20,210,193076,5747
2013-12-23,210,189705,-3844
2013-12-24,210,181354,-797
2013-12-25,210,164491,-8533
2013-12-26,210,170072,6080
2013-12-27,210,180216,10818
2013-12-30,210,185383,9361
2013-12-31,210,178469,-6733
2014-01-02,210,173598,6050
2014-01-03,210,170922,344
2014-01-06,210,173286,3521
2014-01-07,210,172048,-2025
2014-01-08,210,170469,14097
2014-01-09,210,166650,-2073
2014-01-10,210,171998,8210
2014-01-13,210,176349,9193
2014-01-14,210,172307,-2625
2014-01-15,210,172697,9847
2014-01-16,210,176009,8024
2014-01-17,210,175934,1682
2014-01-20,210,189197,20039
2014-01-21,210,186215,2586
2014-01-22,210,171442,-16346
2014-01-23,210,184385,20614
2014-01-24,210,182230,-345
2014-01-27,210,182885,2630
2014-01-28,210,189069,6190
2014-01-29,210,184012,2695
2014-01-30,210,180599,-3391
2014-02-07,210,178774,-2404
2014-02-10,210,200483,26390
2014-02-11,210,203202,2075
2014-02-12,210,204471,3943
2014-02-13,210,211968,7622
2014-02-14,210,218420,18931
2014-02-17,210,214860,-6862
2014-02-18,210,217572,6273
2014-02-19,210,232751,14924
2014-02-20,210,233466,12679
2014-02-21,210,241257,10776
2014-02-24,210,262140,26115
2014-02-25,210,251607,-792
2014-02-26,210,282914,28310
2014-02-27,210,265342,-2606
2014-02-28,210,271971,8388
2014-03-03,210,269179,-1338
2014-03-04,210,267576,-1603
2014-03-05,210,272638,9687
2014-03-06,210,263215,384
2014-03-07,210,270669,4503
2014-03-10,210,270984,2978
2014-03-11,210,298786,35324
2014-03-12,210,275537,-7274
2014-03-13,210,264834,-8912
2014-03-14,210,257828,-3051
2014-03-17,210,245368,-9299
2014-03-18,210,233802,-8659
2014-03-19,210,227235,-7927
2014-03-20,210,218742,-3580
2014-03-21,210,206158,-547
2014-03-24,210,206552,3894
2014-03-25,210,203323,-2722
2014-03-26,210,201018,-938
2014-03-27,210,201160,8377
2014-03-28,210,196508,-4078
2014-03-31,210,195239,1685
2014-04-01,210,189885,-4299
2014-04-02,210,187421,2739
2014-04-03,210,184468,1202
2014-04-04,210,180490,2233
2014-04-08,210,180737,-515
2014-04-09,210,182635,2243
2014-04-10,210,195704,12420
2014-04-11,210,191837,-3777
2014-04-14,210,179023,-3666
2014-04-15,210,188467,9351
2014-04-16,210,183108,-3261
2014-04-17,210,180980,-247
2014-04-18,210,175497,-5223
2014-04-21,210,178676,3149
2014-04-22,210,174060,-1420
2014-04-23,210,178140,4752
