trading_date,rank,volume,volume_change
2013-11-05,210,299906,-1069
2013-11-06,210,299688,-635
2013-11-07,210,302265,4890
2013-11-08,210,299402,-2822
2013-11-11,210,275357,-24243
2013-11-12,210,263813,-9014
2013-11-13,210,274080,11771
2013-11-14,210,277126,1569
2013-11-15,210,270521,-4124
2013-11-18,210,264255,-1008
2013-11-19,210,259376,-3355
2013-11-20,210,264509,9390
2013-11-21,210,280822,16648
2013-11-22,210,284970,6515
2013-11-25,210,283561,5398
2013-11-26,210,255657,-24988
2013-11-27,210,244322,-8091
2013-11-28,210,233271,-5165
2013-11-29,210,232267,2424
2013-12-02,210,230592,-175
2013-12-03,210,237163,7278
2013-12-04,210,236404,1844
2013-12-05,210,244400,7184
2013-12-06,210,235888,-2481
2013-12-09,210,217735,-11083
2013-12-10,210,212797,-4506
2013-12-11,210,211997,3341
2013-12-12,210,211510,-3248
2013-12-13,210,218110,12626
2013-12-16,210,212116,-1354
2013-12-17,210,211790,64
2013-12-18,210,211062,-765
2013-12-19,210,210851,339
2013-12-20,210,208895,824
2013-12-23,210,209524,-1498
2013-12-24,210,208177,-1346
2013-12-25,210,198846,-6595
2013-12-26,210,201117,5280
2013-12-27,210,202853,1375
2013-12-30,210,201245,3124
2013-12-31,210,196837,-2783
2014-01-02,210,198078,4660
2014-01-03,210,193650,-2857
2014-01-06,210,186773,-6657
2014-01-07,210,181948,-4152
2014-01-08,210,176849,-3073
2014-01-09,210,171748,-607
2014-01-10,210,176399,3604
2014-01-13,210,170784,-2757
2014-01-14,210,175561,8079
2014-01-15,210,181282,12479
2014-01-16,210,183625,1483
2014-01-17,210,183960,-285
2014-01-20,210,204399,27552
2014-01-21,210,206334,1941
2014-01-22,210,199156,-7144
2014-01-23,210,210137,11824
2014-01-24,210,203247,-5879
2014-01-27,210,195944,-4556
2014-01-28,210,196338,3478
2014-01-29,210,192168,-5772
2014-01-30,210,186626,-3031
2014-02-07,210,181540,-5539
2014-02-10,210,202110,22953
2014-02-11,210,215120,10322
2014-02-12,210,222077,11270
2014-02-13,210,230400,11253
2014-02-14,210,230259,3019
2014-02-17,210,231740,-891
2014-02-18,210,240006,5965
2014-02-19,210,249312,10558
2014-02-20,210,254639,7494
2014-02-21,210,255511,3018
2014-02-24,210,286223,36133
2014-02-25,210,276922,-2939
2014-02-26,210,305331,24293
2014-02-27,210,281893,-13371
2014-02-28,210,275094,-8820
2014-03-03,210,271553,-603
2014-03-04,210,257162,-7369
2014-03-05,210,265505,6229
2014-03-06,210,267172,5692
2014-03-07,210,260392,1610
2014-03-10,210,265251,4641
2014-03-11,210,277012,19492
2014-03-12,210,261438,-10297
2014-03-13,210,257816,331
2014-03-14,210,252555,-4782
2014-03-17,210,244874,-2227
2014-03-18,210,251956,8461
2014-03-19,210,240739,-5999
2014-03-20,210,223197,-16383
2014-03-21,210,221018,5605
2014-03-24,210,225894,4839
2014-03-25,210,220998,-7516
2014-03-26,210,216175,528
2014-03-27,210,220241,5780
2014-03-28,210,213857,-2042
2014-03-31,210,210742,-1531
2014-04-01,210,213815,4223
2014-04-02,210,210341,-1760
2014-04-03,210,217685,4713
2014-04-04,210,212050,-2675
2014-04-08,210,214990,3141
2014-04-09,210,211153,-3940
2014-04-10,210,216882,6041
2014-04-11,210,196504,-4752
2014-04-14,210,195549,1550
2014-04-15,210,191640,1266
2014-04-16,210,186517,4929
2014-04-17,210,188065,4327
2014-04-18,210,187346,48
2014-04-21,210,188185,664
2014-04-22,210,199774,12384
2014-04-23,210,197743,-2747
2014-04-24,210,195092,-2541
2014-04-25,210,197170,2046
2014-04-28,210,200983,3972
2014-04-29,210,199844,421
2014-04-30,210,193919,-1174
2014-05-05,210,188335,-559
2014-05-06,210,186654,3523
2014-05-07,210,185910,-1087
2014-05-08,210,183170,-2225
2014-05-09,210,178082,-1641
2014-05-12,210,187615,8594
2014-05-13,210,217490,34455
2014-05-14,210,206823,-8042
2014-05-15,210,211715,6743
2014-05-16,210,195196,-13701
2014-05-19,210,196772,819
2014-05-20,210,195249,-934
2014-05-21,210,214273,20272
2014-05-22,210,210343,809
2014-05-23,210,212949,3821
2014-05-26,210,222634,12789
2014-05-27,210,229135,6074
2014-05-28,210,244725,19626
2014-05-29,210,247195,695
2014-05-30,210,252612,6333
2014-06-03,210,260519,6273
2014-06-04,210,250093,-2759
2014-06-05,210,249487,788
2014-06-06,210,249350,1949
2014-06-09,210,243343,-4228
2014-06-10,210,238609,5267
2014-06-11,210,230403,775
2014-06-12,210,230375,10051
2014-06-13,210,234366,14999
2014-06-16,210,229054,1027
2014-06-17,210,238703,16476
2014-06-18,210,251390,10433
2014-06-19,210,237583,-12623
2014-06-20,210,238768,2420
2014-06-23,210,228716,1846
2014-06-24,210,226627,-1920
2014-06-25,210,232817,10967
2014-06-26,210,240828,9321
2014-06-27,210,229484,-11763
2014-06-30,210,220852,-6444
2014-07-01,210,225322,8946
2014-07-02,210,230334,6852
2014-07-03,210,246933,17499
2014-07-04,210,245424,-2358
2014-07-07,210,237953,-2167
2014-07-08,210,239486,5454
2014-07-09,210,221349,-16010
2014-07-10,210,233942,14492
2014-07-11,210,227059,-4664
2014-07-14,210,215964,-9449
2014-07-15,210,223909,9292
2014-07-16,210,234990,16347
2014-07-17,210,238575,981
2014-07-18,210,254019,19517
2014-07-21,210,268307,15676
2014-07-22,210,272686,5627
2014-07-23,210,285920,14464
2014-07-24,210,236395,-43862
2014-07-25,210,227149,-2986
2014-07-28,210,259338,33364
2014-07-29,210,263083,3467
2014-07-30,210,248067,-6518
2014-07-31,210,256440,12848
2014-08-01,210,248837,-1813
2014-08-04,210,246871,4454
2014-08-05,210,260388,14057
2014-08-06,210,259935,-595
2014-08-07,210,260226,2971
2014-08-08,210,261195,969
2014-08-11,210,254356,-1304
2014-08-12,210,249291,-882
2014-08-13,210,250573,-446
2014-08-14,210,242874,1081
2014-08-15,210,277205,41683
2014-08-18,210,285543,17285
2014-08-19,210,265494,-20435
2014-08-20,210,274715,10038
2014-08-21,210,292463,18691
2014-08-22,210,296445,4246
2014-08-25,210,294494,-229
2014-08-26,210,301585,7352
2014-08-27,210,297134,-4879
2014-08-28,210,293387,4900
2014-08-29,210,283275,-10034
2014-09-01,210,269784,-12875
2014-09-02,210,292483,20698
2014-09-03,210,281807,-12642
2014-09-04,210,286625,4818
2014-09-05,210,293857,10888
2014-09-09,210,280629,-13228
2014-09-10,210,278865,-231
2014-09-11,210,282338,4401
2014-09-12,210,298038,25564
2014-09-15,210,303042,12810
2014-09-16,210,312609,10536
2014-09-17,210,319424,5865
2014-09-18,210,326332,9681
2014-09-19,210,293929,-30548
2014-09-22,210,234852,-8317
2014-09-23,210,220435,39638
2014-09-24,210,243155,21122
2014-09-25,210,246781,8910
2014-09-26,210,279313,38673
2014-09-29,210,260553,-15267
2014-09-30,210,280656,23912
2014-10-08,210,276775,-2640
2014-10-09,210,282885,6221
2014-10-10,210,297589,16592
2014-10-13,210,325070,29603
2014-10-14,210,332542,11271
2014-10-15,210,328108,-2156
2014-10-16,210,307544,-15001
2014-10-17,210,293944,-7167
2014-10-20,210,283086,-8838
2014-10-21,210,273877,-845
2014-10-22,210,263351,-3282
2014-10-23,210,262578,27744
2014-10-24,210,263695,-3472
2014-10-27,210,246922,1247
2014-10-28,210,247476,3984
2014-10-29,210,269286,29084
2014-10-30,210,295177,36864
2014-10-31,210,305318,11075
2014-11-03,210,296281,-9333
2014-11-04,210,273825,-22333
2014-11-05,210,239097,-33358
2014-11-06,210,205467,-22650
2014-11-07,210,210743,6746
2014-11-10,210,186976,-23505
2014-11-11,210,191652,6339
2014-11-12,210,180640,-6407
2014-11-13,210,189419,11145
2014-11-14,210,197520,12369
2014-11-17,210,198015,4022
2014-11-18,210,189464,-7437
2014-11-19,210,194013,5454
2014-11-20,210,204566,12653
2014-11-21,210,200595,168
2014-11-24,210,209176,13708
2014-11-25,210,195916,-9560
2014-11-26,210,188814,-6563
2014-11-27,210,188310,-2352
2014-11-28,210,215459,45421
2014-12-01,210,209043,-4891
2014-12-02,210,200954,12446
2014-12-03,210,227974,29023
2014-12-04,210,236625,11188
2014-12-05,210,232230,3158
2014-12-08,210,227206,-3281
2014-12-09,210,212611,-3548
2014-12-10,210,234397,23593
2014-12-11,210,226813,-5890
2014-12-12,210,217271,-7809
2014-12-15,210,201316,-15821
2014-12-16,210,210479,24385
2014-12-17,210,208200,4766
2014-12-18,210,204694,4040
2014-12-19,210,207394,-1071
2014-12-22,210,215634,7722
2014-12-23,210,222488,9441
2014-12-24,210,217615,24746
2014-12-25,210,216071,6330
2014-12-26,210,225164,6934
2014-12-29,210,242300,17340
2014-12-30,210,236490,-5502
2014-12-31,210,231467,-4777
2015-01-05,210,236478,4991
2015-01-06,210,232465,-3025
2015-01-07,210,232862,397
2015-01-08,210,236794,3856
2015-01-09,210,235887,-907
2015-01-12,210,235470,5461
2015-01-13,210,233829,-1441
2015-01-14,210,225936,4534
2015-01-15,210,240798,11607
2015-01-16,210,235243,-1728
2015-01-19,210,207811,-20974
2015-01-20,210,206438,4049
2015-01-21,210,219021,13066
2015-01-22,210,219469,4453
2015-01-23,210,221555,9327
2015-01-26,210,218277,-5173
2015-01-27,210,225638,18102
2015-01-28,210,230415,4063
2015-01-29,210,258009,31501
2015-01-30,210,278274,26615
2015-02-02,210,279709,7693
2015-02-03,210,282787,3999
2015-02-04,210,284647,4862
2015-02-05,210,284353,1690
2015-02-06,210,265744,-6890
2015-02-09,210,271751,10944
2015-02-10,210,263354,-2767
2015-02-11,210,259306,-6204
2015-02-12,210,250690,-12318
2015-02-13,210,242266,-5464
2015-02-16,210,228522,-9949
2015-02-17,210,226937,-2350
2015-02-25,210,221960,-932
2015-02-26,210,228079,6095
2015-02-27,210,264124,37077
2015-03-02,210,270152,4167
2015-03-03,210,254039,-11842
2015-03-04,210,266339,12328
2015-03-05,210,243685,-18977
2015-03-06,210,226742,-5417
2015-03-09,210,236572,8171
2015-03-10,210,219788,-11517
2015-03-11,210,243369,31703
2015-03-12,210,244251,1478
2015-03-13,210,241792,-2413
2015-03-16,210,224778,3959
2015-03-17,210,235267,19077
2015-03-18,210,270412,39413
2015-03-19,210,252882,-12149
2015-03-20,210,279559,27016
2015-03-23,210,300493,21650
2015-03-24,210,308160,9478
2015-03-25,210,302337,-4127
2015-03-26,210,304727,6652
2015-03-27,210,296544,-6973
2015-03-30,210,286413,-11603
2015-03-31,210,280424,-6208
2015-04-01,210,289275,9531
2015-04-02,210,286296,16411
2015-04-03,210,277525,-9776
2015-04-07,210,278378,4010
2015-04-08,210,281815,3437
2015-04-09,210,267517,-8013
2015-04-10,210,273079,6472
2015-04-13,210,294077,24381
2015-04-14,210,299471,7736
2015-04-15,210,324865,32414
2015-04-16,210,333899,10260
2015-04-17,210,336807,2190
2015-04-20,210,350966,22580
2015-04-21,210,344933,17253
2015-04-22,210,336992,-2670
2015-04-23,210,337229,-371
2015-04-24,210,331387,-676
2015-04-27,210,357529,26643
2015-04-28,210,349980,-4071
2015-04-29,210,356887,6512
2015-04-30,210,382440,29747
2015-05-04,210,394815,12375
2015-05-05,210,357801,-7926
2015-05-06,210,358212,17313
2015-05-07,210,365088,6789
2015-05-08,210,359832,-4174
2015-05-11,210,361897,2710
2015-05-12,210,376033,16577
2015-05-13,210,372597,1318
2015-05-14,210,380131,10170
2015-05-15,210,386575,8336
2015-05-18,210,382075,-1242
2015-05-19,210,366515,-14629
2015-05-20,210,340862,-25336
2015-05-21,210,349379,11555
2015-05-22,210,340677,-3862
2015-05-25,210,348923,10603
2015-05-26,210,370455,19350
2015-05-27,210,387921,20260
2015-05-28,210,412340,24792
2015-05-29,210,410646,-426
2015-06-01,210,430631,23741
2015-06-02,210,437647,5594
2015-06-03,210,413774,-19071
2015-06-04,210,388966,-20881
2015-06-05,210,405712,16759
2015-06-08,210,424949,17706
2015-06-09,210,405645,-15291
2015-06-10,210,405152,-195
2015-06-11,210,388166,-11608
2015-06-12,210,346313,-44335
2015-06-15,210,330899,-15414
2015-06-16,210,337391,4763
2015-06-17,210,331681,-5631
2015-06-18,210,301643,-28144
2015-06-19,210,291903,-9208
2015-06-23,210,292215,372
2015-06-24,210,304524,14974
2015-06-25,210,303833,1571
2015-06-26,210,291835,-12314
2015-06-29,210,279216,-11806
2015-06-30,210,238408,-21247
2015-07-01,210,249360,12264
2015-07-02,210,249218,-3278
2015-07-03,210,252849,4875
2015-07-06,210,221518,-27154
2015-07-07,210,214653,-8510
2015-07-08,210,180871,-30138
2015-07-09,210,172391,-1502
2015-07-10,210,176662,4749
2015-07-13,210,167596,-6060
2015-07-14,210,174675,7810
2015-07-15,210,177773,6305
2015-07-16,210,184198,7500
2015-07-17,210,187639,2179
2015-07-20,210,198684,11936
2015-07-21,210,222740,24571
2015-07-22,210,215718,-6979
2015-07-23,210,211340,-5991
2015-07-24,210,201674,-6941
2015-07-27,210,174211,-7990
2015-07-28,210,178378,4876
2015-07-29,210,181243,4172
